chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 48                   1.535167             
1                    43                   1                    8311                 52                   1.278615             
1                    54                   1                    7786                 48                   1.297667             
1                    55                   1                    6802                 52                   1.046462             
1                    66                   1                    7065                 51                   1.108235             
1                    67                   1                    6421                 49                   1.048326             
1                    78                   1                    6685                 48                   1.114167             
1                    79                   1                    7022                 49                   1.146449             
1                    90                   1                    8056                 51                   1.263686             
1                    91                   1                    8824                 51                   1.384157             
1                    102                  1                    9523                 51                   1.493804             
1                    103                  1                    9260                 47                   1.576170             
1                    41                   1                    9589                 48                   1.598167             
1                    53                   1                    8729                 51                   1.369255             
1                    65                   1                    7901                 48                   1.316833             
1                    77                   1                    7161                 48                   1.193500             
1                    89                   1                    10031                48                   1.671833             
1                    101                  1                    11179                48                   1.863167             
1                    44                   1                    9193                 49                   1.500898             
1                    56                   1                    8446                 49                   1.378939             
1                    68                   1                    6692                 49                   1.092571             
1                    80                   1                    7734                 49                   1.262694             
1                    92                   1                    9166                 37                   1.981838             
1                    104                  1                    11676                46                   2.030609             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                48                   1.765833             
1                    113                  1                    8527                 51                   1.337569             
1                    30                   1                    10373                44                   1.886000             
1                    31                   1                    10459                49                   1.707592             
1                    116                  1                    16716                47                   2.845277             
1                    29                   1                    9806                 48                   1.634333             
1                    32                   1                    9779                 48                   1.629833             
1                    40                   1                    8078                 51                   1.267137             
1                    52                   1                    8579                 48                   1.429833             
1                    45                   1                    8606                 48                   1.434333             
1                    57                   1                    7227                 47                   1.230128             
1                    33                   1                    9877                 44                   1.795818             
1                    69                   1                    7469                 47                   1.271319             
1                    81                   1                    9442                 48                   1.573667             
1                    93                   1                    10978                53                   1.657057             
1                    105                  1                    14274                47                   2.429617             
1                    117                  1                    16627                48                   2.771167             
1                    18                   1                    9508                 48                   1.584667             
1                    19                   1                    10043                48                   1.673833             
1                    20                   1                    9541                 48                   1.590167             
1                    21                   1                    8659                 47                   1.473872             
1                    17                   1                    9794                 48                   1.632333             
2                    42                   1                    8862                 48                   1.477000             
2                    43                   1                    7918                 47                   1.347745             
2                    44                   1                    9069                 47                   1.543660             
2                    54                   1                    7607                 51                   1.193255             
2                    55                   1                    6282                 41                   1.225756             
2                    56                   1                    8196                 47                   1.395064             
2                    66                   1                    6358                 48                   1.059667             
2                    67                   1                    5940                 49                   0.969796             
2                    68                   1                    6444                 50                   1.031040             
2                    78                   1                    6307                 48                   1.051167             
2                    79                   1                    6744                 49                   1.101061             
2                    80                   1                    7856                 48                   1.309333             
2                    90                   1                    7843                 48                   1.307167             
2                    91                   1                    8596                 48                   1.432667             
2                    92                   1                    9504                 52                   1.462154             
2                    102                  1                    9522                 48                   1.587000             
2                    103                  1                    9236                 48                   1.539333             
2                    104                  1                    11780                50                   1.884800             
2                    30                   1                    10147                48                   1.691167             
2                    31                   1                    9999                 41                   1.951024             
2                    32                   1                    9461                 52                   1.455539             
2                    41                   1                    9350                 48                   1.558333             
2                    53                   1                    8484                 51                   1.330824             
2                    65                   1                    7543                 52                   1.160462             
2                    77                   1                    7220                 47                   1.228936             
2                    89                   1                    10619                47                   1.807489             
2                    101                  1                    11599                48                   1.933167             
2                    114                  1                    11027                48                   1.837833             
2                    115                  1                    10923                48                   1.820500             
2                    116                  1                    17572                49                   2.868898             
2                    29                   1                    9803                 48                   1.633833             
2                    113                  1                    9083                 51                   1.424784             
2                    45                   1                    8640                 48                   1.440000             
2                    57                   1                    7141                 52                   1.098615             
2                    69                   1                    7452                 49                   1.216653             
2                    81                   1                    9611                 37                   2.078054             
2                    93                   1                    11795                48                   1.965833             
2                    105                  1                    14908                37                   3.223351             
2                    33                   1                    9501                 44                   1.727455             
2                    117                  1                    18144                48                   3.024000             
2                    18                   1                    9079                 51                   1.424157             
2                    19                   1                    10070                48                   1.678333             
2                    20                   1                    8660                 51                   1.358431             
2                    17                   1                    9723                 52                   1.495846             
2                    21                   1                    7679                 50                   1.228640             
3                    42                   1                    8771                 36                   1.949111             
3                    43                   1                    7925                 45                   1.408889             
3                    54                   1                    7812                 48                   1.302000             
3                    55                   1                    6525                 49                   1.065306             
3                    66                   1                    6763                 49                   1.104163             
3                    67                   1                    6128                 47                   1.043064             
3                    78                   1                    6077                 48                   1.012833             
3                    79                   1                    6585                 51                   1.032941             
3                    90                   1                    8194                 44                   1.489818             
3                    91                   1                    8808                 51                   1.381647             
3                    102                  1                    9450                 51                   1.482353             
3                    103                  1                    9218                 52                   1.418154             
3                    41                   1                    9365                 51                   1.469020             
3                    53                   1                    8757                 51                   1.373647             
3                    65                   1                    7769                 51                   1.218667             
3                    77                   1                    7320                 52                   1.126154             
3                    89                   1                    10639                32                   2.659750             
3                    101                  1                    11311                52                   1.740154             
3                    44                   1                    9295                 44                   1.690000             
3                    56                   1                    8308                 51                   1.303216             
3                    68                   1                    6727                 49                   1.098286             
3                    80                   1                    7890                 48                   1.315000             
3                    92                   1                    9459                 51                   1.483765             
3                    104                  1                    11117                51                   1.743843             
3                    30                   1                    9973                 48                   1.662167             
3                    31                   1                    9806                 51                   1.538196             
3                    114                  1                    10810                50                   1.729600             
3                    115                  1                    10291                51                   1.614275             
3                    29                   1                    9510                 25                   3.043200             
3                    32                   1                    10252                44                   1.864000             
3                    113                  1                    9056                 51                   1.420549             
3                    116                  1                    14884                52                   2.289846             
3                    17                   1                    9542                 50                   1.526720             
3                    18                   1                    9023                 50                   1.443680             
3                    19                   1                    10330                47                   1.758298             
3                    20                   1                    9210                 47                   1.567660             
3                    40                   1                    7771                 49                   1.268735             
3                    52                   1                    8007                 49                   1.307265             
3                    64                   1                    8720                 47                   1.484255             
3                    76                   1                    10998                47                   1.872000             
3                    88                   1                    11465                47                   1.951489             
3                    100                  1                    11409                51                   1.789647             
3                    112                  1                    10561                47                   1.797617             
3                    125                  1                    8174                 29                   2.254897             
3                    126                  1                    8918                 55                   1.297164             
3                    28                   1                    8315                 51                   1.304314             
3                    127                  1                    9009                 51                   1.413176             
3                    128                  1                    11156                47                   1.898894             
3                    16                   1                    9390                 48                   1.565000             
4                    41                   1                    9468                 48                   1.578000             
4                    42                   1                    8797                 48                   1.466167             
4                    43                   1                    7845                 48                   1.307500             
4                    53                   1                    8644                 44                   1.571636             
4                    54                   1                    7762                 48                   1.293667             
4                    65                   1                    7721                 52                   1.187846             
4                    66                   1                    6356                 37                   1.374270             
4                    77                   1                    7365                 47                   1.253617             
4                    78                   1                    6125                 53                   0.924528             
4                    89                   1                    10953                52                   1.685077             
4                    90                   1                    8044                 52                   1.237538             
4                    101                  1                    11168                51                   1.751843             
4                    102                  1                    9376                 47                   1.595915             
4                    40                   1                    8282                 47                   1.409702             
4                    52                   1                    8157                 47                   1.388426             
4                    64                   1                    8902                 48                   1.483667             
4                    76                   1                    11062                51                   1.735216             
4                    88                   1                    11744                48                   1.957333             
4                    100                  1                    10829                47                   1.843234             
4                    29                   1                    9602                 51                   1.506196             
4                    30                   1                    10009                47                   1.703660             
