chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                16                   9.505000             
1                    79                   2                    15850                12                   10.566667            
1                    78                   2                    15012                11                   10.917818            
1                    67                   2                    14645                13                   9.012308             
1                    66                   2                    15601                13                   9.600616             
1                    55                   2                    14732                12                   9.821333             
1                    91                   2                    20891                17                   9.831059             
1                    54                   2                    19716                17                   9.278117             
1                    56                   2                    17010                14                   9.720000             
1                    43                   2                    18918                15                   10.089600            
1                    42                   2                    21479                17                   10.107764            
1                    44                   2                    19661                18                   8.738222             
1                    103                  2                    22136                18                   9.838223             
1                    102                  2                    22639                19                   9.532210             
1                    77                   2                    16125                12                   10.750000            
1                    92                   2                    21454                18                   9.535111             
1                    68                   2                    15092                12                   10.061334            
1                    32                   2                    20712                16                   10.356000            
1                    104                  2                    27162                23                   9.447652             
1                    41                   2                    21733                18                   9.659111             
1                    101                  2                    25207                22                   9.166182             
1                    80                   2                    17002                14                   9.715428             
1                    89                   2                    23426                19                   9.863579             
1                    65                   2                    18896                16                   9.448000             
1                    53                   2                    19563                16                   9.781500             
1                    115                  2                    24010                20                   9.604000             
1                    114                  2                    24061                21                   9.166095             
1                    31                   2                    21936                18                   9.749333             
1                    30                   2                    22734                19                   9.572210             
1                    57                   2                    14796                13                   9.105230             
1                    113                  2                    19656                17                   9.249883             
1                    116                  2                    36508                30                   9.735467             
1                    29                   2                    21175                19                   8.915790             
1                    105                  2                    31195                26                   9.598461             
1                    125                  2                    17385                15                   9.272000             
1                    127                  2                    20449                17                   9.623059             
1                    126                  2                    19693                17                   9.267294             
1                    128                  2                    24429                20                   9.771600             
1                    33                   2                    18767                15                   10.009067            
1                    93                   2                    23930                20                   9.572000             
1                    81                   2                    21126                18                   9.389334             
1                    69                   2                    16324                12                   10.882667            
1                    117                  2                    37529                56                   5.361286             
2                    102                  2                    27658                9                    24.584888            
2                    77                   2                    19032                11                   13.841455            
1                    45                   2                    16817                14                   9.609715             
1                    20                   2                    17997                13                   11.075077            
1                    19                   2                    21736                19                   9.152000             
1                    18                   2                    19932                16                   9.966000             
2                    33                   2                    20590                18                   9.151111             
