chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                27                   5.632593             
1                    79                   2                    15850                21                   6.038095             
1                    78                   2                    15012                19                   6.320842             
1                    67                   2                    14645                21                   5.579048             
1                    66                   2                    15601                21                   5.943238             
1                    91                   2                    20891                28                   5.968857             
1                    55                   2                    14732                21                   5.612190             
1                    56                   2                    17010                23                   5.916522             
1                    54                   2                    19716                25                   6.309120             
1                    44                   2                    19661                27                   5.825481             
1                    43                   2                    18918                25                   6.053760             
1                    42                   2                    21479                29                   5.925241             
1                    68                   2                    15092                21                   5.749333             
1                    103                  2                    22136                29                   6.106483             
1                    102                  2                    22639                31                   5.842322             
1                    92                   2                    21454                29                   5.918345             
1                    32                   2                    20712                27                   6.136889             
1                    80                   2                    17002                23                   5.913739             
1                    89                   2                    23426                34                   5.512000             
1                    101                  2                    25207                34                   5.931059             
1                    104                  2                    27162                37                   5.872865             
1                    77                   2                    16125                23                   5.608696             
1                    65                   2                    18896                25                   6.046720             
1                    53                   2                    19563                25                   6.260160             
1                    41                   2                    21733                32                   5.433250             
1                    115                  2                    24010                31                   6.196129             
1                    114                  2                    24061                33                   5.832970             
1                    116                  2                    36508                50                   5.841280             
1                    113                  2                    19656                27                   5.824000             
1                    31                   2                    21936                29                   6.051311             
1                    45                   2                    16817                24                   5.605667             
1                    30                   2                    22734                31                   5.866839             
1                    57                   2                    14796                19                   6.229895             
1                    29                   2                    21175                29                   5.841379             
1                    81                   2                    21126                29                   5.827862             
1                    127                  2                    20449                27                   6.058963             
1                    128                  2                    24429                34                   5.748000             
1                    125                  2                    17385                23                   6.046957             
1                    69                   2                    16324                23                   5.677913             
1                    93                   2                    23930                31                   6.175484             
1                    105                  2                    31195                44                   5.671818             
1                    33                   2                    18767                25                   6.005440             
1                    117                  2                    37529                52                   5.773692             
2                    32                   2                    22713                31                   5.861419             
2                    41                   2                    24276                33                   5.885091             
2                    31                   2                    23289                33                   5.645818             
2                    30                   2                    25312                36                   5.624889             
2                    92                   2                    27466                38                   5.782316             
2                    80                   2                    20600                27                   6.103703             
2                    68                   2                    16982                23                   5.906783             
2                    56                   2                    18611                25                   5.955520             
2                    44                   2                    21975                29                   6.062069             
2                    104                  2                    32370                46                   5.629565             
2                    91                   2                    24432                33                   5.922909             
2                    90                   2                    21691                29                   5.983724             
2                    53                   2                    21541                30                   5.744267             
2                    79                   2                    17860                23                   6.212174             
2                    78                   2                    16917                23                   5.884174             
2                    67                   2                    15969                21                   6.083428             
2                    66                   2                    17430                23                   6.062609             
2                    55                   2                    15999                22                   5.817818             
2                    54                   2                    21635                31                   5.583226             
2                    43                   2                    20920                27                   6.198519             
2                    42                   2                    24175                33                   5.860606             
2                    103                  2                    26783                38                   5.638526             
2                    102                  2                    27658                37                   5.980108             
2                    115                  2                    30347                43                   5.645954             
2                    114                  2                    30551                42                   5.819238             
2                    77                   2                    19032                27                   5.639111             
2                    65                   2                    21315                29                   5.880000             
2                    89                   2                    29643                40                   5.928600             
2                    101                  2                    31013                44                   5.638727             
2                    29                   2                    24042                33                   5.828363             
