chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                21                   7.241905             
1                    79                   2                    15850                17                   7.458824             
1                    78                   2                    15012                15                   8.006400             
1                    67                   2                    14645                17                   6.891765             
1                    66                   2                    15601                17                   7.341647             
1                    55                   2                    14732                15                   7.857067             
1                    91                   2                    20891                21                   7.958476             
1                    56                   2                    17010                18                   7.560000             
1                    54                   2                    19716                21                   7.510857             
1                    68                   2                    15092                16                   7.546000             
1                    43                   2                    18918                21                   7.206857             
1                    80                   2                    17002                17                   8.000941             
1                    77                   2                    16125                16                   8.062500             
1                    42                   2                    21479                23                   7.470956             
1                    103                  2                    22136                23                   7.699478             
1                    104                  2                    27162                29                   7.492966             
1                    102                  2                    22639                23                   7.874435             
1                    92                   2                    21454                23                   7.462261             
1                    44                   2                    19661                21                   7.489905             
1                    53                   2                    19563                20                   7.825200             
1                    41                   2                    21733                23                   7.559304             
1                    89                   2                    23426                25                   7.496320             
1                    65                   2                    18896                21                   7.198476             
1                    115                  2                    24010                27                   7.114074             
1                    101                  2                    25207                26                   7.756000             
1                    29                   2                    21175                23                   7.365217             
1                    114                  2                    24061                26                   7.403385             
1                    113                  2                    19656                21                   7.488000             
1                    31                   2                    21936                22                   7.976727             
1                    32                   2                    20712                21                   7.890285             
1                    116                  2                    36508                41                   7.123512             
1                    57                   2                    14796                15                   7.891200             
1                    30                   2                    22734                24                   7.578000             
1                    81                   2                    21126                23                   7.348174             
1                    69                   2                    16324                18                   7.255111             
1                    93                   2                    23930                26                   7.363077             
1                    33                   2                    18767                21                   7.149333             
1                    45                   2                    16817                17                   7.913882             
1                    117                  2                    37529                44                   6.823454             
2                    102                  2                    27658                30                   7.375467             
1                    105                  2                    31195                33                   7.562424             
2                    89                   2                    29643                32                   7.410750             
2                    77                   2                    19032                21                   7.250286             
2                    65                   2                    21315                23                   7.413913             
2                    53                   2                    21541                23                   7.492522             
2                    41                   2                    24276                26                   7.469539             
2                    101                  2                    31013                33                   7.518303             
2                    116                  2                    45091                51                   7.073098             
2                    115                  2                    30347                33                   7.356849             
2                    114                  2                    30551                32                   7.637750             
2                    32                   2                    22713                26                   6.988616             
2                    31                   2                    23289                24                   7.763000             
2                    30                   2                    25312                28                   7.232000             
2                    92                   2                    27466                29                   7.576828             
2                    80                   2                    20600                21                   7.847619             
2                    68                   2                    16982                18                   7.547555             
