chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 0                    inf                  
1                    43                   1                    8311                 23                   2.890783             
1                    54                   1                    7786                 0                    inf                  
1                    55                   1                    6802                 1                    54.416000            
1                    66                   1                    7065                 1                    56.520000            
1                    67                   1                    6421                 22                   2.334909             
1                    78                   1                    6685                 0                    inf                  
1                    79                   1                    7022                 0                    inf                  
1                    90                   1                    8056                 1                    64.447998            
1                    91                   1                    8824                 0                    inf                  
1                    102                  1                    9523                 1                    76.183998            
1                    103                  1                    9260                 1                    74.080002            
1                    41                   1                    9589                 19                   4.037474             
1                    44                   1                    9193                 3                    24.514668            
1                    53                   1                    8729                 0                    inf                  
1                    56                   1                    8446                 0                    inf                  
1                    65                   1                    7901                 1                    63.208000            
1                    68                   1                    6692                 0                    inf                  
1                    77                   1                    7161                 0                    inf                  
1                    80                   1                    7734                 1                    61.872002            
1                    89                   1                    10031                0                    inf                  
1                    92                   1                    9166                 1                    73.328003            
1                    101                  1                    11179                1                    89.431999            
1                    104                  1                    11676                1                    93.407997            
1                    30                   1                    10373                14                   5.927429             
1                    31                   1                    10459                1                    83.671997            
1                    114                  1                    10575                0                    inf                  
1                    115                  1                    10595                3                    28.253334            
1                    29                   1                    9806                 0                    inf                  
1                    32                   1                    9779                 1                    78.232002            
1                    113                  1                    8527                 2                    34.108002            
1                    116                  1                    16716                0                    inf                  
2                    42                   2                    18388                1                    147.104004           
2                    43                   2                    16142                1                    129.136002           
2                    54                   2                    16348                2                    65.391998            
2                    55                   2                    12252                2                    49.007999            
2                    66                   2                    13136                0                    inf                  
2                    67                   2                    12282                1                    98.255997            
2                    78                   2                    13066                1                    104.528000           
2                    79                   2                    13819                1                    110.552002           
2                    90                   2                    16458                1                    131.664001           
2                    91                   2                    18412                2                    73.648003            
2                    102                  2                    20617                1                    164.936005           
2                    103                  2                    19923                2                    79.692001            
2                    41                   2                    18985                0                    inf                  
2                    44                   2                    17434                2                    69.736000            
2                    53                   2                    16749                1                    133.992004           
2                    56                   2                    15123                1                    120.984001           
2                    65                   2                    16432                2                    65.727997            
2                    68                   2                    13383                1                    107.064003           
2                    77                   2                    14863                2                    59.452000            
2                    80                   2                    15893                0                    inf                  
2                    89                   2                    22223                2                    88.891998            
2                    92                   2                    20343                1                    162.744003           
2                    101                  2                    23875                3                    63.666668            
2                    104                  2                    24477                1                    195.815994           
2                    30                   2                    19913                2                    79.652000            
2                    31                   2                    18811                1                    150.488007           
2                    114                  2                    22949                2                    91.795998            
2                    115                  2                    23325                2                    93.300003            
2                    29                   2                    19161                2                    76.643997            
2                    32                   2                    18176                0                    inf                  
2                    113                  2                    19184                2                    76.736000            
2                    116                  2                    35064                2                    140.255997           
3                    42                   2                    17801                1                    142.408005           
3                    43                   2                    15742                1                    125.935997           
3                    54                   2                    16402                21                   6.248381             
3                    55                   2                    12661                1                    101.288002           
3                    66                   2                    13554                1                    108.431999           
3                    67                   2                    12026                1                    96.208000            
3                    78                   2                    12074                1                    96.592003            
3                    79                   2                    12947                1                    103.575996           
3                    90                   2                    16331                2                    65.323997            
3                    91                   2                    17331                16                   8.665500             
3                    102                  2                    18665                2                    74.660004            
3                    103                  2                    18747                1                    149.975998           
3                    41                   2                    18079                2                    72.316002            
3                    44                   2                    17271                1                    138.167999           
3                    53                   2                    16613                2                    66.452003            
3                    56                   2                    14957                0                    inf                  
3                    65                   2                    16185                1                    129.479996           
3                    68                   2                    12968                1                    103.744003           
3                    77                   2                    14240                1                    113.919998           
3                    80                   2                    14847                1                    118.776001           
3                    89                   2                    20544                9                    18.261333            
3                    92                   2                    18949                2                    75.795998            
3                    101                  2                    21753                3                    58.007999            
3                    104                  2                    21813                0                    inf                  
3                    30                   2                    19523                2                    78.092003            
3                    31                   2                    17921                1                    143.367996           
3                    114                  2                    20056                2                    80.223999            
3                    115                  2                    19885                1                    159.080002           
3                    29                   2                    17616                4                    35.231998            
3                    32                   2                    18789                0                    inf                  
3                    113                  2                    17443                1                    139.544006           
3                    116                  2                    28629                2                    114.515999           
4                    42                   2                    17601                1                    140.807999           
4                    43                   2                    16191                1                    129.528000           
4                    54                   2                    16386                2                    65.543999            
4                    55                   2                    12533                1                    100.264000           
4                    66                   2                    12560                19                   5.288421             
4                    67                   2                    11596                0                    inf                  
4                    78                   2                    12141                0                    inf                  
4                    79                   2                    13382                1                    107.056000           
4                    90                   2                    16424                1                    131.391998           
4                    91                   2                    17469                2                    69.875999            
4                    102                  2                    19028                1                    152.223999           
4                    103                  2                    19715                2                    78.860001            
4                    41                   2                    18345                1                    146.759995           
4                    44                   2                    16744                15                   8.930133             
4                    53                   2                    16427                1                    131.416000           
4                    56                   2                    13941                1                    111.528000           
4                    65                   2                    15803                2                    63.212002            
4                    68                   2                    11993                1                    95.944000            
4                    77                   2                    14446                1                    115.568001           
4                    80                   2                    14547                2                    58.188000            
4                    89                   2                    21702                2                    86.807999            
4                    92                   2                    19365                0                    inf                  
4                    101                  2                    21674                2                    86.695999            
4                    104                  2                    22956                2                    91.823997            
4                    30                   2                    19642                1                    157.136002           
4                    31                   2                    18374                2                    73.496002            
4                    114                  2                    21399                4                    42.798000            
4                    115                  2                    20480                0                    inf                  
4                    29                   2                    17479                0                    inf                  
4                    32                   2                    18146                2                    72.584000            
4                    113                  2                    17705                1                    141.639999           
4                    116                  2                    30170                3                    80.453331            
5                    42                   2                    16670                1                    133.360001           
5                    43                   2                    15317                2                    61.268002            
5                    54                   2                    16325                20                   6.530000             
5                    55                   2                    12237                0                    inf                  
5                    66                   2                    12797                1                    102.375999           
5                    67                   2                    11682                1                    93.456001            
5                    78                   2                    12263                1                    98.103996            
5                    79                   2                    12661                1                    101.288002           
5                    90                   2                    16181                18                   7.191556             
5                    91                   2                    17332                3                    46.218666            
5                    102                  2                    19496                1                    155.968002           
5                    103                  2                    18821                1                    150.567993           
5                    41                   2                    17033                1                    136.264008           
5                    44                   2                    16206                1                    129.647995           
5                    53                   2                    15608                2                    62.431999            
5                    56                   2                    13677                1                    109.416000           
5                    65                   2                    15346                1                    122.767998           
5                    68                   2                    11589                11                   8.428364             
5                    77                   2                    14016                1                    112.127998           
5                    80                   2                    14121                2                    56.484001            
5                    89                   2                    21079                1                    168.632004           
5                    92                   2                    18618                1                    148.944000           
5                    101                  2                    22410                2                    89.639999            
5                    104                  2                    22640                2                    90.559998            
5                    30                   2                    19507                1                    156.056000           
5                    31                   2                    17166                2                    68.664001            
5                    114                  2                    21221                2                    84.884003            
5                    115                  2                    20078                0                    inf                  
5                    29                   2                    15910                1                    127.279999           
5                    32                   2                    17530                2                    70.120003            
5                    113                  2                    17723                1                    141.783997           
5                    116                  2                    31296                2                    125.183998           
6                    42                   2                    17324                1                    138.591995           
6                    43                   2                    15537                1                    124.295998           
6                    54                   2                    16419                2                    65.676003            
6                    55                   2                    12019                0                    inf                  
6                    66                   2                    11920                20                   4.768000             
6                    67                   2                    10894                0                    inf                  
6                    78                   2                    11223                0                    inf                  
6                    79                   2                    12165                0                    inf                  
6                    90                   2                    15035                2                    60.139999            
6                    91                   2                    16877                1                    135.016006           
6                    102                  2                    18302                1                    146.416000           
6                    103                  2                    18899                2                    75.596001            
6                    41                   2                    17589                1                    140.712006           
6                    44                   2                    16896                3                    45.056000            
6                    53                   2                    15593                14                   8.910286             
6                    56                   2                    14710                0                    inf                  
6                    65                   2                    14642                1                    117.136002           
6                    68                   2                    11842                1                    94.736000            
6                    77                   2                    13246                1                    105.968002           
6                    80                   2                    14291                1                    114.328003           
6                    89                   2                    19415                2                    77.660004            
6                    92                   2                    18525                1                    148.199997           
6                    101                  2                    20782                2                    83.127998            
6                    104                  2                    22944                1                    183.552002           
6                    30                   2                    19696                1                    157.567993           
6                    31                   2                    17772                1                    142.175995           
6                    114                  2                    19693                2                    78.772003            
6                    115                  2                    20633                2                    82.531998            
6                    29                   2                    16474                1                    131.792007           
6                    32                   2                    18046                4                    36.091999            
6                    113                  2                    16311                0                    inf                  
6                    116                  2                    29394                2                    117.575996           
7                    42                   2                    18077                1                    144.615997           
7                    43                   2                    18133                22                   6.593818             
7                    54                   2                    18031                0                    inf                  
7                    55                   2                    13790                1                    110.320000           
7                    66                   2                    14498                1                    115.984001           
7                    67                   2                    13110                1                    104.879997           
7                    78                   2                    13919                19                   5.860631             
7                    79                   2                    14266                1                    114.127998           
7                    90                   2                    17593                1                    140.744003           
7                    91                   2                    19074                2                    76.295998            
7                    102                  2                    20442                4                    40.883999            
7                    103                  2                    20881                0                    inf                  
7                    41                   2                    18444                1                    147.552002           
7                    44                   2                    18250                1                    146.000000           
7                    53                   2                    16695                12                   11.130000            
7                    56                   2                    15222                1                    121.776001           
7                    65                   2                    17594                2                    70.375999            
7                    68                   2                    13787                1                    110.295998           
7                    77                   2                    15860                2                    63.439999            
7                    80                   2                    15456                0                    inf                  
7                    89                   2                    23140                3                    61.706665            
7                    92                   2                    20610                1                    164.880005           
7                    101                  2                    24625                2                    98.500000            
7                    104                  2                    24465                2                    97.860001            
7                    30                   2                    21324                1                    170.591995           
7                    31                   2                    20080                2                    80.320000            
7                    114                  2                    23152                2                    92.608002            
7                    115                  2                    22429                0                    inf                  
7                    29                   2                    17864                2                    71.456001            
7                    32                   2                    20212                1                    161.695999           
7                    113                  2                    20454                2                    81.816002            
7                    116                  2                    33118                5                    52.988800            
8                    42                   2                    16986                1                    135.888000           
8                    43                   2                    17279                1                    138.231995           
8                    54                   2                    16322                3                    43.525333            
8                    55                   2                    12764                0                    inf                  
8                    66                   2                    12750                1                    102.000000           
8                    67                   2                    11734                18                   5.215111             
8                    78                   2                    12337                0                    inf                  
8                    79                   2                    12747                1                    101.975998           
8                    90                   2                    15768                2                    63.071999            
8                    91                   2                    17388                1                    139.104004           
8                    102                  2                    19282                2                    77.127998            
8                    103                  2                    19471                1                    155.768005           
8                    41                   2                    18059                3                    48.157333            
8                    44                   2                    17131                0                    inf                  
8                    53                   2                    15701                12                   10.467334            
8                    56                   2                    13784                1                    110.272003           
8                    65                   2                    15181                1                    121.447998           
8                    68                   2                    12168                1                    97.344002            
8                    77                   2                    14375                1                    115.000000           
8                    80                   2                    14312                2                    57.248001            
8                    89                   2                    20521                2                    82.084000            
8                    92                   2                    18468                2                    73.872002            
8                    101                  2                    22349                0                    inf                  
8                    104                  2                    22610                2                    90.440002            
8                    30                   2                    20059                2                    80.236000            
8                    31                   2                    18738                1                    149.904007           
8                    114                  2                    21008                2                    84.031998            
8                    115                  2                    20447                4                    40.894001            
8                    29                   2                    16586                0                    inf                  
8                    32                   2                    19182                0                    inf                  
8                    113                  2                    17526                2                    70.103996            
8                    116                  2                    30850                2                    123.400002           
9                    42                   2                    16600                1                    132.800003           
9                    43                   2                    16925                1                    135.399994           
9                    54                   2                    16150                19                   6.800000             
9                    55                   2                    12621                1                    100.968002           
9                    66                   2                    13163                2                    52.652000            
9                    67                   2                    11786                0                    inf                  
9                    78                   2                    12087                1                    96.695999            
9                    79                   2                    12803                1                    102.424004           
9                    90                   2                    16290                18                   7.240000             
9                    91                   2                    17597                1                    140.776001           
9                    102                  2                    19270                2                    77.080002            
9                    103                  2                    19573                1                    156.584000           
9                    41                   2                    17815                2                    71.260002            
9                    44                   2                    16589                1                    132.712006           
9                    53                   2                    15692                1                    125.536003           
9                    56                   2                    13716                3                    36.576000            
9                    65                   2                    15742                12                   10.494667            
9                    68                   2                    12375                0                    inf                  
9                    77                   2                    14100                2                    56.400002            
9                    80                   2                    14916                1                    119.328003           
9                    89                   2                    20341                1                    162.727997           
9                    92                   2                    19133                2                    76.531998            
9                    101                  2                    22006                4                    44.012001            
9                    104                  2                    22077                0                    inf                  
9                    30                   2                    20200                1                    161.600006           
9                    31                   2                    18481                2                    73.924004            
9                    114                  2                    21553                1                    172.423996           
9                    115                  2                    20701                2                    82.804001            
9                    29                   2                    16753                1                    134.024002           
9                    32                   2                    19752                4                    39.504002            
9                    113                  2                    18656                0                    inf                  
9                    116                  2                    29641                2                    118.564003           
10                   42                   2                    16392                0                    inf                  
10                   43                   2                    16671                1                    133.367996           
10                   54                   2                    16278                2                    65.112000            
10                   55                   2                    12799                1                    102.391998           
10                   66                   2                    12261                18                   5.449333             
10                   67                   2                    11579                2                    46.316002            
10                   78                   2                    11753                0                    inf                  
10                   79                   2                    12176                0                    inf                  
10                   90                   2                    16143                1                    129.143997           
10                   91                   2                    16757                1                    134.056000           
10                   102                  2                    17978                2                    71.912003            
10                   103                  2                    18590                1                    148.720001           
10                   41                   2                    17846                2                    71.384003            
10                   44                   2                    16360                1                    130.880005           
10                   53                   2                    16050                13                   9.876923             
10                   56                   2                    13190                2                    52.759998            
10                   65                   2                    14866                2                    59.464001            
10                   68                   2                    12093                1                    96.744003            
10                   77                   2                    13845                1                    110.760002           
10                   80                   2                    14205                1                    113.639999           
10                   89                   2                    19966                1                    159.727997           
10                   92                   2                    18390                2                    73.559998            
10                   101                  2                    20573                1                    164.584000           
10                   104                  2                    22306                2                    89.223999            
10                   30                   2                    19996                2                    79.984001            
10                   31                   2                    18707                1                    149.656006           
10                   114                  2                    20055                2                    80.220001            
10                   115                  2                    19430                2                    77.720001            
10                   29                   2                    16575                1                    132.600006           
10                   32                   2                    17372                1                    138.975998           
10                   113                  2                    16975                2                    67.900002            
10                   116                  2                    30189                2                    120.755997           
11                   42                   2                    16853                1                    134.824005           
11                   43                   2                    16176                1                    129.408005           
11                   54                   2                    15911                22                   5.785818             
