chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 99                   0.671596             
1                    54                   1                    7786                 4                    15.572000            
1                    55                   1                    6802                 2                    27.208000            
1                    66                   1                    7065                 3                    18.840000            
1                    67                   1                    6421                 94                   0.546468             
1                    78                   1                    6685                 2                    26.740000            
1                    79                   1                    7022                 3                    18.725334            
1                    90                   1                    8056                 3                    21.482666            
1                    91                   1                    8824                 4                    17.648001            
1                    102                  1                    9523                 4                    19.046000            
1                    103                  1                    9260                 3                    24.693333            
1                    41                   1                    9589                 85                   0.902494             
1                    53                   1                    8729                 3                    23.277334            
1                    65                   1                    7901                 3                    21.069334            
1                    77                   1                    7161                 2                    28.643999            
1                    89                   1                    10031                4                    20.062000            
1                    101                  1                    11179                5                    17.886400            
1                    44                   1                    9193                 3                    24.514668            
1                    56                   1                    8446                 4                    16.892000            
1                    68                   1                    6692                 3                    17.845333            
1                    80                   1                    7734                 1                    61.872002            
1                    92                   1                    9166                 4                    18.332001            
1                    104                  1                    11676                16                   5.838000             
1                    114                  1                    10575                52                   1.626923             
1                    115                  1                    10595                4                    21.190001            
1                    113                  1                    8527                 4                    17.054001            
1                    30                   1                    10373                3                    27.661333            
1                    31                   1                    10459                4                    20.917999            
1                    116                  1                    16716                8                    16.716000            
1                    29                   1                    9806                 3                    26.149334            
1                    32                   1                    9779                 4                    19.558001            
1                    40                   1                    8078                 4                    16.156000            
1                    52                   1                    8579                 2                    34.316002            
1                    64                   1                    8345                 4                    16.690001            
1                    76                   1                    10159                4                    20.318001            
1                    88                   1                    10293                3                    27.448000            
1                    100                  1                    10778                5                    17.244801            
1                    112                  1                    10192                5                    16.307199            
1                    28                   1                    9247                 4                    18.493999            
1                    125                  1                    7621                 2                    30.483999            
1                    126                  1                    8487                 3                    22.632000            
1                    127                  1                    8599                 3                    22.930666            
1                    128                  1                    11287                5                    18.059200            
1                    124                  1                    10998                4                    21.996000            
2                    42                   2                    18388                8                    18.388000            
2                    43                   2                    16142                5                    25.827200            
2                    54                   2                    16348                8                    16.348000            
2                    55                   2                    12252                4                    24.504000            
2                    66                   2                    13136                5                    21.017599            
2                    67                   2                    12282                5                    19.651199            
2                    78                   2                    13066                5                    20.905600            
2                    79                   2                    13819                6                    18.425333            
2                    90                   2                    16458                6                    21.944000            
2                    91                   2                    18412                7                    21.042286            
2                    102                  2                    20617                8                    20.617001            
2                    103                  2                    19923                8                    19.923000            
2                    41                   2                    18985                9                    16.875555            
2                    53                   2                    16749                5                    26.798401            
2                    65                   2                    16432                7                    18.779428            
2                    77                   2                    14863                5                    23.780800            
2                    89                   2                    22223                9                    19.753778            
2                    101                  2                    23875                11                   17.363636            
2                    44                   2                    17434                5                    27.894400            
2                    56                   2                    15123                6                    20.164000            
2                    68                   2                    13383                5                    21.412800            
2                    80                   2                    15893                6                    21.190666            
2                    92                   2                    20343                9                    18.082666            
2                    104                  2                    24477                10                   19.581600            
2                    114                  2                    22949                8                    22.948999            
2                    115                  2                    23325                10                   18.660000            
2                    113                  2                    19184                7                    21.924572            
2                    116                  2                    35064                13                   21.577847            
1                    45                   1                    8606                 4                    17.212000            
1                    57                   1                    7227                 3                    19.271999            
