chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 26                   2.834154             
1                    43                   1                    8311                 32                   2.077750             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 17                   3.200941             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 22                   2.334909             
1                    78                   1                    6685                 16                   3.342500             
1                    79                   1                    7022                 18                   3.120889             
1                    90                   1                    8056                 22                   2.929455             
1                    91                   1                    8824                 21                   3.361524             
1                    102                  1                    9523                 26                   2.930154             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 27                   2.841185             
1                    53                   1                    8729                 23                   3.036174             
1                    65                   1                    7901                 20                   3.160400             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                27                   2.972148             
1                    101                  1                    11179                28                   3.194000             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 23                   2.937739             
1                    68                   1                    6692                 18                   2.974222             
1                    80                   1                    7734                 18                   3.437333             
1                    92                   1                    9166                 27                   2.715852             
1                    104                  1                    11676                29                   3.220966             
1                    30                   1                    10373                27                   3.073482             
1                    31                   1                    10459                25                   3.346880             
1                    29                   1                    9806                 25                   3.137920             
1                    32                   1                    9779                 26                   3.008923             
1                    114                  1                    10575                30                   2.820000             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    116                  1                    16716                44                   3.039273             
1                    17                   1                    9794                 23                   3.406609             
1                    18                   1                    9508                 26                   2.925539             
1                    19                   1                    10043                25                   3.213760             
1                    20                   1                    9541                 27                   2.826963             
1                    28                   1                    9247                 22                   3.362545             
1                    40                   1                    8078                 22                   2.937454             
1                    52                   1                    8579                 22                   3.119636             
1                    64                   1                    8345                 22                   3.034545             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                27                   3.049778             
1                    100                  1                    10778                28                   3.079429             
1                    112                  1                    10192                27                   3.019852             
1                    16                   1                    8787                 22                   3.195273             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 21                   3.016381             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 18                   2.792000             
2                    66                   1                    6358                 16                   3.179000             
2                    67                   1                    5940                 14                   3.394286             
2                    78                   1                    6307                 18                   2.803111             
2                    79                   1                    6744                 19                   2.839579             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 22                   3.125818             
2                    102                  1                    9522                 26                   2.929846             
2                    103                  1                    9236                 22                   3.358546             
2                    41                   1                    9350                 26                   2.876923             
2                    53                   1                    8484                 23                   2.950957             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                30                   2.831733             
2                    101                  1                    11599                29                   3.199724             
2                    30                   1                    10147                26                   3.122154             
2                    31                   1                    9999                 28                   2.856857             
2                    44                   1                    9069                 21                   3.454857             
2                    56                   1                    8196                 21                   3.122286             
2                    68                   1                    6444                 19                   2.713263             
2                    80                   1                    7856                 18                   3.491555             
2                    92                   1                    9504                 26                   2.924308             
2                    104                  1                    11780                30                   3.141333             
2                    29                   1                    9803                 27                   2.904593             
2                    32                   1                    9461                 24                   3.153667             
2                    114                  1                    11027                27                   3.267259             
2                    115                  1                    10923                29                   3.013241             
2                    113                  1                    9083                 22                   3.302909             
2                    116                  1                    17572                48                   2.928667             
2                    17                   1                    9723                 22                   3.535636             
2                    18                   1                    9079                 27                   2.690074             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 21                   3.299048             
2                    28                   1                    8787                 22                   3.195273             
2                    40                   1                    8164                 23                   2.839652             
2                    52                   1                    8119                 22                   2.952364             
2                    64                   1                    8303                 18                   3.690222             
2                    76                   1                    10965                30                   2.924000             
2                    88                   1                    12072                34                   2.840471             
2                    100                  1                    11317                29                   3.121931             
2                    112                  1                    10677                26                   3.285231             
2                    16                   1                    9250                 22                   3.363636             
2                    5                    1                    8259                 22                   3.003273             
2                    6                    1                    9517                 26                   2.928308             
2                    7                    1                    8556                 23                   2.976000             
2                    8                    1                    9143                 21                   3.483048             
2                    4                    1                    7266                 19                   3.059368             
3                    30                   1                    9973                 26                   3.068615             
3                    31                   1                    9806                 25                   3.137920             
3                    42                   1                    8771                 23                   3.050783             
3                    43                   1                    7925                 21                   3.019048             
3                    54                   1                    7812                 22                   2.840727             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 19                   2.847579             
3                    67                   1                    6128                 15                   3.268267             
3                    78                   1                    6077                 18                   2.700889             
3                    79                   1                    6585                 15                   3.512000             
3                    90                   1                    8194                 22                   2.979636             
3                    91                   1                    8808                 23                   3.063652             
3                    29                   1                    9510                 25                   3.043200             
3                    41                   1                    9365                 22                   3.405455             
3                    53                   1                    8757                 26                   2.694462             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 18                   3.253333             
3                    89                   1                    10639                30                   2.837067             
3                    18                   1                    9023                 22                   3.281091             
3                    19                   1                    10330                26                   3.178462             
3                    32                   1                    10252                26                   3.154462             
3                    44                   1                    9295                 26                   2.860000             
3                    56                   1                    8308                 23                   2.889739             
3                    68                   1                    6727                 18                   2.989778             
3                    80                   1                    7890                 17                   3.712941             
3                    92                   1                    9459                 26                   2.910461             
3                    17                   1                    9542                 22                   3.469818             
3                    20                   1                    9210                 26                   2.833846             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 26                   2.836308             
3                    101                  1                    11311                30                   3.016267             
3                    104                  1                    11117                28                   3.176286             
3                    16                   1                    9390                 23                   3.266087             
3                    28                   1                    8315                 22                   3.023636             
3                    40                   1                    7771                 22                   2.825818             
3                    52                   1                    8007                 18                   3.558667             
3                    64                   1                    8720                 22                   3.170909             
3                    76                   1                    10998                31                   2.838194             
3                    88                   1                    11465                29                   3.162759             
3                    100                  1                    11409                30                   3.042400             
3                    5                    1                    8834                 21                   3.365333             
3                    6                    1                    9691                 27                   2.871408             
3                    7                    1                    9039                 22                   3.286909             
3                    8                    1                    8122                 20                   3.248800             
3                    4                    1                    7262                 19                   3.057684             
2                    21                   1                    7679                 22                   2.792364             
2                    33                   1                    9501                 22                   3.454909             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 19                   3.006737             
2                    69                   1                    7452                 22                   2.709818             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                33                   2.859394             
2                    105                  1                    14908                36                   3.312889             
2                    9                    1                    8134                 23                   2.829217             
3                    21                   1                    8400                 22                   3.054545             
3                    33                   1                    9286                 22                   3.376727             
3                    45                   1                    8606                 22                   3.129455             
3                    57                   1                    7630                 22                   2.774545             
3                    69                   1                    8038                 18                   3.572444             
3                    81                   1                    9771                 26                   3.006462             
3                    93                   1                    11393                30                   3.038133             
3                    105                  1                    13795                37                   2.982703             
3                    9                    1                    8278                 23                   2.879304             
3                    1                    1                    8312                 17                   3.911529             
3                    2                    1                    8582                 23                   2.985044             
3                    12                   1                    6264                 18                   2.784000             
3                    3                    1                    8874                 24                   2.958000             
3                    11                   1                    5610                 13                   3.452308             
2                    1                    1                    9129                 26                   2.808923             
2                    2                    1                    8730                 22                   3.174546             
2                    12                   1                    8234                 19                   3.466947             
2                    3                    1                    8176                 22                   2.973091             
2                    11                   1                    7735                 22                   2.812727             
3                    10                   1                    7508                 19                   3.161263             
3                    22                   1                    9397                 25                   3.007040             
3                    34                   1                    9756                 24                   3.252000             
3                    46                   1                    7545                 22                   2.743636             
3                    58                   1                    7583                 17                   3.568470             
3                    70                   1                    8850                 22                   3.218182             
3                    82                   1                    10761                30                   2.869600             
3                    94                   1                    14092                37                   3.046919             
3                    13                   1                    7598                 18                   3.376889             
3                    14                   1                    9061                 23                   3.151652             
3                    15                   1                    7794                 21                   2.969143             
3                    24                   1                    6747                 19                   2.840842             
3                    23                   1                    7047                 17                   3.316235             
4                    6                    1                    9020                 23                   3.137391             
4                    7                    1                    8582                 22                   3.120727             
4                    8                    1                    8718                 22                   3.170182             
4                    18                   1                    9370                 26                   2.883077             
4                    19                   1                    10339                26                   3.181231             
4                    20                   1                    9440                 25                   3.020800             
4                    30                   1                    10009                26                   3.079692             
4                    31                   1                    10127                26                   3.116000             
4                    32                   1                    9806                 26                   3.017231             
4                    42                   1                    8797                 21                   3.351238             
4                    43                   1                    7845                 19                   3.303158             
4                    44                   1                    9146                 25                   2.926720             
4                    54                   1                    7762                 20                   3.104800             
4                    55                   1                    6580                 17                   3.096471             
4                    56                   1                    8022                 19                   3.377684             
4                    66                   1                    6356                 18                   2.824889             
4                    67                   1                    5901                 15                   3.147200             
4                    68                   1                    6140                 15                   3.274667             
4                    78                   1                    6125                 18                   2.722222             
4                    79                   1                    6756                 19                   2.844632             
4                    80                   1                    7625                 19                   3.210526             
4                    9                    1                    7676                 18                   3.411556             
4                    21                   1                    8199                 22                   2.981455             
4                    33                   1                    9472                 26                   2.914462             
4                    45                   1                    8201                 19                   3.453053             
4                    57                   1                    7287                 23                   2.534609             
4                    69                   1                    7379                 17                   3.472471             
4                    1                    1                    8763                 23                   3.048000             
4                    2                    1                    8157                 22                   2.966182             
4                    12                   1                    5948                 14                   3.398857             
4                    5                    1                    8304                 22                   3.019636             
4                    17                   1                    9150                 23                   3.182609             
4                    29                   1                    9602                 25                   3.072640             
4                    41                   1                    9468                 26                   2.913231             
4                    53                   1                    8644                 22                   3.143273             
4                    65                   1                    7721                 19                   3.250947             
4                    77                   1                    7365                 18                   3.273333             
4                    90                   1                    8044                 22                   2.925091             
4                    91                   1                    8661                 24                   2.887000             
