chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 22                   3.349455             
1                    43                   1                    8311                 18                   3.693778             
1                    54                   1                    7786                 15                   4.152534             
1                    55                   1                    6802                 16                   3.401000             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 15                   3.424533             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 14                   4.012571             
1                    90                   1                    8056                 15                   4.296533             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 19                   4.009684             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 19                   3.675368             
1                    65                   1                    7901                 15                   4.213867             
1                    77                   1                    7161                 19                   3.015158             
1                    89                   1                    10031                22                   3.647636             
1                    101                  1                    11179                23                   3.888348             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 15                   3.569067             
1                    80                   1                    7734                 15                   4.124800             
1                    92                   1                    9166                 19                   3.859368             
1                    104                  1                    11676                30                   3.113600             
1                    114                  1                    10575                32                   2.643750             
1                    115                  1                    10595                19                   4.461052             
1                    113                  1                    8527                 21                   3.248381             
1                    30                   1                    10373                20                   4.149200             
1                    31                   1                    10459                24                   3.486333             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 20                   3.922400             
1                    32                   1                    9779                 24                   3.259667             
1                    45                   1                    8606                 16                   4.303000             
1                    57                   1                    7227                 13                   4.447385             
1                    69                   1                    7469                 15                   3.983467             
1                    81                   1                    9442                 23                   3.284174             
1                    93                   1                    10978                22                   3.992000             
1                    105                  1                    14274                36                   3.172000             
1                    33                   1                    9877                 24                   3.292333             
1                    117                  1                    16627                41                   3.244293             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 19                   3.333895             
2                    44                   1                    9069                 19                   3.818526             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 11                   4.568727             
2                    56                   1                    8196                 19                   3.450947             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 11                   4.320000             
2                    68                   1                    6444                 11                   4.686545             
2                    78                   1                    6307                 14                   3.604000             
2                    79                   1                    6744                 14                   3.853714             
2                    80                   1                    7856                 16                   3.928000             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 19                   3.619368             
2                    92                   1                    9504                 22                   3.456000             
2                    102                  1                    9522                 19                   4.009263             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                26                   3.624615             
2                    30                   1                    10147                23                   3.529391             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 23                   3.290783             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 19                   3.572211             
2                    65                   1                    7543                 15                   4.022933             
2                    77                   1                    7220                 14                   4.125714             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                26                   3.568923             
2                    114                  1                    11027                22                   4.009818             
