chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 22                   3.208727             
1                    90                   1                    8056                 15                   4.296533             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 15                   3.565333             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 16                   3.532500             
1                    55                   1                    6802                 14                   3.886857             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 18                   3.693778             
1                    42                   1                    9211                 18                   4.093778             
1                    103                  1                    9260                 22                   3.367273             
1                    44                   1                    9193                 18                   4.085778             
1                    102                  1                    9523                 22                   3.462909             
1                    92                   1                    9166                 22                   3.333091             
1                    80                   1                    7734                 13                   4.759385             
1                    68                   1                    6692                 15                   3.569067             
1                    56                   1                    8446                 18                   3.753778             
1                    101                  1                    11179                26                   3.439692             
1                    104                  1                    11676                26                   3.592615             
1                    77                   1                    7161                 15                   3.819200             
1                    53                   1                    8729                 18                   3.879555             
1                    41                   1                    9589                 23                   3.335304             
1                    89                   1                    10031                22                   3.647636             
1                    65                   1                    7901                 15                   4.213867             
1                    113                  1                    8527                 20                   3.410800             
1                    115                  1                    10595                25                   3.390400             
1                    114                  1                    10575                22                   3.845454             
1                    31                   1                    10459                26                   3.218154             
1                    32                   1                    9779                 21                   3.725333             
1                    116                  1                    16716                36                   3.714667             
1                    29                   1                    9806                 22                   3.565818             
1                    30                   1                    10373                23                   3.608000             
1                    117                  1                    16627                42                   3.167048             
1                    33                   1                    9877                 22                   3.591636             
1                    93                   1                    10978                25                   3.512960             
1                    81                   1                    9442                 17                   4.443294             
1                    69                   1                    7469                 19                   3.144842             
1                    57                   1                    7227                 15                   3.854400             
2                    57                   1                    7141                 14                   4.080572             
2                    116                  1                    17572                40                   3.514400             
2                    115                  1                    10923                26                   3.360923             
2                    114                  1                    11027                22                   4.009818             
2                    45                   1                    8640                 22                   3.141818             
2                    105                  1                    14908                33                   3.614061             
2                    113                  1                    9083                 18                   4.036889             
2                    69                   1                    7452                 17                   3.506824             
1                    45                   1                    8606                 18                   3.824889             
1                    105                  1                    14274                33                   3.460364             
2                    29                   1                    9803                 22                   3.564727             
2                    89                   1                    10619                22                   3.861454             
2                    77                   1                    7220                 14                   4.125714             
2                    65                   1                    7543                 20                   3.017200             
2                    53                   1                    8484                 15                   4.524800             
2                    101                  1                    11599                29                   3.199724             
2                    32                   1                    9461                 18                   4.204889             
2                    31                   1                    9999                 22                   3.636000             
2                    30                   1                    10147                22                   3.689818             
2                    92                   1                    9504                 22                   3.456000             
2                    80                   1                    7856                 18                   3.491555             
2                    68                   1                    6444                 11                   4.686545             
2                    56                   1                    8196                 17                   3.856941             
2                    44                   1                    9069                 18                   4.030667             
2                    104                  1                    11780                29                   3.249655             
2                    91                   1                    8596                 18                   3.820444             
2                    90                   1                    7843                 16                   3.921500             
2                    79                   1                    6744                 14                   3.853714             
2                    78                   1                    6307                 15                   3.363733             
2                    67                   1                    5940                 11                   4.320000             
2                    66                   1                    6358                 11                   4.624000             
2                    55                   1                    6282                 14                   3.589714             
2                    54                   1                    7607                 15                   4.057066             
2                    43                   1                    7918                 17                   3.726118             
2                    42                   1                    8862                 18                   3.938667             
2                    103                  1                    9236                 22                   3.358546             
2                    102                  1                    9522                 18                   4.232000             
2                    81                   1                    9611                 22                   3.494909             
2                    41                   1                    9350                 22                   3.400000             
2                    117                  1                    18144                40                   3.628800             
2                    33                   1                    9501                 22                   3.454909             
2                    93                   1                    11795                26                   3.629231             
3                    116                  1                    14884                37                   3.218162             
3                    113                  1                    9056                 18                   4.024889             
3                    32                   1                    10252                22                   3.728000             
3                    29                   1                    9510                 22                   3.458182             
3                    115                  1                    10291                22                   3.742182             
3                    114                  1                    10810                26                   3.326154             
3                    31                   1                    9806                 23                   3.410783             
3                    30                   1                    9973                 22                   3.626545             
3                    92                   1                    9459                 17                   4.451294             
3                    80                   1                    7890                 18                   3.506667             
3                    44                   1                    9295                 22                   3.380000             
3                    68                   1                    6727                 11                   4.892364             
3                    56                   1                    8308                 18                   3.692445             
3                    104                  1                    11117                26                   3.420615             
3                    41                   1                    9365                 22                   3.405455             
3                    40                   1                    7771                 16                   3.885500             
3                    64                   1                    8720                 18                   3.875556             
3                    52                   1                    8007                 18                   3.558667             
3                    100                  1                    11409                26                   3.510462             
3                    76                   1                    10998                26                   3.384000             
3                    89                   1                    10639                22                   3.868727             
3                    77                   1                    7320                 15                   3.904000             
3                    65                   1                    7769                 19                   3.271158             
3                    53                   1                    8757                 19                   3.687158             
