chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 1                    73.688004            
1                    43                   1                    8311                 102                  0.651843             
1                    54                   1                    7786                 0                    inf                  
1                    55                   1                    6802                 0                    inf                  
1                    66                   1                    7065                 1                    56.520000            
1                    67                   1                    6421                 101                  0.508594             
1                    78                   1                    6685                 0                    inf                  
1                    79                   1                    7022                 1                    56.175999            
1                    90                   1                    8056                 1                    64.447998            
1                    91                   1                    8824                 0                    inf                  
1                    102                  1                    9523                 1                    76.183998            
1                    103                  1                    9260                 2                    37.040001            
1                    41                   1                    9589                 97                   0.790845             
1                    53                   1                    8729                 1                    69.832001            
1                    65                   1                    7901                 0                    inf                  
1                    77                   1                    7161                 2                    28.643999            
1                    89                   1                    10031                0                    inf                  
1                    101                  1                    11179                1                    89.431999            
1                    44                   1                    9193                 1                    73.543999            
1                    56                   1                    8446                 0                    inf                  
1                    68                   1                    6692                 1                    53.535999            
1                    80                   1                    7734                 0                    inf                  
1                    92                   1                    9166                 1                    73.328003            
1                    104                  1                    11676                1                    93.407997            
1                    30                   1                    10373                93                   0.892301             
1                    31                   1                    10459                0                    inf                  
1                    29                   1                    9806                 1                    78.447998            
1                    32                   1                    9779                 1                    78.232002            
1                    114                  1                    10575                1                    84.599998            
1                    115                  1                    10595                2                    42.380001            
1                    113                  1                    8527                 0                    inf                  
1                    116                  1                    16716                1                    133.727997           
1                    17                   1                    9794                 1                    78.351997            
1                    18                   1                    9508                 1                    76.064003            
1                    19                   1                    10043                1                    80.344002            
1                    20                   1                    9541                 1                    76.328003            
1                    28                   1                    9247                 0                    inf                  
1                    40                   1                    8078                 0                    inf                  
1                    52                   1                    8579                 1                    68.632004            
1                    64                   1                    8345                 1                    66.760002            
1                    76                   1                    10159                0                    inf                  
1                    88                   1                    10293                1                    82.344002            
1                    100                  1                    10778                2                    43.112000            
1                    112                  1                    10192                1                    81.536003            
1                    16                   1                    8787                 0                    inf                  
2                    42                   2                    18388                1                    147.104004           
2                    43                   2                    16142                1                    129.136002           
2                    54                   2                    16348                2                    65.391998            
2                    55                   2                    12252                1                    98.015999            
2                    66                   2                    13136                1                    105.087997           
2                    67                   2                    12282                2                    49.127998            
2                    78                   2                    13066                1                    104.528000           
2                    79                   2                    13819                1                    110.552002           
2                    90                   2                    16458                1                    131.664001           
2                    91                   2                    18412                1                    147.296005           
2                    102                  2                    20617                1                    164.936005           
2                    103                  2                    19923                2                    79.692001            
2                    41                   2                    18985                1                    151.880005           
2                    53                   2                    16749                87                   1.540138             
2                    65                   2                    16432                2                    65.727997            
2                    77                   2                    14863                1                    118.903999           
2                    89                   2                    22223                2                    88.891998            
2                    101                  2                    23875                3                    63.666668            
2                    44                   2                    17434                0                    inf                  
2                    56                   2                    15123                1                    120.984001           
2                    68                   2                    13383                2                    53.532001            
2                    80                   2                    15893                0                    inf                  
2                    92                   2                    20343                2                    81.372002            
2                    104                  2                    24477                2                    97.907997            
2                    30                   2                    19913                3                    53.101334            
2                    31                   2                    18811                0                    inf                  
2                    29                   2                    19161                2                    76.643997            
2                    32                   2                    18176                1                    145.408005           
2                    114                  2                    22949                3                    61.197334            
2                    115                  2                    23325                1                    186.600006           
2                    113                  2                    19184                1                    153.472000           
2                    116                  2                    35064                2                    140.255997           
2                    17                   2                    18651                2                    74.603996            
2                    18                   2                    17361                2                    69.444000            
2                    19                   2                    19103                1                    152.824005           
2                    20                   2                    14908                69                   1.728464             
2                    28                   2                    16915                1                    135.320007           
2                    40                   2                    15061                3                    40.162666            
2                    52                   2                    14954                0                    inf                  
2                    64                   2                    17257                1                    138.056000           
2                    76                   2                    22201                2                    88.804001            
2                    88                   2                    24715                2                    98.860001            
2                    100                  2                    22610                2                    90.440002            
2                    112                  2                    21572                1                    172.576004           
2                    16                   2                    18442                2                    73.767998            
2                    5                    2                    12826                2                    51.304001            
2                    6                    2                    15026                0                    inf                  
2                    7                    2                    13094                1                    104.751999           
2                    8                    2                    14666                1                    117.328003           
2                    4                    2                    11044                98                   0.901551             
3                    30                   2                    19523                1                    156.184006           
3                    31                   2                    17921                2                    71.683998            
3                    42                   2                    17801                1                    142.408005           
3                    43                   2                    15742                2                    62.967999            
3                    54                   2                    16402                1                    131.216003           
3                    55                   2                    12661                0                    inf                  
3                    66                   2                    13554                1                    108.431999           
3                    67                   2                    12026                1                    96.208000            
