chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 27                   2.729185             
1                    43                   1                    8311                 22                   3.022182             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 18                   3.023111             
1                    66                   1                    7065                 19                   2.974737             
1                    67                   1                    6421                 18                   2.853778             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 18                   3.120889             
1                    90                   1                    8056                 22                   2.929455             
1                    91                   1                    8824                 23                   3.069217             
1                    102                  1                    9523                 25                   3.047360             
1                    103                  1                    9260                 23                   3.220870             
1                    41                   1                    9589                 25                   3.068480             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 23                   2.748174             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                26                   3.086462             
1                    101                  1                    11179                30                   2.981067             
1                    44                   1                    9193                 23                   3.197565             
1                    56                   1                    8446                 21                   3.217524             
1                    68                   1                    6692                 17                   3.149176             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 26                   2.820308             
1                    104                  1                    11676                30                   3.113600             
1                    30                   1                    10373                26                   3.191692             
1                    31                   1                    10459                25                   3.346880             
1                    29                   1                    9806                 26                   3.017231             
1                    32                   1                    9779                 25                   3.129280             
1                    114                  1                    10575                30                   2.820000             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 22                   3.100727             
1                    116                  1                    16716                45                   2.971733             
1                    17                   1                    9794                 22                   3.561455             
1                    18                   1                    9508                 26                   2.925539             
1                    19                   1                    10043                25                   3.213760             
1                    20                   1                    9541                 26                   2.935692             
1                    28                   1                    9247                 23                   3.216348             
1                    40                   1                    8078                 23                   2.809739             
1                    52                   1                    8579                 21                   3.268190             
1                    64                   1                    8345                 21                   3.179048             
1                    76                   1                    10159                26                   3.125846             
1                    88                   1                    10293                26                   3.167077             
1                    100                  1                    10778                30                   2.874133             
1                    112                  1                    10192                25                   3.261440             
1                    16                   1                    8787                 19                   3.699790             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 18                   3.519111             
2                    54                   1                    7607                 21                   2.897905             
2                    55                   1                    6282                 15                   3.350400             
2                    66                   1                    6358                 18                   2.825778             
2                    67                   1                    5940                 15                   3.168000             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 18                   2.997333             
2                    90                   1                    7843                 22                   2.852000             
2                    91                   1                    8596                 23                   2.989913             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 26                   2.841846             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 22                   3.085091             
2                    65                   1                    7543                 23                   2.623652             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                26                   3.267385             
2                    101                  1                    11599                29                   3.199724             
2                    44                   1                    9069                 26                   2.790462             
2                    56                   1                    8196                 18                   3.642667             
2                    68                   1                    6444                 19                   2.713263             
2                    80                   1                    7856                 18                   3.491555             
2                    92                   1                    9504                 26                   2.924308             
2                    104                  1                    11780                29                   3.249655             
2                    30                   1                    10147                30                   2.705867             
2                    31                   1                    9999                 26                   3.076615             
2                    29                   1                    9803                 22                   3.564727             
2                    32                   1                    9461                 26                   2.911077             
2                    114                  1                    11027                29                   3.041931             
2                    115                  1                    10923                26                   3.360923             
2                    113                  1                    9083                 26                   2.794769             
2                    116                  1                    17572                44                   3.194909             
2                    17                   1                    9723                 26                   2.991692             
2                    18                   1                    9079                 23                   3.157913             
2                    19                   1                    10070                26                   3.098462             
2                    20                   1                    8660                 22                   3.149091             
2                    28                   1                    8787                 26                   2.703692             
2                    40                   1                    8164                 19                   3.437474             
2                    52                   1                    8119                 21                   3.092952             
2                    64                   1                    8303                 22                   3.019273             
2                    76                   1                    10965                30                   2.924000             
2                    88                   1                    12072                31                   3.115355             
2                    100                  1                    11317                28                   3.233428             
2                    112                  1                    10677                26                   3.285231             
