chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 12                   6.140666             
1                    43                   1                    8311                 12                   5.540667             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 9                    5.707556             
1                    78                   1                    6685                 8                    6.685000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 11                   5.858909             
1                    91                   1                    8824                 11                   6.417455             
1                    102                  1                    9523                 13                   5.860308             
1                    103                  1                    9260                 11                   6.734545             
1                    41                   1                    9589                 13                   5.900923             
1                    53                   1                    8729                 11                   6.348363             
1                    65                   1                    7901                 11                   5.746182             
1                    77                   1                    7161                 10                   5.728800             
1                    89                   1                    10031                12                   6.687333             
1                    101                  1                    11179                15                   5.962133             
1                    44                   1                    9193                 11                   6.685818             
1                    56                   1                    8446                 11                   6.142545             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 14                   5.237714             
1                    104                  1                    11676                14                   6.672000             
1                    114                  1                    10575                13                   6.507692             
1                    115                  1                    10595                14                   6.054286             
1                    113                  1                    8527                 11                   6.201455             
1                    30                   1                    10373                13                   6.383385             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                22                   6.078546             
1                    29                   1                    9806                 13                   6.034461             
1                    32                   1                    9779                 14                   5.588000             
1                    40                   1                    8078                 8                    8.078000             
1                    52                   1                    8579                 11                   6.239273             
1                    64                   1                    8345                 12                   5.563334             
1                    76                   1                    10159                13                   6.251692             
1                    88                   1                    10293                12                   6.862000             
1                    100                  1                    10778                15                   5.748267             
1                    112                  1                    10192                13                   6.272000             
1                    28                   1                    9247                 13                   5.690462             
1                    125                  1                    7621                 9                    6.774222             
1                    126                  1                    8487                 12                   5.658000             
1                    127                  1                    8599                 10                   6.879200             
1                    128                  1                    11287                15                   6.019733             
1                    124                  1                    10998                13                   6.768000             
1                    45                   1                    8606                 11                   6.258909             
1                    57                   1                    7227                 9                    6.424000             
1                    69                   1                    7469                 9                    6.639111             
1                    81                   1                    9442                 13                   5.810462             
1                    93                   1                    10978                13                   6.755692             
1                    105                  1                    14274                19                   6.010105             
1                    117                  1                    16627                22                   6.046182             
1                    33                   1                    9877                 13                   6.078154             
1                    129                  1                    10865                13                   6.686154             
2                    42                   1                    8862                 13                   5.453538             
2                    43                   1                    7918                 9                    7.038222             
2                    54                   1                    7607                 9                    6.761778             
2                    55                   1                    6282                 9                    5.584000             
2                    66                   1                    6358                 8                    6.358000             
2                    67                   1                    5940                 9                    5.280000             
2                    78                   1                    6307                 7                    7.208000             
2                    79                   1                    6744                 10                   5.395200             
2                    90                   1                    7843                 10                   6.274400             
2                    91                   1                    8596                 10                   6.876800             
2                    102                  1                    9522                 13                   5.859692             
