chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 4                    18.422001            
1                    43                   1                    8311                 3                    22.162666            
1                    54                   1                    7786                 3                    20.762667            
1                    55                   1                    6802                 3                    18.138666            
1                    66                   1                    7065                 3                    18.840000            
1                    67                   1                    6421                 2                    25.684000            
1                    78                   1                    6685                 3                    17.826666            
1                    79                   1                    7022                 2                    28.087999            
1                    90                   1                    8056                 4                    16.112000            
1                    91                   1                    8824                 3                    23.530666            
1                    102                  1                    9523                 4                    19.046000            
1                    103                  1                    9260                 4                    18.520000            
1                    41                   1                    9589                 3                    25.570667            
1                    53                   1                    8729                 4                    17.458000            
1                    65                   1                    7901                 2                    31.604000            
1                    77                   1                    7161                 3                    19.096001            
1                    89                   1                    10031                4                    20.062000            
1                    101                  1                    11179                4                    22.358000            
1                    44                   1                    9193                 5                    14.708800            
1                    56                   1                    8446                 2                    33.784000            
1                    68                   1                    6692                 3                    17.845333            
1                    80                   1                    7734                 3                    20.624001            
1                    92                   1                    9166                 4                    18.332001            
1                    104                  1                    11676                4                    23.351999            
1                    114                  1                    10575                4                    21.150000            
1                    115                  1                    10595                6                    14.126667            
1                    113                  1                    8527                 2                    34.108002            
1                    30                   1                    10373                4                    20.746000            
1                    31                   1                    10459                4                    20.917999            
1                    116                  1                    16716                8                    16.716000            
1                    29                   1                    9806                 3                    26.149334            
1                    32                   1                    9779                 4                    19.558001            
1                    40                   1                    8078                 1                    64.624001            
1                    52                   1                    8579                 4                    17.158001            
1                    64                   1                    8345                 4                    16.690001            
1                    76                   1                    10159                3                    27.090666            
1                    88                   1                    10293                4                    20.586000            
1                    100                  1                    10778                5                    17.244801            
1                    112                  1                    10192                4                    20.384001            
1                    28                   1                    9247                 4                    18.493999            
1                    125                  1                    7621                 2                    30.483999            
1                    126                  1                    8487                 4                    16.974001            
1                    127                  1                    8599                 3                    22.930666            
1                    128                  1                    11287                4                    22.573999            
1                    124                  1                    10998                3                    29.327999            
2                    42                   2                    18388                6                    24.517334            
2                    43                   2                    16142                6                    21.522667            
2                    54                   2                    16348                7                    18.683428            
2                    55                   2                    12252                4                    24.504000            
2                    66                   2                    13136                6                    17.514668            
2                    67                   2                    12282                5                    19.651199            
2                    78                   2                    13066                5                    20.905600            
2                    79                   2                    13819                5                    22.110399            
2                    90                   2                    16458                6                    21.944000            
2                    91                   2                    18412                8                    18.412001            
2                    102                  2                    20617                8                    20.617001            
2                    103                  2                    19923                8                    19.923000            
