chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    17                   1                    2029                 4                    4.058000             
1                    18                   1                    2006                 2                    8.024000             
1                    19                   1                    1933                 2                    7.732000             
1                    20                   1                    1260                 0                    inf                  
1                    29                   1                    1611                 2                    6.444000             
1                    30                   1                    1597                 0                    inf                  
1                    31                   1                    1265                 3                    3.373333             
1                    32                   1                    1592                 2                    6.368000             
1                    41                   1                    1531                 2                    6.124000             
1                    42                   1                    1423                 2                    5.692000             
1                    43                   1                    1290                 1                    10.320000            
1                    44                   1                    1391                 2                    5.564000             
1                    53                   1                    1279                 2                    5.116000             
1                    54                   1                    1440                 0                    inf                  
1                    55                   1                    1401                 2                    5.604000             
1                    56                   1                    1409                 1                    11.272000            
1                    65                   1                    1360                 2                    5.440000             
1                    66                   1                    1345                 2                    5.380000             
1                    67                   1                    1280                 2                    5.120000             
1                    68                   1                    1274                 1                    10.192000            
1                    77                   1                    1354                 2                    5.416000             
1                    78                   1                    1422                 2                    5.688000             
1                    79                   1                    1403                 0                    inf                  
1                    80                   1                    1425                 2                    5.700000             
1                    89                   1                    1455                 2                    5.820000             
1                    90                   1                    1298                 0                    inf                  
1                    91                   1                    1337                 1                    10.696000            
1                    92                   1                    1373                 2                    5.492000             
1                    101                  1                    1583                 0                    inf                  
1                    102                  1                    1395                 3                    3.720000             
1                    103                  1                    1352                 2                    5.408000             
1                    104                  1                    1480                 3                    3.946667             
1                    113                  1                    1470                 2                    5.880000             
1                    114                  1                    1596                 0                    inf                  
1                    115                  1                    1510                 2                    6.040000             
1                    116                  1                    1624                 1                    12.992000            
1                    125                  1                    1343                 2                    5.372000             
1                    126                  1                    1410                 0                    inf                  
1                    127                  1                    1341                 2                    5.364000             
1                    128                  1                    1595                 0                    inf                  
1                    21                   1                    1300                 3                    3.466667             
1                    33                   1                    1183                 0                    inf                  
1                    45                   1                    1217                 2                    4.868000             
1                    57                   1                    1200                 0                    inf                  
1                    69                   1                    1251                 2                    5.004000             
1                    81                   1                    1554                 5                    2.486400             
1                    93                   1                    1619                 2                    6.476000             
1                    105                  1                    1621                 2                    6.484000             
1                    117                  1                    1514                 0                    inf                  
1                    129                  1                    1745                 2                    6.980000             
1                    137                  1                    1335                 2                    5.340000             
1                    138                  1                    1471                 2                    5.884000             
1                    139                  1                    1658                 2                    6.632000             
1                    140                  1                    1566                 2                    6.264000             
1                    16                   1                    1822                 2                    7.288000             
1                    28                   1                    1770                 2                    7.080000             
1                    40                   1                    1289                 2                    5.156000             
1                    52                   1                    1448                 0                    inf                  
1                    64                   1                    1365                 2                    5.460000             
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 2                    6.200000             
1                    100                  1                    1488                 2                    5.952000             
1                    112                  1                    1500                 2                    6.000000             
1                    124                  1                    1569                 0                    inf                  
1                    141                  1                    1574                 2                    6.296000             
1                    136                  1                    1511                 2                    6.044000             
1                    5                    1                    1451                 2                    5.804000             
1                    6                    1                    1475                 1                    11.800000            
1                    7                    1                    1259                 2                    5.036000             
1                    8                    1                    1468                 0                    inf                  
1                    9                    1                    1546                 2                    6.184000             
1                    4                    1                    1285                 3                    3.426667             
2                    28                   1                    1126                 3                    3.002667             
2                    29                   1                    843                  0                    inf                  
2                    30                   1                    985                  0                    inf                  
2                    31                   1                    648                  2                    2.592000             
2                    32                   1                    937                  2                    3.748000             
2                    33                   1                    676                  1                    5.408000             
2                    34                   1                    654                  2                    2.616000             
2                    40                   1                    668                  0                    inf                  
2                    41                   1                    752                  2                    3.008000             
2                    42                   1                    808                  0                    inf                  
2                    43                   1                    654                  2                    2.616000             
2                    44                   1                    808                  0                    inf                  
2                    45                   1                    631                  1                    5.048000             
2                    46                   1                    881                  0                    inf                  
2                    52                   1                    686                  2                    2.744000             
2                    53                   1                    713                  0                    inf                  
2                    54                   1                    881                  2                    3.524000             
2                    55                   1                    630                  2                    2.520000             
2                    56                   1                    596                  0                    inf                  
2                    57                   1                    596                  1                    4.768000             
2                    58                   1                    598                  0                    inf                  
2                    64                   1                    779                  2                    3.116000             
2                    65                   1                    775                  0                    inf                  
2                    66                   1                    732                  1                    5.856000             
2                    67                   1                    725                  1                    5.800000             
2                    68                   1                    615                  0                    inf                  
2                    69                   1                    657                  2                    2.628000             
2                    70                   1                    609                  0                    inf                  
2                    76                   1                    1043                 0                    inf                  
2                    77                   1                    721                  2                    2.884000             
2                    78                   1                    814                  0                    inf                  
2                    79                   1                    772                  0                    inf                  
2                    80                   1                    780                  1                    6.240000             
2                    81                   1                    1008                 2                    4.032000             
2                    82                   1                    1046                 0                    inf                  
2                    88                   1                    1031                 2                    4.124000             
2                    89                   1                    1054                 0                    inf                  
2                    90                   1                    691                  2                    2.764000             
2                    91                   1                    774                  2                    3.096000             
2                    92                   1                    863                  0                    inf                  
2                    93                   1                    1140                 0                    inf                  
2                    94                   1                    1253                 2                    5.012000             
2                    100                  1                    1001                 0                    inf                  
2                    101                  1                    1059                 2                    4.236000             
2                    102                  1                    896                  0                    inf                  
2                    103                  1                    781                  2                    3.124000             
2                    104                  1                    1001                 0                    inf                  
2                    105                  1                    1091                 0                    inf                  
2                    106                  1                    1309                 2                    5.236000             
2                    112                  1                    1037                 3                    2.765333             
2                    113                  1                    957                  1                    7.656000             
2                    114                  1                    1066                 0                    inf                  
2                    115                  1                    980                  2                    3.920000             
2                    116                  1                    1217                 2                    4.868000             
2                    117                  1                    1029                 1                    8.232000             
2                    118                  1                    1400                 2                    5.600000             
2                    124                  1                    1164                 0                    inf                  
2                    125                  1                    841                  2                    3.364000             
2                    126                  1                    920                  2                    3.680000             
2                    127                  1                    863                  0                    inf                  
2                    128                  1                    1191                 2                    4.764000             
2                    129                  1                    1290                 1                    10.320000            
2                    130                  1                    1096                 0                    inf                  
2                    136                  1                    1039                 0                    inf                  
2                    137                  1                    825                  2                    3.300000             
2                    138                  1                    1001                 3                    2.669333             
2                    139                  1                    1139                 2                    4.556000             
2                    140                  1                    1114                 0                    inf                  
2                    141                  1                    1118                 2                    4.472000             
2                    142                  1                    1182                 2                    4.728000             
2                    16                   1                    1187                 0                    inf                  
2                    17                   1                    1356                 2                    5.424000             
2                    18                   1                    1253                 1                    10.024000            
2                    19                   1                    1372                 2                    5.488000             
2                    20                   1                    725                  0                    inf                  
2                    21                   1                    676                  2                    2.704000             
2                    22                   1                    757                  1                    6.056000             
2                    35                   1                    971                  1                    7.768000             
2                    47                   1                    733                  0                    inf                  
2                    59                   1                    624                  0                    inf                  
2                    71                   1                    700                  0                    inf                  
2                    83                   1                    1049                 2                    4.196000             
2                    95                   1                    1240                 2                    4.960000             
2                    107                  1                    1197                 0                    inf                  
2                    119                  1                    1062                 2                    4.248000             
2                    131                  1                    1445                 2                    5.780000             
2                    143                  1                    1397                 1                    11.176000            
2                    27                   1                    855                  0                    inf                  
2                    39                   1                    992                  2                    3.968000             
2                    51                   1                    798                  2                    3.192000             
2                    63                   1                    760                  0                    inf                  
2                    75                   1                    1015                 0                    inf                  
2                    87                   1                    1096                 1                    8.768000             
2                    99                   1                    1043                 2                    4.172000             
2                    111                  1                    980                  0                    inf                  
2                    123                  1                    1260                 2                    5.040000             
2                    135                  1                    1186                 2                    4.744000             
2                    23                   1                    649                  0                    inf                  
2                    15                   1                    657                  0                    inf                  
3                    3                    1                    803                  2                    3.212000             
3                    4                    1                    672                  0                    inf                  
3                    5                    1                    1081                 2                    4.324000             
3                    6                    1                    1139                 2                    4.556000             
3                    7                    1                    942                  0                    inf                  
3                    8                    1                    804                  2                    3.216000             
3                    9                    1                    832                  2                    3.328000             
3                    15                   1                    768                  0                    inf                  
3                    16                   1                    1371                 2                    5.484000             
3                    17                   1                    1230                 0                    inf                  
3                    18                   1                    1164                 3                    3.104000             
3                    19                   1                    1384                 2                    5.536000             
3                    20                   1                    885                  0                    inf                  
3                    21                   1                    743                  2                    2.972000             
3                    27                   1                    874                  2                    3.496000             
3                    28                   1                    1118                 0                    inf                  
3                    29                   1                    870                  2                    3.480000             
3                    30                   1                    834                  3                    2.224000             
3                    31                   1                    666                  0                    inf                  
3                    32                   1                    1027                 0                    inf                  
3                    33                   1                    805                  0                    inf                  
3                    39                   1                    1123                 2                    4.492000             
3                    40                   1                    714                  2                    2.856000             
3                    41                   1                    834                  0                    inf                  
3                    42                   1                    826                  0                    inf                  
3                    43                   1                    680                  4                    1.360000             
3                    44                   1                    716                  0                    inf                  
3                    45                   1                    633                  0                    inf                  
3                    51                   1                    792                  2                    3.168000             
3                    52                   1                    766                  0                    inf                  
