chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    29                   1                    1611                 4                    3.222000             
1                    30                   1                    1597                 2                    6.388000             
1                    31                   1                    1265                 7                    1.445714             
1                    32                   1                    1592                 0                    inf                  
1                    41                   1                    1531                 2                    6.124000             
1                    42                   1                    1423                 2                    5.692000             
1                    43                   1                    1290                 0                    inf                  
1                    44                   1                    1391                 4                    2.782000             
1                    53                   1                    1279                 2                    5.116000             
1                    54                   1                    1440                 0                    inf                  
1                    55                   1                    1401                 2                    5.604000             
1                    56                   1                    1409                 2                    5.636000             
1                    65                   1                    1360                 1                    10.880000            
1                    66                   1                    1345                 2                    5.380000             
1                    67                   1                    1280                 2                    5.120000             
1                    68                   1                    1274                 0                    inf                  
1                    77                   1                    1354                 2                    5.416000             
1                    78                   1                    1422                 2                    5.688000             
1                    79                   1                    1403                 1                    11.224000            
1                    80                   1                    1425                 3                    3.800000             
1                    89                   1                    1455                 2                    5.820000             
1                    90                   1                    1298                 2                    5.192000             
1                    91                   1                    1337                 2                    5.348000             
1                    92                   1                    1373                 2                    5.492000             
1                    101                  1                    1583                 0                    inf                  
1                    102                  1                    1395                 2                    5.580000             
1                    103                  1                    1352                 2                    5.408000             
1                    104                  1                    1480                 1                    11.840000            
1                    113                  1                    1470                 1                    11.760000            
1                    114                  1                    1596                 2                    6.384000             
1                    115                  1                    1510                 2                    6.040000             
1                    116                  1                    1624                 2                    6.496000             
1                    125                  1                    1343                 0                    inf                  
1                    126                  1                    1410                 2                    5.640000             
1                    127                  1                    1341                 0                    inf                  
1                    128                  1                    1595                 2                    6.380000             
1                    17                   1                    2029                 2                    8.116000             
1                    18                   1                    2006                 1                    16.048000            
1                    19                   1                    1933                 2                    7.732000             
1                    20                   1                    1260                 0                    inf                  
1                    33                   1                    1183                 1                    9.464000             
1                    45                   1                    1217                 4                    2.434000             
1                    57                   1                    1200                 0                    inf                  
1                    69                   1                    1251                 2                    5.004000             
1                    81                   1                    1554                 2                    6.216000             
1                    93                   1                    1619                 2                    6.476000             
1                    105                  1                    1621                 2                    6.484000             
1                    117                  1                    1514                 2                    6.056000             
1                    129                  1                    1745                 2                    6.980000             
1                    28                   1                    1770                 3                    4.720000             
1                    40                   1                    1289                 2                    5.156000             
1                    52                   1                    1448                 0                    inf                  
1                    64                   1                    1365                 2                    5.460000             
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 2                    6.200000             
1                    100                  1                    1488                 1                    11.904000            
1                    112                  1                    1500                 2                    6.000000             
1                    124                  1                    1569                 0                    inf                  
1                    21                   1                    1300                 2                    5.200000             
1                    16                   1                    1822                 2                    7.288000             
1                    137                  1                    1335                 3                    3.560000             
1                    138                  1                    1471                 2                    5.884000             
1                    139                  1                    1658                 2                    6.632000             
1                    140                  1                    1566                 0                    inf                  
