chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 18                   4.093778             
1                    43                   1                    8311                 16                   4.155500             
1                    54                   1                    7786                 13                   4.791385             
1                    55                   1                    6802                 13                   4.185846             
1                    66                   1                    7065                 12                   4.710000             
1                    67                   1                    6421                 13                   3.951385             
1                    78                   1                    6685                 12                   4.456666             
1                    79                   1                    7022                 13                   4.321231             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 19                   3.715369             
1                    102                  1                    9523                 15                   5.078933             
1                    103                  1                    9260                 18                   4.115556             
1                    41                   1                    9589                 18                   4.261778             
1                    53                   1                    8729                 15                   4.655467             
1                    65                   1                    7901                 16                   3.950500             
1                    77                   1                    7161                 12                   4.774000             
1                    89                   1                    10031                18                   4.458222             
1                    101                  1                    11179                17                   5.260706             
1                    44                   1                    9193                 19                   3.870737             
1                    56                   1                    8446                 16                   4.223000             
1                    68                   1                    6692                 12                   4.461333             
1                    80                   1                    7734                 13                   4.759385             
1                    92                   1                    9166                 18                   4.073778             
1                    104                  1                    11676                22                   4.245818             
1                    114                  1                    10575                19                   4.452631             
1                    115                  1                    10595                21                   4.036191             
1                    113                  1                    8527                 16                   4.263500             
1                    30                   1                    10373                19                   4.367579             
1                    31                   1                    10459                18                   4.648445             
1                    116                  1                    16716                34                   3.933177             
1                    29                   1                    9806                 19                   4.128842             
1                    32                   1                    9779                 20                   3.911600             
1                    45                   1                    8606                 15                   4.589867             
1                    57                   1                    7227                 13                   4.447385             
1                    69                   1                    7469                 12                   4.979333             
1                    81                   1                    9442                 20                   3.776800             
1                    93                   1                    10978                20                   4.391200             
1                    105                  1                    14274                27                   4.229333             
1                    33                   1                    9877                 16                   4.938500             
1                    117                  1                    16627                34                   3.912235             
2                    42                   1                    8862                 16                   4.431000             
2                    43                   1                    7918                 15                   4.222933             
2                    44                   1                    9069                 16                   4.534500             
2                    54                   1                    7607                 15                   4.057066             
2                    55                   1                    6282                 10                   5.025600             
2                    56                   1                    8196                 15                   4.371200             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 12                   3.960000             
2                    68                   1                    6444                 9                    5.728000             
2                    78                   1                    6307                 13                   3.881231             
2                    79                   1                    6744                 11                   4.904727             
2                    80                   1                    7856                 13                   4.834462             
2                    90                   1                    7843                 15                   4.182933             
2                    91                   1                    8596                 16                   4.298000             
2                    92                   1                    9504                 15                   5.068800             
2                    102                  1                    9522                 18                   4.232000             
2                    103                  1                    9236                 19                   3.888842             
2                    104                  1                    11780                22                   4.283637             
2                    30                   1                    10147                18                   4.509778             
2                    31                   1                    9999                 20                   3.999600             
2                    32                   1                    9461                 18                   4.204889             
2                    41                   1                    9350                 14                   5.342857             
2                    53                   1                    8484                 16                   4.242000             
2                    65                   1                    7543                 15                   4.022933             
2                    77                   1                    7220                 13                   4.443077             
2                    89                   1                    10619                17                   4.997177             
2                    101                  1                    11599                25                   3.711680             
2                    114                  1                    11027                18                   4.900889             
2                    115                  1                    10923                21                   4.161143             
2                    116                  1                    17572                34                   4.134588             
2                    29                   1                    9803                 19                   4.127579             
2                    113                  1                    9083                 16                   4.541500             
2                    45                   1                    8640                 18                   3.840000             
2                    57                   1                    7141                 12                   4.760667             
2                    69                   1                    7452                 12                   4.968000             
2                    81                   1                    9611                 20                   3.844400             
2                    93                   1                    11795                22                   4.289091             
2                    105                  1                    14908                28                   4.259429             
2                    33                   1                    9501                 18                   4.222667             
2                    117                  1                    18144                38                   3.819789             
3                    42                   1                    8771                 17                   4.127530             
3                    43                   1                    7925                 13                   4.876923             
3                    54                   1                    7812                 15                   4.166400             
3                    55                   1                    6525                 13                   4.015385             
3                    66                   1                    6763                 9                    6.011556             
3                    67                   1                    6128                 12                   4.085333             
3                    78                   1                    6077                 8                    6.077000             
3                    79                   1                    6585                 12                   4.390000             
3                    90                   1                    8194                 17                   3.856000             
3                    91                   1                    8808                 14                   5.033143             
3                    102                  1                    9450                 15                   5.040000             
3                    103                  1                    9218                 19                   3.881263             
3                    41                   1                    9365                 18                   4.162222             
3                    53                   1                    8757                 16                   4.378500             
3                    65                   1                    7769                 13                   4.780923             
3                    77                   1                    7320                 16                   3.660000             
3                    89                   1                    10639                19                   4.479579             
3                    101                  1                    11311                21                   4.308952             
3                    44                   1                    9295                 19                   3.913684             
3                    56                   1                    8308                 15                   4.430933             
3                    68                   1                    6727                 12                   4.484667             
3                    80                   1                    7890                 11                   5.738182             
3                    92                   1                    9459                 19                   3.982737             
3                    104                  1                    11117                22                   4.042545             
3                    30                   1                    9973                 18                   4.432445             
3                    31                   1                    9806                 19                   4.128842             
3                    114                  1                    10810                18                   4.804444             
3                    115                  1                    10291                20                   4.116400             
3                    29                   1                    9510                 15                   5.072000             
3                    32                   1                    10252                22                   3.728000             
3                    113                  1                    9056                 15                   4.829867             
3                    116                  1                    14884                31                   3.841032             
3                    52                   1                    8007                 13                   4.927385             
3                    64                   1                    8720                 19                   3.671579             
3                    76                   1                    10998                18                   4.888000             
3                    88                   1                    11465                21                   4.367619             
3                    100                  1                    11409                21                   4.346286             
3                    40                   1                    7771                 14                   4.440571             
3                    112                  1                    10561                19                   4.446737             
3                    28                   1                    8315                 15                   4.434667             
4                    41                   1                    9468                 18                   4.208000             
4                    42                   1                    8797                 18                   3.909778             
4                    53                   1                    8644                 15                   4.610133             
4                    54                   1                    7762                 14                   4.435429             
4                    65                   1                    7721                 15                   4.117867             
4                    66                   1                    6356                 10                   5.084800             
4                    77                   1                    7365                 15                   3.928000             
4                    78                   1                    6125                 9                    5.444445             
4                    89                   1                    10953                21                   4.172572             
4                    90                   1                    8044                 12                   5.362667             
4                    101                  1                    11168                22                   4.061091             
4                    102                  1                    9376                 18                   4.167111             
4                    40                   1                    8282                 16                   4.141000             
4                    52                   1                    8157                 15                   4.350400             
4                    64                   1                    8902                 16                   4.451000             
4                    76                   1                    11062                22                   4.022545             
4                    88                   1                    11744                20                   4.697600             
4                    100                  1                    10829                18                   4.812889             
4                    29                   1                    9602                 19                   4.042947             
4                    30                   1                    10009                18                   4.448444             
4                    28                   1                    8408                 16                   4.204000             
4                    43                   1                    7845                 17                   3.691765             
4                    55                   1                    6580                 9                    5.848889             
4                    67                   1                    5901                 12                   3.934000             
4                    79                   1                    6756                 10                   5.404800             
4                    91                   1                    8661                 18                   3.849333             
4                    103                  1                    9645                 16                   4.822500             
4                    31                   1                    10127                20                   4.050800             
4                    113                  1                    8935                 17                   4.204706             
4                    114                  1                    10975                19                   4.621053             
4                    112                  1                    10230                22                   3.720000             
4                    115                  1                    10480                18                   4.657778             
5                    41                   1                    8983                 17                   4.227294             
5                    42                   1                    8250                 16                   4.125000             
5                    53                   1                    8298                 15                   4.425600             
5                    54                   1                    7777                 13                   4.785846             
5                    65                   1                    7425                 41                   1.448781             
5                    66                   1                    6226                 0                    inf                  
5                    77                   1                    7170                 5                    11.472000            
5                    78                   1                    6159                 10                   4.927200             
5                    89                   1                    10545                18                   4.686666             
5                    90                   1                    7979                 16                   3.989500             
5                    101                  1                    11405                22                   4.147273             
5                    102                  1                    9381                 18                   4.169333             
5                    40                   1                    8108                 13                   4.989539             
5                    52                   1                    7618                 15                   4.062933             
5                    64                   1                    8044                 16                   4.022000             
5                    76                   1                    10705                18                   4.757778             
5                    88                   1                    10949                21                   4.171048             
5                    100                  1                    11291                22                   4.105818             
5                    29                   1                    8773                 15                   4.678933             
5                    30                   1                    10070                18                   4.475555             
5                    43                   1                    7809                 16                   3.904500             
5                    55                   1                    6490                 9                    5.768889             
5                    67                   1                    5779                 14                   3.302286             
5                    79                   1                    6426                 9                    5.712000             
5                    91                   1                    8441                 15                   4.501867             
5                    103                  1                    9151                 18                   4.067111             
5                    28                   1                    7613                 13                   4.684923             
5                    31                   1                    9598                 18                   4.265778             
5                    113                  1                    9120                 16                   4.560000             
5                    114                  1                    10791                22                   3.924000             
5                    112                  1                    10236                18                   4.549333             
5                    115                  1                    10090                19                   4.248421             
5                    44                   1                    8829                 18                   3.924000             
