chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 22                   3.208727             
1                    90                   1                    8056                 15                   4.296533             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 14                   3.820000             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 14                   4.037143             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 12                   5.190667             
1                    43                   1                    8311                 18                   3.693778             
1                    42                   1                    9211                 19                   3.878316             
1                    103                  1                    9260                 22                   3.367273             
1                    44                   1                    9193                 19                   3.870737             
1                    102                  1                    9523                 22                   3.462909             
1                    92                   1                    9166                 22                   3.333091             
1                    80                   1                    7734                 15                   4.124800             
1                    68                   1                    6692                 15                   3.569067             
1                    56                   1                    8446                 19                   3.556211             
1                    101                  1                    11179                25                   3.577280             
1                    104                  1                    11676                26                   3.592615             
1                    77                   1                    7161                 32                   1.790250             
1                    53                   1                    8729                 12                   5.819334             
1                    41                   1                    9589                 18                   4.261778             
1                    89                   1                    10031                22                   3.647636             
1                    65                   1                    7901                 18                   3.511556             
1                    113                  1                    8527                 19                   3.590316             
1                    115                  1                    10595                22                   3.852727             
1                    114                  1                    10575                22                   3.845454             
1                    31                   1                    10459                26                   3.218154             
1                    32                   1                    9779                 23                   3.401391             
1                    57                   1                    7227                 15                   3.854400             
1                    116                  1                    16716                38                   3.519158             
1                    29                   1                    9806                 22                   3.565818             
1                    30                   1                    10373                26                   3.191692             
1                    117                  1                    16627                37                   3.595027             
1                    33                   1                    9877                 22                   3.591636             
1                    93                   1                    10978                26                   3.377846             
1                    81                   1                    9442                 18                   4.196445             
1                    69                   1                    7469                 18                   3.319556             
2                    29                   1                    9803                 23                   3.409739             
2                    115                  1                    10923                22                   3.972000             
2                    114                  1                    11027                26                   3.392923             
2                    89                   1                    10619                21                   4.045333             
2                    69                   1                    7452                 18                   3.312000             
2                    57                   1                    7141                 15                   3.808533             
2                    45                   1                    8640                 18                   3.840000             
2                    105                  1                    14908                33                   3.614061             
2                    81                   1                    9611                 22                   3.494909             
2                    113                  1                    9083                 22                   3.302909             
1                    45                   1                    8606                 18                   3.824889             
1                    105                  1                    14274                33                   3.460364             
2                    116                  1                    17572                41                   3.428683             
2                    77                   1                    7220                 15                   3.850667             
2                    65                   1                    7543                 15                   4.022933             
2                    53                   1                    8484                 18                   3.770667             
2                    41                   1                    9350                 23                   3.252174             
2                    101                  1                    11599                26                   3.568923             
2                    32                   1                    9461                 21                   3.604191             
2                    30                   1                    10147                22                   3.689818             
2                    92                   1                    9504                 19                   4.001684             
2                    80                   1                    7856                 18                   3.491555             
2                    68                   1                    6444                 15                   3.436800             
2                    56                   1                    8196                 16                   4.098000             
2                    44                   1                    9069                 23                   3.154435             
2                    104                  1                    11780                26                   3.624615             
2                    91                   1                    8596                 20                   3.438400             
2                    90                   1                    7843                 20                   3.137200             
2                    79                   1                    6744                 11                   4.904727             
2                    78                   1                    6307                 14                   3.604000             
2                    67                   1                    5940                 11                   4.320000             
2                    66                   1                    6358                 15                   3.390933             
2                    55                   1                    6282                 11                   4.568727             
2                    54                   1                    7607                 18                   3.380889             
2                    43                   1                    7918                 14                   4.524571             
2                    42                   1                    8862                 18                   3.938667             
2                    103                  1                    9236                 22                   3.358546             
2                    102                  1                    9522                 21                   3.627429             
2                    33                   1                    9501                 18                   4.222667             
2                    31                   1                    9999                 22                   3.636000             
2                    117                  1                    18144                44                   3.298909             
2                    93                   1                    11795                26                   3.629231             
3                    116                  1                    14884                36                   3.307555             
3                    113                  1                    9056                 18                   4.024889             
3                    32                   1                    10252                22                   3.728000             
3                    29                   1                    9510                 22                   3.458182             
3                    115                  1                    10291                22                   3.742182             
3                    114                  1                    10810                27                   3.202963             
3                    31                   1                    9806                 23                   3.410783             
3                    30                   1                    9973                 22                   3.626545             
3                    92                   1                    9459                 17                   4.451294             
3                    80                   1                    7890                 19                   3.322105             
3                    44                   1                    9295                 19                   3.913684             
3                    68                   1                    6727                 14                   3.844000             
3                    56                   1                    8308                 18                   3.692445             
3                    104                  1                    11117                26                   3.420615             
3                    41                   1                    9365                 19                   3.943158             
3                    76                   1                    10998                26                   3.384000             
3                    64                   1                    8720                 17                   4.103529             
3                    52                   1                    8007                 18                   3.558667             
3                    100                  1                    11409                26                   3.510462             
3                    89                   1                    10639                22                   3.868727             
3                    77                   1                    7320                 18                   3.253333             
3                    65                   1                    7769                 14                   4.439429             
3                    53                   1                    8757                 18                   3.892000             
3                    101                  1                    11311                26                   3.480308             
