chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 21                   3.361524             
1                    90                   1                    8056                 15                   4.296533             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 15                   3.565333             
1                    67                   1                    6421                 14                   3.669143             
1                    66                   1                    7065                 15                   3.768000             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 19                   3.499368             
1                    89                   1                    10031                22                   3.647636             
1                    77                   1                    7161                 19                   3.015158             
1                    42                   1                    9211                 19                   3.878316             
1                    103                  1                    9260                 19                   3.898947             
1                    102                  1                    9523                 22                   3.462909             
1                    92                   1                    9166                 19                   3.859368             
1                    114                  1                    10575                26                   3.253846             
1                    65                   1                    7901                 15                   4.213867             
1                    80                   1                    7734                 19                   3.256421             
1                    68                   1                    6692                 11                   4.866909             
1                    56                   1                    8446                 19                   3.556211             
1                    29                   1                    9806                 21                   3.735619             
1                    113                  1                    8527                 18                   3.789778             
1                    44                   1                    9193                 22                   3.342909             
1                    53                   1                    8729                 18                   3.879555             
1                    41                   1                    9589                 22                   3.486909             
1                    104                  1                    11676                26                   3.592615             
1                    101                  1                    11179                26                   3.439692             
1                    32                   1                    9779                 18                   4.346222             
1                    115                  1                    10595                26                   3.260000             
1                    116                  1                    16716                40                   3.343200             
1                    31                   1                    10459                22                   3.803273             
1                    30                   1                    10373                22                   3.772000             
1                    126                  1                    8487                 18                   3.772000             
1                    125                  1                    7621                 18                   3.387111             
1                    52                   1                    8579                 17                   4.037177             
1                    128                  1                    11287                26                   3.472923             
1                    127                  1                    8599                 18                   3.821778             
1                    33                   1                    9877                 22                   3.591636             
1                    81                   1                    9442                 18                   4.196445             
1                    93                   1                    10978                26                   3.377846             
1                    69                   1                    7469                 14                   4.268000             
1                    57                   1                    7227                 15                   3.854400             
1                    45                   1                    8606                 25                   2.753920             
1                    105                  1                    14274                40                   2.854800             
1                    117                  1                    16627                35                   3.800457             
2                    21                   1                    7679                 14                   4.388000             
1                    129                  1                    10865                24                   3.621667             
1                    20                   1                    9541                 24                   3.180333             
1                    18                   1                    9508                 19                   4.003368             
2                    45                   1                    8640                 20                   3.456000             
2                    33                   1                    9501                 20                   3.800400             
1                    19                   1                    10043                24                   3.347667             
2                    18                   1                    9079                 19                   3.822737             
1                    17                   1                    9794                 22                   3.561455             
1                    21                   1                    8659                 16                   4.329500             
2                    20                   1                    8660                 19                   3.646316             
