chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 25                   2.947520             
1                    43                   1                    8311                 18                   3.693778             
1                    54                   1                    7786                 13                   4.791385             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 14                   4.037143             
1                    67                   1                    6421                 15                   3.424533             
1                    78                   1                    6685                 16                   3.342500             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 15                   4.296533             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 18                   4.232444             
1                    103                  1                    9260                 23                   3.220870             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 19                   3.675368             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 15                   3.819200             
1                    89                   1                    10031                23                   3.489043             
1                    101                  1                    11179                23                   3.888348             
1                    44                   1                    9193                 21                   3.502095             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 16                   3.867000             
1                    92                   1                    9166                 24                   3.055333             
1                    104                  1                    11676                16                   5.838000             
1                    114                  1                    10575                21                   4.028572             
1                    115                  1                    10595                25                   3.390400             
1                    113                  1                    8527                 18                   3.789778             
1                    30                   1                    10373                23                   3.608000             
1                    31                   1                    10459                23                   3.637913             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 22                   3.565818             
1                    32                   1                    9779                 23                   3.401391             
1                    45                   1                    8606                 19                   3.623579             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 14                   4.268000             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                34                   3.358588             
1                    33                   1                    9877                 19                   4.158737             
1                    117                  1                    16627                41                   3.244293             
2                    42                   1                    8862                 17                   4.170353             
2                    43                   1                    7918                 18                   3.519111             
2                    44                   1                    9069                 19                   3.818526             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 12                   4.188000             
2                    56                   1                    8196                 19                   3.450947             
2                    66                   1                    6358                 10                   5.086400             
2                    67                   1                    5940                 15                   3.168000             
2                    68                   1                    6444                 11                   4.686545             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 12                   4.496000             
2                    80                   1                    7856                 18                   3.491555             
2                    90                   1                    7843                 17                   3.690824             
2                    91                   1                    8596                 19                   3.619368             
