chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 14                   5.441714             
1                    103                  1                    9260                 15                   4.938667             
1                    42                   1                    9211                 12                   6.140666             
1                    43                   1                    8311                 11                   6.044363             
1                    54                   1                    7786                 11                   5.662546             
1                    55                   1                    6802                 9                    6.046222             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 7                    7.338286             
1                    78                   1                    6685                 11                   4.861818             
1                    79                   1                    7022                 10                   5.617600             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 12                   5.882667             
1                    104                  1                    11676                16                   5.838000             
1                    44                   1                    9193                 13                   5.657231             
1                    56                   1                    8446                 12                   5.630667             
1                    101                  1                    11179                17                   5.260706             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 15                   4.888533             
1                    114                  1                    10575                14                   6.042857             
1                    30                   1                    10373                16                   5.186500             
1                    41                   1                    9589                 12                   6.392667             
1                    53                   1                    8729                 14                   4.988000             
1                    115                  1                    10595                14                   6.054286             
1                    65                   1                    7901                 13                   4.862154             
1                    77                   1                    7161                 9                    6.365334             
1                    31                   1                    10459                14                   5.976572             
1                    89                   1                    10031                16                   5.015500             
1                    32                   1                    9779                 15                   5.215466             
1                    113                  1                    8527                 11                   6.201455             
1                    116                  1                    16716                26                   5.143384             
1                    29                   1                    9806                 14                   5.603428             
1                    105                  1                    14274                19                   6.010105             
1                    126                  1                    8487                 12                   5.658000             
1                    45                   1                    8606                 14                   4.917714             
1                    57                   1                    7227                 9                    6.424000             
1                    128                  1                    11287                16                   5.643500             
1                    69                   1                    7469                 10                   5.975200             
1                    127                  1                    8599                 12                   5.732666             
1                    81                   1                    9442                 14                   5.395429             
1                    93                   1                    10978                14                   6.273143             
1                    125                  1                    7621                 12                   5.080667             
1                    117                  1                    16627                24                   5.542333             
1                    33                   1                    9877                 14                   5.644000             
2                    102                  1                    9522                 14                   5.441143             
1                    129                  1                    10865                17                   5.112941             
2                    103                  1                    9236                 12                   6.157333             
2                    104                  1                    11780                16                   5.890000             
2                    42                   1                    8862                 15                   4.726400             
2                    43                   1                    7918                 10                   6.334400             
2                    44                   1                    9069                 15                   4.836800             
2                    54                   1                    7607                 10                   6.085600             
2                    55                   1                    6282                 7                    7.179429             
2                    66                   1                    6358                 10                   5.086400             
2                    67                   1                    5940                 9                    5.280000             
1                    18                   1                    9508                 14                   5.433143             
2                    78                   1                    6307                 7                    7.208000             
2                    79                   1                    6744                 10                   5.395200             
2                    90                   1                    7843                 11                   5.704000             
