chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 21                   3.361524             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 15                   3.565333             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 14                   4.037143             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 19                   3.499368             
1                    42                   1                    9211                 19                   3.878316             
1                    103                  1                    9260                 23                   3.220870             
1                    44                   1                    9193                 20                   3.677200             
1                    102                  1                    9523                 23                   3.312348             
1                    92                   1                    9166                 21                   3.491810             
1                    80                   1                    7734                 14                   4.419428             
1                    68                   1                    6692                 15                   3.569067             
1                    56                   1                    8446                 19                   3.556211             
1                    104                  1                    11676                26                   3.592615             
1                    30                   1                    10373                21                   3.951619             
1                    89                   1                    10031                22                   3.647636             
1                    77                   1                    7161                 15                   3.819200             
1                    65                   1                    7901                 19                   3.326737             
1                    53                   1                    8729                 18                   3.879555             
1                    41                   1                    9589                 22                   3.486909             
1                    101                  1                    11179                25                   3.577280             
1                    115                  1                    10595                22                   3.852727             
1                    114                  1                    10575                26                   3.253846             
1                    57                   1                    7227                 15                   3.854400             
1                    113                  1                    8527                 17                   4.012706             
1                    31                   1                    10459                22                   3.803273             
1                    32                   1                    9779                 22                   3.556000             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 21                   3.735619             
1                    81                   1                    9442                 18                   4.196445             
1                    69                   1                    7469                 15                   3.983467             
1                    127                  1                    8599                 22                   3.126909             
1                    126                  1                    8487                 20                   3.394800             
1                    93                   1                    10978                22                   3.992000             
1                    33                   1                    9877                 22                   3.591636             
1                    45                   1                    8606                 19                   3.623579             
1                    117                  1                    16627                41                   3.244293             
2                    43                   1                    7918                 14                   4.524571             
1                    105                  1                    14274                33                   3.460364             
2                    30                   1                    10147                26                   3.122154             
2                    69                   1                    7452                 14                   4.258286             
2                    57                   1                    7141                 15                   3.808533             
2                    45                   1                    8640                 17                   4.065882             
2                    105                  1                    14908                33                   3.614061             
2                    113                  1                    9083                 22                   3.302909             
2                    29                   1                    9803                 22                   3.564727             
2                    89                   1                    10619                22                   3.861454             
2                    77                   1                    7220                 15                   3.850667             
2                    65                   1                    7543                 19                   3.176000             
2                    53                   1                    8484                 19                   3.572211             
2                    41                   1                    9350                 19                   3.936842             
2                    116                  1                    17572                44                   3.194909             
2                    115                  1                    10923                22                   3.972000             
2                    114                  1                    11027                26                   3.392923             
2                    32                   1                    9461                 22                   3.440364             
2                    31                   1                    9999                 22                   3.636000             
2                    92                   1                    9504                 22                   3.456000             
2                    80                   1                    7856                 15                   4.189867             
2                    68                   1                    6444                 15                   3.436800             
2                    56                   1                    8196                 19                   3.450947             
2                    44                   1                    9069                 18                   4.030667             
2                    104                  1                    11780                29                   3.249655             
2                    91                   1                    8596                 19                   3.619368             
2                    90                   1                    7843                 15                   4.182933             
2                    79                   1                    6744                 14                   3.853714             
2                    78                   1                    6307                 16                   3.153500             
2                    67                   1                    5940                 11                   4.320000             
2                    66                   1                    6358                 15                   3.390933             
2                    55                   1                    6282                 11                   4.568727             
2                    54                   1                    7607                 15                   4.057066             
2                    42                   1                    8862                 22                   3.222545             
2                    103                  1                    9236                 18                   4.104889             
2                    81                   1                    9611                 22                   3.494909             
2                    102                  1                    9522                 22                   3.462545             
2                    101                  1                    11599                25                   3.711680             
2                    33                   1                    9501                 22                   3.454909             
3                    102                  1                    9450                 18                   4.200000             
3                    43                   1                    7925                 20                   3.170000             
2                    93                   1                    11795                47                   2.007660             
2                    117                  1                    18144                27                   5.376000             
2                    18                   1                    9079                 18                   4.035111             
2                    21                   1                    7679                 18                   3.412889             
2                    20                   1                    8660                 19                   3.646316             
2                    19                   1                    10070                22                   3.661818             
2                    17                   1                    9723                 23                   3.381913             
