chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 17                   4.152471             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 12                   4.681334             
1                    78                   1                    6685                 13                   4.113846             
1                    67                   1                    6421                 12                   4.280667             
1                    66                   1                    7065                 13                   4.347692             
1                    55                   1                    6802                 13                   4.185846             
1                    54                   1                    7786                 12                   5.190667             
1                    43                   1                    8311                 15                   4.432533             
1                    42                   1                    9211                 16                   4.605500             
1                    68                   1                    6692                 12                   4.461333             
1                    103                  1                    9260                 19                   3.898947             
1                    102                  1                    9523                 16                   4.761500             
1                    92                   1                    9166                 19                   3.859368             
1                    80                   1                    7734                 11                   5.624727             
1                    56                   1                    8446                 15                   4.504533             
1                    44                   1                    9193                 19                   3.870737             
1                    104                  1                    11676                21                   4.448000             
1                    41                   1                    9589                 18                   4.261778             
1                    101                  1                    11179                22                   4.065091             
1                    89                   1                    10031                18                   4.458222             
1                    77                   1                    7161                 12                   4.774000             
1                    65                   1                    7901                 12                   5.267334             
1                    32                   1                    9779                 19                   4.117474             
1                    30                   1                    10373                21                   3.951619             
1                    53                   1                    8729                 14                   4.988000             
1                    115                  1                    10595                19                   4.461052             
1                    114                  1                    10575                22                   3.845454             
1                    116                  1                    16716                31                   4.313807             
1                    113                  1                    8527                 15                   4.547733             
1                    29                   1                    9806                 19                   4.128842             
1                    31                   1                    10459                22                   3.803273             
1                    117                  1                    16627                31                   4.290839             
1                    33                   1                    9877                 18                   4.389778             
1                    93                   1                    10978                23                   3.818435             
2                    45                   1                    8640                 16                   4.320000             
2                    113                  1                    9083                 17                   4.274353             
2                    29                   1                    9803                 19                   4.127579             
2                    116                  1                    17572                34                   4.134588             
2                    57                   1                    7141                 13                   4.394462             
2                    115                  1                    10923                20                   4.369200             
2                    114                  1                    11027                18                   4.900889             
2                    89                   1                    10619                22                   3.861454             
2                    77                   1                    7220                 12                   4.813334             
2                    33                   1                    9501                 19                   4.000421             
2                    93                   1                    11795                22                   4.289091             
2                    81                   1                    9611                 18                   4.271555             
2                    69                   1                    7452                 13                   4.585846             
2                    105                  1                    14908                32                   3.727000             
1                    81                   1                    9442                 15                   5.035733             
1                    69                   1                    7469                 13                   4.596308             
1                    57                   1                    7227                 15                   3.854400             
1                    45                   1                    8606                 15                   4.589867             
1                    105                  1                    14274                28                   4.078286             
2                    117                  1                    18144                33                   4.398545             
2                    65                   1                    7543                 15                   4.022933             
2                    53                   1                    8484                 14                   4.848000             
2                    41                   1                    9350                 16                   4.675000             
2                    101                  1                    11599                24                   3.866333             
2                    32                   1                    9461                 16                   4.730500             
2                    31                   1                    9999                 19                   4.210105             
2                    30                   1                    10147                18                   4.509778             
2                    92                   1                    9504                 19                   4.001684             
2                    80                   1                    7856                 15                   4.189867             
2                    68                   1                    6444                 8                    6.444000             
2                    56                   1                    8196                 15                   4.371200             
2                    44                   1                    9069                 19                   3.818526             
2                    104                  1                    11780                22                   4.283637             
2                    91                   1                    8596                 16                   4.298000             
2                    90                   1                    7843                 16                   3.921500             
2                    79                   1                    6744                 9                    5.994667             
2                    78                   1                    6307                 13                   3.881231             
2                    67                   1                    5940                 9                    5.280000             
2                    66                   1                    6358                 13                   3.912615             
2                    55                   1                    6282                 9                    5.584000             
2                    54                   1                    7607                 11                   5.532363             
2                    43                   1                    7918                 16                   3.959000             
2                    42                   1                    8862                 16                   4.431000             
2                    103                  1                    9236                 18                   4.104889             
2                    102                  1                    9522                 16                   4.761000             
3                    116                  1                    14884                31                   3.841032             
3                    113                  1                    9056                 15                   4.829867             
3                    32                   1                    10252                22                   3.728000             
3                    29                   1                    9510                 16                   4.755000             
3                    115                  1                    10291                21                   3.920381             
3                    114                  1                    10810                19                   4.551579             
3                    31                   1                    9806                 19                   4.128842             
3                    30                   1                    9973                 18                   4.432445             
3                    92                   1                    9459                 19                   3.982737             
3                    80                   1                    7890                 15                   4.208000             
3                    68                   1                    6727                 10                   5.381600             
3                    56                   1                    8308                 15                   4.430933             
3                    44                   1                    9295                 19                   3.913684             
3                    104                  1                    11117                23                   3.866783             
3                    89                   1                    10639                18                   4.728445             
3                    77                   1                    7320                 16                   3.660000             
3                    65                   1                    7769                 12                   5.179333             
3                    53                   1                    8757                 20                   3.502800             
3                    41                   1                    9365                 16                   4.682500             
3                    101                  1                    11311                21                   4.308952             
3                    112                  1                    10561                22                   3.840364             
3                    40                   1                    7771                 12                   5.180666             
3                    88                   1                    11465                24                   3.821667             
3                    76                   1                    10998                19                   4.630737             
3                    28                   1                    8315                 16                   4.157500             
3                    64                   1                    8720                 16                   4.360000             
3                    52                   1                    8007                 16                   4.003500             
3                    100                  1                    11409                21                   4.346286             
3                    43                   1                    7925                 16                   3.962500             
3                    42                   1                    8771                 16                   4.385500             
3                    91                   1                    8808                 16                   4.404000             
3                    79                   1                    6585                 13                   4.052308             
3                    67                   1                    6128                 9                    5.447111             
3                    55                   1                    6525                 13                   4.015385             
3                    103                  1                    9218                 16                   4.609000             
3                    90                   1                    8194                 15                   4.370133             
3                    78                   1                    6077                 12                   4.051333             
3                    66                   1                    6763                 9                    6.011556             
3                    54                   1                    7812                 16                   3.906000             
3                    102                  1                    9450                 20                   3.780000             
4                    31                   1                    10127                21                   3.857905             
4                    103                  1                    9645                 16                   4.822500             
4                    91                   1                    8661                 20                   3.464400             
4                    79                   1                    6756                 9                    6.005333             
4                    67                   1                    5901                 12                   3.934000             
4                    55                   1                    6580                 10                   5.264000             
4                    43                   1                    7845                 14                   4.482857             
4                    28                   1                    8408                 16                   4.204000             
4                    30                   1                    10009                19                   4.214316             
4                    29                   1                    9602                 18                   4.267556             
4                    100                  1                    10829                19                   4.559579             
4                    88                   1                    11744                25                   3.758080             
4                    76                   1                    11062                20                   4.424800             
4                    64                   1                    8902                 15                   4.747733             
4                    52                   1                    8157                 16                   4.078500             
4                    40                   1                    8282                 12                   5.521333             
4                    115                  1                    10480                23                   3.645217             
4                    112                  1                    10230                19                   4.307368             
4                    114                  1                    10975                23                   3.817391             
4                    113                  1                    8935                 17                   4.204706             
4                    102                  1                    9376                 18                   4.167111             
4                    101                  1                    11168                18                   4.963555             
4                    90                   1                    8044                 15                   4.290133             
4                    89                   1                    10953                21                   4.172572             
4                    78                   1                    6125                 10                   4.900000             
4                    77                   1                    7365                 12                   4.910000             
4                    66                   1                    6356                 12                   4.237333             
4                    65                   1                    7721                 12                   5.147333             
4                    54                   1                    7762                 16                   3.881000             
4                    53                   1                    8644                 16                   4.322000             
4                    42                   1                    8797                 15                   4.691733             
