chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 22                   3.462909             
1                    103                  1                    9260                 22                   3.367273             
1                    42                   1                    9211                 19                   3.878316             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 10                   5.136800             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 19                   3.715369             
1                    104                  1                    11676                26                   3.592615             
1                    44                   1                    9193                 19                   3.870737             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 19                   3.859368             
1                    101                  1                    11179                26                   3.439692             
1                    77                   1                    7161                 15                   3.819200             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 19                   3.675368             
1                    65                   1                    7901                 15                   4.213867             
1                    89                   1                    10031                26                   3.086462             
1                    114                  1                    10575                23                   3.678261             
1                    113                  1                    8527                 19                   3.590316             
1                    30                   1                    10373                23                   3.608000             
1                    115                  1                    10595                26                   3.260000             
1                    31                   1                    10459                21                   3.984381             
1                    116                  1                    16716                40                   3.343200             
1                    32                   1                    9779                 21                   3.725333             
1                    29                   1                    9806                 17                   4.614588             
1                    105                  1                    14274                33                   3.460364             
1                    45                   1                    8606                 22                   3.129455             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 15                   3.983467             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                22                   3.992000             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                26                   3.624615             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 19                   3.333895             
2                    54                   1                    7607                 16                   3.803500             
2                    55                   1                    6282                 15                   3.350400             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 15                   3.168000             
2                    78                   1                    6307                 11                   4.586909             
2                    79                   1                    6744                 15                   3.596800             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 17                   4.045177             
1                    33                   1                    9877                 22                   3.591636             
1                    117                  1                    16627                37                   3.595027             
2                    44                   1                    9069                 23                   3.154435             
2                    56                   1                    8196                 19                   3.450947             
2                    68                   1                    6444                 11                   4.686545             
2                    80                   1                    7856                 20                   3.142400             
2                    92                   1                    9504                 23                   3.305739             
2                    30                   1                    10147                21                   3.865524             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 22                   3.440364             
2                    101                  1                    11599                26                   3.568923             
2                    41                   1                    9350                 19                   3.936842             
2                    53                   1                    8484                 19                   3.572211             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 13                   4.443077             
2                    89                   1                    10619                22                   3.861454             
2                    114                  1                    11027                26                   3.392923             
2                    115                  1                    10923                25                   3.495360             
2                    116                  1                    17572                42                   3.347048             
2                    29                   1                    9803                 23                   3.409739             
2                    113                  1                    9083                 18                   4.036889             
2                    45                   1                    8640                 18                   3.840000             
2                    57                   1                    7141                 15                   3.808533             
2                    69                   1                    7452                 18                   3.312000             
2                    105                  1                    14908                33                   3.614061             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                26                   3.629231             
2                    33                   1                    9501                 22                   3.454909             
2                    117                  1                    18144                40                   3.628800             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 23                   3.206261             
3                    42                   1                    8771                 18                   3.898222             
3                    43                   1                    7925                 14                   4.528572             
3                    54                   1                    7812                 19                   3.289263             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 11                   4.918545             
3                    67                   1                    6128                 15                   3.268267             
3                    78                   1                    6077                 11                   4.419636             
3                    79                   1                    6585                 14                   3.762857             
3                    90                   1                    8194                 15                   4.370133             
3                    91                   1                    8808                 22                   3.202909             
3                    101                  1                    11311                26                   3.480308             
3                    53                   1                    8757                 18                   3.892000             
3                    65                   1                    7769                 15                   4.143466             
3                    77                   1                    7320                 16                   3.660000             
3                    89                   1                    10639                27                   3.152296             
3                    41                   1                    9365                 22                   3.405455             
3                    114                  1                    10810                22                   3.930909             
3                    115                  1                    10291                22                   3.742182             
3                    104                  1                    11117                26                   3.420615             
3                    113                  1                    9056                 22                   3.293091             
3                    56                   1                    8308                 16                   4.154000             
3                    68                   1                    6727                 15                   3.587733             
3                    80                   1                    7890                 19                   3.322105             
3                    92                   1                    9459                 18                   4.204000             
3                    44                   1                    9295                 21                   3.540952             
3                    30                   1                    9973                 22                   3.626545             
3                    31                   1                    9806                 23                   3.410783             
3                    29                   1                    9510                 22                   3.458182             
3                    100                  1                    11409                22                   4.148727             
3                    52                   1                    8007                 19                   3.371368             
3                    32                   1                    10252                24                   3.417333             
3                    116                  1                    14884                37                   3.218162             
3                    64                   1                    8720                 19                   3.671579             
3                    76                   1                    10998                25                   3.519360             
3                    88                   1                    11465                26                   3.527692             
3                    40                   1                    7771                 15                   4.144533             
3                    28                   1                    8315                 20                   3.326000             
3                    112                  1                    10561                21                   4.023238             
4                    41                   1                    9468                 24                   3.156000             
4                    42                   1                    8797                 22                   3.198909             
4                    53                   1                    8644                 18                   3.841778             
4                    54                   1                    7762                 15                   4.139733             
4                    65                   1                    7721                 19                   3.250947             
4                    66                   1                    6356                 11                   4.622545             
4                    77                   1                    7365                 18                   3.273333             
4                    78                   1                    6125                 11                   4.454545             
4                    89                   1                    10953                24                   3.651000             
4                    90                   1                    8044                 15                   4.290133             
4                    101                  1                    11168                25                   3.573760             
4                    102                  1                    9376                 22                   3.409455             
4                    40                   1                    8282                 19                   3.487158             
4                    52                   1                    8157                 19                   3.434526             
4                    64                   1                    8902                 19                   3.748210             
4                    76                   1                    11062                26                   3.403692             
4                    88                   1                    11744                26                   3.613539             
4                    100                  1                    10829                23                   3.766609             
4                    29                   1                    9602                 22                   3.491636             
4                    30                   1                    10009                22                   3.639636             
4                    28                   1                    8408                 19                   3.540210             
4                    43                   1                    7845                 19                   3.303158             
4                    55                   1                    6580                 12                   4.386667             
4                    67                   1                    5901                 14                   3.372000             
4                    79                   1                    6756                 12                   4.504000             
4                    91                   1                    8661                 23                   3.012522             
4                    103                  1                    9645                 18                   4.286667             
4                    31                   1                    10127                26                   3.116000             
4                    113                  1                    8935                 18                   3.971111             
4                    114                  1                    10975                26                   3.376923             
4                    112                  1                    10230                23                   3.558261             
4                    115                  1                    10480                23                   3.645217             
5                    101                  1                    11405                30                   3.041333             
5                    102                  1                    9381                 19                   3.949895             
5                    41                   1                    8983                 18                   3.992445             
5                    42                   1                    8250                 17                   3.882353             
5                    53                   1                    8298                 19                   3.493895             
5                    54                   1                    7777                 19                   3.274526             
5                    65                   1                    7425                 15                   3.960000             
5                    66                   1                    6226                 10                   4.980800             
5                    77                   1                    7170                 15                   3.824000             
5                    78                   1                    6159                 15                   3.284800             
5                    89                   1                    10545                22                   3.834545             
5                    90                   1                    7979                 20                   3.191600             
5                    100                  1                    11291                26                   3.474154             
5                    40                   1                    8108                 14                   4.633143             
5                    52                   1                    7618                 18                   3.385778             
5                    64                   1                    8044                 18                   3.575111             
5                    76                   1                    10705                21                   4.078095             
5                    88                   1                    10949                25                   3.503680             
5                    103                  1                    9151                 19                   3.853053             
5                    43                   1                    7809                 19                   3.288000             
5                    55                   1                    6490                 12                   4.326667             
5                    67                   1                    5779                 15                   3.082133             
5                    79                   1                    6426                 11                   4.673455             
5                    91                   1                    8441                 19                   3.554105             
5                    29                   1                    8773                 17                   4.128470             
5                    30                   1                    10070                22                   3.661818             
5                    31                   1                    9598                 22                   3.490182             
5                    28                   1                    7613                 19                   3.205474             
5                    113                  1                    9120                 19                   3.840000             
5                    114                  1                    10791                26                   3.320308             
5                    44                   1                    8829                 18                   3.924000             
5                    56                   1                    7872                 15                   4.198400             
5                    68                   1                    6066                 16                   3.033000             
5                    80                   1                    7391                 15                   3.941867             
5                    92                   1                    9265                 22                   3.369091             
5                    104                  1                    11464                26                   3.527385             
5                    112                  1                    10236                23                   3.560348             
5                    115                  1                    10090                22                   3.669091             
5                    32                   1                    9758                 22                   3.548364             
5                    116                  1                    16318                37                   3.528216             
6                    42                   1                    8728                 22                   3.173818             
6                    43                   1                    7686                 14                   4.392000             
6                    54                   1                    7778                 17                   3.660235             
6                    55                   1                    6343                 11                   4.613091             
6                    66                   1                    6004                 11                   4.366546             
6                    67                   1                    5637                 10                   4.509600             
6                    78                   1                    5713                 15                   3.046933             
6                    79                   1                    6389                 11                   4.646545             
6                    90                   1                    7532                 18                   3.347556             
6                    91                   1                    8298                 18                   3.688000             
6                    30                   1                    10408                23                   3.620174             
6                    31                   1                    9969                 22                   3.625091             
6                    41                   1                    9068                 17                   4.267294             
6                    53                   1                    8292                 18                   3.685333             
6                    65                   1                    7274                 15                   3.879467             
6                    77                   1                    6815                 15                   3.634667             
6                    89                   1                    10041                22                   3.651273             
6                    29                   1                    9037                 23                   3.143304             
6                    102                  1                    9066                 18                   4.029333             
6                    103                  1                    9506                 22                   3.456727             
6                    44                   1                    9385                 18                   4.171111             
6                    56                   1                    8535                 19                   3.593684             
6                    68                   1                    6232                 14                   3.561143             
6                    80                   1                    7576                 15                   4.040534             
6                    92                   1                    9249                 22                   3.363273             
6                    32                   1                    9916                 23                   3.449044             
6                    101                  1                    10847                23                   3.772870             
6                    104                  1                    11633                29                   3.209103             
6                    18                   1                    8087                 14                   4.621143             
6                    19                   1                    9403                 22                   3.419273             
6                    17                   1                    8493                 18                   3.774667             
6                    20                   1                    9350                 22                   3.400000             
7                    30                   1                    10760                26                   3.310769             
