chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 22                   3.367273             
1                    42                   1                    9211                 19                   3.878316             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 14                   3.886857             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 12                   4.280667             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 13                   4.321231             
1                    90                   1                    8056                 19                   3.392000             
1                    91                   1                    8824                 19                   3.715369             
1                    104                  1                    11676                26                   3.592615             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 11                   4.866909             
1                    80                   1                    7734                 17                   3.639529             
1                    92                   1                    9166                 18                   4.073778             
1                    41                   1                    9589                 22                   3.486909             
1                    101                  1                    11179                26                   3.439692             
1                    77                   1                    7161                 15                   3.819200             
1                    114                  1                    10575                21                   4.028572             
1                    65                   1                    7901                 18                   3.511556             
1                    53                   1                    8729                 18                   3.879555             
1                    115                  1                    10595                26                   3.260000             
1                    89                   1                    10031                22                   3.647636             
1                    30                   1                    10373                23                   3.608000             
1                    113                  1                    8527                 18                   3.789778             
1                    31                   1                    10459                23                   3.637913             
1                    32                   1                    9779                 22                   3.556000             
1                    45                   1                    8606                 19                   3.623579             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 23                   3.410783             
1                    126                  1                    8487                 19                   3.573474             
1                    127                  1                    8599                 19                   3.620632             
1                    57                   1                    7227                 14                   4.129714             
1                    105                  1                    14274                34                   3.358588             
1                    69                   1                    7469                 13                   4.596308             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                26                   3.377846             
1                    33                   1                    9877                 23                   3.435478             
1                    117                  1                    16627                37                   3.595027             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 22                   3.358546             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 18                   3.519111             
2                    54                   1                    7607                 16                   3.803500             
2                    55                   1                    6282                 11                   4.568727             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 12                   3.960000             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 11                   4.904727             
1                    18                   1                    9508                 22                   3.457454             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 18                   3.820444             
2                    104                  1                    11780                24                   3.926667             
2                    44                   1                    9069                 19                   3.818526             
2                    56                   1                    8196                 19                   3.450947             
2                    68                   1                    6444                 16                   3.222000             
2                    80                   1                    7856                 15                   4.189867             
2                    92                   1                    9504                 23                   3.305739             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 22                   3.440364             
2                    114                  1                    11027                26                   3.392923             
2                    101                  1                    11599                26                   3.568923             
2                    41                   1                    9350                 18                   4.155556             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 19                   3.176000             
2                    77                   1                    7220                 16                   3.610000             
2                    89                   1                    10619                21                   4.045333             
2                    115                  1                    10923                24                   3.641000             
2                    116                  1                    17572                40                   3.514400             
2                    29                   1                    9803                 24                   3.267667             
2                    113                  1                    9083                 22                   3.302909             
2                    45                   1                    8640                 18                   3.840000             
2                    105                  1                    14908                33                   3.614061             
2                    57                   1                    7141                 14                   4.080572             
2                    69                   1                    7452                 15                   3.974400             
2                    81                   1                    9611                 22                   3.494909             
2                    93                   1                    11795                30                   3.145333             
2                    33                   1                    9501                 18                   4.222667             
2                    18                   1                    9079                 22                   3.301455             
2                    117                  1                    18144                44                   3.298909             
3                    102                  1                    9450                 19                   3.978947             
3                    103                  1                    9218                 22                   3.352000             
3                    42                   1                    8771                 18                   3.898222             
2                    19                   1                    10070                22                   3.661818             
2                    20                   1                    8660                 18                   3.848889             
3                    43                   1                    7925                 18                   3.522222             
3                    54                   1                    7812                 14                   4.464000             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 10                   4.902400             
3                    78                   1                    6077                 15                   3.241067             
3                    79                   1                    6585                 11                   4.789091             
3                    90                   1                    8194                 19                   3.450105             
3                    91                   1                    8808                 19                   3.708632             
3                    101                  1                    11311                24                   3.770333             
3                    53                   1                    8757                 19                   3.687158             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 15                   3.904000             
3                    89                   1                    10639                26                   3.273538             
3                    41                   1                    9365                 19                   3.943158             
3                    114                  1                    10810                25                   3.459200             
3                    115                  1                    10291                22                   3.742182             
3                    113                  1                    9056                 18                   4.024889             
3                    30                   1                    9973                 22                   3.626545             
3                    31                   1                    9806                 23                   3.410783             
3                    29                   1                    9510                 22                   3.458182             
3                    104                  1                    11117                25                   3.557440             
3                    56                   1                    8308                 19                   3.498105             
3                    68                   1                    6727                 11                   4.892364             
3                    80                   1                    7890                 19                   3.322105             
3                    92                   1                    9459                 22                   3.439636             
3                    44                   1                    9295                 20                   3.718000             
3                    116                  1                    14884                32                   3.721000             
3                    32                   1                    10252                26                   3.154462             
3                    52                   1                    8007                 14                   4.575428             
3                    28                   1                    8315                 19                   3.501053             
3                    64                   1                    8720                 18                   3.875556             
3                    76                   1                    10998                26                   3.384000             
3                    88                   1                    11465                25                   3.668800             
3                    125                  1                    8174                 20                   3.269600             
3                    40                   1                    7771                 14                   4.440571             
3                    126                  1                    8918                 22                   3.242909             
3                    127                  1                    9009                 18                   4.004000             
3                    100                  1                    11409                26                   3.510462             
3                    112                  1                    10561                22                   3.840364             
4                    41                   1                    9468                 22                   3.442909             
4                    42                   1                    8797                 18                   3.909778             
4                    53                   1                    8644                 19                   3.639579             
4                    54                   1                    7762                 19                   3.268210             
4                    65                   1                    7721                 15                   4.117867             
4                    66                   1                    6356                 16                   3.178000             
4                    77                   1                    7365                 14                   4.208571             
4                    78                   1                    6125                 29                   1.689655             
4                    89                   1                    10953                12                   7.302000             
4                    90                   1                    8044                 12                   5.362667             
4                    101                  1                    11168                26                   3.436308             
4                    102                  1                    9376                 17                   4.412235             
4                    40                   1                    8282                 18                   3.680889             
4                    52                   1                    8157                 18                   3.625333             
4                    64                   1                    8902                 19                   3.748210             
4                    76                   1                    11062                26                   3.403692             
4                    88                   1                    11744                26                   3.613539             
4                    100                  1                    10829                27                   3.208593             
4                    29                   1                    9602                 22                   3.491636             
4                    30                   1                    10009                22                   3.639636             
4                    28                   1                    8408                 18                   3.736889             
4                    43                   1                    7845                 15                   4.184000             
4                    55                   1                    6580                 15                   3.509333             
4                    67                   1                    5901                 11                   4.291636             
4                    79                   1                    6756                 16                   3.378000             
4                    91                   1                    8661                 18                   3.849333             
4                    103                  1                    9645                 22                   3.507273             
4                    31                   1                    10127                22                   3.682545             
4                    113                  1                    8935                 18                   3.971111             
4                    114                  1                    10975                25                   3.512000             
4                    112                  1                    10230                22                   3.720000             
4                    115                  1                    10480                22                   3.810909             
4                    16                   1                    9644                 22                   3.506909             
4                    17                   1                    9150                 23                   3.182609             
4                    18                   1                    9370                 20                   3.748000             
4                    27                   1                    9102                 23                   3.165913             
4                    19                   1                    10339                21                   3.938667             
4                    39                   1                    7988                 19                   3.363369             
4                    51                   1                    8114                 19                   3.416421             
5                    101                  1                    11405                26                   3.509231             
4                    63                   1                    8430                 15                   4.496000             
5                    102                  1                    9381                 23                   3.262957             
4                    75                   1                    9837                 22                   3.577091             
5                    41                   1                    8983                 19                   3.782316             
5                    42                   1                    8250                 19                   3.473684             
4                    87                   1                    11329                25                   3.625280             
5                    53                   1                    8298                 17                   3.904941             
4                    99                   1                    11294                26                   3.475077             
4                    111                  1                    10222                22                   3.717091             
5                    54                   1                    7777                 19                   3.274526             
5                    65                   1                    7425                 14                   4.242857             
5                    66                   1                    6226                 11                   4.528000             
5                    77                   1                    7170                 15                   3.824000             
5                    78                   1                    6159                 16                   3.079500             
5                    89                   1                    10545                22                   3.834545             
5                    90                   1                    7979                 19                   3.359579             
5                    100                  1                    11291                26                   3.474154             
5                    103                  1                    9151                 18                   4.067111             
5                    43                   1                    7809                 19                   3.288000             
5                    55                   1                    6490                 12                   4.326667             
5                    67                   1                    5779                 11                   4.202909             
5                    79                   1                    6426                 14                   3.672000             
5                    91                   1                    8441                 18                   3.751555             
5                    29                   1                    8773                 18                   3.899111             
5                    30                   1                    10070                22                   3.661818             
5                    40                   1                    8108                 17                   3.815529             
5                    31                   1                    9598                 22                   3.490182             
5                    52                   1                    7618                 15                   4.062933             
5                    64                   1                    8044                 19                   3.386947             
5                    76                   1                    10705                22                   3.892727             
5                    88                   1                    10949                26                   3.368923             
5                    28                   1                    7613                 18                   3.383556             
5                    113                  1                    9120                 18                   4.053333             
5                    114                  1                    10791                26                   3.320308             
5                    115                  1                    10090                22                   3.669091             
5                    112                  1                    10236                22                   3.722182             
5                    44                   1                    8829                 19                   3.717474             
5                    17                   1                    8247                 18                   3.665333             
5                    56                   1                    7872                 15                   4.198400             
5                    68                   1                    6066                 15                   3.235200             
5                    80                   1                    7391                 15                   3.941867             
5                    18                   1                    8408                 19                   3.540210             
5                    92                   1                    9265                 18                   4.117778             
5                    16                   1                    9254                 23                   3.218783             
5                    19                   1                    9541                 22                   3.469455             
5                    104                  1                    11464                25                   3.668480             
5                    32                   1                    9758                 22                   3.548364             
6                    42                   1                    8728                 18                   3.879111             
5                    116                  1                    16318                37                   3.528216             
6                    43                   1                    7686                 18                   3.416000             
5                    20                   1                    9459                 18                   4.204000             
6                    54                   1                    7778                 19                   3.274947             
6                    55                   1                    6343                 15                   3.382933             
6                    66                   1                    6004                 11                   4.366546             
6                    67                   1                    5637                 11                   4.099637             
6                    78                   1                    5713                 10                   4.570400             
6                    79                   1                    6389                 11                   4.646545             
6                    90                   1                    7532                 19                   3.171368             
6                    91                   1                    8298                 18                   3.688000             
6                    30                   1                    10408                22                   3.784727             
6                    31                   1                    9969                 22                   3.625091             
6                    41                   1                    9068                 18                   4.030222             
6                    53                   1                    8292                 18                   3.685333             
6                    65                   1                    7274                 15                   3.879467             
6                    77                   1                    6815                 15                   3.634667             
6                    89                   1                    10041                22                   3.651273             
6                    29                   1                    9037                 22                   3.286182             
6                    102                  1                    9066                 19                   3.817263             
6                    103                  1                    9506                 22                   3.456727             
6                    101                  1                    10847                23                   3.772870             
6                    44                   1                    9385                 22                   3.412727             
6                    56                   1                    8535                 19                   3.593684             
6                    68                   1                    6232                 14                   3.561143             
6                    80                   1                    7576                 19                   3.189895             
6                    92                   1                    9249                 19                   3.894316             
6                    32                   1                    9916                 21                   3.777524             
6                    104                  1                    11633                26                   3.579385             
6                    18                   1                    8087                 18                   3.594222             
6                    19                   1                    9403                 25                   3.008960             
6                    17                   1                    8493                 18                   3.774667             
