chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 24                   3.070333             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 15                   4.152534             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 15                   3.424533             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 14                   4.012571             
1                    90                   1                    8056                 16                   4.028000             
1                    91                   1                    8824                 22                   3.208727             
1                    102                  1                    9523                 19                   4.009684             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 23                   3.335304             
1                    53                   1                    8729                 20                   3.491600             
1                    65                   1                    7901                 19                   3.326737             
1                    77                   1                    7161                 14                   4.092000             
1                    89                   1                    10031                22                   3.647636             
1                    101                  1                    11179                22                   4.065091             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 15                   4.124800             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                26                   3.592615             
1                    114                  1                    10575                22                   3.845454             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 19                   3.590316             
1                    30                   1                    10373                22                   3.772000             
1                    31                   1                    10459                22                   3.803273             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 23                   3.410783             
1                    32                   1                    9779                 22                   3.556000             
1                    40                   1                    8078                 15                   4.308267             
1                    52                   1                    8579                 20                   3.431600             
1                    64                   1                    8345                 19                   3.513684             
1                    125                  1                    7621                 19                   3.208842             
1                    126                  1                    8487                 18                   3.772000             
1                    127                  1                    8599                 18                   3.821778             
1                    128                  1                    11287                26                   3.472923             
1                    45                   1                    8606                 20                   3.442400             
1                    57                   1                    7227                 14                   4.129714             
1                    69                   1                    7469                 15                   3.983467             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                33                   3.460364             
1                    117                  1                    16627                37                   3.595027             
1                    33                   1                    9877                 23                   3.435478             
1                    129                  1                    10865                26                   3.343077             
1                    18                   1                    9508                 19                   4.003368             
1                    19                   1                    10043                22                   3.652000             
1                    20                   1                    9541                 22                   3.469455             
1                    17                   1                    9794                 22                   3.561455             
1                    21                   1                    8659                 20                   3.463600             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 18                   3.519111             
2                    44                   1                    9069                 18                   4.030667             
2                    54                   1                    7607                 20                   3.042800             
2                    55                   1                    6282                 11                   4.568727             
2                    56                   1                    8196                 18                   3.642667             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 15                   3.168000             
2                    68                   1                    6444                 11                   4.686545             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 14                   3.853714             
2                    80                   1                    7856                 15                   4.189867             
2                    90                   1                    7843                 18                   3.485778             
2                    91                   1                    8596                 18                   3.820444             
2                    92                   1                    9504                 22                   3.456000             
2                    102                  1                    9522                 18                   4.232000             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                25                   3.769600             
2                    30                   1                    10147                22                   3.689818             
