chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 23                   3.220870             
1                    42                   1                    9211                 18                   4.093778             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 11                   4.669818             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 18                   3.921778             
1                    104                  1                    11676                26                   3.592615             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 11                   4.866909             
1                    80                   1                    7734                 18                   3.437333             
1                    92                   1                    9166                 18                   4.073778             
1                    89                   1                    10031                22                   3.647636             
1                    30                   1                    10373                26                   3.191692             
1                    115                  1                    10595                22                   3.852727             
1                    31                   1                    10459                26                   3.218154             
1                    32                   1                    9779                 18                   4.346222             
1                    113                  1                    8527                 18                   3.789778             
1                    29                   1                    9806                 22                   3.565818             
1                    105                  1                    14274                33                   3.460364             
1                    45                   1                    8606                 19                   3.623579             
1                    114                  1                    10575                26                   3.253846             
1                    125                  1                    7621                 14                   4.354857             
1                    57                   1                    7227                 15                   3.854400             
1                    41                   1                    9589                 22                   3.486909             
1                    116                  1                    16716                41                   3.261658             
1                    65                   1                    7901                 15                   4.213867             
1                    126                  1                    8487                 18                   3.772000             
1                    69                   1                    7469                 18                   3.319556             
1                    101                  1                    11179                22                   4.065091             
1                    77                   1                    7161                 15                   3.819200             
1                    53                   1                    8729                 22                   3.174182             
1                    127                  1                    8599                 19                   3.620632             
1                    128                  1                    11287                26                   3.472923             
1                    81                   1                    9442                 19                   3.975579             
1                    93                   1                    10978                27                   3.252741             
1                    33                   1                    9877                 21                   3.762667             
1                    117                  1                    16627                39                   3.410667             
1                    129                  1                    10865                25                   3.476800             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 18                   4.104889             
2                    104                  1                    11780                30                   3.141333             
2                    42                   1                    8862                 19                   3.731368             
2                    43                   1                    7918                 14                   4.524571             
1                    18                   1                    9508                 22                   3.457454             
2                    54                   1                    7607                 15                   4.057066             
1                    19                   1                    10043                26                   3.090154             
2                    55                   1                    6282                 11                   4.568727             
1                    20                   1                    9541                 21                   3.634667             
2                    66                   1                    6358                 12                   4.238667             
2                    67                   1                    5940                 11                   4.320000             
1                    17                   1                    9794                 22                   3.561455             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 15                   3.596800             
2                    90                   1                    7843                 15                   4.182933             
2                    91                   1                    8596                 19                   3.619368             
2                    44                   1                    9069                 23                   3.154435             
2                    56                   1                    8196                 16                   4.098000             
1                    21                   1                    8659                 23                   3.011826             
2                    68                   1                    6444                 12                   4.296000             
2                    80                   1                    7856                 19                   3.307790             
2                    92                   1                    9504                 24                   3.168000             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 21                   3.809143             
2                    32                   1                    9461                 22                   3.440364             
2                    101                  1                    11599                27                   3.436741             
2                    41                   1                    9350                 19                   3.936842             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                22                   3.861454             
2                    114                  1                    11027                26                   3.392923             
2                    45                   1                    8640                 19                   3.637895             
2                    115                  1                    10923                26                   3.360923             
2                    57                   1                    7141                 16                   3.570500             
2                    29                   1                    9803                 22                   3.564727             
2                    116                  1                    17572                41                   3.428683             
2                    113                  1                    9083                 22                   3.302909             
2                    105                  1                    14908                33                   3.614061             
2                    69                   1                    7452                 15                   3.974400             
2                    81                   1                    9611                 22                   3.494909             
2                    21                   1                    7679                 15                   4.095467             
3                    102                  1                    9450                 22                   3.436364             
2                    33                   1                    9501                 22                   3.454909             
2                    93                   1                    11795                25                   3.774400             
2                    18                   1                    9079                 19                   3.822737             
3                    103                  1                    9218                 22                   3.352000             
2                    19                   1                    10070                23                   3.502609             
2                    117                  1                    18144                44                   3.298909             
3                    54                   1                    7812                 16                   3.906000             
2                    20                   1                    8660                 24                   2.886667             
3                    55                   1                    6525                 10                   5.220000             
3                    66                   1                    6763                 15                   3.606933             
2                    17                   1                    9723                 22                   3.535636             
3                    67                   1                    6128                 11                   4.456728             
3                    78                   1                    6077                 15                   3.241067             
3                    79                   1                    6585                 11                   4.789091             
3                    90                   1                    8194                 19                   3.450105             
3                    91                   1                    8808                 19                   3.708632             
3                    42                   1                    8771                 22                   3.189455             
3                    43                   1                    7925                 16                   3.962500             
3                    101                  1                    11311                25                   3.619520             
3                    53                   1                    8757                 19                   3.687158             
3                    65                   1                    7769                 18                   3.452889             
3                    77                   1                    7320                 15                   3.904000             
3                    89                   1                    10639                26                   3.273538             
3                    41                   1                    9365                 18                   4.162222             
3                    114                  1                    10810                26                   3.326154             
3                    115                  1                    10291                23                   3.579478             
3                    113                  1                    9056                 19                   3.813053             
3                    30                   1                    9973                 23                   3.468869             
3                    31                   1                    9806                 22                   3.565818             
3                    104                  1                    11117                26                   3.420615             
3                    56                   1                    8308                 18                   3.692445             
3                    68                   1                    6727                 15                   3.587733             
3                    29                   1                    9510                 19                   4.004210             
3                    80                   1                    7890                 19                   3.322105             
