chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 22                   3.367273             
1                    42                   1                    9211                 18                   4.093778             
1                    43                   1                    8311                 18                   3.693778             
1                    54                   1                    7786                 18                   3.460444             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 11                   4.669818             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 17                   3.791059             
1                    91                   1                    8824                 18                   3.921778             
1                    104                  1                    11676                26                   3.592615             
1                    44                   1                    9193                 19                   3.870737             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 19                   3.859368             
1                    114                  1                    10575                26                   3.253846             
1                    30                   1                    10373                22                   3.772000             
1                    45                   1                    8606                 18                   3.824889             
1                    115                  1                    10595                22                   3.852727             
1                    57                   1                    7227                 15                   3.854400             
1                    31                   1                    10459                27                   3.098963             
1                    113                  1                    8527                 20                   3.410800             
1                    32                   1                    9779                 22                   3.556000             
1                    29                   1                    9806                 22                   3.565818             
1                    116                  1                    16716                37                   3.614270             
1                    65                   1                    7901                 18                   3.511556             
1                    129                  1                    10865                22                   3.950909             
1                    105                  1                    14274                33                   3.460364             
1                    101                  1                    11179                26                   3.439692             
1                    41                   1                    9589                 22                   3.486909             
1                    53                   1                    8729                 19                   3.675368             
1                    77                   1                    7161                 16                   3.580500             
1                    89                   1                    10031                22                   3.647636             
1                    126                  1                    8487                 18                   3.772000             
1                    69                   1                    7469                 18                   3.319556             
1                    127                  1                    8599                 18                   3.821778             
1                    81                   1                    9442                 18                   4.196445             
1                    128                  1                    11287                25                   3.611840             
1                    93                   1                    10978                26                   3.377846             
1                    125                  1                    7621                 15                   4.064533             
1                    117                  1                    16627                41                   3.244293             
1                    33                   1                    9877                 21                   3.762667             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 18                   4.104889             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 18                   3.519111             
1                    18                   1                    9508                 22                   3.457454             
2                    54                   1                    7607                 15                   4.057066             
1                    19                   1                    10043                23                   3.493217             
2                    55                   1                    6282                 11                   4.568727             
1                    17                   1                    9794                 22                   3.561455             
2                    66                   1                    6358                 15                   3.390933             
2                    67                   1                    5940                 11                   4.320000             
1                    20                   1                    9541                 22                   3.469455             
1                    21                   1                    8659                 18                   3.848444             
2                    78                   1                    6307                 11                   4.586909             
2                    79                   1                    6744                 15                   3.596800             
2                    90                   1                    7843                 20                   3.137200             
2                    91                   1                    8596                 19                   3.619368             
2                    104                  1                    11780                25                   3.769600             
2                    44                   1                    9069                 22                   3.297818             
2                    56                   1                    8196                 15                   4.371200             
2                    68                   1                    6444                 15                   3.436800             
2                    80                   1                    7856                 15                   4.189867             
2                    92                   1                    9504                 22                   3.456000             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 23                   3.477913             
2                    32                   1                    9461                 23                   3.290783             
2                    101                  1                    11599                23                   4.034435             
2                    41                   1                    9350                 22                   3.400000             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 15                   4.022933             
2                    77                   1                    7220                 15                   3.850667             
2                    114                  1                    11027                26                   3.392923             
2                    89                   1                    10619                22                   3.861454             
2                    45                   1                    8640                 19                   3.637895             
2                    116                  1                    17572                45                   3.123911             
2                    115                  1                    10923                23                   3.799304             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 22                   3.302909             
2                    105                  1                    14908                34                   3.507765             
3                    102                  1                    9450                 22                   3.436364             
2                    81                   1                    9611                 23                   3.342957             
2                    18                   1                    9079                 20                   3.631600             
3                    103                  1                    9218                 18                   4.096889             
2                    33                   1                    9501                 22                   3.454909             
3                    42                   1                    8771                 20                   3.508400             
2                    57                   1                    7141                 14                   4.080572             
2                    21                   1                    7679                 19                   3.233263             
3                    43                   1                    7925                 15                   4.226666             
2                    93                   1                    11795                29                   3.253793             
2                    117                  1                    18144                41                   3.540293             
3                    54                   1                    7812                 20                   3.124800             
3                    55                   1                    6525                 15                   3.480000             
2                    69                   1                    7452                 15                   3.974400             
3                    66                   1                    6763                 15                   3.606933             
2                    19                   1                    10070                22                   3.661818             
3                    67                   1                    6128                 11                   4.456728             
2                    20                   1                    8660                 19                   3.646316             
3                    78                   1                    6077                 15                   3.241067             
3                    79                   1                    6585                 11                   4.789091             
2                    17                   1                    9723                 21                   3.704000             
3                    90                   1                    8194                 19                   3.450105             
3                    91                   1                    8808                 19                   3.708632             
3                    101                  1                    11311                26                   3.480308             
3                    53                   1                    8757                 18                   3.892000             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 15                   3.904000             
3                    89                   1                    10639                23                   3.700522             
3                    41                   1                    9365                 21                   3.567619             
3                    114                  1                    10810                25                   3.459200             
3                    115                  1                    10291                22                   3.742182             
3                    113                  1                    9056                 23                   3.149913             
3                    104                  1                    11117                26                   3.420615             
3                    30                   1                    9973                 22                   3.626545             
3                    56                   1                    8308                 14                   4.747428             
3                    31                   1                    9806                 22                   3.565818             
3                    68                   1                    6727                 15                   3.587733             
3                    29                   1                    9510                 24                   3.170000             
3                    80                   1                    7890                 15                   4.208000             
3                    92                   1                    9459                 22                   3.439636             
3                    44                   1                    9295                 22                   3.380000             
3                    116                  1                    14884                34                   3.502118             
3                    52                   1                    8007                 20                   3.202800             
3                    125                  1                    8174                 19                   3.441684             
3                    64                   1                    8720                 18                   3.875556             
3                    126                  1                    8918                 18                   3.963556             
3                    32                   1                    10252                22                   3.728000             
3                    76                   1                    10998                27                   3.258667             
3                    88                   1                    11465                25                   3.668800             
3                    40                   1                    7771                 15                   4.144533             
3                    100                  1                    11409                26                   3.510462             
3                    112                  1                    10561                26                   3.249538             
4                    41                   1                    9468                 23                   3.293217             
3                    28                   1                    8315                 15                   4.434667             
4                    42                   1                    8797                 26                   2.706769             
3                    127                  1                    9009                 18                   4.004000             
4                    53                   1                    8644                 16                   4.322000             
3                    124                  1                    11393                26                   3.505538             
4                    54                   1                    7762                 19                   3.268210             
4                    65                   1                    7721                 15                   4.117867             
4                    66                   1                    6356                 16                   3.178000             
3                    20                   1                    9210                 18                   4.093333             
4                    77                   1                    7365                 15                   3.928000             
3                    17                   1                    9542                 22                   3.469818             
4                    78                   1                    6125                 11                   4.454545             
3                    18                   1                    9023                 22                   3.281091             
4                    89                   1                    10953                22                   3.982909             
3                    16                   1                    9390                 22                   3.414546             
4                    90                   1                    8044                 18                   3.575111             
4                    101                  1                    11168                25                   3.573760             
3                    27                   1                    8357                 15                   4.457067             
3                    19                   1                    10330                26                   3.178462             
3                    75                   1                    9198                 19                   3.872842             
4                    102                  1                    9376                 22                   3.409455             
4                    40                   1                    8282                 19                   3.487158             
4                    52                   1                    8157                 18                   3.625333             
4                    64                   1                    8902                 19                   3.748210             
4                    55                   1                    6580                 15                   3.509333             
4                    76                   1                    11062                22                   4.022545             
4                    88                   1                    11744                30                   3.131733             
4                    100                  1                    10829                23                   3.766609             
4                    28                   1                    8408                 19                   3.540210             
4                    29                   1                    9602                 22                   3.491636             
4                    30                   1                    10009                22                   3.639636             
4                    43                   1                    7845                 18                   3.486667             
4                    67                   1                    5901                 11                   4.291636             
4                    79                   1                    6756                 15                   3.603200             
4                    91                   1                    8661                 19                   3.646737             
4                    103                  1                    9645                 18                   4.286667             
4                    31                   1                    10127                26                   3.116000             
4                    113                  1                    8935                 19                   3.762105             
4                    114                  1                    10975                26                   3.376923             
4                    112                  1                    10230                22                   3.720000             
4                    115                  1                    10480                22                   3.810909             
4                    27                   1                    9102                 22                   3.309818             
4                    39                   1                    7988                 15                   4.260267             
5                    101                  1                    11405                26                   3.509231             
5                    102                  1                    9381                 23                   3.262957             
4                    51                   1                    8114                 19                   3.416421             
5                    41                   1                    8983                 19                   3.782316             
4                    75                   1                    9837                 23                   3.421565             
5                    42                   1                    8250                 19                   3.473684             
4                    87                   1                    11329                25                   3.625280             
5                    53                   1                    8298                 19                   3.493895             
4                    63                   1                    8430                 19                   3.549474             
5                    54                   1                    7777                 15                   4.147733             
4                    99                   1                    11294                25                   3.614080             
5                    65                   1                    7425                 15                   3.960000             
5                    66                   1                    6226                 15                   3.320533             
4                    19                   1                    10339                22                   3.759636             
5                    78                   1                    6159                 11                   4.479273             
4                    16                   1                    9644                 23                   3.354435             
4                    15                   1                    7969                 19                   3.355368             
5                    90                   1                    7979                 15                   4.255466             
4                    111                  1                    10222                26                   3.145231             
5                    77                   1                    7170                 15                   3.824000             
4                    17                   1                    9150                 18                   4.066667             
5                    89                   1                    10545                26                   3.244615             
5                    43                   1                    7809                 13                   4.805539             
5                    100                  1                    11291                26                   3.474154             
5                    30                   1                    10070                25                   3.222400             
5                    40                   1                    8108                 15                   4.324266             
5                    55                   1                    6490                 14                   3.708571             
5                    67                   1                    5779                 11                   4.202909             
5                    76                   1                    10705                22                   3.892727             
5                    28                   1                    7613                 18                   3.383556             
5                    52                   1                    7618                 15                   4.062933             
5                    79                   1                    6426                 16                   3.213000             
5                    88                   1                    10949                22                   3.981455             
5                    91                   1                    8441                 18                   3.751555             
5                    103                  1                    9151                 22                   3.327636             
5                    64                   1                    8044                 18                   3.575111             
5                    29                   1                    8773                 18                   3.899111             
5                    31                   1                    9598                 18                   4.265778             
5                    113                  1                    9120                 23                   3.172174             
5                    114                  1                    10791                25                   3.453120             
6                    42                   1                    8728                 19                   3.674947             
5                    115                  1                    10090                22                   3.669091             
5                    56                   1                    7872                 15                   4.198400             
5                    104                  1                    11464                26                   3.527385             
6                    43                   1                    7686                 19                   3.236211             
5                    44                   1                    8829                 18                   3.924000             
6                    54                   1                    7778                 18                   3.456889             
6                    55                   1                    6343                 11                   4.613091             
5                    32                   1                    9758                 22                   3.548364             
5                    80                   1                    7391                 20                   2.956400             
5                    17                   1                    8247                 14                   4.712572             
5                    116                  1                    16318                41                   3.184000             
6                    66                   1                    6004                 11                   4.366546             
5                    92                   1                    9265                 22                   3.369091             
6                    67                   1                    5637                 12                   3.758000             
5                    68                   1                    6066                 11                   4.411636             
5                    18                   1                    8408                 18                   3.736889             
6                    78                   1                    5713                 11                   4.154909             
5                    16                   1                    9254                 18                   4.112889             
5                    112                  1                    10236                26                   3.149539             
6                    79                   1                    6389                 11                   4.646545             
5                    19                   1                    9541                 23                   3.318609             
6                    90                   1                    7532                 15                   4.017066             
5                    20                   1                    9459                 22                   3.439636             
6                    91                   1                    8298                 18                   3.688000             
6                    30                   1                    10408                21                   3.964952             
6                    31                   1                    9969                 22                   3.625091             
6                    41                   1                    9068                 19                   3.818105             
6                    53                   1                    8292                 18                   3.685333             
