chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 22                   3.349455             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 15                   4.152534             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 15                   3.424533             
1                    78                   1                    6685                 16                   3.342500             
1                    79                   1                    7022                 13                   4.321231             
1                    90                   1                    8056                 15                   4.296533             
1                    91                   1                    8824                 23                   3.069217             
1                    102                  1                    9523                 19                   4.009684             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 23                   3.335304             
1                    53                   1                    8729                 19                   3.675368             
1                    65                   1                    7901                 15                   4.213867             
1                    77                   1                    7161                 18                   3.182667             
1                    89                   1                    10031                22                   3.647636             
1                    101                  1                    11179                22                   4.065091             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 16                   3.867000             
1                    92                   1                    9166                 22                   3.333091             
1                    104                  1                    11676                26                   3.592615             
1                    114                  1                    10575                22                   3.845454             
1                    115                  1                    10595                26                   3.260000             
1                    113                  1                    8527                 19                   3.590316             
1                    30                   1                    10373                23                   3.608000             
1                    31                   1                    10459                23                   3.637913             
1                    116                  1                    16716                42                   3.184000             
1                    29                   1                    9806                 23                   3.410783             
1                    32                   1                    9779                 21                   3.725333             
1                    45                   1                    8606                 18                   3.824889             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 16                   3.734500             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                25                   3.512960             
1                    105                  1                    14274                33                   3.460364             
1                    33                   1                    9877                 19                   4.158737             
1                    117                  1                    16627                42                   3.167048             
2                    42                   1                    8862                 18                   3.938667             
2                    43                   1                    7918                 18                   3.519111             
2                    44                   1                    9069                 18                   4.030667             
2                    54                   1                    7607                 19                   3.202947             
2                    55                   1                    6282                 10                   5.025600             
2                    56                   1                    8196                 18                   3.642667             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 16                   2.970000             
2                    68                   1                    6444                 11                   4.686545             
2                    78                   1                    6307                 15                   3.363733             
2                    79                   1                    6744                 12                   4.496000             
2                    80                   1                    7856                 19                   3.307790             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 19                   3.619368             
2                    92                   1                    9504                 17                   4.472471             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                25                   3.769600             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 22                   3.440364             
2                    41                   1                    9350                 18                   4.155556             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 18                   3.352444             
2                    77                   1                    7220                 15                   3.850667             
2                    89                   1                    10619                23                   3.693565             
2                    101                  1                    11599                31                   2.993290             
2                    114                  1                    11027                22                   4.009818             
2                    115                  1                    10923                27                   3.236444             
2                    116                  1                    17572                41                   3.428683             
2                    29                   1                    9803                 23                   3.409739             
2                    113                  1                    9083                 19                   3.824421             
2                    45                   1                    8640                 23                   3.005217             
2                    57                   1                    7141                 14                   4.080572             
2                    69                   1                    7452                 16                   3.726000             
