chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 22                   3.462909             
1                    103                  1                    9260                 23                   3.220870             
1                    42                   1                    9211                 18                   4.093778             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 16                   3.532500             
1                    67                   1                    6421                 11                   4.669818             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 18                   3.921778             
1                    104                  1                    11676                26                   3.592615             
1                    44                   1                    9193                 19                   3.870737             
1                    56                   1                    8446                 17                   3.974588             
1                    68                   1                    6692                 14                   3.824000             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 20                   3.666400             
1                    41                   1                    9589                 23                   3.335304             
1                    101                  1                    11179                26                   3.439692             
1                    77                   1                    7161                 15                   3.819200             
1                    53                   1                    8729                 19                   3.675368             
1                    65                   1                    7901                 15                   4.213867             
1                    89                   1                    10031                26                   3.086462             
1                    114                  1                    10575                22                   3.845454             
1                    116                  1                    16716                41                   3.261658             
1                    113                  1                    8527                 18                   3.789778             
1                    30                   1                    10373                21                   3.951619             
1                    31                   1                    10459                22                   3.803273             
1                    32                   1                    9779                 23                   3.401391             
1                    29                   1                    9806                 22                   3.565818             
1                    105                  1                    14274                33                   3.460364             
1                    45                   1                    8606                 18                   3.824889             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 18                   3.319556             
1                    115                  1                    10595                22                   3.852727             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                24                   3.659333             
1                    33                   1                    9877                 23                   3.435478             
1                    117                  1                    16627                42                   3.167048             
2                    102                  1                    9522                 22                   3.462545             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                27                   3.490370             
2                    42                   1                    8862                 22                   3.222545             
2                    43                   1                    7918                 15                   4.222933             
2                    54                   1                    7607                 18                   3.380889             
2                    55                   1                    6282                 11                   4.568727             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 15                   3.168000             
2                    78                   1                    6307                 12                   4.204667             
2                    79                   1                    6744                 14                   3.853714             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 19                   3.619368             
2                    44                   1                    9069                 19                   3.818526             
2                    56                   1                    8196                 20                   3.278400             
2                    68                   1                    6444                 10                   5.155200             
2                    80                   1                    7856                 19                   3.307790             
2                    92                   1                    9504                 22                   3.456000             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 18                   4.204889             
2                    101                  1                    11599                29                   3.199724             
2                    41                   1                    9350                 19                   3.936842             
2                    53                   1                    8484                 19                   3.572211             
2                    65                   1                    7543                 16                   3.771500             
2                    77                   1                    7220                 18                   3.208889             
2                    89                   1                    10619                22                   3.861454             
2                    114                  1                    11027                26                   3.392923             
2                    115                  1                    10923                23                   3.799304             
2                    116                  1                    17572                45                   3.123911             
2                    29                   1                    9803                 21                   3.734476             
2                    113                  1                    9083                 19                   3.824421             
2                    105                  1                    14908                34                   3.507765             
2                    45                   1                    8640                 22                   3.141818             
2                    57                   1                    7141                 15                   3.808533             
2                    69                   1                    7452                 15                   3.974400             
2                    81                   1                    9611                 23                   3.342957             
2                    93                   1                    11795                26                   3.629231             
2                    33                   1                    9501                 22                   3.454909             
2                    117                  1                    18144                41                   3.540293             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 22                   3.352000             
3                    42                   1                    8771                 18                   3.898222             
3                    43                   1                    7925                 19                   3.336842             
3                    54                   1                    7812                 15                   4.166400             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 11                   4.456728             
3                    78                   1                    6077                 11                   4.419636             
3                    79                   1                    6585                 15                   3.512000             
3                    90                   1                    8194                 18                   3.641778             
3                    91                   1                    8808                 18                   3.914667             
3                    101                  1                    11311                26                   3.480308             
3                    41                   1                    9365                 23                   3.257391             
3                    53                   1                    8757                 18                   3.892000             
3                    65                   1                    7769                 14                   4.439429             
3                    77                   1                    7320                 20                   2.928000             
3                    89                   1                    10639                22                   3.868727             
3                    104                  1                    11117                26                   3.420615             
3                    114                  1                    10810                26                   3.326154             
3                    115                  1                    10291                22                   3.742182             
3                    56                   1                    8308                 19                   3.498105             
3                    68                   1                    6727                 14                   3.844000             
3                    113                  1                    9056                 18                   4.024889             
3                    80                   1                    7890                 19                   3.322105             
3                    92                   1                    9459                 20                   3.783600             
3                    44                   1                    9295                 23                   3.233043             
3                    30                   1                    9973                 22                   3.626545             
3                    31                   1                    9806                 22                   3.565818             
3                    29                   1                    9510                 18                   4.226666             
