chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 23                   3.220870             
1                    42                   1                    9211                 18                   4.093778             
1                    43                   1                    8311                 19                   3.499368             
1                    54                   1                    7786                 19                   3.278316             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 14                   4.037143             
1                    67                   1                    6421                 11                   4.669818             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 14                   4.012571             
1                    90                   1                    8056                 18                   3.580444             
1                    91                   1                    8824                 19                   3.715369             
1                    104                  1                    11676                25                   3.736320             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 18                   3.753778             
1                    68                   1                    6692                 11                   4.866909             
1                    80                   1                    7734                 18                   3.437333             
1                    92                   1                    9166                 18                   4.073778             
1                    41                   1                    9589                 22                   3.486909             
1                    101                  1                    11179                26                   3.439692             
1                    77                   1                    7161                 15                   3.819200             
1                    53                   1                    8729                 18                   3.879555             
1                    65                   1                    7901                 19                   3.326737             
1                    89                   1                    10031                22                   3.647636             
1                    114                  1                    10575                22                   3.845454             
1                    113                  1                    8527                 18                   3.789778             
1                    30                   1                    10373                26                   3.191692             
1                    115                  1                    10595                23                   3.685217             
1                    31                   1                    10459                22                   3.803273             
1                    32                   1                    9779                 23                   3.401391             
1                    105                  1                    14274                34                   3.358588             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 22                   3.565818             
1                    45                   1                    8606                 18                   3.824889             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 14                   4.268000             
1                    81                   1                    9442                 21                   3.596952             
1                    93                   1                    10978                26                   3.377846             
2                    102                  1                    9522                 19                   4.009263             
2                    103                  1                    9236                 22                   3.358546             
2                    104                  1                    11780                26                   3.624615             
2                    42                   1                    8862                 20                   3.544800             
2                    43                   1                    7918                 17                   3.726118             
2                    44                   1                    9069                 18                   4.030667             
2                    54                   1                    7607                 18                   3.380889             
2                    55                   1                    6282                 11                   4.568727             
2                    56                   1                    8196                 18                   3.642667             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 15                   3.168000             
2                    78                   1                    6307                 11                   4.586909             
2                    79                   1                    6744                 15                   3.596800             
2                    90                   1                    7843                 19                   3.302316             
2                    91                   1                    8596                 18                   3.820444             
1                    33                   1                    9877                 22                   3.591636             
2                    68                   1                    6444                 11                   4.686545             
2                    80                   1                    7856                 19                   3.307790             
2                    92                   1                    9504                 23                   3.305739             
1                    117                  1                    16627                37                   3.595027             
2                    30                   1                    10147                23                   3.529391             
2                    31                   1                    9999                 21                   3.809143             
2                    32                   1                    9461                 23                   3.290783             
2                    101                  1                    11599                26                   3.568923             
2                    41                   1                    9350                 23                   3.252174             
2                    53                   1                    8484                 18                   3.770667             
2                    65                   1                    7543                 15                   4.022933             
2                    77                   1                    7220                 15                   3.850667             
2                    89                   1                    10619                26                   3.267385             
2                    114                  1                    11027                23                   3.835478             
2                    115                  1                    10923                26                   3.360923             
2                    116                  1                    17572                40                   3.514400             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 22                   3.302909             
2                    45                   1                    8640                 18                   3.840000             
2                    105                  1                    14908                33                   3.614061             
2                    57                   1                    7141                 15                   3.808533             
2                    69                   1                    7452                 19                   3.137684             
2                    81                   1                    9611                 18                   4.271555             
2                    93                   1                    11795                30                   3.145333             
2                    33                   1                    9501                 18                   4.222667             
2                    117                  1                    18144                45                   3.225600             
3                    102                  1                    9450                 22                   3.436364             
3                    103                  1                    9218                 15                   4.916266             
3                    42                   1                    8771                 18                   3.898222             
3                    43                   1                    7925                 18                   3.522222             
3                    54                   1                    7812                 15                   4.166400             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 14                   3.864571             
3                    67                   1                    6128                 12                   4.085333             
3                    78                   1                    6077                 11                   4.419636             
3                    79                   1                    6585                 16                   3.292500             
3                    90                   1                    8194                 15                   4.370133             
3                    91                   1                    8808                 15                   4.697600             
3                    101                  1                    11311                25                   3.619520             
3                    53                   1                    8757                 19                   3.687158             
3                    65                   1                    7769                 19                   3.271158             
3                    77                   1                    7320                 15                   3.904000             
3                    89                   1                    10639                22                   3.868727             
3                    41                   1                    9365                 22                   3.405455             
3                    114                  1                    10810                25                   3.459200             
3                    115                  1                    10291                17                   4.842824             
3                    104                  1                    11117                22                   4.042545             
3                    113                  1                    9056                 18                   4.024889             
3                    56                   1                    8308                 18                   3.692445             
3                    68                   1                    6727                 14                   3.844000             
3                    80                   1                    7890                 15                   4.208000             
3                    92                   1                    9459                 22                   3.439636             
3                    44                   1                    9295                 19                   3.913684             
3                    30                   1                    9973                 22                   3.626545             
3                    31                   1                    9806                 23                   3.410783             
3                    29                   1                    9510                 22                   3.458182             
3                    116                  1                    14884                33                   3.608243             
3                    100                  1                    11409                26                   3.510462             
3                    52                   1                    8007                 18                   3.558667             
3                    64                   1                    8720                 18                   3.875556             
3                    32                   1                    10252                22                   3.728000             
3                    76                   1                    10998                27                   3.258667             
3                    88                   1                    11465                26                   3.527692             
3                    40                   1                    7771                 19                   3.272000             
3                    28                   1                    8315                 18                   3.695555             
3                    112                  1                    10561                21                   4.023238             
4                    41                   1                    9468                 22                   3.442909             
4                    42                   1                    8797                 22                   3.198909             
4                    53                   1                    8644                 18                   3.841778             
