chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1423                 2                    5.692000             
1                    43                   1                    1290                 2                    5.160000             
1                    54                   1                    1440                 4                    2.880000             
1                    55                   1                    1401                 0                    inf                  
1                    66                   1                    1345                 2                    5.380000             
1                    67                   1                    1280                 2                    5.120000             
1                    78                   1                    1422                 0                    inf                  
1                    79                   1                    1403                 2                    5.612000             
1                    90                   1                    1298                 2                    5.192000             
1                    91                   1                    1337                 0                    inf                  
1                    102                  1                    1395                 1                    11.160000            
1                    103                  1                    1352                 2                    5.408000             
1                    41                   1                    1531                 0                    inf                  
1                    53                   1                    1279                 0                    inf                  
1                    65                   1                    1360                 4                    2.720000             
1                    77                   1                    1354                 2                    5.416000             
1                    89                   1                    1455                 2                    5.820000             
1                    101                  1                    1583                 2                    6.332000             
1                    44                   1                    1391                 1                    11.128000            
1                    56                   1                    1409                 2                    5.636000             
1                    68                   1                    1274                 3                    3.397333             
1                    80                   1                    1425                 0                    inf                  
1                    92                   1                    1373                 2                    5.492000             
1                    104                  1                    1480                 2                    5.920000             
1                    114                  1                    1596                 1                    12.768000            
1                    115                  1                    1510                 2                    6.040000             
1                    113                  1                    1470                 1                    11.760000            
1                    30                   1                    1597                 3                    4.258667             
1                    31                   1                    1265                 0                    inf                  
1                    116                  1                    1624                 4                    3.248000             
1                    29                   1                    1611                 0                    inf                  
1                    32                   1                    1592                 3                    4.245333             
1                    40                   1                    1289                 0                    inf                  
1                    52                   1                    1448                 2                    5.792000             
1                    64                   1                    1365                 2                    5.460000             
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 2                    6.200000             
1                    100                  1                    1488                 0                    inf                  
1                    112                  1                    1500                 2                    6.000000             
1                    28                   1                    1770                 2                    7.080000             
1                    125                  1                    1343                 3                    3.581333             
1                    126                  1                    1410                 2                    5.640000             
1                    127                  1                    1341                 0                    inf                  
1                    128                  1                    1595                 2                    6.380000             
1                    124                  1                    1569                 2                    6.276000             
1                    45                   1                    1217                 2                    4.868000             
1                    57                   1                    1200                 3                    3.200000             
1                    69                   1                    1251                 2                    5.004000             
1                    81                   1                    1554                 3                    4.144000             
1                    93                   1                    1619                 2                    6.476000             
1                    105                  1                    1621                 0                    inf                  
1                    117                  1                    1514                 3                    4.037333             
1                    33                   1                    1183                 0                    inf                  
1                    129                  1                    1745                 4                    3.490000             
2                    42                   1                    808                  0                    inf                  
2                    43                   1                    654                  0                    inf                  
2                    54                   1                    881                  2                    3.524000             
2                    55                   1                    630                  0                    inf                  
2                    66                   1                    732                  2                    2.928000             
2                    67                   1                    725                  2                    2.900000             
2                    78                   1                    814                  0                    inf                  
2                    79                   1                    772                  2                    3.088000             
2                    90                   1                    691                  0                    inf                  
2                    91                   1                    774                  0                    inf                  
2                    102                  1                    896                  0                    inf                  
2                    103                  1                    781                  2                    3.124000             
2                    44                   1                    808                  0                    inf                  
2                    56                   1                    596                  2                    2.384000             
2                    68                   1                    615                  0                    inf                  
2                    80                   1                    780                  1                    6.240000             
2                    92                   1                    863                  0                    inf                  
2                    104                  1                    1001                 2                    4.004000             
2                    41                   1                    752                  0                    inf                  
2                    53                   1                    713                  2                    2.852000             
2                    65                   1                    775                  1                    6.200000             
2                    77                   1                    721                  2                    2.884000             
2                    89                   1                    1054                 0                    inf                  
2                    101                  1                    1059                 2                    4.236000             
2                    114                  1                    1066                 2                    4.264000             
2                    115                  1                    980                  0                    inf                  
2                    116                  1                    1217                 0                    inf                  
2                    30                   1                    985                  2                    3.940000             
2                    31                   1                    648                  2                    2.592000             
2                    113                  1                    957                  0                    inf                  
2                    32                   1                    937                  3                    2.498667             
2                    29                   1                    843                  1                    6.744000             
2                    126                  1                    920                  0                    inf                  
2                    127                  1                    863                  0                    inf                  
2                    128                  1                    1191                 0                    inf                  
2                    125                  1                    841                  2                    3.364000             
2                    45                   1                    631                  2                    2.524000             
2                    57                   1                    596                  0                    inf                  
2                    69                   1                    657                  2                    2.628000             
2                    81                   1                    1008                 0                    inf                  
2                    93                   1                    1140                 1                    9.120000             
2                    105                  1                    1091                 0                    inf                  
2                    117                  1                    1029                 0                    inf                  
2                    33                   1                    676                  2                    2.704000             
2                    129                  1                    1290                 2                    5.160000             
1                    18                   1                    2006                 4                    4.012000             
1                    19                   1                    1933                 2                    7.732000             
1                    20                   1                    1260                 0                    inf                  
1                    17                   1                    2029                 2                    8.116000             
1                    21                   1                    1300                 3                    3.466667             
2                    18                   1                    1253                 2                    5.012000             
2                    19                   1                    1372                 2                    5.488000             
2                    20                   1                    725                  0                    inf                  
2                    17                   1                    1356                 1                    10.848000            
2                    21                   1                    676                  0                    inf                  
2                    34                   2                    21281                29                   5.870621             
2                    46                   2                    16747                23                   5.825044             
2                    58                   2                    14641                20                   5.856400             
2                    70                   2                    19110                27                   5.662222             
2                    82                   2                    27228                38                   5.732211             
2                    94                   2                    38789                52                   5.967538             
2                    106                  2                    36681                52                   5.643231             
2                    118                  2                    38431                54                   5.693481             
2                    22                   2                    20989                26                   6.458154             
3                    43                   1                    680                  3                    1.813333             
3                    44                   1                    716                  2                    2.864000             
3                    55                   1                    642                  1                    5.136000             
3                    56                   1                    690                  1                    5.520000             
3                    67                   1                    732                  0                    inf                  
3                    68                   1                    626                  2                    2.504000             
3                    79                   1                    796                  0                    inf                  
3                    80                   1                    847                  0                    inf                  
3                    91                   1                    809                  2                    3.236000             
3                    92                   1                    909                  2                    3.636000             
3                    42                   1                    826                  0                    inf                  
3                    54                   1                    946                  0                    inf                  
3                    66                   1                    753                  2                    3.012000             
3                    78                   1                    851                  2                    3.404000             
3                    90                   1                    714                  0                    inf                  
3                    103                  1                    821                  2                    3.284000             
3                    104                  1                    1002                 0                    inf                  
3                    31                   1                    666                  1                    5.328000             
3                    32                   1                    1027                 1                    8.216000             
3                    102                  1                    973                  0                    inf                  
3                    30                   1                    834                  2                    3.336000             
3                    45                   1                    633                  0                    inf                  
3                    57                   1                    634                  2                    2.536000             
3                    69                   1                    721                  0                    inf                  
3                    81                   1                    1052                 1                    8.416000             
3                    93                   1                    1194                 0                    inf                  
3                    105                  1                    1091                 0                    inf                  
3                    33                   1                    805                  2                    3.220000             
3                    114                  1                    1212                 2                    4.848000             
3                    115                  1                    1065                 2                    4.260000             
3                    116                  1                    1252                 0                    inf                  
3                    18                   1                    1164                 2                    4.656000             
3                    19                   1                    1384                 3                    3.690667             
3                    20                   1                    885                  2                    3.540000             
3                    117                  1                    1104                 0                    inf                  
3                    21                   1                    743                  1                    5.944000             
3                    29                   1                    870                  1                    6.960000             
3                    41                   1                    834                  0                    inf                  
3                    53                   1                    745                  0                    inf                  
3                    65                   1                    845                  2                    3.380000             
3                    77                   1                    766                  1                    6.128000             
3                    89                   1                    1128                 1                    9.024000             
3                    101                  1                    1061                 1                    8.488000             
3                    113                  1                    1048                 0                    inf                  
3                    17                   1                    1230                 2                    4.920000             
4                    42                   1                    815                  4                    1.630000             
4                    43                   1                    664                  1                    5.312000             
4                    54                   1                    922                  0                    inf                  
4                    55                   1                    671                  2                    2.684000             
4                    66                   1                    714                  0                    inf                  
4                    67                   1                    716                  0                    inf                  
4                    78                   1                    906                  0                    inf                  
4                    79                   1                    792                  2                    3.168000             
4                    90                   1                    714                  0                    inf                  
4                    91                   1                    793                  2                    3.172000             
4                    102                  1                    924                  2                    3.696000             
4                    103                  1                    807                  0                    inf                  
4                    44                   1                    716                  2                    2.864000             
4                    56                   1                    624                  0                    inf                  
4                    68                   1                    660                  2                    2.640000             
4                    80                   1                    859                  2                    3.436000             
4                    92                   1                    901                  1                    7.208000             
4                    104                  1                    957                  0                    inf                  
4                    41                   1                    902                  3                    2.405333             
4                    53                   1                    785                  2                    3.140000             
4                    65                   1                    811                  0                    inf                  
4                    77                   1                    744                  0                    inf                  
4                    89                   1                    1048                 2                    4.192000             
4                    101                  1                    1060                 2                    4.240000             
4                    30                   1                    874                  0                    inf                  
4                    31                   1                    649                  2                    2.596000             
4                    32                   1                    836                  0                    inf                  
4                    114                  1                    1121                 2                    4.484000             
4                    115                  1                    1082                 0                    inf                  
4                    29                   1                    952                  0                    inf                  
4                    116                  1                    1222                 2                    4.888000             
4                    113                  1                    1039                 2                    4.156000             
4                    33                   1                    695                  2                    2.780000             
4                    45                   1                    648                  0                    inf                  
4                    57                   1                    614                  2                    2.456000             
4                    69                   1                    664                  0                    inf                  
4                    81                   1                    1003                 1                    8.024000             
4                    93                   1                    1206                 0                    inf                  
4                    105                  1                    1125                 0                    inf                  
4                    117                  1                    1141                 2                    4.564000             
4                    18                   1                    1166                 2                    4.664000             
4                    19                   1                    1269                 3                    3.384000             
4                    20                   1                    954                  0                    inf                  
4                    17                   1                    1255                 2                    5.020000             
4                    21                   1                    639                  2                    2.556000             
3                    52                   1                    766                  2                    3.064000             
3                    64                   1                    789                  2                    3.156000             
3                    76                   1                    1081                 2                    4.324000             
3                    88                   1                    1053                 0                    inf                  
3                    100                  1                    1071                 0                    inf                  
3                    40                   1                    714                  0                    inf                  
3                    112                  1                    1101                 1                    8.808000             
3                    125                  1                    894                  2                    3.576000             
3                    126                  1                    961                  0                    inf                  
3                    127                  1                    957                  0                    inf                  
3                    128                  1                    1258                 2                    5.032000             
3                    28                   1                    1118                 0                    inf                  
3                    124                  1                    1277                 2                    5.108000             
4                    40                   1                    755                  0                    inf                  
4                    52                   1                    725                  2                    2.900000             
4                    64                   1                    814                  0                    inf                  
4                    76                   1                    1091                 0                    inf                  
4                    88                   1                    1107                 2                    4.428000             
4                    100                  1                    1018                 0                    inf                  
4                    112                  1                    1058                 3                    2.821333             
4                    28                   1                    967                  1                    7.736000             
4                    125                  1                    873                  0                    inf                  
4                    126                  1                    907                  2                    3.628000             
4                    127                  1                    927                  3                    2.472000             
4                    128                  1                    1210                 0                    inf                  
4                    124                  1                    1237                 0                    inf                  
3                    16                   1                    1371                 2                    5.484000             
4                    16                   1                    1371                 4                    2.742000             
4                    5                    2                    17475                25                   5.592000             
4                    6                    2                    18449                25                   5.903680             
4                    7                    2                    15400                18                   6.844444             
4                    8                    2                    15093                21                   5.749714             
4                    4                    2                    11556                16                   5.778000             
5                    17                   1                    988                  2                    3.952000             
5                    18                   1                    869                  2                    3.476000             
5                    29                   1                    931                  3                    2.482667             
5                    30                   1                    940                  0                    inf                  
5                    41                   1                    725                  0                    inf                  
5                    42                   1                    838                  0                    inf                  
5                    53                   1                    721                  2                    2.884000             
5                    54                   1                    1061                 3                    2.829333             
5                    65                   1                    911                  0                    inf                  
5                    66                   1                    751                  2                    3.004000             
5                    77                   1                    765                  0                    inf                  
5                    78                   1                    812                  2                    3.248000             
5                    19                   1                    1306                 3                    3.482667             
5                    31                   1                    665                  0                    inf                  
5                    43                   1                    642                  0                    inf                  
5                    55                   1                    655                  0                    inf                  
5                    67                   1                    736                  2                    2.944000             
5                    79                   1                    766                  0                    inf                  
5                    89                   1                    1113                 2                    4.452000             
5                    90                   1                    706                  2                    2.824000             
5                    91                   1                    811                  0                    inf                  
5                    16                   1                    1444                 2                    5.776000             
5                    28                   1                    889                  3                    2.370667             
5                    40                   1                    743                  0                    inf                  
5                    52                   1                    680                  0                    inf                  
5                    64                   1                    800                  0                    inf                  
5                    76                   1                    1110                 2                    4.440000             
5                    88                   1                    1086                 2                    4.344000             
5                    5                    1                    1323                 2                    5.292000             
5                    6                    1                    1514                 2                    6.056000             
5                    7                    1                    1040                 1                    8.320000             
5                    4                    1                    864                  1                    6.912000             
5                    101                  1                    1087                 0                    inf                  
5                    102                  1                    921                  0                    inf                  
5                    103                  1                    809                  2                    3.236000             
5                    20                   1                    1160                 4                    2.320000             
5                    32                   1                    913                  2                    3.652000             
5                    44                   1                    795                  0                    inf                  
5                    56                   1                    618                  2                    2.472000             
5                    68                   1                    608                  0                    inf                  
5                    80                   1                    844                  2                    3.376000             
5                    92                   1                    881                  3                    2.349333             
5                    100                  1                    1044                 0                    inf                  
5                    8                    1                    826                  0                    inf                  
5                    104                  1                    978                  4                    1.956000             
4                    27                   1                    1089                 2                    4.356000             
4                    39                   1                    1043                 2                    4.172000             
4                    51                   1                    779                  2                    3.116000             
4                    63                   1                    756                  0                    inf                  
4                    75                   1                    1137                 1                    9.096000             
4                    87                   1                    1079                 0                    inf                  
4                    99                   1                    1087                 2                    4.348000             
4                    111                  1                    1013                 3                    2.701333             
4                    15                   1                    876                  2                    3.504000             
5                    112                  1                    1102                 0                    inf                  
5                    113                  1                    1043                 2                    4.172000             
5                    114                  1                    1147                 2                    4.588000             
5                    115                  1                    1036                 0                    inf                  
5                    27                   1                    1145                 0                    inf                  
5                    39                   1                    1064                 2                    4.256000             
5                    51                   1                    776                  2                    3.104000             
5                    63                   1                    787                  2                    3.148000             
