chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1423                 3                    3.794667             
1                    43                   1                    1290                 3                    3.440000             
1                    54                   1                    1440                 3                    3.840000             
1                    55                   1                    1401                 0                    inf                  
1                    66                   1                    1345                 2                    5.380000             
1                    67                   1                    1280                 2                    5.120000             
1                    78                   1                    1422                 1                    11.376000            
1                    79                   1                    1403                 1                    11.224000            
1                    90                   1                    1298                 2                    5.192000             
1                    91                   1                    1337                 0                    inf                  
1                    102                  1                    1395                 2                    5.580000             
1                    103                  1                    1352                 3                    3.605333             
1                    41                   1                    1531                 0                    inf                  
1                    53                   1                    1279                 0                    inf                  
1                    65                   1                    1360                 4                    2.720000             
1                    77                   1                    1354                 2                    5.416000             
1                    89                   1                    1455                 2                    5.820000             
1                    101                  1                    1583                 2                    6.332000             
1                    44                   1                    1391                 1                    11.128000            
1                    56                   1                    1409                 2                    5.636000             
1                    68                   1                    1274                 2                    5.096000             
1                    80                   1                    1425                 0                    inf                  
1                    92                   1                    1373                 3                    3.661333             
1                    104                  1                    1480                 2                    5.920000             
1                    114                  1                    1596                 2                    6.384000             
1                    115                  1                    1510                 2                    6.040000             
1                    113                  1                    1470                 0                    inf                  
1                    30                   1                    1597                 2                    6.388000             
1                    31                   1                    1265                 0                    inf                  
1                    116                  1                    1624                 4                    3.248000             
1                    29                   1                    1611                 0                    inf                  
1                    32                   1                    1592                 2                    6.368000             
1                    40                   1                    1289                 0                    inf                  
1                    52                   1                    1448                 3                    3.861333             
1                    64                   1                    1365                 2                    5.460000             
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 2                    6.200000             
1                    100                  1                    1488                 0                    inf                  
1                    112                  1                    1500                 2                    6.000000             
1                    28                   1                    1770                 2                    7.080000             
1                    125                  1                    1343                 2                    5.372000             
1                    126                  1                    1410                 2                    5.640000             
1                    127                  1                    1341                 0                    inf                  
1                    128                  1                    1595                 3                    4.253334             
1                    124                  1                    1569                 2                    6.276000             
1                    45                   1                    1217                 2                    4.868000             
1                    57                   1                    1200                 2                    4.800000             
1                    69                   1                    1251                 2                    5.004000             
1                    81                   1                    1554                 3                    4.144000             
