chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1423                 2                    5.692000             
1                    43                   1                    1290                 2                    5.160000             
1                    54                   1                    1440                 4                    2.880000             
1                    55                   1                    1401                 1                    11.208000            
1                    66                   1                    1345                 2                    5.380000             
1                    67                   1                    1280                 2                    5.120000             
1                    78                   1                    1422                 0                    inf                  
1                    79                   1                    1403                 2                    5.612000             
1                    90                   1                    1298                 2                    5.192000             
1                    91                   1                    1337                 0                    inf                  
1                    102                  1                    1395                 3                    3.720000             
1                    103                  1                    1352                 1                    10.816000            
1                    41                   1                    1531                 0                    inf                  
1                    53                   1                    1279                 0                    inf                  
1                    65                   1                    1360                 4                    2.720000             
1                    77                   1                    1354                 2                    5.416000             
1                    89                   1                    1455                 3                    3.880000             
1                    101                  1                    1583                 2                    6.332000             
1                    44                   1                    1391                 0                    inf                  
1                    56                   1                    1409                 3                    3.757333             
1                    68                   1                    1274                 1                    10.192000            
1                    80                   1                    1425                 0                    inf                  
1                    92                   1                    1373                 2                    5.492000             
1                    104                  1                    1480                 2                    5.920000             
1                    30                   1                    1597                 2                    6.388000             
1                    31                   1                    1265                 1                    10.120000            
1                    29                   1                    1611                 1                    12.888000            
1                    32                   1                    1592                 3                    4.245333             
1                    114                  1                    1596                 0                    inf                  
1                    115                  1                    1510                 2                    6.040000             
1                    113                  1                    1470                 2                    5.880000             
1                    116                  1                    1624                 0                    inf                  
1                    17                   1                    2029                 2                    8.116000             
1                    18                   1                    2006                 2                    8.024000             
1                    19                   1                    1933                 2                    7.732000             
1                    20                   1                    1260                 1                    10.080000            
1                    28                   1                    1770                 3                    4.720000             
1                    40                   1                    1289                 3                    3.437333             
1                    52                   1                    1448                 2                    5.792000             
1                    64                   1                    1365                 0                    inf                  
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 0                    inf                  
1                    100                  1                    1488                 2                    5.952000             
1                    112                  1                    1500                 2                    6.000000             
1                    16                   1                    1822                 2                    7.288000             
2                    42                   1                    808                  1                    6.464000             
2                    43                   1                    654                  2                    2.616000             
2                    54                   1                    881                  0                    inf                  
2                    55                   1                    630                  2                    2.520000             
2                    66                   1                    732                  0                    inf                  
2                    67                   1                    725                  0                    inf                  
2                    78                   1                    814                  0                    inf                  
2                    79                   1                    772                  2                    3.088000             
2                    90                   1                    691                  0                    inf                  
2                    91                   1                    774                  0                    inf                  
2                    102                  1                    896                  2                    3.584000             
2                    103                  1                    781                  0                    inf                  
2                    41                   1                    752                  0                    inf                  
2                    53                   1                    713                  2                    2.852000             
2                    65                   1                    775                  1                    6.200000             
2                    77                   1                    721                  0                    inf                  
2                    89                   1                    1054                 1                    8.432000             
2                    101                  1                    1059                 2                    4.236000             
2                    44                   1                    808                  0                    inf                  
2                    56                   1                    596                  2                    2.384000             
2                    68                   1                    615                  0                    inf                  
2                    80                   1                    780                  1                    6.240000             
2                    92                   1                    863                  1                    6.904000             
2                    104                  1                    1001                 0                    inf                  
2                    30                   1                    985                  0                    inf                  
2                    31                   1                    648                  2                    2.592000             
2                    29                   1                    843                  0                    inf                  
2                    32                   1                    937                  0                    inf                  
2                    114                  1                    1066                 3                    2.842667             
2                    115                  1                    980                  0                    inf                  
2                    113                  1                    957                  1                    7.656000             
2                    116                  1                    1217                 2                    4.868000             
2                    17                   1                    1356                 2                    5.424000             
2                    18                   1                    1253                 2                    5.012000             
2                    19                   1                    1372                 0                    inf                  
2                    20                   1                    725                  0                    inf                  
2                    28                   1                    1126                 2                    4.504000             
2                    40                   1                    668                  2                    2.672000             
2                    52                   1                    686                  0                    inf                  
2                    64                   1                    779                  0                    inf                  
2                    76                   1                    1043                 2                    4.172000             
2                    88                   1                    1031                 3                    2.749333             
2                    100                  1                    1001                 0                    inf                  
2                    112                  1                    1037                 0                    inf                  
2                    16                   1                    1187                 2                    4.748000             
2                    5                    2                    15076                21                   5.743238             
2                    6                    2                    17590                23                   6.118261             
2                    7                    2                    15289                21                   5.824381             
2                    8                    2                    17362                23                   6.038957             
2                    4                    2                    12721                17                   5.986353             
3                    30                   1                    834                  2                    3.336000             
3                    31                   1                    666                  2                    2.664000             
3                    42                   1                    826                  0                    inf                  
3                    43                   1                    680                  3                    1.813333             
3                    54                   1                    946                  0                    inf                  
3                    55                   1                    642                  0                    inf                  
3                    66                   1                    753                  0                    inf                  
3                    67                   1                    732                  2                    2.928000             
3                    78                   1                    851                  0                    inf                  
3                    79                   1                    796                  0                    inf                  
3                    90                   1                    714                  2                    2.856000             
3                    91                   1                    809                  1                    6.472000             
3                    29                   1                    870                  3                    2.320000             
3                    41                   1                    834                  0                    inf                  
3                    53                   1                    745                  2                    2.980000             
3                    65                   1                    845                  0                    inf                  
3                    77                   1                    766                  2                    3.064000             
3                    89                   1                    1128                 2                    4.512000             
3                    18                   1                    1164                 0                    inf                  
3                    19                   1                    1384                 2                    5.536000             
3                    17                   1                    1230                 3                    3.280000             
3                    32                   1                    1027                 0                    inf                  
3                    44                   1                    716                  0                    inf                  
3                    56                   1                    690                  2                    2.760000             
3                    68                   1                    626                  0                    inf                  
3                    80                   1                    847                  0                    inf                  
3                    92                   1                    909                  3                    2.424000             
3                    20                   1                    885                  0                    inf                  
3                    102                  1                    973                  0                    inf                  
3                    103                  1                    821                  2                    3.284000             
3                    101                  1                    1061                 0                    inf                  
3                    104                  1                    1002                 3                    2.672000             
3                    16                   1                    1371                 1                    10.968000            
3                    28                   1                    1118                 0                    inf                  
3                    40                   1                    714                  2                    2.856000             
3                    52                   1                    766                  2                    3.064000             
3                    64                   1                    789                  0                    inf                  
3                    76                   1                    1081                 2                    4.324000             
3                    88                   1                    1053                 0                    inf                  
3                    100                  1                    1071                 3                    2.856000             
3                    5                    1                    1081                 1                    8.648000             
3                    6                    1                    1139                 0                    inf                  
3                    7                    1                    942                  2                    3.768000             
3                    8                    1                    804                  2                    3.216000             
3                    4                    1                    672                  0                    inf                  
3                    21                   2                    15817                23                   5.501565             
3                    33                   2                    18402                23                   6.400696             
3                    45                   2                    18055                25                   5.777600             
3                    57                   2                    15675                21                   5.971428             
3                    69                   2                    18892                24                   6.297333             
2                    21                   1                    676                  0                    inf                  
2                    33                   1                    676                  2                    2.704000             
2                    45                   1                    631                  0                    inf                  
2                    57                   1                    596                  2                    2.384000             
2                    69                   1                    657                  0                    inf                  
2                    81                   1                    1008                 0                    inf                  
2                    93                   1                    1140                 2                    4.560000             
2                    105                  1                    1091                 2                    4.364000             
2                    9                    1                    752                  2                    3.008000             
3                    81                   1                    1052                 0                    inf                  
3                    93                   1                    1194                 2                    4.776000             
3                    9                    1                    832                  3                    2.218667             
3                    105                  1                    1091                 0                    inf                  
3                    1                    1                    1046                 0                    inf                  
3                    2                    1                    948                  2                    3.792000             
3                    12                   1                    1079                 2                    4.316000             
3                    11                   1                    738                  2                    2.952000             
3                    3                    1                    803                  0                    inf                  
2                    1                    2                    16374                22                   5.954182             
2                    2                    2                    14959                17                   7.039529             
2                    12                   2                    15085                21                   5.746666             
2                    3                    2                    14637                19                   6.162947             
2                    11                   2                    13800                19                   5.810526             
3                    10                   2                    13473                16                   6.736500             
3                    22                   2                    18797                25                   6.015040             
3                    34                   2                    19792                27                   5.864296             
3                    46                   2                    16328                23                   5.679304             
3                    58                   2                    15490                18                   6.884444             
3                    70                   2                    18857                28                   5.387714             
3                    82                   2                    25883                35                   5.916114             
3                    94                   2                    33999                46                   5.912869             
3                    13                   2                    13701                20                   5.480400             
3                    14                   2                    16390                23                   5.700870             
3                    15                   2                    14629                19                   6.159579             
3                    24                   2                    11632                14                   6.646857             
3                    23                   2                    13141                19                   5.533052             
4                    7                    1                    842                  2                    3.368000             
4                    8                    1                    892                  2                    3.568000             
4                    19                   1                    1269                 2                    5.076000             
4                    20                   1                    954                  0                    inf                  
4                    31                   1                    649                  0                    inf                  
4                    32                   1                    836                  0                    inf                  
4                    43                   1                    664                  2                    2.656000             
4                    44                   1                    716                  0                    inf                  
4                    55                   1                    671                  2                    2.684000             
4                    56                   1                    624                  0                    inf                  
4                    67                   1                    716                  2                    2.864000             
4                    68                   1                    660                  0                    inf                  
4                    6                    1                    1275                 3                    3.400000             
4                    18                   1                    1166                 3                    3.109333             
4                    30                   1                    874                  0                    inf                  
4                    42                   1                    815                  1                    6.520000             
4                    54                   1                    922                  0                    inf                  
4                    66                   1                    714                  0                    inf                  
4                    9                    1                    824                  2                    3.296000             
4                    21                   1                    639                  0                    inf                  
4                    33                   1                    695                  0                    inf                  
4                    45                   1                    648                  3                    1.728000             
4                    57                   1                    614                  0                    inf                  
4                    69                   1                    664                  0                    inf                  
4                    1                    1                    1000                 2                    4.000000             
4                    2                    1                    762                  0                    inf                  
4                    12                   1                    705                  0                    inf                  
4                    79                   1                    792                  2                    3.168000             
4                    80                   1                    859                  0                    inf                  
4                    78                   1                    906                  0                    inf                  
4                    3                    1                    728                  3                    1.941333             
4                    81                   1                    1003                 1                    8.024000             
4                    5                    1                    1265                 0                    inf                  
4                    11                   1                    872                  2                    3.488000             
4                    17                   1                    1255                 2                    5.020000             
4                    29                   1                    952                  0                    inf                  
4                    41                   1                    902                  0                    inf                  
4                    53                   1                    785                  2                    3.140000             
4                    65                   1                    811                  2                    3.244000             
4                    77                   1                    744                  0                    inf                  
4                    13                   1                    769                  2                    3.076000             
4                    14                   1                    910                  0                    inf                  
4                    24                   1                    732                  2                    2.928000             
4                    15                   1                    876                  0                    inf                  
4                    23                   1                    657                  0                    inf                  
4                    90                   2                    21376                29                   5.896828             
4                    91                   2                    22980                31                   5.930323             
4                    92                   2                    25486                36                   5.663556             
4                    89                   2                    27874                39                   5.717743             
4                    4                    2                    11556                15                   6.163200             
4                    16                   2                    25006                34                   5.883765             
4                    28                   2                    18282                25                   5.850240             
4                    102                  2                    25279                34                   5.948000             
4                    103                  2                    26048                37                   5.632000             
4                    104                  2                    30141                42                   5.741143             
4                    101                  2                    28103                37                   6.076324             
4                    40                   2                    18102                24                   6.034000             
4                    52                   2                    17710                23                   6.160000             
4                    64                   2                    22247                31                   5.741161             
4                    76                   2                    26965                34                   6.344706             
3                    113                  1                    1048                 1                    8.384000             
3                    114                  1                    1212                 1                    9.696000             
3                    115                  1                    1065                 0                    inf                  
3                    116                  1                    1252                 3                    3.338667             
3                    112                  1                    1101                 0                    inf                  
4                    88                   1                    1107                 3                    2.952000             
4                    100                  1                    1018                 0                    inf                  
4                    113                  1                    1039                 2                    4.156000             
4                    114                  1                    1121                 2                    4.484000             
4                    115                  1                    1082                 0                    inf                  
4                    116                  1                    1222                 2                    4.888000             
4                    112                  1                    1058                 3                    2.821333             
4                    27                   1                    1089                 2                    4.356000             
4                    39                   1                    1043                 2                    4.172000             
4                    51                   1                    779                  2                    3.116000             
4                    63                   1                    756                  0                    inf                  
4                    75                   1                    1137                 0                    inf                  
4                    87                   1                    1079                 0                    inf                  
4                    99                   1                    1087                 1                    8.696000             
4                    111                  1                    1013                 2                    4.052000             
5                    40                   1                    743                  2                    2.972000             
5                    41                   1                    725                  2                    2.900000             
5                    42                   1                    838                  0                    inf                  
5                    52                   1                    680                  2                    2.720000             
5                    53                   1                    721                  0                    inf                  
5                    54                   1                    1061                 0                    inf                  
5                    64                   1                    800                  0                    inf                  
5                    65                   1                    911                  2                    3.644000             
5                    66                   1                    751                  2                    3.004000             
5                    76                   1                    1110                 0                    inf                  
5                    77                   1                    765                  0                    inf                  
5                    78                   1                    812                  2                    3.248000             
5                    88                   1                    1086                 2                    4.344000             
5                    89                   1                    1113                 0                    inf                  
5                    90                   1                    706                  2                    2.824000             
5                    100                  1                    1044                 3                    2.784000             
5                    101                  1                    1087                 0                    inf                  
5                    102                  1                    921                  0                    inf                  
5                    28                   1                    889                  0                    inf                  
5                    29                   1                    931                  2                    3.724000             
5                    30                   1                    940                  2                    3.760000             
5                    39                   1                    1064                 2                    4.256000             
5                    51                   1                    776                  0                    inf                  
5                    63                   1                    787                  2                    3.148000             
5                    75                   1                    1050                 3                    2.800000             
5                    87                   1                    1108                 0                    inf                  
5                    99                   1                    1152                 0                    inf                  
5                    27                   1                    1145                 0                    inf                  
5                    43                   1                    642                  2                    2.568000             
5                    55                   1                    655                  2                    2.620000             
5                    67                   1                    736                  0                    inf                  
5                    79                   1                    766                  0                    inf                  
5                    91                   1                    811                  1                    6.488000             
5                    103                  1                    809                  0                    inf                  
5                    31                   1                    665                  0                    inf                  
5                    112                  1                    1102                 2                    4.408000             
5                    113                  1                    1043                 2                    4.172000             
5                    114                  1                    1147                 0                    inf                  
5                    16                   1                    1444                 5                    2.310400             
5                    17                   1                    988                  0                    inf                  
5                    18                   1                    869                  0                    inf                  
5                    111                  1                    1032                 0                    inf                  
5                    15                   1                    823                  2                    3.292000             
