chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                26                   5.849231             
1                    79                   2                    15850                21                   6.038095             
1                    78                   2                    15012                19                   6.320842             
1                    67                   2                    14645                21                   5.579048             
1                    66                   2                    15601                21                   5.943238             
1                    91                   2                    20891                27                   6.189926             
1                    55                   2                    14732                21                   5.612190             
1                    77                   2                    16125                21                   6.142857             
1                    54                   2                    19716                27                   5.841778             
1                    53                   2                    19563                25                   6.260160             
1                    43                   2                    18918                27                   5.605333             
1                    42                   2                    21479                30                   5.727733             
1                    68                   2                    15092                18                   6.707556             
1                    103                  2                    22136                32                   5.534000             
1                    41                   2                    21733                29                   5.995310             
1                    102                  2                    22639                31                   5.842322             
1                    89                   2                    23426                31                   6.045419             
1                    44                   2                    19661                28                   5.617429             
1                    65                   2                    18896                25                   6.046720             
1                    101                  2                    25207                35                   5.761600             
1                    92                   2                    21454                27                   6.356741             
1                    80                   2                    17002                23                   5.913739             
1                    114                  2                    24061                34                   5.661412             
1                    56                   2                    17010                22                   6.185454             
1                    104                  2                    27162                36                   6.036000             
1                    115                  2                    24010                30                   6.402667             
1                    113                  2                    19656                27                   5.824000             
1                    31                   2                    21936                29                   6.051311             
1                    30                   2                    22734                31                   5.866839             
1                    32                   2                    20712                29                   5.713655             
1                    29                   2                    21175                27                   6.274074             
1                    100                  2                    23814                33                   5.773091             
1                    116                  2                    36508                50                   5.841280             
1                    76                   2                    22441                31                   5.791226             
1                    64                   2                    19207                24                   6.402333             
1                    52                   2                    17757                25                   5.682240             
1                    40                   2                    16815                23                   5.848696             
1                    88                   2                    22756                30                   6.068267             
2                    129                  2                    29752                42                   5.667048             
1                    129                  2                    23261                32                   5.815250             
2                    31                   2                    23289                33                   5.645818             
2                    89                   2                    29643                38                   6.240632             
2                    77                   2                    19032                25                   6.090240             
2                    125                  2                    22727                31                   5.865032             
2                    128                  2                    31699                44                   5.763454             
2                    127                  2                    26597                37                   5.750703             
2                    53                   2                    21541                29                   5.942345             
