chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                27                   5.632593             
1                    79                   2                    15850                22                   5.763637             
1                    78                   2                    15012                19                   6.320842             
1                    67                   2                    14645                21                   5.579048             
1                    66                   2                    15601                21                   5.943238             
1                    91                   2                    20891                27                   6.189926             
1                    55                   2                    14732                19                   6.202947             
1                    77                   2                    16125                23                   5.608696             
1                    54                   2                    19716                25                   6.309120             
1                    53                   2                    19563                26                   6.019384             
1                    43                   2                    18918                25                   6.053760             
1                    42                   2                    21479                29                   5.925241             
1                    103                  2                    22136                33                   5.366303             
1                    41                   2                    21733                28                   6.209429             
1                    102                  2                    22639                31                   5.842322             
1                    89                   2                    23426                32                   5.856500             
1                    30                   2                    22734                32                   5.683500             
1                    65                   2                    18896                25                   6.046720             
1                    101                  2                    25207                34                   5.931059             
1                    44                   2                    19661                27                   5.825481             
1                    31                   2                    21936                29                   6.051311             
1                    80                   2                    17002                23                   5.913739             
1                    92                   2                    21454                30                   5.721066             
1                    68                   2                    15092                20                   6.036800             
1                    56                   2                    17010                22                   6.185454             
1                    32                   2                    20712                27                   6.136889             
1                    104                  2                    27162                37                   5.872865             
1                    29                   2                    21175                29                   5.841379             
1                    115                  2                    24010                32                   6.002500             
1                    113                  2                    19656                27                   5.824000             
1                    114                  2                    24061                33                   5.832970             
1                    17                   2                    21353                29                   5.890483             
1                    116                  2                    36508                49                   5.960490             
1                    19                   2                    21736                29                   5.996138             
1                    18                   2                    19932                28                   5.694857             
1                    28                   2                    19875                28                   5.678571             
1                    20                   2                    17997                25                   5.759040             
1                    76                   2                    22441                29                   6.190621             
1                    52                   2                    17757                24                   5.919000             
1                    40                   2                    16815                23                   5.848696             
1                    88                   2                    22756                29                   6.277517             
2                    92                   2                    27466                39                   5.634051             
2                    80                   2                    20600                27                   6.103703             
2                    68                   2                    16982                23                   5.906783             
2                    56                   2                    18611                25                   5.955520             
2                    44                   2                    21975                29                   6.062069             
2                    104                  2                    32370                46                   5.629565             
2                    89                   2                    29643                41                   5.784000             
2                    77                   2                    19032                25                   6.090240             
2                    65                   2                    21315                29                   5.880000             
2                    53                   2                    21541                29                   5.942345             
2                    41                   2                    24276                34                   5.712000             
2                    31                   2                    23289                31                   6.010065             
2                    30                   2                    25312                35                   5.785600             
2                    91                   2                    24432                33                   5.922909             
2                    90                   2                    21691                29                   5.983724             
2                    79                   2                    17860                25                   5.715200             
2                    78                   2                    16917                21                   6.444571             
2                    67                   2                    15969                21                   6.083428             
2                    66                   2                    17430                25                   5.577600             
2                    55                   2                    15999                21                   6.094857             
2                    54                   2                    21635                29                   5.968276             
2                    43                   2                    20920                27                   6.198519             
2                    42                   2                    24175                34                   5.688235             
2                    32                   2                    22713                31                   5.861419             
2                    29                   2                    24042                33                   5.828363             
2                    103                  2                    26783                36                   5.951778             
2                    102                  2                    27658                39                   5.673436             
2                    101                  2                    31013                41                   6.051317             
2                    19                   2                    24042                33                   5.828363             
2                    18                   2                    21641                29                   5.969931             
2                    20                   2                    17854                27                   5.290074             
2                    17                   2                    22962                30                   6.123200             
2                    7                    2                    15289                19                   6.437474             
2                    5                    2                    15076                21                   5.743238             
3                    77                   2                    18306                24                   6.102000             
2                    6                    2                    17590                23                   6.118261             
2                    8                    2                    17362                23                   6.038957             
3                    92                   2                    24745                33                   5.998788             
2                    21                   2                    15328                21                   5.839238             
2                    33                   2                    20590                28                   5.882857             
3                    30                   2                    24760                36                   5.502222             
3                    18                   2                    20151                26                   6.200308             
3                    9                    2                    14815                22                   5.387273             
3                    45                   2                    18055                35                   4.126857             
3                    33                   2                    18402                25                   5.888640             
3                    7                    2                    16163                23                   5.621913             
3                    80                   2                    19058                28                   5.445143             
3                    79                   2                    16611                18                   7.382667             
3                    68                   2                    16420                25                   5.254400             
3                    67                   2                    15365                20                   6.146000             
3                    56                   2                    18209                23                   6.333565             
3                    55                   2                    16013                20                   6.405200             
3                    44                   2                    21807                31                   5.627613             
3                    78                   2                    15601                20                   6.240400             
3                    54                   2                    21618                29                   5.963586             
3                    43                   2                    20554                28                   5.872571             
3                    32                   2                    23095                32                   5.773750             
3                    31                   2                    22344                29                   6.163862             
3                    20                   2                    19100                27                   5.659259             
3                    42                   2                    23208                32                   5.802000             
3                    66                   2                    17513                23                   6.091478             
3                    8                    2                    14617                18                   6.496444             
3                    19                   2                    24224                33                   5.872485             
3                    90                   2                    21536                29                   5.940966             
3                    6                    2                    18101                26                   5.569539             
3                    91                   2                    22725                31                   5.864516             
3                    65                   2                    21340                30                   5.690667             
3                    53                   2                    21268                27                   6.301630             
3                    29                   2                    22158                31                   5.718194             
3                    17                   2                    22132                29                   6.105379             
3                    41                   2                    23143                32                   5.785750             
3                    89                   2                    26984                37                   5.834378             
4                    31                   2                    23013                31                   5.938838             
4                    80                   2                    18619                25                   5.958080             
4                    68                   2                    15391                21                   5.863238             
4                    56                   2                    16934                22                   6.157818             
3                    103                  2                    24865                34                   5.850588             
3                    102                  2                    24735                33                   5.996364             
3                    101                  2                    28507                40                   5.701400             
4                    53                   2                    21166                29                   5.838897             
4                    29                   2                    21835                28                   6.238572             
4                    91                   2                    22980                31                   5.930323             
4                    90                   2                    21376                29                   5.896828             
4                    79                   2                    16758                22                   6.093818             
