chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    1423                 1                    11.384000            
1                    43                   1                    1290                 2                    5.160000             
1                    54                   1                    1440                 3                    3.840000             
1                    55                   1                    1401                 0                    inf                  
1                    66                   1                    1345                 1                    10.760000            
1                    67                   1                    1280                 1                    10.240000            
1                    78                   1                    1422                 0                    inf                  
1                    79                   1                    1403                 2                    5.612000             
1                    90                   1                    1298                 1                    10.384000            
1                    91                   1                    1337                 0                    inf                  
1                    102                  1                    1395                 1                    11.160000            
1                    103                  1                    1352                 0                    inf                  
1                    41                   1                    1531                 0                    inf                  
1                    53                   1                    1279                 0                    inf                  
1                    65                   1                    1360                 3                    3.626667             
1                    77                   1                    1354                 2                    5.416000             
1                    89                   1                    1455                 1                    11.640000            
1                    101                  1                    1583                 2                    6.332000             
1                    44                   1                    1391                 0                    inf                  
1                    56                   1                    1409                 1                    11.272000            
1                    68                   1                    1274                 3                    3.397333             
1                    80                   1                    1425                 0                    inf                  
1                    92                   1                    1373                 2                    5.492000             
1                    104                  1                    1480                 1                    11.840000            
1                    114                  1                    1596                 2                    6.384000             
1                    115                  1                    1510                 1                    12.080000            
1                    113                  1                    1470                 2                    5.880000             
1                    30                   1                    1597                 0                    inf                  
1                    31                   1                    1265                 0                    inf                  
1                    116                  1                    1624                 3                    4.330667             
1                    29                   1                    1611                 2                    6.444000             
1                    32                   1                    1592                 1                    12.736000            
1                    40                   1                    1289                 0                    inf                  
1                    52                   1                    1448                 2                    5.792000             
1                    64                   1                    1365                 0                    inf                  
1                    76                   1                    1610                 2                    6.440000             
1                    88                   1                    1550                 1                    12.400000            
1                    100                  1                    1488                 2                    5.952000             
1                    112                  1                    1500                 1                    12.000000            
1                    28                   1                    1770                 0                    inf                  
1                    125                  1                    1343                 2                    5.372000             
1                    126                  1                    1410                 1                    11.280000            
1                    127                  1                    1341                 1                    10.728000            
1                    128                  1                    1595                 2                    6.380000             
1                    124                  1                    1569                 0                    inf                  
1                    45                   1                    1217                 1                    9.736000             
1                    57                   1                    1200                 2                    4.800000             
1                    69                   1                    1251                 1                    10.008000            
1                    81                   1                    1554                 1                    12.432000            
1                    93                   1                    1619                 1                    12.952000            
1                    105                  1                    1621                 2                    6.484000             
1                    117                  1                    1514                 0                    inf                  
1                    33                   1                    1183                 0                    inf                  
1                    129                  1                    1745                 4                    3.490000             
2                    42                   1                    808                  0                    inf                  
2                    43                   1                    654                  0                    inf                  
2                    54                   1                    881                  2                    3.524000             
2                    55                   1                    630                  0                    inf                  
2                    66                   1                    732                  0                    inf                  
2                    67                   1                    725                  3                    1.933333             
2                    78                   1                    814                  0                    inf                  
2                    79                   1                    772                  0                    inf                  
2                    90                   1                    691                  3                    1.842667             
2                    91                   1                    774                  0                    inf                  
2                    102                  1                    896                  0                    inf                  
2                    103                  1                    781                  2                    3.124000             
2                    44                   1                    808                  0                    inf                  
2                    56                   1                    596                  1                    4.768000             
2                    68                   1                    615                  1                    4.920000             
2                    80                   1                    780                  0                    inf                  
2                    92                   1                    863                  1                    6.904000             
2                    104                  1                    1001                 2                    4.004000             
2                    41                   1                    752                  0                    inf                  
2                    53                   1                    713                  0                    inf                  
2                    65                   1                    775                  1                    6.200000             
2                    77                   1                    721                  0                    inf                  
2                    89                   1                    1054                 3                    2.810667             
2                    101                  1                    1059                 0                    inf                  
2                    114                  1                    1066                 2                    4.264000             
2                    115                  1                    980                  1                    7.840000             
2                    116                  1                    1217                 0                    inf                  
2                    30                   1                    985                  1                    7.880000             
2                    31                   1                    648                  2                    2.592000             
2                    113                  1                    957                  0                    inf                  
2                    32                   1                    937                  0                    inf                  
2                    29                   1                    843                  1                    6.744000             
2                    126                  1                    920                  2                    3.680000             
2                    127                  1                    863                  0                    inf                  
2                    128                  1                    1191                 1                    9.528000             
2                    125                  1                    841                  0                    inf                  
2                    45                   1                    631                  0                    inf                  
2                    57                   1                    596                  0                    inf                  
2                    69                   1                    657                  1                    5.256000             
2                    81                   1                    1008                 2                    4.032000             
2                    93                   1                    1140                 0                    inf                  
2                    105                  1                    1091                 2                    4.364000             
2                    117                  1                    1029                 1                    8.232000             
2                    33                   1                    676                  3                    1.802667             
2                    129                  1                    1290                 0                    inf                  
1                    18                   1                    2006                 2                    8.024000             
1                    19                   1                    1933                 1                    15.464000            
1                    20                   1                    1260                 0                    inf                  
1                    17                   1                    2029                 1                    16.232000            
1                    21                   1                    1300                 3                    3.466667             
2                    18                   1                    1253                 0                    inf                  
2                    19                   1                    1372                 1                    10.976000            
2                    20                   1                    725                  0                    inf                  
2                    17                   1                    1356                 1                    10.848000            
2                    21                   1                    676                  2                    2.704000             
2                    34                   2                    21281                21                   8.107048             
2                    46                   2                    16747                15                   8.931733             
2                    58                   2                    14641                13                   9.009846             
2                    70                   2                    19110                19                   8.046316             
2                    82                   2                    27228                26                   8.377846             
2                    94                   2                    38789                38                   8.166105             
2                    106                  2                    36681                34                   8.630823             
2                    118                  2                    38431                38                   8.090736             
2                    22                   2                    20989                20                   8.395600             
3                    43                   2                    20554                19                   8.654316             
3                    44                   2                    21807                21                   8.307428             
3                    55                   2                    16013                14                   9.150286             
3                    56                   2                    18209                17                   8.568941             
3                    67                   2                    15365                15                   8.194667             
3                    68                   2                    16420                14                   9.382857             
3                    42                   1                    826                  0                    inf                  
3                    54                   1                    946                  1                    7.568000             
3                    66                   1                    753                  2                    3.012000             
3                    78                   1                    851                  0                    inf                  
3                    79                   1                    796                  2                    3.184000             
3                    80                   1                    847                  1                    6.776000             
3                    90                   1                    714                  0                    inf                  
3                    91                   1                    809                  1                    6.472000             
3                    92                   1                    909                  0                    inf                  
3                    102                  1                    973                  0                    inf                  
3                    103                  1                    821                  1                    6.568000             
3                    104                  1                    1002                 2                    4.008000             
3                    30                   1                    834                  0                    inf                  
3                    31                   1                    666                  0                    inf                  
3                    32                   1                    1027                 1                    8.216000             
3                    45                   1                    633                  0                    inf                  
3                    57                   1                    634                  0                    inf                  
3                    69                   1                    721                  1                    5.768000             
3                    81                   1                    1052                 0                    inf                  
3                    93                   1                    1194                 1                    9.552000             
3                    105                  1                    1091                 2                    4.364000             
3                    33                   1                    805                  1                    6.440000             
3                    41                   1                    834                  1                    6.672000             
3                    53                   1                    745                  0                    inf                  
3                    65                   1                    845                  1                    6.760000             
3                    77                   1                    766                  0                    inf                  
3                    89                   1                    1128                 2                    4.512000             
3                    101                  1                    1061                 1                    8.488000             
3                    114                  1                    1212                 2                    4.848000             
3                    115                  1                    1065                 0                    inf                  
3                    116                  1                    1252                 3                    3.338667             
3                    29                   1                    870                  0                    inf                  
3                    117                  1                    1104                 1                    8.832000             
3                    113                  1                    1048                 1                    8.384000             
3                    18                   1                    1164                 0                    inf                  
3                    19                   1                    1384                 2                    5.536000             
3                    20                   1                    885                  0                    inf                  
3                    21                   1                    743                  2                    2.972000             
3                    17                   1                    1230                 0                    inf                  
4                    42                   2                    22840                21                   8.700953             
4                    43                   2                    20991                21                   7.996572             
4                    54                   2                    21939                21                   8.357715             
4                    55                   2                    15816                14                   9.037714             
4                    66                   2                    16117                14                   9.209714             
4                    67                   2                    14947                15                   7.971734             
4                    78                   2                    15622                13                   9.613539             
4                    79                   2                    16758                16                   8.379000             
4                    90                   2                    21376                20                   8.550400             
4                    91                   2                    22980                21                   8.754286             
4                    102                  2                    25279                23                   8.792696             
4                    103                  2                    26048                24                   8.682667             
4                    44                   2                    21037                20                   8.414800             
4                    56                   2                    16934                16                   8.467000             
4                    68                   2                    15391                14                   8.794857             
4                    80                   2                    18619                18                   8.275111             
3                    40                   1                    714                  0                    inf                  
3                    52                   1                    766                  1                    6.128000             
3                    64                   1                    789                  0                    inf                  
3                    76                   1                    1081                 0                    inf                  
3                    88                   1                    1053                 2                    4.212000             
3                    100                  1                    1071                 0                    inf                  
3                    112                  1                    1101                 1                    8.808000             
3                    28                   1                    1118                 1                    8.944000             
3                    125                  1                    894                  0                    inf                  
3                    126                  1                    961                  1                    7.688000             
3                    127                  1                    957                  3                    2.552000             
3                    128                  1                    1258                 0                    inf                  
3                    124                  1                    1277                 0                    inf                  
4                    41                   1                    902                  3                    2.405333             
4                    53                   1                    785                  0                    inf                  
4                    65                   1                    811                  2                    3.244000             
4                    77                   1                    744                  0                    inf                  
4                    89                   1                    1048                 2                    4.192000             
4                    101                  1                    1060                 0                    inf                  
4                    92                   1                    901                  1                    7.208000             
4                    104                  1                    957                  2                    3.828000             
4                    114                  1                    1121                 0                    inf                  
4                    115                  1                    1082                 1                    8.656000             
4                    30                   1                    874                  2                    3.496000             
4                    31                   1                    649                  0                    inf                  
4                    113                  1                    1039                 0                    inf                  
4                    116                  1                    1222                 0                    inf                  
4                    29                   1                    952                  2                    3.808000             
4                    32                   1                    836                  1                    6.688000             
4                    40                   1                    755                  2                    3.020000             
4                    52                   1                    725                  0                    inf                  
4                    64                   1                    814                  0                    inf                  
4                    76                   1                    1091                 2                    4.364000             
4                    88                   1                    1107                 1                    8.856000             
4                    100                  1                    1018                 0                    inf                  
4                    112                  1                    1058                 0                    inf                  
4                    28                   1                    967                  1                    7.736000             
4                    125                  1                    873                  3                    2.328000             
4                    126                  1                    907                  1                    7.256000             
4                    127                  1                    927                  0                    inf                  
4                    128                  1                    1210                 2                    4.840000             
4                    124                  1                    1237                 1                    9.896000             
3                    16                   1                    1371                 2                    5.484000             
