chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                19                   8.004210             
1                    79                   2                    15850                16                   7.925000             
1                    78                   2                    15012                13                   9.238153             
1                    67                   2                    14645                14                   8.368571             
1                    66                   2                    15601                15                   8.320534             
1                    55                   2                    14732                13                   9.065846             
1                    91                   2                    20891                20                   8.356400             
1                    54                   2                    19716                18                   8.762667             
1                    43                   2                    18918                17                   8.902588             
1                    42                   2                    21479                20                   8.591600             
1                    103                  2                    22136                21                   8.432762             
1                    102                  2                    22639                22                   8.232364             
1                    53                   2                    19563                17                   9.206118             
1                    77                   2                    16125                14                   9.214286             
1                    65                   2                    18896                19                   7.956211             
1                    101                  2                    25207                23                   8.767653             
1                    56                   2                    17010                16                   8.505000             
1                    89                   2                    23426                22                   8.518545             
1                    68                   2                    15092                15                   8.049067             
1                    41                   2                    21733                21                   8.279238             
1                    80                   2                    17002                15                   9.067734             
1                    92                   2                    21454                20                   8.581600             
1                    44                   2                    19661                20                   7.864400             
1                    104                  2                    27162                23                   9.447652             
1                    115                  2                    24010                23                   8.351304             
1                    114                  2                    24061                23                   8.369043             
1                    30                   2                    22734                22                   8.266909             
1                    113                  2                    19656                17                   9.249883             
1                    29                   2                    21175                20                   8.470000             
1                    31                   2                    21936                19                   9.236211             
1                    32                   2                    20712                20                   8.284800             
1                    116                  2                    36508                35                   8.344686             
1                    100                  2                    23814                24                   7.938000             
1                    88                   2                    22756                22                   8.274909             
1                    76                   2                    22441                21                   8.548952             
1                    64                   2                    19207                19                   8.087158             
1                    52                   2                    17757                16                   8.878500             
1                    40                   2                    16815                15                   8.968000             
1                    112                  2                    22402                20                   8.960800             
1                    125                  2                    17385                17                   8.181176             
1                    128                  2                    24429                23                   8.497044             
1                    127                  2                    20449                20                   8.179600             
1                    126                  2                    19693                17                   9.267294             
1                    105                  2                    31195                30                   8.318666             
2                    29                   2                    24042                23                   8.362434             
2                    32                   2                    22713                22                   8.259273             
2                    113                  2                    25821                25                   8.262720             
2                    31                   2                    23289                22                   8.468727             
1                    69                   2                    16324                16                   8.162000             
1                    57                   2                    14796                13                   9.105230             
1                    45                   2                    16817                17                   7.913882             
2                    89                   2                    29643                28                   8.469429             
2                    77                   2                    19032                17                   8.956235             
2                    101                  2                    31013                30                   8.270133             
2                    116                  2                    45091                44                   8.198363             
2                    115                  2                    30347                29                   8.371586             
1                    81                   2                    21126                19                   8.895158             
1                    33                   2                    18767                19                   7.901895             
2                    66                   2                    17430                16                   8.715000             
2                    33                   2                    20590                19                   8.669474             
2                    105                  2                    38399                38                   8.084000             
2                    81                   2                    26248                26                   8.076307             
2                    69                   2                    18595                17                   8.750588             
2                    57                   2                    16604                14                   9.488000             
2                    45                   2                    19023                18                   8.454667             
2                    103                  2                    26783                24                   8.927667             
2                    92                   2                    27466                26                   8.451077             
2                    91                   2                    24432                23                   8.498087             
2                    80                   2                    20600                20                   8.240000             
2                    42                   2                    24175                22                   8.790909             
2                    79                   2                    17860                18                   7.937778             
2                    68                   2                    16982                15                   9.057067             
2                    67                   2                    15969                14                   9.125143             
2                    56                   2                    18611                17                   8.758118             
2                    55                   2                    15999                16                   7.999500             
2                    104                  2                    32370                31                   8.353548             
2                    90                   2                    21691                21                   8.263238             
2                    78                   2                    16917                15                   9.022400             
2                    44                   2                    21975                21                   8.371428             
2                    54                   2                    21635                20                   8.654000             
2                    102                  2                    27658                26                   8.510154             
2                    30                   2                    25312                24                   8.437333             
2                    43                   2                    20920                18                   9.297778             
2                    114                  2                    30551                30                   8.146934             
2                    65                   2                    21315                20                   8.526000             
2                    53                   2                    21541                20                   8.616400             
2                    93                   2                    31626                30                   8.433600             
2                    41                   2                    24276                21                   9.248000             
3                    102                  2                    24735                24                   8.245000             
2                    117                  2                    47230                46                   8.213913             
3                    29                   2                    22158                21                   8.441143             
3                    116                  2                    36225                34                   8.523529             
3                    115                  2                    25413                24                   8.471000             
3                    114                  2                    25448                22                   9.253819             
3                    89                   2                    26984                26                   8.302770             
3                    77                   2                    18306                17                   8.614588             
3                    65                   2                    21340                20                   8.536000             
3                    53                   2                    21268                21                   8.102096             
3                    101                  2                    28507                25                   9.122240             
3                    32                   2                    23095                23                   8.033044             
3                    31                   2                    22344                20                   8.937600             
3                    30                   2                    24760                24                   8.253333             
3                    92                   2                    24745                22                   8.998181             
3                    41                   2                    23143                21                   8.816381             
3                    80                   2                    19058                18                   8.470222             
3                    68                   2                    16420                16                   8.210000             
3                    56                   2                    18209                17                   8.568941             
3                    91                   2                    22725                21                   8.657143             
3                    90                   2                    21536                20                   8.614400             
3                    79                   2                    16611                15                   8.859200             
3                    78                   2                    15601                14                   8.914857             
3                    67                   2                    15365                14                   8.780000             
3                    66                   2                    17513                16                   8.756500             
3                    55                   2                    16013                14                   9.150286             
3                    54                   2                    21618                20                   8.647200             
3                    43                   2                    20554                18                   9.135111             
3                    42                   2                    23208                23                   8.072348             
3                    103                  2                    24865                23                   8.648696             
3                    44                   2                    21807                20                   8.722800             
3                    104                  2                    28509                27                   8.447111             
3                    113                  2                    22353                21                   8.515429             
3                    69                   2                    18892                19                   7.954526             
3                    81                   2                    25018                22                   9.097454             
3                    93                   2                    27735                26                   8.533846             
3                    57                   2                    15675                14                   8.957143             
