chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                33                   4.608485             
1                    79                   2                    15850                25                   5.072000             
1                    78                   2                    15012                23                   5.221565             
1                    67                   2                    14645                25                   4.686400             
1                    66                   2                    15601                26                   4.800308             
1                    55                   2                    14732                22                   5.357091             
1                    91                   2                    20891                33                   5.064485             
1                    54                   2                    19716                33                   4.779636             
1                    43                   2                    18918                31                   4.882064             
1                    77                   2                    16125                29                   4.448276             
1                    42                   2                    21479                36                   4.773111             
1                    103                  2                    22136                36                   4.919111             
1                    102                  2                    22639                38                   4.766105             
1                    89                   2                    23426                38                   4.931789             
1                    65                   2                    18896                30                   5.038933             
1                    53                   2                    19563                33                   4.742546             
1                    41                   2                    21733                35                   4.967543             
1                    101                  2                    25207                43                   4.689674             
1                    44                   2                    19661                30                   5.242933             
1                    80                   2                    17002                28                   4.857714             
1                    68                   2                    15092                25                   4.829440             
1                    92                   2                    21454                36                   4.767556             
1                    113                  2                    19656                33                   4.765091             
1                    56                   2                    17010                25                   5.443200             
1                    104                  2                    27162                46                   4.723826             
1                    115                  2                    24010                41                   4.684878             
1                    114                  2                    24061                42                   4.583047             
1                    31                   2                    21936                35                   5.013943             
1                    30                   2                    22734                38                   4.786105             
1                    29                   2                    21175                37                   4.578378             
1                    32                   2                    20712                33                   5.021091             
1                    40                   2                    16815                29                   4.638621             
1                    116                  2                    36508                61                   4.787934             
1                    64                   2                    19207                32                   4.801750             
1                    88                   2                    22756                39                   4.667897             
1                    76                   2                    22441                38                   4.724421             
2                    77                   2                    19032                32                   4.758000             
2                    65                   2                    21315                36                   4.736667             
2                    53                   2                    21541                35                   4.923657             
2                    41                   2                    24276                40                   4.855200             
2                    101                  2                    31013                51                   4.864784             
2                    92                   2                    27466                46                   4.776696             
2                    80                   2                    20600                36                   4.577778             
2                    68                   2                    16982                28                   4.852000             
2                    56                   2                    18611                31                   4.802839             
2                    44                   2                    21975                35                   5.022857             
2                    104                  2                    32370                55                   4.708364             
2                    66                   2                    17430                31                   4.498065             
2                    81                   2                    26248                43                   4.883349             
2                    69                   2                    18595                31                   4.798710             
2                    57                   2                    16604                27                   4.919703             
2                    45                   2                    19023                33                   4.611636             
2                    31                   2                    23289                38                   4.902947             
2                    103                  2                    26783                45                   4.761422             
2                    54                   2                    21635                36                   4.807778             
2                    91                   2                    24432                41                   4.767220             
2                    79                   2                    17860                28                   5.102857             
2                    78                   2                    16917                27                   5.012444             
2                    67                   2                    15969                26                   4.913538             
2                    42                   2                    24175                41                   4.717073             
2                    90                   2                    21691                35                   4.957943             
2                    55                   2                    15999                26                   4.922769             
2                    102                  2                    27658                46                   4.810087             
2                    43                   2                    20920                35                   4.781714             
2                    30                   2                    25312                42                   4.821333             
2                    32                   2                    22713                36                   5.047333             
2                    29                   2                    24042                40                   4.808400             
2                    115                  2                    30347                52                   4.668769             
2                    89                   2                    29643                51                   4.649882             
2                    114                  2                    30551                51                   4.792314             
3                    67                   2                    15365                25                   4.916800             
2                    116                  2                    45091                76                   4.746421             
3                    104                  2                    28509                48                   4.751500             
3                    91                   2                    22725                36                   5.050000             
3                    90                   2                    21536                36                   4.785778             
3                    79                   2                    16611                30                   4.429600             
3                    78                   2                    15601                21                   5.943238             
3                    66                   2                    17513                30                   4.670133             
3                    55                   2                    16013                23                   5.569739             
3                    54                   2                    21618                38                   4.551158             
3                    43                   2                    20554                34                   4.836236             
3                    42                   2                    23208                37                   5.017946             
3                    68                   2                    16420                29                   4.529655             
3                    80                   2                    19058                33                   4.620121             
3                    44                   2                    21807                35                   4.984457             
3                    103                  2                    24865                43                   4.626047             
3                    102                  2                    24735                41                   4.826342             
3                    92                   2                    24745                41                   4.828293             
3                    56                   2                    18209                30                   4.855733             
3                    89                   2                    26984                45                   4.797155             
3                    77                   2                    18306                28                   5.230286             
3                    65                   2                    21340                36                   4.742222             
3                    53                   2                    21268                35                   4.861257             
3                    41                   2                    23143                39                   4.747282             
3                    31                   2                    22344                39                   4.583385             
3                    30                   2                    24760                41                   4.831220             
3                    113                  2                    22353                38                   4.705895             
3                    101                  2                    28507                46                   4.957739             
3                    115                  2                    25413                44                   4.620545             
4                    91                   2                    22980                38                   4.837895             
4                    90                   2                    21376                35                   4.885943             
4                    79                   2                    16758                28                   4.788000             
4                    78                   2                    15622                23                   5.433739             
4                    67                   2                    14947                25                   4.783040             
4                    66                   2                    16117                25                   5.157440             
4                    77                   2                    18437                30                   4.916533             
4                    65                   2                    20622                32                   5.155500             
4                    55                   2                    15816                25                   5.061120             
4                    54                   2                    21939                39                   4.500308             
4                    53                   2                    21166                36                   4.703556             
4                    43                   2                    20991                33                   5.088727             
4                    42                   2                    22840                40                   4.568000             
4                    89                   2                    27874                47                   4.744511             
4                    41                   2                    23445                39                   4.809231             
4                    30                   2                    25406                41                   4.957268             
4                    29                   2                    21835                38                   4.596842             
4                    31                   2                    23013                38                   4.844842             
4                    102                  2                    25279                41                   4.932488             
4                    101                  2                    28103                48                   4.683833             
4                    76                   2                    26965                44                   4.902727             
4                    52                   2                    17710                32                   4.427500             
4                    40                   2                    18102                28                   5.172000             
4                    88                   2                    30477                53                   4.600302             
4                    100                  2                    26713                44                   4.856909             
4                    64                   2                    22247                39                   4.563487             
5                    90                   2                    21111                33                   5.117818             
5                    89                   2                    27392                48                   4.565333             
5                    78                   2                    15717                25                   5.029440             
5                    77                   2                    17749                29                   4.896276             
5                    66                   2                    16332                26                   5.025231             
5                    65                   2                    20144                33                   4.883394             
