chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                39                   4.405949             
1                    43                   2                    18918                30                   5.044800             
1                    54                   2                    19716                30                   5.257600             
1                    55                   2                    14732                25                   4.714240             
1                    66                   2                    15601                26                   4.800308             
1                    67                   2                    14645                23                   5.093913             
1                    78                   2                    15012                23                   5.221565             
1                    79                   2                    15850                25                   5.072000             
1                    90                   2                    19010                34                   4.472941             
1                    91                   2                    20891                33                   5.064485             
1                    102                  2                    22639                38                   4.766105             
1                    103                  2                    22136                35                   5.059657             
1                    41                   2                    21733                38                   4.575368             
1                    53                   2                    19563                31                   5.048516             
1                    65                   2                    18896                30                   5.038933             
1                    77                   2                    16125                28                   4.607143             
1                    89                   2                    23426                38                   4.931789             
1                    101                  2                    25207                43                   4.689674             
1                    44                   2                    19661                31                   5.073806             
1                    56                   2                    17010                27                   5.040000             
1                    68                   2                    15092                26                   4.643692             
1                    80                   2                    17002                26                   5.231385             
1                    92                   2                    21454                36                   4.767556             
1                    104                  2                    27162                46                   4.723826             
1                    114                  2                    24061                40                   4.812200             
1                    115                  2                    24010                40                   4.802000             
1                    113                  2                    19656                31                   5.072516             
1                    30                   2                    22734                38                   4.786105             
1                    31                   2                    21936                38                   4.618105             
1                    116                  2                    36508                60                   4.867733             
1                    29                   2                    21175                35                   4.840000             
1                    32                   2                    20712                33                   5.021091             
2                    42                   2                    24175                40                   4.835000             
2                    43                   2                    20920                35                   4.781714             
2                    54                   2                    21635                36                   4.807778             
2                    55                   2                    15999                26                   4.922769             
2                    66                   2                    17430                31                   4.498065             
2                    67                   2                    15969                27                   4.731555             
2                    78                   2                    16917                27                   5.012444             
2                    79                   2                    17860                29                   4.926897             
2                    90                   2                    21691                35                   4.957943             
2                    91                   2                    24432                41                   4.767220             
2                    102                  2                    27658                45                   4.916978             
2                    103                  2                    26783                46                   4.657913             
1                    45                   2                    16817                28                   4.804857             
1                    57                   2                    14796                23                   5.146435             
1                    69                   2                    16324                26                   5.022769             
1                    81                   2                    21126                36                   4.694667             
1                    93                   2                    23930                41                   4.669268             
1                    105                  2                    31195                51                   4.893333             
1                    33                   2                    18767                34                   4.415765             
1                    117                  2                    37529                64                   4.691125             
2                    44                   2                    21975                36                   4.883333             
2                    56                   2                    18611                30                   4.962934             
2                    68                   2                    16982                28                   4.852000             
2                    80                   2                    20600                33                   4.993939             
2                    92                   2                    27466                45                   4.882844             
2                    104                  2                    32370                56                   4.624286             
2                    30                   2                    25312                40                   5.062400             
2                    31                   2                    23289                38                   4.902947             
2                    32                   2                    22713                38                   4.781684             
2                    41                   2                    24276                41                   4.736781             
2                    53                   2                    21541                36                   4.786889             
2                    65                   2                    21315                37                   4.608649             
2                    77                   2                    19032                30                   5.075200             
2                    89                   2                    29643                51                   4.649882             
2                    101                  2                    31013                51                   4.864784             
2                    114                  2                    30551                55                   4.443782             
2                    115                  2                    30347                52                   4.668769             
2                    116                  2                    45091                76                   4.746421             
2                    29                   2                    24042                40                   4.808400             
2                    113                  2                    25821                43                   4.803907             
3                    42                   2                    23208                37                   5.017946             
3                    43                   2                    20554                33                   4.982788             
3                    54                   2                    21618                35                   4.941257             
3                    55                   2                    16013                26                   4.927077             
3                    66                   2                    17513                29                   4.831172             
3                    67                   2                    15365                22                   5.587273             
3                    78                   2                    15601                25                   4.992320             
3                    79                   2                    16611                28                   4.746000             
3                    90                   2                    21536                35                   4.922514             
3                    91                   2                    22725                38                   4.784211             
3                    102                  2                    24735                40                   4.947000             
3                    103                  2                    24865                39                   5.100513             
3                    44                   2                    21807                34                   5.131059             
3                    56                   2                    18209                30                   4.855733             
3                    68                   2                    16420                28                   4.691429             
3                    80                   2                    19058                30                   5.082133             
3                    41                   2                    23143                38                   4.872211             
3                    53                   2                    21268                37                   4.598486             
3                    65                   2                    21340                37                   4.614054             
3                    77                   2                    18306                27                   5.424000             
3                    89                   2                    26984                46                   4.692870             
3                    101                  2                    28507                49                   4.654204             
3                    92                   2                    24745                41                   4.828293             
3                    104                  2                    28509                48                   4.751500             
3                    114                  2                    25448                44                   4.626909             
3                    29                   2                    22158                37                   4.790919             
3                    30                   2                    24760                43                   4.606512             
3                    31                   2                    22344                39                   4.583385             
3                    32                   2                    23095                37                   4.993514             
3                    40                   2                    17363                28                   4.960857             
3                    52                   2                    17346                29                   4.785103             
3                    64                   2                    21210                34                   4.990588             
3                    76                   2                    26225                43                   4.879070             
4                    41                   2                    23445                41                   4.574634             
4                    42                   2                    22840                34                   5.374118             
4                    53                   2                    21166                35                   4.837943             
4                    54                   2                    21939                36                   4.875333             
4                    65                   2                    20622                37                   4.458811             
4                    66                   2                    16117                26                   4.959077             
4                    77                   2                    18437                31                   4.757936             
4                    78                   2                    15622                26                   4.806769             
4                    89                   2                    27874                46                   4.847652             
4                    90                   2                    21376                34                   5.029647             
4                    101                  2                    28103                47                   4.783489             
4                    102                  2                    25279                41                   4.932488             
4                    40                   2                    18102                30                   4.827200             
4                    52                   2                    17710                28                   5.060000             
4                    64                   2                    22247                39                   4.563487             
4                    76                   2                    26965                46                   4.689565             
4                    88                   2                    30477                51                   4.780706             
4                    100                  2                    26713                44                   4.856909             
4                    29                   2                    21835                39                   4.478974             
4                    30                   2                    25406                42                   4.839238             
4                    28                   2                    18282                31                   4.717936             
4                    43                   2                    20991                36                   4.664667             
4                    55                   2                    15816                26                   4.866462             
4                    67                   2                    14947                22                   5.435273             
4                    79                   2                    16758                28                   4.788000             
4                    91                   2                    22980                37                   4.968648             
5                    41                   2                    22018                36                   4.892889             
5                    42                   2                    21563                36                   4.791778             
5                    53                   2                    19977                34                   4.700470             
5                    54                   2                    21723                34                   5.111294             
5                    65                   2                    20144                33                   4.883394             
5                    66                   2                    16332                28                   4.666286             
5                    77                   2                    17749                27                   5.258963             
5                    78                   2                    15717                25                   5.029440             
5                    89                   2                    27392                45                   4.869689             
5                    90                   2                    21111                35                   4.825371             
5                    101                  2                    28925                48                   4.820833             
5                    102                  2                    25782                44                   4.687636             
