chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                38                   4.521895             
1                    43                   2                    18918                30                   5.044800             
1                    54                   2                    19716                32                   4.929000             
1                    55                   2                    14732                26                   4.532923             
1                    66                   2                    15601                25                   4.992320             
1                    67                   2                    14645                23                   5.093913             
1                    78                   2                    15012                23                   5.221565             
1                    79                   2                    15850                28                   4.528572             
1                    90                   2                    19010                32                   4.752500             
1                    91                   2                    20891                34                   4.915529             
1                    102                  2                    22639                38                   4.766105             
1                    103                  2                    22136                38                   4.660211             
1                    41                   2                    21733                35                   4.967543             
1                    53                   2                    19563                30                   5.216800             
1                    65                   2                    18896                33                   4.580849             
1                    77                   2                    16125                26                   4.961538             
1                    89                   2                    23426                39                   4.805333             
1                    101                  2                    25207                44                   4.583091             
1                    44                   2                    19661                31                   5.073806             
1                    56                   2                    17010                28                   4.860000             
1                    68                   2                    15092                25                   4.829440             
1                    80                   2                    17002                28                   4.857714             
1                    92                   2                    21454                36                   4.767556             
1                    104                  2                    27162                45                   4.828800             
1                    30                   2                    22734                34                   5.349176             
1                    31                   2                    21936                38                   4.618105             
1                    29                   2                    21175                33                   5.133333             
1                    32                   2                    20712                36                   4.602667             
1                    114                  2                    24061                41                   4.694829             
1                    115                  2                    24010                38                   5.054737             
1                    113                  2                    19656                33                   4.765091             
1                    116                  2                    36508                63                   4.635937             
2                    42                   2                    24175                41                   4.717073             
2                    43                   2                    20920                36                   4.648889             
2                    54                   2                    21635                35                   4.945143             
2                    55                   2                    15999                26                   4.922769             
2                    66                   2                    17430                30                   4.648000             
2                    67                   2                    15969                25                   5.110080             
2                    78                   2                    16917                26                   5.205231             
2                    79                   2                    17860                31                   4.609032             
2                    90                   2                    21691                36                   4.820222             
2                    91                   2                    24432                40                   4.886400             
2                    102                  2                    27658                46                   4.810087             
2                    103                  2                    26783                47                   4.558808             
2                    30                   2                    25312                44                   4.602182             
2                    31                   2                    23289                37                   5.035460             
2                    41                   2                    24276                41                   4.736781             
2                    53                   2                    21541                36                   4.786889             
2                    65                   2                    21315                33                   5.167273             
2                    77                   2                    19032                33                   4.613818             
2                    89                   2                    29643                48                   4.940500             
2                    29                   2                    24042                42                   4.579429             
2                    101                  2                    31013                53                   4.681208             
2                    44                   2                    21975                35                   5.022857             
2                    56                   2                    18611                29                   5.134069             
2                    68                   2                    16982                28                   4.852000             
2                    80                   2                    20600                33                   4.993939             
2                    92                   2                    27466                46                   4.776696             
2                    32                   2                    22713                39                   4.659077             
2                    104                  2                    32370                53                   4.886038             
2                    18                   2                    21641                38                   4.556000             
2                    19                   2                    24042                37                   5.198270             
2                    17                   2                    22962                38                   4.834105             
2                    20                   2                    17854                30                   4.761066             
2                    33                   2                    20590                34                   4.844706             
2                    45                   2                    19023                30                   5.072800             
2                    57                   2                    16604                28                   4.744000             
2                    69                   2                    18595                30                   4.958667             
2                    81                   2                    26248                43                   4.883349             
2                    93                   2                    31626                53                   4.773736             
2                    21                   2                    15328                25                   4.904960             
2                    105                  2                    38399                63                   4.876063             
2                    6                    2                    17590                30                   4.690667             
2                    7                    2                    15289                23                   5.317913             
2                    8                    2                    17362                31                   4.480516             
2                    9                    2                    15083                24                   5.027667             
2                    5                    2                    15076                25                   4.824320             
3                    18                   2                    20151                33                   4.885091             
3                    19                   2                    24224                41                   4.726634             
3                    20                   2                    19100                31                   4.929032             
3                    30                   2                    24760                41                   4.831220             
3                    31                   2                    22344                38                   4.704000             
3                    42                   2                    23208                39                   4.760615             
3                    43                   2                    20554                36                   4.567555             
3                    54                   2                    21618                36                   4.804000             
3                    55                   2                    16013                26                   4.927077             
3                    66                   2                    17513                28                   5.003714             
3                    67                   2                    15365                24                   5.121666             
3                    78                   2                    15601                25                   4.992320             
3                    79                   2                    16611                25                   5.315520             
3                    90                   2                    21536                35                   4.922514             
3                    91                   2                    22725                39                   4.661539             
3                    29                   2                    22158                37                   4.790919             
