chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                31                   5.542968             
1                    43                   2                    18918                24                   6.306000             
1                    54                   2                    19716                25                   6.309120             
1                    55                   2                    14732                21                   5.612190             
1                    66                   2                    15601                21                   5.943238             
1                    67                   2                    14645                19                   6.166316             
1                    78                   2                    15012                19                   6.320842             
1                    79                   2                    15850                23                   5.513043             
1                    90                   2                    19010                24                   6.336667             
1                    91                   2                    20891                28                   5.968857             
1                    102                  2                    22639                31                   5.842322             
1                    103                  2                    22136                32                   5.534000             
1                    41                   2                    21733                29                   5.995310             
1                    53                   2                    19563                25                   6.260160             
1                    65                   2                    18896                28                   5.398857             
1                    77                   2                    16125                21                   6.142857             
1                    89                   2                    23426                32                   5.856500             
1                    101                  2                    25207                36                   5.601555             
1                    44                   2                    19661                24                   6.553667             
1                    56                   2                    17010                23                   5.916522             
1                    68                   2                    15092                21                   5.749333             
1                    80                   2                    17002                23                   5.913739             
1                    92                   2                    21454                30                   5.721066             
1                    104                  2                    27162                37                   5.872865             
1                    114                  2                    24061                34                   5.661412             
1                    115                  2                    24010                33                   5.820606             
1                    113                  2                    19656                25                   6.289920             
1                    30                   2                    22734                31                   5.866839             
1                    31                   2                    21936                32                   5.484000             
1                    116                  2                    36508                50                   5.841280             
1                    29                   2                    21175                29                   5.841379             
1                    32                   2                    20712                27                   6.136889             
2                    42                   2                    24175                33                   5.860606             
2                    43                   2                    20920                30                   5.578667             
2                    54                   2                    21635                29                   5.968276             
2                    55                   2                    15999                22                   5.817818             
2                    66                   2                    17430                25                   5.577600             
2                    67                   2                    15969                22                   5.806909             
2                    78                   2                    16917                20                   6.766800             
2                    79                   2                    17860                25                   5.715200             
2                    90                   2                    21691                29                   5.983724             
2                    91                   2                    24432                33                   5.922909             
2                    102                  2                    27658                38                   5.822737             
2                    103                  2                    26783                37                   5.790919             
2                    44                   2                    21975                30                   5.860000             
2                    56                   2                    18611                25                   5.955520             
2                    68                   2                    16982                24                   5.660666             
2                    80                   2                    20600                27                   6.103703             
2                    92                   2                    27466                37                   5.938595             
1                    45                   2                    16817                23                   5.849391             
1                    57                   2                    14796                22                   5.380363             
1                    69                   2                    16324                21                   6.218667             
1                    81                   2                    21126                29                   5.827862             
1                    93                   2                    23930                31                   6.175484             
1                    105                  2                    31195                43                   5.803721             
1                    33                   2                    18767                26                   5.774462             
1                    117                  2                    37529                52                   5.773692             
2                    104                  2                    32370                46                   5.629565             
2                    30                   2                    25312                35                   5.785600             
2                    31                   2                    23289                32                   5.822250             
2                    32                   2                    22713                29                   6.265655             
2                    41                   2                    24276                34                   5.712000             
2                    53                   2                    21541                29                   5.942345             
2                    65                   2                    21315                29                   5.880000             
2                    77                   2                    19032                25                   6.090240             
2                    89                   2                    29643                41                   5.784000             
2                    101                  2                    31013                44                   5.638727             
2                    114                  2                    30551                41                   5.961171             
2                    115                  2                    30347                42                   5.780381             
