chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                38                   4.521895             
1                    43                   2                    18918                31                   4.882064             
1                    54                   2                    19716                31                   5.088000             
1                    55                   2                    14732                27                   4.365037             
1                    66                   2                    15601                26                   4.800308             
1                    67                   2                    14645                23                   5.093913             
1                    78                   2                    15012                23                   5.221565             
1                    79                   2                    15850                29                   4.372414             
1                    90                   2                    19010                29                   5.244138             
1                    91                   2                    20891                33                   5.064485             
1                    102                  2                    22639                38                   4.766105             
1                    103                  2                    22136                38                   4.660211             
1                    41                   2                    21733                35                   4.967543             
1                    53                   2                    19563                31                   5.048516             
1                    65                   2                    18896                34                   4.446118             
1                    77                   2                    16125                26                   4.961538             
1                    89                   2                    23426                38                   4.931789             
1                    101                  2                    25207                43                   4.689674             
1                    44                   2                    19661                30                   5.242933             
1                    56                   2                    17010                29                   4.692414             
1                    68                   2                    15092                26                   4.643692             
1                    80                   2                    17002                28                   4.857714             
1                    92                   2                    21454                35                   4.903771             
1                    104                  2                    27162                46                   4.723826             
1                    114                  2                    24061                38                   5.065474             
1                    115                  2                    24010                40                   4.802000             
1                    113                  2                    19656                33                   4.765091             
1                    30                   2                    22734                38                   4.786105             
1                    31                   2                    21936                36                   4.874667             
1                    116                  2                    36508                61                   4.787934             
1                    29                   2                    21175                36                   4.705555             
1                    32                   2                    20712                34                   4.873412             
2                    42                   2                    24175                42                   4.604762             
2                    43                   2                    20920                36                   4.648889             
2                    54                   2                    21635                36                   4.807778             
2                    55                   2                    15999                26                   4.922769             
2                    66                   2                    17430                32                   4.357500             
2                    67                   2                    15969                26                   4.913538             
2                    78                   2                    16917                26                   5.205231             
2                    79                   2                    17860                32                   4.465000             
2                    90                   2                    21691                36                   4.820222             
2                    91                   2                    24432                41                   4.767220             
2                    102                  2                    27658                45                   4.916978             
2                    103                  2                    26783                46                   4.657913             
1                    45                   2                    16817                28                   4.804857             
1                    57                   2                    14796                23                   5.146435             
1                    69                   2                    16324                26                   5.022769             
1                    81                   2                    21126                36                   4.694667             
1                    93                   2                    23930                41                   4.669268             
1                    105                  2                    31195                50                   4.991200             
1                    33                   2                    18767                33                   4.549576             
1                    117                  2                    37529                63                   4.765587             
2                    44                   2                    21975                36                   4.883333             
2                    56                   2                    18611                30                   4.962934             
2                    68                   2                    16982                28                   4.852000             
2                    80                   2                    20600                33                   4.993939             
2                    92                   2                    27466                46                   4.776696             
2                    104                  2                    32370                56                   4.624286             
2                    30                   2                    25312                40                   5.062400             
2                    31                   2                    23289                41                   4.544195             
2                    32                   2                    22713                39                   4.659077             
2                    41                   2                    24276                39                   4.979692             
2                    53                   2                    21541                36                   4.786889             
2                    65                   2                    21315                36                   4.736667             
2                    77                   2                    19032                33                   4.613818             
2                    89                   2                    29643                48                   4.940500             
2                    101                  2                    31013                52                   4.771231             
2                    114                  2                    30551                61                   4.006689             
2                    115                  2                    30347                46                   5.277739             
2                    116                  2                    45091                74                   4.874703             
2                    29                   2                    24042                43                   4.472930             
2                    113                  2                    25821                41                   5.038244             
3                    42                   2                    23208                38                   4.885895             
3                    43                   2                    20554                31                   5.304258             
3                    54                   2                    21618                39                   4.434462             
3                    55                   2                    16013                28                   4.575143             
3                    66                   2                    17513                26                   5.388616             
3                    67                   2                    15365                25                   4.916800             
3                    78                   2                    15601                25                   4.992320             
3                    79                   2                    16611                25                   5.315520             
3                    90                   2                    21536                36                   4.785778             
3                    91                   2                    22725                38                   4.784211             
3                    102                  2                    24735                40                   4.947000             
3                    103                  2                    24865                43                   4.626047             
3                    44                   2                    21807                35                   4.984457             
3                    56                   2                    18209                28                   5.202571             
3                    68                   2                    16420                28                   4.691429             
3                    80                   2                    19058                29                   5.257380             
3                    41                   2                    23143                38                   4.872211             
3                    53                   2                    21268                36                   4.726222             
3                    65                   2                    21340                36                   4.742222             
3                    77                   2                    18306                30                   4.881600             
3                    89                   2                    26984                42                   5.139810             
3                    101                  2                    28507                49                   4.654204             
3                    92                   2                    24745                43                   4.603721             
3                    104                  2                    28509                46                   4.958087             
3                    114                  2                    25448                44                   4.626909             
3                    29                   2                    22158                38                   4.664842             
3                    30                   2                    24760                41                   4.831220             
3                    31                   2                    22344                36                   4.965333             
3                    32                   2                    23095                41                   4.506341             
3                    40                   2                    17363                28                   4.960857             
3                    52                   2                    17346                28                   4.956000             
3                    64                   2                    21210                37                   4.585946             
3                    76                   2                    26225                43                   4.879070             
4                    41                   2                    23445                39                   4.809231             
4                    42                   2                    22840                38                   4.808421             
4                    53                   2                    21166                35                   4.837943             
4                    54                   2                    21939                37                   4.743567             
4                    65                   2                    20622                33                   4.999273             
4                    66                   2                    16117                29                   4.446069             
4                    77                   2                    18437                30                   4.916533             
4                    78                   2                    15622                23                   5.433739             
4                    89                   2                    27874                49                   4.550857             
4                    90                   2                    21376                36                   4.750222             
4                    101                  2                    28103                46                   4.887478             
4                    102                  2                    25279                43                   4.703070             
4                    40                   2                    18102                28                   5.172000             
4                    52                   2                    17710                30                   4.722667             
4                    64                   2                    22247                36                   4.943778             
4                    76                   2                    26965                46                   4.689565             
4                    88                   2                    30477                51                   4.780706             
4                    100                  2                    26713                46                   4.645739             
4                    29                   2                    21835                36                   4.852222             
4                    30                   2                    25406                45                   4.516622             
4                    28                   2                    18282                31                   4.717936             
4                    43                   2                    20991                36                   4.664667             
4                    55                   2                    15816                26                   4.866462             
4                    67                   2                    14947                23                   5.198956             
4                    79                   2                    16758                29                   4.622897             
4                    91                   2                    22980                38                   4.837895             
5                    41                   2                    22018                35                   5.032686             
5                    42                   2                    21563                36                   4.791778             
5                    53                   2                    19977                33                   4.842909             
5                    54                   2                    21723                36                   4.827333             
5                    65                   2                    20144                33                   4.883394             
5                    66                   2                    16332                28                   4.666286             
5                    77                   2                    17749                27                   5.258963             
5                    78                   2                    15717                26                   4.836000             
5                    89                   2                    27392                46                   4.763826             
5                    90                   2                    21111                36                   4.691333             
5                    101                  2                    28925                47                   4.923404             
5                    102                  2                    25782                45                   4.583467             
5                    43                   2                    20078                33                   4.867394             
5                    55                   2                    15668                25                   5.013760             
5                    67                   2                    14783                24                   4.927667             
5                    79                   2                    16140                28                   4.611429             
5                    91                   2                    22894                35                   5.232914             
5                    103                  2                    24833                43                   4.620093             
5                    30                   2                    24780                39                   5.083077             
5                    31                   2                    21252                35                   4.857600             
5                    44                   2                    20349                33                   4.933091             
5                    56                   2                    16729                28                   4.779714             
5                    68                   2                    14404                23                   5.010087             
5                    80                   2                    18010                28                   5.145714             
5                    92                   2                    24573                41                   4.794732             
5                    29                   2                    19450                33                   4.715151             
5                    32                   2                    21708                36                   4.824000             
6                    30                   2                    25009                43                   4.652837             
6                    31                   2                    21976                35                   5.023086             
6                    42                   2                    22386                36                   4.974667             
6                    43                   2                    20510                36                   4.557778             
6                    54                   2                    21293                36                   4.731778             
6                    55                   2                    15015                23                   5.222609             
6                    66                   2                    15377                26                   4.731385             
6                    67                   2                    13966                24                   4.655334             
6                    78                   2                    14091                23                   4.901217             
6                    79                   2                    15041                23                   5.231652             
6                    90                   2                    19132                33                   4.638061             
6                    91                   2                    21811                36                   4.846889             
6                    29                   2                    20527                32                   5.131750             
6                    41                   2                    22144                38                   4.661895             
6                    53                   2                    19874                30                   5.299733             
6                    65                   2                    19296                33                   4.677818             
6                    77                   2                    16657                28                   4.759143             
6                    89                   2                    25063                41                   4.890341             
6                    32                   2                    22323                38                   4.699579             
6                    44                   2                    21162                33                   5.130182             
6                    56                   2                    18087                30                   4.823200             
6                    68                   2                    14816                23                   5.153391             
6                    80                   2                    17884                31                   4.615226             
6                    92                   2                    24540                41                   4.788293             
6                    102                  2                    24235                41                   4.728780             
6                    103                  2                    24903                41                   4.859122             
6                    104                  2                    29914                51                   4.692392             
6                    18                   2                    17562                29                   4.844690             
7                    30                   2                    27171                45                   4.830400             
7                    31                   2                    25256                41                   4.928000             
7                    32                   2                    25235                43                   4.694884             
7                    42                   2                    23806                41                   4.645073             
7                    43                   2                    23905                38                   5.032631             
7                    44                   2                    23206                42                   4.420190             
7                    54                   2                    23814                38                   5.013474             
7                    19                   2                    22957                38                   4.833053             
7                    20                   2                    24465                41                   4.773659             
7                    55                   2                    18016                31                   4.649290             
7                    56                   2                    18960                30                   5.056000             
7                    67                   2                    16938                28                   4.839428             
7                    68                   2                    17527                29                   4.835034             
7                    21                   2                    16746                28                   4.784572             
7                    33                   2                    16235                25                   5.195200             
7                    45                   2                    19252                33                   4.667151             
7                    57                   2                    17139                25                   5.484480             
7                    69                   2                    18566                31                   4.791226             
7                    8                    2                    18261                29                   5.037517             
7                    9                    2                    14340                22                   5.214545             
7                    10                   2                    15503                25                   4.960960             
7                    22                   2                    16930                27                   5.016296             
7                    34                   2                    20439                33                   4.954909             
7                    46                   2                    17501                28                   5.000286             
7                    58                   2                    16473                28                   4.706572             
7                    70                   2                    19122                31                   4.934710             
7                    80                   2                    20087                33                   4.869576             
7                    81                   2                    27655                46                   4.809565             
8                    20                   2                    23744                41                   4.632976             
8                    21                   2                    15031                23                   5.228174             
8                    22                   2                    17708                31                   4.569807             
8                    32                   2                    23960                41                   4.675122             
8                    33                   2                    14915                22                   5.423636             
8                    34                   2                    19659                33                   4.765818             
8                    45                   2                    18765                31                   4.842581             
8                    46                   2                    16806                25                   5.377920             
8                    57                   2                    15614                25                   4.996480             
8                    58                   2                    15443                25                   4.941760             
8                    69                   2                    15929                24                   5.309667             
8                    70                   2                    16674                28                   4.764000             
8                    81                   2                    24018                41                   4.686439             
8                    23                   2                    6758                 8                    6.758000             
8                    35                   2                    14218                22                   5.170182             
8                    47                   2                    17502                31                   4.516645             
8                    59                   2                    14910                22                   5.421818             
8                    71                   2                    17798                27                   5.273481             
8                    82                   2                    24717                43                   4.598512             
8                    24                   2                    10875                15                   5.800000             
8                    36                   2                    15013                25                   4.804160             
8                    48                   2                    16602                28                   4.743429             
8                    60                   2                    13398                20                   5.359200             
8                    72                   2                    17419                27                   5.161185             
8                    83                   2                    25812                44                   4.693091             
8                    84                   2                    28984                49                   4.732081             
8                    95                   2                    30007                51                   4.706980             
8                    96                   2                    30707                51                   4.816784             
8                    25                   2                    15356                25                   4.913920             
8                    37                   2                    19446                33                   4.714182             
9                    35                   2                    13120                20                   5.248000             
9                    36                   2                    12876                21                   4.905143             
9                    47                   2                    17565                28                   5.018571             
9                    48                   2                    17412                28                   4.974857             
9                    59                   2                    14541                23                   5.057739             
9                    60                   2                    14280                23                   4.966957             
9                    71                   2                    18858                33                   4.571636             
9                    72                   2                    17851                27                   5.289185             
9                    83                   2                    25651                44                   4.663818             
9                    84                   2                    26907                45                   4.783467             
9                    95                   2                    30244                51                   4.744157             
9                    96                   2                    28671                46                   4.986261             
9                    107                  2                    31350                53                   4.732076             
9                    108                  2                    32704                56                   4.672000             
9                    37                   2                    18878                31                   4.871742             
9                    49                   2                    12282                21                   4.678857             
9                    61                   2                    17697                28                   5.056286             
9                    73                   2                    24474                40                   4.894800             
9                    85                   2                    30623                53                   4.622340             
9                    97                   2                    33055                53                   4.989434             
9                    46                   2                    17128                28                   4.893714             
9                    58                   2                    15516                26                   4.774154             
9                    70                   2                    17484                29                   4.823173             
9                    82                   2                    24447                39                   5.014769             
9                    94                   2                    35667                60                   4.755600             
9                    106                  2                    33159                57                   4.653895             
10                   47                   2                    16823                28                   4.806571             
10                   48                   2                    18116                30                   4.830934             
10                   59                   2                    13983                19                   5.887579             
10                   46                   2                    17938                30                   4.783467             
10                   58                   2                    15326                25                   4.904320             
10                   60                   2                    13515                20                   5.406000             
10                   70                   2                    17364                28                   4.961143             
10                   71                   2                    18247                31                   4.708903             
10                   72                   2                    17022                29                   4.695724             
10                   82                   2                    25045                41                   4.886829             
10                   83                   2                    25027                44                   4.550364             
10                   84                   2                    27537                46                   4.789043             
10                   94                   2                    35192                59                   4.771797             
10                   95                   2                    30821                54                   4.566074             
10                   96                   2                    28541                49                   4.659755             
10                   106                  2                    32464                54                   4.809482             
10                   107                  2                    30170                51                   4.732549             
10                   108                  2                    32387                56                   4.626714             
10                   118                  2                    30189                51                   4.735529             
10                   119                  2                    27079                45                   4.814044             
10                   120                  2                    28610                48                   4.768333             
10                   37                   2                    18174                27                   5.384889             
10                   49                   2                    12084                21                   4.603428             
10                   61                   2                    16192                26                   4.982154             
11                   46                   2                    17289                29                   4.769379             
11                   47                   2                    15868                25                   5.077760             
11                   48                   2                    17388                30                   4.636800             
11                   58                   2                    13596                20                   5.438400             
11                   59                   2                    12649                20                   5.059600             
11                   60                   2                    12755                21                   4.859047             
11                   70                   2                    16259                28                   4.645429             
11                   71                   2                    17002                25                   5.440640             
11                   72                   2                    15933                28                   4.552286             
11                   82                   2                    20096                33                   4.871758             
11                   83                   2                    21129                33                   5.122182             
11                   84                   2                    22635                39                   4.643077             
11                   94                   2                    32807                56                   4.686714             
11                   95                   2                    25267                43                   4.700837             
11                   96                   2                    22742                36                   5.053778             
11                   106                  2                    29119                52                   4.479846             
11                   107                  2                    25014                39                   5.131077             
11                   108                  2                    24887                40                   4.977400             
11                   118                  2                    26723                46                   4.647478             
11                   119                  2                    23169                38                   4.877684             
