chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                38                   4.521895             
1                    43                   2                    18918                30                   5.044800             
1                    54                   2                    19716                30                   5.257600             
1                    55                   2                    14732                25                   4.714240             
1                    66                   2                    15601                25                   4.992320             
1                    67                   2                    14645                22                   5.325455             
1                    78                   2                    15012                23                   5.221565             
1                    79                   2                    15850                27                   4.696296             
1                    90                   2                    19010                30                   5.069334             
1                    91                   2                    20891                34                   4.915529             
1                    102                  2                    22639                38                   4.766105             
1                    103                  2                    22136                38                   4.660211             
1                    41                   2                    21733                36                   4.829556             
1                    53                   2                    19563                31                   5.048516             
1                    65                   2                    18896                33                   4.580849             
1                    77                   2                    16125                25                   5.160000             
1                    89                   2                    23426                38                   4.931789             
1                    101                  2                    25207                44                   4.583091             
1                    44                   2                    19661                31                   5.073806             
1                    56                   2                    17010                30                   4.536000             
1                    68                   2                    15092                26                   4.643692             
1                    80                   2                    17002                28                   4.857714             
1                    92                   2                    21454                35                   4.903771             
1                    104                  2                    27162                46                   4.723826             
1                    114                  2                    24061                38                   5.065474             
1                    115                  2                    24010                41                   4.684878             
1                    113                  2                    19656                33                   4.765091             
1                    30                   2                    22734                38                   4.786105             
1                    31                   2                    21936                35                   5.013943             
1                    116                  2                    36508                61                   4.787934             
1                    29                   2                    21175                36                   4.705555             
1                    32                   2                    20712                36                   4.602667             
2                    42                   2                    24175                41                   4.717073             
2                    43                   2                    20920                35                   4.781714             
2                    54                   2                    21635                35                   4.945143             
2                    55                   2                    15999                25                   5.119680             
2                    66                   2                    17430                31                   4.498065             
2                    67                   2                    15969                25                   5.110080             
2                    78                   2                    16917                25                   5.413440             
2                    79                   2                    17860                30                   4.762667             
2                    90                   2                    21691                35                   4.957943             
2                    91                   2                    24432                41                   4.767220             
2                    102                  2                    27658                47                   4.707745             
2                    103                  2                    26783                46                   4.657913             
1                    45                   2                    16817                27                   4.982815             
1                    57                   2                    14796                23                   5.146435             
1                    69                   2                    16324                28                   4.664000             
1                    81                   2                    21126                36                   4.694667             
1                    93                   2                    23930                38                   5.037895             
1                    105                  2                    31195                53                   4.708679             
1                    33                   2                    18767                30                   5.004533             
1                    117                  2                    37529                63                   4.765587             
2                    44                   2                    21975                36                   4.883333             
2                    56                   2                    18611                31                   4.802839             
2                    68                   2                    16982                28                   4.852000             
2                    80                   2                    20600                35                   4.708571             
2                    92                   2                    27466                46                   4.776696             
2                    104                  2                    32370                54                   4.795556             
2                    30                   2                    25312                43                   4.709209             
2                    31                   2                    23289                38                   4.902947             
2                    32                   2                    22713                38                   4.781684             
2                    41                   2                    24276                42                   4.624000             
2                    53                   2                    21541                36                   4.786889             
2                    65                   2                    21315                33                   5.167273             
2                    77                   2                    19032                33                   4.613818             
2                    89                   2                    29643                47                   5.045617             
2                    101                  2                    31013                71                   3.494422             
2                    114                  2                    30551                36                   6.789111             
2                    115                  2                    30347                49                   4.954612             
2                    116                  2                    45091                81                   4.453432             
2                    29                   2                    24042                38                   5.061474             
2                    113                  2                    25821                43                   4.803907             
3                    42                   2                    23208                40                   4.641600             
3                    43                   2                    20554                31                   5.304258             
3                    54                   2                    21618                40                   4.323600             
3                    55                   2                    16013                28                   4.575143             
3                    66                   2                    17513                28                   5.003714             
3                    67                   2                    15365                25                   4.916800             
3                    78                   2                    15601                23                   5.426435             
3                    79                   2                    16611                25                   5.315520             
3                    90                   2                    21536                35                   4.922514             
3                    91                   2                    22725                38                   4.784211             
3                    102                  2                    24735                43                   4.601861             
3                    103                  2                    24865                42                   4.736190             
3                    44                   2                    21807                35                   4.984457             
3                    56                   2                    18209                30                   4.855733             
3                    68                   2                    16420                25                   5.254400             
3                    41                   2                    23143                38                   4.872211             
3                    53                   2                    21268                35                   4.861257             
3                    65                   2                    21340                35                   4.877714             
3                    77                   2                    18306                30                   4.881600             
3                    89                   2                    26984                44                   4.906182             
3                    101                  2                    28507                49                   4.654204             
