chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   2                    21479                19                   9.043790             
1                    43                   2                    18918                15                   10.089600            
1                    54                   2                    19716                15                   10.515200            
1                    55                   2                    14732                13                   9.065846             
1                    66                   2                    15601                13                   9.600616             
1                    67                   2                    14645                11                   10.650909            
1                    78                   2                    15012                11                   10.917818            
1                    79                   2                    15850                15                   8.453333             
1                    90                   2                    19010                14                   10.862857            
1                    91                   2                    20891                18                   9.284889             
1                    102                  2                    22639                19                   9.532210             
1                    103                  2                    22136                18                   9.838223             
1                    41                   2                    21733                18                   9.659111             
1                    53                   2                    19563                17                   9.206118             
1                    65                   2                    18896                14                   10.797714            
1                    77                   2                    16125                13                   9.923077             
1                    89                   2                    23426                21                   8.924191             
1                    101                  2                    25207                20                   10.082800            
1                    44                   2                    19661                16                   9.830500             
1                    56                   2                    17010                14                   9.720000             
1                    68                   2                    15092                12                   10.061334            
1                    80                   2                    17002                14                   9.715428             
1                    92                   2                    21454                17                   10.096000            
1                    104                  2                    27162                23                   9.447652             
1                    114                  2                    24061                19                   10.130947            
1                    115                  2                    24010                20                   9.604000             
1                    113                  2                    19656                17                   9.249883             
1                    30                   2                    22734                19                   9.572210             
1                    31                   2                    21936                17                   10.322824            
1                    116                  2                    36508                30                   9.735467             
1                    29                   2                    21175                18                   9.411111             
1                    32                   2                    20712                18                   9.205334             
1                    45                   2                    16817                12                   11.211333            
1                    57                   2                    14796                12                   9.864000             
1                    69                   2                    16324                13                   10.045539            
1                    81                   2                    21126                18                   9.389334             
1                    93                   2                    23930                21                   9.116191             
1                    105                  2                    31195                26                   9.598461             
1                    33                   2                    18767                17                   8.831530             
1                    117                  2                    37529                32                   9.382250             
2                    42                   2                    24175                20                   9.670000             
2                    43                   2                    20920                16                   10.460000            
2                    44                   2                    21975                20                   8.790000             
2                    54                   2                    21635                18                   9.615556             
2                    55                   2                    15999                13                   9.845538             
2                    56                   2                    18611                15                   9.925867             
2                    66                   2                    17430                13                   10.726153            
2                    67                   2                    15969                14                   9.125143             
2                    68                   2                    16982                15                   9.057067             
2                    78                   2                    16917                13                   10.410461            
2                    79                   2                    17860                16                   8.930000             
2                    80                   2                    20600                16                   10.300000            
2                    90                   2                    21691                18                   9.640445             
2                    91                   2                    24432                20                   9.772800             
2                    92                   2                    27466                25                   8.789120             
2                    102                  2                    27658                23                   9.620173             
2                    103                  2                    26783                22                   9.739273             
2                    104                  2                    32370                28                   9.248571             
2                    30                   2                    25312                22                   9.204364             
2                    31                   2                    23289                19                   9.805895             
2                    32                   2                    22713                19                   9.563369             
2                    41                   2                    24276                21                   9.248000             
2                    53                   2                    21541                18                   9.573778             
2                    65                   2                    21315                18                   9.473333             
2                    77                   2                    19032                14                   10.875428            
2                    89                   2                    29643                25                   9.485760             
2                    101                  2                    31013                27                   9.189037             
2                    114                  2                    30551                26                   9.400308             
2                    115                  2                    30347                25                   9.711040             
2                    116                  2                    45091                37                   9.749406             
2                    29                   2                    24042                20                   9.616800             
2                    113                  2                    25821                21                   9.836572             
2                    45                   2                    19023                16                   9.511500             
2                    57                   2                    16604                14                   9.488000             
2                    69                   2                    18595                16                   9.297500             
2                    81                   2                    26248                22                   9.544727             
2                    93                   2                    31626                26                   9.731077             
2                    105                  2                    38399                32                   9.599750             
2                    33                   2                    20590                17                   9.689412             
2                    117                  2                    47230                40                   9.446000             
3                    42                   2                    23208                20                   9.283200             
3                    43                   2                    20554                18                   9.135111             
3                    54                   2                    21618                18                   9.608000             
3                    55                   2                    16013                14                   9.150286             
3                    66                   2                    17513                14                   10.007428            
3                    67                   2                    15365                13                   9.455384             
3                    78                   2                    15601                13                   9.600616             
3                    79                   2                    16611                13                   10.222154            
3                    90                   2                    21536                18                   9.571555             
3                    91                   2                    22725                19                   9.568421             
3                    102                  2                    24735                22                   8.994545             
3                    103                  2                    24865                21                   9.472381             
3                    41                   2                    23143                20                   9.257200             
3                    53                   2                    21268                18                   9.452444             
3                    65                   2                    21340                18                   9.484445             
3                    77                   2                    18306                14                   10.460571            
3                    89                   2                    26984                22                   9.812364             
3                    101                  2                    28507                24                   9.502334             
3                    44                   2                    21807                19                   9.181894             
3                    56                   2                    18209                14                   10.405143            
3                    68                   2                    16420                14                   9.382857             
3                    80                   2                    19058                15                   10.164267            
3                    92                   2                    24745                20                   9.898000             
3                    104                  2                    28509                25                   9.122880             
3                    30                   2                    24760                22                   9.003636             
3                    31                   2                    22344                17                   10.514824            
3                    114                  2                    25448                21                   9.694476             
3                    115                  2                    25413                21                   9.681143             
3                    29                   2                    22158                18                   9.848000             
3                    32                   2                    23095                19                   9.724211             
3                    113                  2                    22353                19                   9.411790             
3                    116                  2                    36225                30                   9.660000             
3                    52                   2                    17346                16                   8.673000             
3                    64                   2                    21210                18                   9.426666             
3                    76                   2                    26225                23                   9.121739             
3                    88                   2                    28343                23                   9.858435             
3                    100                  2                    28034                24                   9.344666             
3                    40                   2                    17363                13                   10.684923            
3                    112                  2                    25620                22                   9.316363             
3                    28                   2                    18756                15                   10.003200            
4                    41                   2                    23445                21                   8.931429             
4                    42                   2                    22840                20                   9.136000             
4                    53                   2                    21166                18                   9.407111             
4                    54                   2                    21939                19                   9.237473             
