chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   2                    20891                30                   5.570933             
1                    90                   2                    19010                25                   6.083200             
1                    79                   2                    15850                21                   6.038095             
1                    78                   2                    15012                20                   6.004800             
1                    67                   2                    14645                19                   6.166316             
1                    66                   2                    15601                21                   5.943238             
1                    55                   2                    14732                19                   6.202947             
1                    54                   2                    19716                26                   6.066462             
1                    43                   2                    18918                25                   6.053760             
1                    77                   2                    16125                22                   5.863636             
1                    42                   2                    21479                29                   5.925241             
1                    68                   2                    15092                20                   6.036800             
1                    103                  2                    22136                31                   5.712516             
1                    101                  2                    25207                34                   5.931059             
1                    102                  2                    22639                31                   5.842322             
1                    89                   2                    23426                34                   5.512000             
1                    65                   2                    18896                24                   6.298666             
1                    53                   2                    19563                25                   6.260160             
1                    41                   2                    21733                31                   5.608516             
1                    92                   2                    21454                28                   6.129714             
1                    80                   2                    17002                23                   5.913739             
1                    56                   2                    17010                23                   5.916522             
1                    44                   2                    19661                26                   6.049539             
1                    104                  2                    27162                38                   5.718316             
1                    115                  2                    24010                31                   6.196129             
1                    113                  2                    19656                27                   5.824000             
1                    114                  2                    24061                33                   5.832970             
1                    29                   2                    21175                29                   5.841379             
1                    31                   2                    21936                29                   6.051311             
1                    30                   2                    22734                31                   5.866839             
1                    116                  2                    36508                50                   5.841280             
1                    32                   2                    20712                29                   5.713655             
1                    88                   2                    22756                30                   6.068267             
1                    76                   2                    22441                31                   5.791226             
1                    52                   2                    17757                26                   5.463692             
1                    40                   2                    16815                20                   6.726000             
1                    64                   2                    19207                26                   5.909846             
1                    112                  2                    22402                28                   6.400571             
1                    126                  2                    19693                28                   5.626572             
2                    29                   2                    24042                34                   5.656941             
2                    32                   2                    22713                30                   6.056800             
2                    31                   2                    23289                31                   6.010065             
2                    30                   2                    25312                36                   5.624889             
2                    116                  2                    45091                62                   5.818193             
2                    65                   2                    21315                29                   5.880000             
2                    53                   2                    21541                30                   5.744267             
2                    77                   2                    19032                25                   6.090240             
2                    101                  2                    31013                43                   5.769860             
2                    115                  2                    30347                41                   5.921366             
1                    69                   2                    16324                22                   5.936000             
1                    57                   2                    14796                19                   6.229895             
1                    45                   2                    16817                23                   5.849391             
2                    57                   2                    16604                24                   5.534667             
2                    45                   2                    19023                25                   6.087360             
2                    104                  2                    32370                44                   5.885455             
2                    103                  2                    26783                37                   5.790919             
2                    92                   2                    27466                38                   5.782316             
2                    91                   2                    24432                34                   5.748706             
2                    80                   2                    20600                29                   5.682759             
2                    79                   2                    17860                23                   6.212174             
2                    68                   2                    16982                24                   5.660666             
2                    67                   2                    15969                21                   6.083428             
2                    78                   2                    16917                23                   5.884174             
2                    90                   2                    21691                29                   5.983724             
2                    66                   2                    17430                22                   6.338182             
2                    56                   2                    18611                26                   5.726461             
2                    55                   2                    15999                20                   6.399600             
2                    54                   2                    21635                31                   5.583226             
2                    102                  2                    27658                40                   5.531600             
2                    42                   2                    24175                31                   6.238709             
2                    44                   2                    21975                31                   5.670968             
2                    43                   2                    20920                27                   6.198519             
2                    114                  2                    30551                44                   5.554727             
2                    89                   2                    29643                39                   6.080616             
2                    41                   2                    24276                35                   5.548800             
2                    113                  2                    25821                36                   5.738000             
3                    77                   2                    18306                25                   5.857920             
3                    41                   2                    23143                31                   5.972387             
3                    101                  2                    28507                39                   5.847590             
3                    32                   2                    23095                32                   5.773750             
3                    30                   2                    24760                34                   5.825882             
3                    92                   2                    24745                35                   5.656000             
3                    80                   2                    19058                24                   6.352667             
3                    44                   2                    21807                31                   5.627613             
3                    104                  2                    28509                40                   5.701800             
3                    91                   2                    22725                31                   5.864516             
3                    68                   2                    16420                20                   6.568000             
3                    90                   2                    21536                30                   5.742933             
3                    79                   2                    16611                24                   5.537000             
3                    78                   2                    15601                20                   6.240400             
3                    67                   2                    15365                18                   6.828889             
3                    66                   2                    17513                25                   5.604160             
3                    55                   2                    16013                20                   6.405200             
3                    54                   2                    21618                29                   5.963586             
3                    43                   2                    20554                28                   5.872571             
3                    42                   2                    23208                31                   5.989161             
3                    103                  2                    24865                35                   5.683429             
3                    56                   2                    18209                24                   6.069667             
3                    102                  2                    24735                37                   5.348108             
3                    65                   2                    21340                27                   6.322963             
3                    89                   2                    26984                37                   5.834378             
3                    31                   2                    22344                32                   5.586000             
3                    53                   2                    21268                29                   5.867034             
3                    115                  2                    25413                33                   6.160728             
3                    114                  2                    25448                36                   5.655111             
3                    29                   2                    22158                29                   6.112552             
3                    113                  2                    22353                31                   5.768516             
4                    42                   2                    22840                31                   5.894194             
3                    116                  2                    36225                50                   5.796000             
4                    102                  2                    25279                35                   5.778057             
