chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                28                   5.431428             
1                    79                   2                    15850                20                   6.340000             
1                    78                   2                    15012                19                   6.320842             
1                    67                   2                    14645                21                   5.579048             
1                    66                   2                    15601                20                   6.240400             
1                    91                   2                    20891                27                   6.189926             
1                    55                   2                    14732                20                   5.892800             
1                    77                   2                    16125                23                   5.608696             
1                    54                   2                    19716                25                   6.309120             
1                    53                   2                    19563                27                   5.796444             
1                    43                   2                    18918                25                   6.053760             
1                    42                   2                    21479                29                   5.925241             
1                    68                   2                    15092                20                   6.036800             
1                    103                  2                    22136                30                   5.902933             
1                    41                   2                    21733                30                   5.795467             
1                    102                  2                    22639                31                   5.842322             
1                    89                   2                    23426                31                   6.045419             
1                    44                   2                    19661                27                   5.825481             
1                    65                   2                    18896                24                   6.298666             
1                    101                  2                    25207                35                   5.761600             
1                    92                   2                    21454                29                   5.918345             
1                    80                   2                    17002                23                   5.913739             
1                    114                  2                    24061                31                   6.209291             
1                    56                   2                    17010                22                   6.185454             
1                    104                  2                    27162                38                   5.718316             
1                    115                  2                    24010                33                   5.820606             
1                    113                  2                    19656                28                   5.616000             
1                    31                   2                    21936                29                   6.051311             
1                    30                   2                    22734                31                   5.866839             
1                    32                   2                    20712                27                   6.136889             
1                    29                   2                    21175                29                   5.841379             
1                    100                  2                    23814                31                   6.145548             
1                    112                  2                    22402                32                   5.600500             
1                    116                  2                    36508                50                   5.841280             
1                    40                   2                    16815                23                   5.848696             
1                    88                   2                    22756                31                   5.872516             
1                    76                   2                    22441                30                   5.984267             
1                    127                  2                    20449                29                   5.641103             
1                    126                  2                    19693                25                   6.301760             
1                    125                  2                    17385                26                   5.349231             
1                    128                  2                    24429                33                   5.922182             
2                    114                  2                    30551                42                   5.819238             
2                    89                   2                    29643                40                   5.928600             
2                    53                   2                    21541                30                   5.744267             
2                    41                   2                    24276                33                   5.885091             
2                    101                  2                    31013                43                   5.769860             
2                    115                  2                    30347                42                   5.780381             
2                    92                   2                    27466                37                   5.938595             
2                    68                   2                    16982                23                   5.906783             
2                    56                   2                    18611                25                   5.955520             
2                    44                   2                    21975                29                   6.062069             
2                    104                  2                    32370                46                   5.629565             
2                    31                   2                    23289                31                   6.010065             
2                    81                   2                    26248                35                   5.999543             
2                    17                   2                    22962                31                   5.925677             
2                    113                  2                    25821                36                   5.738000             
2                    77                   2                    19032                25                   6.090240             
2                    54                   2                    21635                29                   5.968276             
2                    103                  2                    26783                37                   5.790919             
2                    91                   2                    24432                33                   5.922909             
2                    78                   2                    16917                23                   5.884174             
2                    66                   2                    17430                23                   6.062609             
2                    80                   2                    20600                27                   6.103703             
2                    79                   2                    17860                25                   5.715200             
2                    67                   2                    15969                21                   6.083428             
2                    42                   2                    24175                34                   5.688235             
2                    55                   2                    15999                21                   6.094857             
2                    102                  2                    27658                38                   5.822737             
2                    90                   2                    21691                30                   5.784266             
2                    43                   2                    20920                29                   5.771035             
2                    30                   2                    25312                36                   5.624889             
3                    17                   2                    22132                31                   5.711484             
3                    113                  2                    22353                28                   6.386571             
3                    21                   2                    15817                23                   5.501565             
2                    21                   2                    15328                19                   6.453895             
3                    20                   2                    19100                27                   5.659259             
3                    19                   2                    24224                31                   6.251355             
3                    18                   2                    20151                30                   5.373600             
2                    65                   2                    21315                27                   6.315556             
2                    32                   2                    22713                31                   5.861419             
2                    20                   2                    17854                25                   5.713280             
2                    19                   2                    24042                31                   6.204387             
2                    18                   2                    21641                32                   5.410250             
3                    117                  2                    38721                51                   6.073883             
3                    104                  2                    28509                39                   5.848000             
3                    91                   2                    22725                32                   5.681250             
3                    56                   2                    18209                25                   5.826880             
3                    90                   2                    21536                29                   5.940966             
3                    79                   2                    16611                21                   6.328000             
3                    78                   2                    15601                21                   5.943238             
3                    67                   2                    15365                21                   5.853333             
3                    66                   2                    17513                23                   6.091478             
3                    55                   2                    16013                22                   5.822909             
3                    54                   2                    21618                29                   5.963586             
3                    43                   2                    20554                27                   6.090074             
3                    42                   2                    23208                30                   6.188800             
3                    103                  2                    24865                34                   5.850588             
3                    68                   2                    16420                22                   5.970909             
3                    44                   2                    21807                29                   6.015724             
3                    80                   2                    19058                25                   6.098560             
3                    16                   2                    23778                33                   5.764364             
4                    21                   2                    15640                21                   5.958095             
3                    112                  2                    25620                36                   5.693333             
3                    124                  2                    26533                35                   6.064686             
3                    128                  2                    26219                36                   5.826445             
3                    127                  2                    22932                32                   5.733000             
3                    102                  2                    24735                33                   5.996364             
3                    92                   2                    24745                35                   5.656000             
3                    77                   2                    18306                24                   6.102000             
4                    124                  2                    26384                37                   5.704648             
4                    128                  2                    28594                40                   5.718800             
4                    127                  2                    24748                33                   5.999515             
4                    126                  2                    23666                31                   6.107355             
4                    125                  2                    21096                29                   5.819586             
4                    28                   2                    18282                25                   5.850240             
3                    65                   2                    21340                29                   5.886897             
3                    53                   2                    21268                27                   6.301630             
3                    89                   2                    26984                38                   5.680842             
3                    126                  2                    21735                29                   5.995862             
3                    125                  2                    20619                29                   5.688000             
4                    16                   2                    25006                33                   6.062061             
4                    91                   2                    22980                32                   5.745000             
4                    90                   2                    21376                29                   5.896828             
4                    79                   2                    16758                23                   5.828869             
4                    78                   2                    15622                22                   5.680727             
4                    77                   2                    18437                23                   6.412869             
4                    67                   2                    14947                21                   5.694095             
4                    66                   2                    16117                20                   6.446800             
4                    55                   2                    15816                21                   6.025143             
4                    65                   2                    20622                30                   5.499200             
4                    54                   2                    21939                29                   6.052138             
4                    53                   2                    21166                29                   5.838897             
5                    104                  2                    29403                40                   5.880600             
4                    15                   2                    15626                21                   5.952762             
5                    8                    2                    15065                21                   5.739048             
4                    42                   2                    22840                29                   6.300690             
4                    41                   2                    23445                33                   5.683636             
4                    89                   2                    27874                38                   5.868210             
4                    30                   2                    25406                35                   5.807086             
4                    29                   2                    21835                29                   6.023448             
4                    31                   2                    23013                33                   5.578909             
4                    40                   2                    18102                25                   5.792640             
4                    102                  2                    25279                33                   6.128242             
4                    101                  2                    28103                40                   5.620600             
