chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                33                   4.608485             
1                    79                   2                    15850                26                   4.876923             
1                    78                   2                    15012                22                   5.458909             
1                    67                   2                    14645                25                   4.686400             
1                    66                   2                    15601                26                   4.800308             
1                    55                   2                    14732                22                   5.357091             
1                    91                   2                    20891                34                   4.915529             
1                    54                   2                    19716                33                   4.779636             
1                    43                   2                    18918                30                   5.044800             
1                    77                   2                    16125                28                   4.607143             
1                    42                   2                    21479                34                   5.053882             
1                    103                  2                    22136                36                   4.919111             
1                    102                  2                    22639                38                   4.766105             
1                    89                   2                    23426                38                   4.931789             
1                    65                   2                    18896                31                   4.876387             
1                    53                   2                    19563                33                   4.742546             
1                    41                   2                    21733                35                   4.967543             
1                    101                  2                    25207                43                   4.689674             
1                    30                   2                    22734                35                   5.196343             
1                    31                   2                    21936                38                   4.618105             
1                    80                   2                    17002                26                   5.231385             
1                    92                   2                    21454                36                   4.767556             
1                    68                   2                    15092                25                   4.829440             
1                    56                   2                    17010                27                   5.040000             
1                    44                   2                    19661                33                   4.766303             
1                    104                  2                    27162                43                   5.053395             
1                    29                   2                    21175                36                   4.705555             
1                    32                   2                    20712                35                   4.734171             
1                    115                  2                    24010                38                   5.054737             
1                    114                  2                    24061                40                   4.812200             
1                    113                  2                    19656                34                   4.624941             
1                    20                   2                    17997                28                   5.142000             
1                    116                  2                    36508                63                   4.635937             
1                    19                   2                    21736                36                   4.830222             
1                    18                   2                    19932                33                   4.832000             
1                    17                   2                    21353                33                   5.176485             
1                    52                   2                    17757                31                   4.582452             
1                    64                   2                    19207                32                   4.801750             
1                    40                   2                    16815                28                   4.804286             
1                    28                   2                    19875                33                   4.818182             
2                    68                   2                    16982                28                   4.852000             
2                    31                   2                    23289                38                   4.902947             
2                    30                   2                    25312                40                   5.062400             
2                    89                   2                    29643                50                   4.742880             
2                    77                   2                    19032                30                   5.075200             
2                    53                   2                    21541                36                   4.786889             
2                    41                   2                    24276                41                   4.736781             
2                    102                  2                    27658                47                   4.707745             
2                    65                   2                    21315                35                   4.872000             
2                    91                   2                    24432                40                   4.886400             
2                    90                   2                    21691                36                   4.820222             
2                    79                   2                    17860                31                   4.609032             
2                    78                   2                    16917                28                   4.833428             
2                    67                   2                    15969                25                   5.110080             
2                    66                   2                    17430                28                   4.980000             
2                    56                   2                    18611                31                   4.802839             
2                    55                   2                    15999                25                   5.119680             
2                    54                   2                    21635                36                   4.807778             
2                    43                   2                    20920                37                   4.523243             
2                    42                   2                    24175                40                   4.835000             
2                    29                   2                    24042                38                   5.061474             
2                    44                   2                    21975                39                   4.507692             
2                    103                  2                    26783                44                   4.869637             
2                    101                  2                    31013                53                   4.681208             
2                    32                   2                    22713                38                   4.781684             
2                    80                   2                    20600                34                   4.847059             
2                    92                   2                    27466                46                   4.776696             
2                    19                   2                    24042                41                   4.691122             
2                    18                   2                    21641                36                   4.809111             
2                    20                   2                    17854                28                   5.101143             
2                    17                   2                    22962                37                   4.964757             
3                    66                   2                    17513                30                   4.670133             
3                    54                   2                    21618                35                   4.941257             
3                    9                    2                    14815                23                   5.153043             
3                    8                    2                    14617                24                   4.872334             
3                    7                    2                    16163                25                   5.172160             
3                    80                   2                    19058                33                   4.620121             
3                    79                   2                    16611                26                   5.111077             
3                    68                   2                    16420                27                   4.865185             
3                    67                   2                    15365                27                   4.552593             
3                    56                   2                    18209                29                   5.023172             
3                    55                   2                    16013                25                   5.124160             
3                    44                   2                    21807                38                   4.590947             
3                    43                   2                    20554                33                   4.982788             
3                    32                   2                    23095                38                   4.862105             
3                    31                   2                    22344                38                   4.704000             
3                    78                   2                    15601                25                   4.992320             
3                    18                   2                    20151                32                   5.037750             
3                    20                   2                    19100                30                   5.093333             
3                    42                   2                    23208                38                   4.885895             
3                    30                   2                    24760                41                   4.831220             
3                    19                   2                    24224                39                   4.969026             
3                    91                   2                    22725                38                   4.784211             
3                    90                   2                    21536                36                   4.785778             
3                    17                   2                    22132                36                   4.918222             
3                    77                   2                    18306                31                   4.724129             
3                    65                   2                    21340                37                   4.614054             
3                    53                   2                    21268                36                   4.726222             
3                    41                   2                    23143                38                   4.872211             
3                    29                   2                    22158                36                   4.924000             
3                    92                   2                    24745                44                   4.499091             
3                    89                   2                    26984                43                   5.020279             
3                    103                  2                    24865                42                   4.736190             
3                    102                  2                    24735                40                   4.947000             
4                    91                   2                    22980                38                   4.837895             
4                    90                   2                    21376                35                   4.885943             
4                    79                   2                    16758                25                   5.362560             
4                    78                   2                    15622                25                   4.999040             
4                    67                   2                    14947                25                   4.783040             
4                    77                   2                    18437                30                   4.916533             
4                    66                   2                    16117                25                   5.157440             
4                    65                   2                    20622                32                   5.155500             
4                    55                   2                    15816                26                   4.866462             
4                    54                   2                    21939                39                   4.500308             
4                    53                   2                    21166                33                   5.131152             
4                    89                   2                    27874                48                   4.645667             
4                    42                   2                    22840                38                   4.808421             
4                    41                   2                    23445                38                   4.935790             
4                    28                   2                    18282                30                   4.875200             
4                    52                   2                    17710                28                   5.060000             
4                    40                   2                    18102                31                   4.671484             
4                    64                   2                    22247                36                   4.943778             
4                    76                   2                    26965                46                   4.689565             
4                    101                  2                    28103                48                   4.683833             
4                    88                   2                    30477                51                   4.780706             
4                    39                   2                    19468                30                   5.191467             
4                    51                   2                    20603                36                   4.578444             
4                    100                  2                    26713                43                   4.969861             
4                    99                   2                    27540                48                   4.590000             
4                    87                   2                    28759                47                   4.895149             
4                    75                   2                    24804                40                   4.960800             
4                    63                   2                    20918                33                   5.071030             
5                    77                   2                    17749                27                   5.258963             
5                    76                   2                    26284                44                   4.778909             
5                    65                   2                    20144                33                   4.883394             
5                    64                   2                    19602                34                   4.612235             
5                    53                   2                    19977                34                   4.700470             
5                    52                   2                    16273                24                   5.424333             
5                    41                   2                    22018                38                   4.635368             
5                    88                   2                    28527                46                   4.961217             
5                    40                   2                    17505                31                   4.517419             
5                    89                   2                    27392                46                   4.763826             
5                    63                   2                    20319                32                   5.079750             
5                    51                   2                    19930                32                   4.982500             
5                    39                   2                    18630                30                   4.968000             
5                    75                   2                    22860                38                   4.812632             
5                    87                   2                    27456                46                   4.774957             
5                    101                  2                    28925                49                   4.722449             
5                    99                   2                    26872                43                   4.999442             
5                    27                   2                    18623                30                   4.966133             
5                    100                  2                    28143                47                   4.790298             
5                    28                   2                    16115                26                   4.958462             
5                    62                   2                    17395                28                   4.970000             
5                    50                   2                    17550                31                   4.529032             
5                    74                   2                    22929                39                   4.703384             
5                    38                   2                    18598                30                   4.959466             
6                    99                   2                    25693                40                   5.138600             
6                    88                   2                    26352                46                   4.582956             
6                    76                   2                    23165                38                   4.876842             
6                    75                   2                    20923                32                   5.230750             
6                    74                   2                    21801                37                   4.713730             
6                    64                   2                    19450                30                   5.186666             
6                    63                   2                    19388                33                   4.700121             
6                    62                   2                    17697                28                   5.056286             
6                    52                   2                    17079                28                   4.879714             
6                    51                   2                    19666                33                   4.767515             
6                    87                   2                    26688                46                   4.641391             
6                    86                   2                    27445                46                   4.773044             
6                    50                   2                    18187                28                   5.196286             
6                    39                   2                    19351                33                   4.691152             
6                    38                   2                    18759                30                   5.002400             
6                    98                   2                    27225                47                   4.634043             
6                    100                  2                    26003                43                   4.837768             
6                    49                   2                    11089                17                   5.218353             
6                    26                   2                    17625                28                   5.035714             
6                    40                   2                    18479                31                   4.768774             
6                    61                   2                    16553                26                   5.093231             
6                    27                   2                    18811                33                   4.560243             
6                    37                   2                    19191                30                   5.117600             
6                    73                   2                    23545                38                   4.956842             
6                    97                   2                    30637                53                   4.624453             
6                    85                   2                    29076                48                   4.846000             
7                    87                   2                    31225                54                   4.625926             
7                    86                   2                    32809                54                   4.860592             
7                    75                   2                    25740                44                   4.680000             
7                    74                   2                    26472                45                   4.706133             
7                    63                   2                    22007                36                   4.890444             
7                    51                   2                    21140                34                   4.974118             
7                    78                   2                    18228                28                   5.208000             
7                    66                   2                    19019                33                   4.610667             
7                    53                   2                    21645                36                   4.810000             
7                    91                   2                    25300                40                   5.060000             
7                    79                   2                    18495                31                   4.772903             
7                    67                   2                    16938                28                   4.839428             
7                    55                   2                    18016                30                   4.804266             
7                    80                   2                    20087                33                   4.869576             
7                    68                   2                    17527                27                   5.193185             
7                    92                   2                    27244                45                   4.843378             
7                    69                   2                    18566                30                   4.950933             
7                    104                  2                    32553                53                   4.913661             
7                    56                   2                    18960                29                   5.230345             
7                    58                   2                    16473                28                   4.706572             
7                    81                   2                    27655                45                   4.916444             
7                    57                   2                    17139                28                   4.896857             
7                    44                   2                    23206                38                   4.885474             
7                    45                   2                    19252                33                   4.667151             
7                    33                   2                    16235                26                   4.995385             
7                    43                   2                    23905                40                   4.781000             
7                    32                   2                    25235                40                   5.047000             
8                    69                   2                    15929                25                   5.097280             
8                    57                   2                    15614                25                   4.996480             
8                    35                   2                    14218                23                   4.945391             
8                    47                   2                    17502                28                   5.000571             
8                    33                   2                    14915                25                   4.772800             
8                    93                   2                    28372                48                   4.728667             
8                    81                   2                    24018                38                   5.056421             
8                    80                   2                    18514                31                   4.777806             
8                    68                   2                    15431                24                   5.143667             
8                    56                   2                    16824                28                   4.806857             
8                    79                   2                    16406                25                   5.249920             
8                    67                   2                    14936                25                   4.779520             
8                    55                   2                    16450                26                   5.061539             
8                    91                   2                    22944                37                   4.960865             
8                    43                   2                    22428                38                   4.721684             
8                    92                   2                    24586                41                   4.797268             
8                    90                   2                    20802                33                   5.042909             
8                    78                   2                    15842                25                   5.069440             
8                    66                   2                    16639                28                   4.754000             
8                    54                   2                    21533                36                   4.785111             
8                    42                   2                    22119                36                   4.915333             
8                    77                   2                    17902                29                   4.938483             
8                    89                   2                    26778                43                   4.981954             
8                    31                   2                    23729                40                   4.745800             
8                    65                   2                    19952                33                   4.836848             
8                    53                   2                    19939                33                   4.833697             
8                    41                   2                    22723                38                   4.783790             
9                    55                   2                    16324                26                   5.022769             
9                    90                   2                    21099                36                   4.688667             
9                    78                   2                    15768                25                   5.045760             
9                    77                   2                    17752                28                   5.072000             
9                    66                   2                    17148                29                   4.730483             
9                    65                   2                    20538                34                   4.832470             
9                    67                   2                    15304                26                   4.708923             
9                    54                   2                    21431                37                   4.633730             
9                    53                   2                    20096                32                   5.024000             
9                    79                   2                    16347                25                   5.231040             
9                    42                   2                    21259                36                   4.724222             
9                    41                   2                    22475                38                   4.731579             
