chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   2                    20891                36                   4.642445             
1                    90                   2                    19010                31                   4.905807             
1                    79                   2                    15850                25                   5.072000             
1                    78                   2                    15012                25                   4.803840             
1                    67                   2                    14645                23                   5.093913             
1                    66                   2                    15601                25                   4.992320             
1                    55                   2                    14732                23                   5.124174             
1                    54                   2                    19716                35                   4.506514             
1                    43                   2                    18918                30                   5.044800             
1                    65                   2                    18896                34                   4.446118             
1                    42                   2                    21479                33                   5.207030             
1                    103                  2                    22136                38                   4.660211             
1                    101                  2                    25207                41                   4.918439             
1                    102                  2                    22639                39                   4.643898             
1                    77                   2                    16125                25                   5.160000             
1                    53                   2                    19563                33                   4.742546             
1                    89                   2                    23426                38                   4.931789             
1                    41                   2                    21733                38                   4.575368             
1                    80                   2                    17002                25                   5.440640             
1                    68                   2                    15092                25                   4.829440             
1                    56                   2                    17010                28                   4.860000             
1                    44                   2                    19661                33                   4.766303             
1                    92                   2                    21454                35                   4.903771             
1                    104                  2                    27162                43                   5.053395             
1                    115                  2                    24010                41                   4.684878             
1                    114                  2                    24061                40                   4.812200             
1                    113                  2                    19656                33                   4.765091             
1                    31                   2                    21936                35                   5.013943             
1                    30                   2                    22734                38                   4.786105             
1                    29                   2                    21175                33                   5.133333             
1                    116                  2                    36508                64                   4.563500             
1                    32                   2                    20712                33                   5.021091             
1                    76                   2                    22441                38                   4.724421             
1                    64                   2                    19207                31                   4.956645             
1                    52                   2                    17757                31                   4.582452             
1                    88                   2                    22756                39                   4.667897             
2                    116                  2                    45091                83                   4.346120             
2                    115                  2                    30347                47                   5.165447             
2                    114                  2                    30551                51                   4.792314             
2                    89                   2                    29643                51                   4.649882             
2                    65                   2                    21315                36                   4.736667             
2                    53                   2                    21541                36                   4.786889             
2                    30                   2                    25312                39                   5.192205             
2                    92                   2                    27466                46                   4.776696             
2                    54                   2                    21635                36                   4.807778             
2                    69                   2                    18595                31                   4.798710             
2                    57                   2                    16604                28                   4.744000             
2                    45                   2                    19023                30                   5.072800             
2                    104                  2                    32370                56                   4.624286             
2                    91                   2                    24432                40                   4.886400             
2                    80                   2                    20600                33                   4.993939             
2                    79                   2                    17860                30                   4.762667             
2                    68                   2                    16982                25                   5.434240             
2                    67                   2                    15969                28                   4.562572             
2                    56                   2                    18611                28                   5.317429             
2                    78                   2                    16917                28                   4.833428             
2                    66                   2                    17430                28                   4.980000             
2                    103                  2                    26783                46                   4.657913             
2                    90                   2                    21691                37                   4.689946             
2                    55                   2                    15999                25                   5.119680             
2                    44                   2                    21975                39                   4.507692             
2                    43                   2                    20920                32                   5.230000             
2                    102                  2                    27658                48                   4.609667             
2                    42                   2                    24175                41                   4.717073             
2                    32                   2                    22713                36                   5.047333             
2                    31                   2                    23289                41                   4.544195             
2                    77                   2                    19032                31                   4.911484             
2                    41                   2                    24276                42                   4.624000             
2                    101                  2                    31013                51                   4.864784             
2                    29                   2                    24042                40                   4.808400             
3                    68                   2                    16420                25                   5.254400             
3                    56                   2                    18209                30                   4.855733             
