chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                27                   5.632593             
1                    79                   2                    15850                21                   6.038095             
1                    78                   2                    15012                19                   6.320842             
1                    67                   2                    14645                20                   5.858000             
1                    66                   2                    15601                20                   6.240400             
1                    91                   2                    20891                27                   6.189926             
1                    55                   2                    14732                21                   5.612190             
1                    77                   2                    16125                20                   6.450000             
1                    54                   2                    19716                27                   5.841778             
1                    43                   2                    18918                25                   6.053760             
1                    42                   2                    21479                28                   6.136857             
1                    103                  2                    22136                29                   6.106483             
1                    68                   2                    15092                21                   5.749333             
1                    102                  2                    22639                31                   5.842322             
1                    89                   2                    23426                31                   6.045419             
1                    80                   2                    17002                21                   6.476953             
1                    56                   2                    17010                23                   5.916522             
1                    65                   2                    18896                25                   6.046720             
1                    53                   2                    19563                28                   5.589428             
1                    41                   2                    21733                29                   5.995310             
1                    44                   2                    19661                25                   6.291520             
1                    101                  2                    25207                35                   5.761600             
1                    92                   2                    21454                30                   5.721066             
1                    104                  2                    27162                38                   5.718316             
1                    113                  2                    19656                27                   5.824000             
1                    115                  2                    24010                32                   6.002500             
1                    114                  2                    24061                33                   5.832970             
1                    31                   2                    21936                31                   5.660903             
1                    30                   2                    22734                29                   6.271448             
1                    32                   2                    20712                31                   5.345032             
1                    29                   2                    21175                29                   5.841379             
1                    100                  2                    23814                31                   6.145548             
1                    116                  2                    36508                53                   5.510642             
1                    76                   2                    22441                29                   6.190621             
1                    64                   2                    19207                27                   5.690963             
1                    52                   2                    17757                23                   6.176348             
1                    40                   2                    16815                23                   5.848696             
1                    88                   2                    22756                31                   5.872516             
2                    113                  2                    25821                35                   5.901943             
2                    115                  2                    30347                42                   5.780381             
2                    31                   2                    23289                31                   6.010065             
2                    89                   2                    29643                42                   5.646286             
2                    77                   2                    19032                25                   6.090240             
2                    41                   2                    24276                33                   5.885091             
2                    101                  2                    31013                57                   4.352702             
2                    114                  2                    30551                44                   5.554727             
2                    53                   2                    21541                31                   5.558968             
2                    92                   2                    27466                37                   5.938595             
2                    66                   2                    17430                23                   6.062609             
2                    69                   2                    18595                26                   5.721539             
2                    57                   2                    16604                21                   6.325333             
2                    45                   2                    19023                27                   5.636445             
2                    104                  2                    32370                44                   5.885455             
2                    103                  2                    26783                37                   5.790919             
2                    91                   2                    24432                33                   5.922909             
2                    80                   2                    20600                27                   6.103703             
2                    79                   2                    17860                22                   6.494545             
2                    68                   2                    16982                24                   5.660666             
2                    78                   2                    16917                23                   5.884174             
2                    42                   2                    24175                33                   5.860606             
2                    67                   2                    15969                21                   6.083428             
2                    54                   2                    21635                29                   5.968276             
2                    90                   2                    21691                29                   5.983724             
2                    56                   2                    18611                25                   5.955520             
2                    55                   2                    15999                22                   5.817818             
2                    102                  2                    27658                39                   5.673436             
2                    44                   2                    21975                29                   6.062069             
2                    43                   2                    20920                29                   5.771035             
2                    30                   2                    25312                33                   6.136242             
2                    32                   2                    22713                32                   5.678250             
2                    65                   2                    21315                30                   5.684000             
2                    29                   2                    24042                33                   5.828363             
2                    33                   2                    20590                28                   5.882857             
