chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                21                   7.241905             
1                    79                   2                    15850                16                   7.925000             
1                    78                   2                    15012                15                   8.006400             
1                    67                   2                    14645                17                   6.891765             
1                    66                   2                    15601                17                   7.341647             
1                    55                   2                    14732                15                   7.857067             
1                    91                   2                    20891                21                   7.958476             
1                    54                   2                    19716                21                   7.510857             
1                    43                   2                    18918                20                   7.567200             
1                    68                   2                    15092                16                   7.546000             
1                    42                   2                    21479                23                   7.470956             
1                    77                   2                    16125                17                   7.588235             
1                    103                  2                    22136                24                   7.378667             
1                    102                  2                    22639                23                   7.874435             
1                    92                   2                    21454                23                   7.462261             
1                    56                   2                    17010                18                   7.560000             
1                    44                   2                    19661                22                   7.149455             
1                    104                  2                    27162                30                   7.243200             
1                    80                   2                    17002                18                   7.556445             
1                    41                   2                    21733                23                   7.559304             
1                    101                  2                    25207                26                   7.756000             
1                    89                   2                    23426                27                   6.941037             
1                    65                   2                    18896                20                   7.558400             
1                    53                   2                    19563                22                   7.113818             
1                    115                  2                    24010                25                   7.683200             
1                    114                  2                    24061                27                   7.129185             
1                    31                   2                    21936                23                   7.629913             
1                    113                  2                    19656                21                   7.488000             
1                    32                   2                    20712                21                   7.890285             
1                    30                   2                    22734                24                   7.578000             
1                    116                  2                    36508                41                   7.123512             
1                    45                   2                    16817                18                   7.474222             
1                    29                   2                    21175                23                   7.365217             
1                    81                   2                    21126                23                   7.348174             
1                    69                   2                    16324                17                   7.681882             
1                    125                  2                    17385                18                   7.726666             
1                    126                  2                    19693                21                   7.502095             
1                    93                   2                    23930                26                   7.363077             
1                    57                   2                    14796                14                   8.454857             
1                    105                  2                    31195                34                   7.340000             
1                    117                  2                    37529                42                   7.148381             
2                    55                   2                    15999                17                   7.528941             
1                    33                   2                    18767                20                   7.506800             
2                    30                   2                    25312                27                   7.499852             
2                    77                   2                    19032                21                   7.250286             
2                    65                   2                    21315                23                   7.413913             
2                    53                   2                    21541                23                   7.492522             
2                    41                   2                    24276                27                   7.192889             
2                    101                  2                    31013                32                   7.753250             
2                    116                  2                    45091                49                   7.361796             
2                    115                  2                    30347                33                   7.356849             
2                    114                  2                    30551                35                   6.983086             
2                    32                   2                    22713                24                   7.571000             
2                    31                   2                    23289                27                   6.900445             
2                    92                   2                    27466                28                   7.847429             
2                    80                   2                    20600                21                   7.847619             
2                    68                   2                    16982                19                   7.150316             
2                    56                   2                    18611                19                   7.836211             
2                    44                   2                    21975                24                   7.325000             
2                    104                  2                    32370                35                   7.398857             
2                    91                   2                    24432                26                   7.517539             
2                    90                   2                    21691                24                   7.230333             
2                    79                   2                    17860                18                   7.937778             
2                    78                   2                    16917                18                   7.518667             
2                    67                   2                    15969                17                   7.514823             
2                    66                   2                    17430                19                   7.338947             
2                    54                   2                    21635                23                   7.525218             
2                    43                   2                    20920                23                   7.276522             
2                    42                   2                    24175                26                   7.438461             
2                    103                  2                    26783                30                   7.142133             
2                    29                   2                    24042                25                   7.693440             
2                    102                  2                    27658                29                   7.629793             
2                    113                  2                    25821                27                   7.650667             
2                    89                   2                    29643                31                   7.649806             
2                    69                   2                    18595                19                   7.829473             
2                    57                   2                    16604                19                   6.991158             
2                    33                   2                    20590                21                   7.843810             
2                    81                   2                    26248                29                   7.240828             
2                    45                   2                    19023                19                   8.009685             
3                    30                   2                    24760                26                   7.618462             
3                    32                   2                    23095                24                   7.698333             
3                    113                  2                    22353                24                   7.451000             
3                    29                   2                    22158                23                   7.707130             
3                    115                  2                    25413                26                   7.819385             
3                    31                   2                    22344                23                   7.771826             
3                    114                  2                    25448                28                   7.270857             
3                    92                   2                    24745                27                   7.331852             
3                    80                   2                    19058                21                   7.260190             
3                    68                   2                    16420                17                   7.727059             
3                    56                   2                    18209                19                   7.666947             
3                    104                  2                    28509                31                   7.357162             
3                    41                   2                    23143                24                   7.714334             
3                    44                   2                    21807                25                   6.978240             
3                    89                   2                    26984                28                   7.709714             
3                    77                   2                    18306                19                   7.707789             
3                    65                   2                    21340                23                   7.422609             
3                    53                   2                    21268                23                   7.397565             
3                    101                  2                    28507                31                   7.356645             
3                    43                   2                    20554                21                   7.830095             
3                    42                   2                    23208                24                   7.736000             
3                    91                   2                    22725                24                   7.575000             
3                    79                   2                    16611                18                   7.382667             
3                    67                   2                    15365                16                   7.682500             
3                    55                   2                    16013                16                   8.006500             
3                    103                  2                    24865                28                   7.104286             
3                    90                   2                    21536                23                   7.490783             
3                    78                   2                    15601                17                   7.341647             
3                    66                   2                    17513                18                   7.783556             
3                    54                   2                    21618                22                   7.861091             
3                    102                  2                    24735                26                   7.610769             
3                    116                  2                    36225                40                   7.245000             
3                    28                   2                    18756                20                   7.502400             
3                    100                  2                    28034                32                   7.008500             
3                    40                   2                    17363                18                   7.716889             
3                    76                   2                    26225                28                   7.492857             
3                    64                   2                    21210                23                   7.377391             
3                    88                   2                    28343                31                   7.314322             
3                    52                   2                    17346                18                   7.709333             
3                    127                  2                    22932                25                   7.338240             
3                    126                  2                    21735                23                   7.560000             
3                    125                  2                    20619                21                   7.854857             
4                    41                   2                    23445                26                   7.213846             
3                    112                  2                    25620                27                   7.591111             
4                    103                  2                    26048                30                   6.946133             
4                    91                   2                    22980                25                   7.353600             
4                    79                   2                    16758                17                   7.886117             
4                    67                   2                    14947                16                   7.473500             
4                    55                   2                    15816                16                   7.908000             
4                    43                   2                    20991                23                   7.301218             
4                    28                   2                    18282                19                   7.697684             
4                    30                   2                    25406                28                   7.258857             
4                    29                   2                    21835                24                   7.278333             
4                    100                  2                    26713                30                   7.123466             
4                    88                   2                    30477                33                   7.388364             
4                    76                   2                    26965                29                   7.438621             
4                    64                   2                    22247                23                   7.738087             
4                    52                   2                    17710                20                   7.084000             
4                    40                   2                    18102                18                   8.045333             
4                    102                  2                    25279                27                   7.490074             
4                    101                  2                    28103                32                   7.025750             
4                    90                   2                    21376                21                   8.143238             
4                    89                   2                    27874                31                   7.193290             
4                    78                   2                    15622                16                   7.811000             
4                    77                   2                    18437                19                   7.762948             
4                    66                   2                    16117                15                   8.595734             
4                    65                   2                    20622                21                   7.856000             
4                    54                   2                    21939                24                   7.313000             
4                    53                   2                    21166                21                   8.063238             
4                    42                   2                    22840                23                   7.944348             
4                    31                   2                    23013                25                   7.364160             
4                    112                  2                    25321                28                   7.234571             
4                    114                  2                    27539                30                   7.343733             
4                    113                  2                    23118                24                   7.706000             
4                    17                   2                    21158                23                   7.359304             
4                    115                  2                    26915                30                   7.177333             
4                    27                   2                    19362                20                   7.744800             
4                    18                   2                    19990                21                   7.615238             
4                    51                   2                    20603                23                   7.166261             
4                    39                   2                    19468                20                   7.787200             
5                    31                   2                    21252                23                   7.392000             
4                    16                   2                    25006                27                   7.409185             
4                    63                   2                    20918                21                   7.968762             
4                    87                   2                    28759                30                   7.669066             
4                    75                   2                    24804                27                   7.349333             
5                    113                  2                    23169                24                   7.723000             
5                    91                   2                    22894                25                   7.326080             
5                    79                   2                    16140                17                   7.595294             
5                    43                   2                    20078                22                   7.301091             
5                    103                  2                    24833                25                   7.946560             
5                    28                   2                    16115                18                   7.162222             
5                    30                   2                    24780                25                   7.929600             
5                    88                   2                    28527                31                   7.361806             
5                    76                   2                    26284                27                   7.787852             
5                    64                   2                    19602                21                   7.467429             
5                    52                   2                    16273                16                   8.136500             
5                    29                   2                    19450                17                   9.152941             
5                    67                   2                    14783                14                   8.447429             
5                    55                   2                    15668                16                   7.834000             
5                    90                   2                    21111                21                   8.042286             
5                    89                   2                    27392                31                   7.068903             
5                    101                  2                    28925                32                   7.231250             
5                    77                   2                    17749                18                   7.888444             
5                    65                   2                    20144                21                   7.673905             
5                    53                   2                    19977                21                   7.610286             
5                    41                   2                    22018                23                   7.658435             
5                    102                  2                    25782                28                   7.366286             
5                    78                   2                    15717                17                   7.396235             
5                    66                   2                    16332                18                   7.258667             
5                    54                   2                    21723                23                   7.555826             
5                    100                  2                    28143                30                   7.504800             
5                    42                   2                    21563                23                   7.500174             
5                    40                   2                    17505                20                   7.002000             
5                    114                  2                    27305                30                   7.281333             
5                    112                  2                    25654                26                   7.893538             
5                    115                  2                    26396                29                   7.281655             
5                    18                   2                    17888                18                   7.950222             
5                    17                   2                    19415                21                   7.396191             
5                    19                   2                    21785                23                   7.577391             
5                    32                   2                    21708                23                   7.550609             
5                    104                  2                    29403                33                   7.128000             
5                    92                   2                    24573                26                   7.560923             
5                    80                   2                    18010                18                   8.004444             
5                    68                   2                    14404                17                   6.778353             
5                    56                   2                    16729                17                   7.872470             
6                    77                   2                    16657                18                   7.403111             
5                    44                   2                    20349                21                   7.752000             
6                    32                   2                    22323                25                   7.143360             
6                    92                   2                    24540                26                   7.550769             
5                    20                   2                    20416                21                   7.777524             
6                    80                   2                    17884                18                   7.948444             
6                    68                   2                    14816                15                   7.901866             
6                    56                   2                    18087                20                   7.234800             
6                    101                  2                    26572                28                   7.592000             
6                    103                  2                    24903                27                   7.378667             
6                    102                  2                    24235                26                   7.456923             
6                    29                   2                    20527                21                   7.819809             
6                    89                   2                    25063                26                   7.711692             
6                    65                   2                    19296                22                   7.016727             
6                    53                   2                    19874                22                   7.226909             
6                    41                   2                    22144                23                   7.702261             
6                    30                   2                    25009                28                   7.145429             
6                    91                   2                    21811                23                   7.586435             
6                    90                   2                    19132                19                   8.055579             
6                    79                   2                    15041                16                   7.520500             
6                    78                   2                    14091                13                   8.671385             
6                    67                   2                    13966                14                   7.980571             
6                    66                   2                    15377                16                   7.688500             
6                    55                   2                    15015                15                   8.008000             
6                    54                   2                    21293                23                   7.406261             
6                    43                   2                    20510                23                   7.133913             
6                    31                   2                    21976                23                   7.643826             
6                    42                   2                    22386                23                   7.786435             
6                    18                   2                    17562                20                   7.024800             
6                    44                   2                    21162                22                   7.695273             
6                    19                   2                    20085                21                   7.651429             
6                    104                  2                    29914                33                   7.251879             
6                    20                   2                    21845                23                   7.598261             
6                    17                   2                    20045                22                   7.289091             
6                    113                  2                    21087                22                   7.668000             
6                    115                  2                    27042                29                   7.459862             
6                    114                  2                    26006                28                   7.430286             
6                    116                  2                    37323                41                   7.282537             
7                    29                   2                    22368                23                   7.780174             
7                    53                   2                    21645                25                   6.926400             
7                    41                   2                    23712                25                   7.587840             
7                    77                   2                    20354                22                   7.401454             
7                    104                  2                    32553                34                   7.659529             
7                    103                  2                    27829                31                   7.181677             
7                    102                  2                    27443                29                   7.570483             
7                    18                   2                    21325                24                   7.108333             
7                    20                   2                    24465                27                   7.248889             
7                    19                   2                    22957                25                   7.346240             
7                    90                   2                    23328                24                   7.776000             
7                    91                   2                    25300                28                   7.228571             
7                    78                   2                    18228                18                   8.101334             
7                    66                   2                    19019                22                   6.916000             
7                    54                   2                    23814                24                   7.938000             
7                    42                   2                    23806                27                   7.053629             
7                    30                   2                    27171                29                   7.495448             
7                    80                   2                    20087                21                   7.652191             
7                    79                   2                    18495                19                   7.787368             
7                    68                   2                    17527                21                   6.676952             
7                    56                   2                    18960                19                   7.983158             
7                    44                   2                    23206                25                   7.425920             
7                    33                   2                    16235                16                   8.117500             
7                    67                   2                    16938                18                   7.528000             
7                    55                   2                    18016                21                   6.863238             
7                    43                   2                    23905                23                   8.314782             
7                    45                   2                    19252                21                   7.334095             
7                    31                   2                    25256                27                   7.483259             
7                    92                   2                    27244                29                   7.515586             
7                    32                   2                    25235                27                   7.477037             
7                    57                   2                    17139                18                   7.617333             
7                    81                   2                    27655                30                   7.374667             
7                    21                   2                    16746                18                   7.442667             
7                    8                    2                    18261                20                   7.304400             
7                    69                   2                    18566                17                   8.736941             
7                    7                    2                    23977                27                   7.104296             
7                    93                   2                    32435                35                   7.413714             
7                    2                    2                    14502                16                   7.251000             
7                    6                    2                    23166                26                   7.128000             
7                    46                   2                    17501                18                   7.778222             
7                    22                   2                    16930                18                   7.524445             
7                    9                    2                    14340                15                   7.648000             
7                    3                    2                    16618                18                   7.385778             
7                    1                    2                    14825                14                   8.471429             
7                    10                   2                    15503                16                   7.751500             
7                    82                   2                    29535                32                   7.383750             
7                    70                   2                    19122                20                   7.648800             
7                    58                   2                    16473                17                   7.752000             
8                    19                   2                    20816                24                   6.938667             
7                    34                   2                    20439                21                   7.786286             
8                    55                   2                    16450                18                   7.311111             
8                    31                   2                    23729                24                   7.909667             
8                    35                   2                    14218                15                   7.582933             
8                    23                   2                    6758                 7                    7.723429             
8                    8                    2                    19960                22                   7.258182             
8                    10                   2                    15774                17                   7.423059             
8                    9                    2                    13167                15                   7.022400             
8                    80                   2                    18514                19                   7.795368             
8                    68                   2                    15431                15                   8.229867             
8                    56                   2                    16824                18                   7.477334             
8                    44                   2                    21504                22                   7.819636             
8                    32                   2                    23960                26                   7.372308             
8                    20                   2                    23744                26                   7.305846             
8                    21                   2                    15031                14                   8.589143             
8                    81                   2                    24018                26                   7.390154             
8                    69                   2                    15929                16                   7.964500             
8                    57                   2                    15614                16                   7.807000             
8                    45                   2                    18765                19                   7.901052             
8                    33                   2                    14915                15                   7.954667             
8                    22                   2                    17708                21                   6.745905             
8                    82                   2                    24717                26                   7.605231             
8                    70                   2                    16674                18                   7.410666             
8                    58                   2                    15443                16                   7.721500             
8                    34                   2                    19659                21                   7.489143             
8                    46                   2                    16806                17                   7.908706             
8                    43                   2                    22428                22                   8.155637             
8                    67                   2                    14936                17                   7.028706             
8                    92                   2                    24586                26                   7.564923             
8                    79                   2                    16406                17                   7.720470             
8                    93                   2                    28372                30                   7.565866             
8                    83                   2                    25812                28                   7.374857             
8                    71                   2                    17798                20                   7.119200             
8                    59                   2                    14910                15                   7.952000             
8                    95                   2                    30007                32                   7.501750             
8                    47                   2                    17502                18                   7.778666             
8                    24                   2                    10875                12                   7.250000             
8                    11                   2                    16449                16                   8.224500             
8                    94                   2                    35183                39                   7.217026             
8                    36                   2                    15013                15                   8.006933             
8                    60                   2                    13398                15                   7.145600             
8                    48                   2                    16602                16                   8.301000             
8                    84                   2                    28984                32                   7.246000             
8                    96                   2                    30707                33                   7.444121             
8                    72                   2                    17419                19                   7.334316             
8                    106                  2                    33057                36                   7.346000             
8                    108                  2                    32468                36                   7.215111             
8                    107                  2                    29979                32                   7.494750             
9                    37                   2                    18878                20                   7.551200             
9                    82                   2                    24447                26                   7.522154             
9                    70                   2                    17484                18                   7.770667             
9                    106                  2                    33159                37                   7.169514             
9                    96                   2                    28671                29                   7.909241             
9                    95                   2                    30244                33                   7.331879             
9                    84                   2                    26907                30                   7.175200             
9                    83                   2                    25651                28                   7.328857             
9                    72                   2                    17851                18                   7.933778             
9                    71                   2                    18858                22                   6.857455             
9                    46                   2                    17128                18                   7.612444             
9                    60                   2                    14280                13                   8.787692             
9                    59                   2                    14541                16                   7.270500             
9                    48                   2                    17412                18                   7.738667             
9                    47                   2                    17565                18                   7.806667             
