chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 7                    10.526857            
1                    43                   1                    8311                 5                    13.297600            
1                    54                   1                    7786                 6                    10.381333            
1                    55                   1                    6802                 5                    10.883200            
1                    66                   1                    7065                 4                    14.130000            
1                    67                   1                    6421                 4                    12.842000            
1                    78                   1                    6685                 4                    13.370000            
1                    79                   1                    7022                 5                    11.235200            
1                    90                   1                    8056                 4                    16.112000            
1                    91                   1                    8824                 7                    10.084572            
1                    102                  1                    9523                 12                   6.348667             
1                    103                  1                    9260                 7                    10.582857            
1                    41                   1                    9589                 6                    12.785334            
1                    53                   1                    8729                 7                    9.976000             
1                    65                   1                    7901                 6                    10.534667            
1                    77                   1                    7161                 5                    11.457600            
1                    89                   1                    10031                7                    11.464000            
1                    101                  1                    11179                8                    11.179000            
1                    44                   1                    9193                 7                    10.506286            
1                    56                   1                    8446                 6                    11.261333            
1                    68                   1                    6692                 4                    13.384000            
1                    80                   1                    7734                 5                    12.374400            
1                    92                   1                    9166                 6                    12.221334            
1                    104                  1                    11676                9                    10.378667            
1                    114                  1                    10575                7                    12.085714            
1                    115                  1                    10595                8                    10.595000            
1                    113                  1                    8527                 6                    11.369333            
1                    30                   1                    10373                7                    11.854857            
1                    31                   1                    10459                8                    10.459000            
1                    116                  1                    16716                11                   12.157091            
1                    29                   1                    9806                 7                    11.206857            
1                    32                   1                    9779                 7                    11.176000            
1                    40                   1                    8078                 6                    10.770667            
1                    52                   1                    8579                 4                    17.158001            
1                    64                   1                    8345                 7                    9.537143             
1                    76                   1                    10159                8                    10.159000            
1                    88                   1                    10293                6                    13.724000            
1                    100                  1                    10778                8                    10.778000            
1                    112                  1                    10192                7                    11.648000            
1                    28                   1                    9247                 5                    14.795200            
1                    125                  1                    7621                 3                    20.322666            
1                    126                  1                    8487                 5                    13.579200            
1                    127                  1                    8599                 6                    11.465333            
1                    128                  1                    11287                8                    11.287000            
1                    124                  1                    10998                8                    10.998000            
1                    45                   1                    8606                 7                    9.835428             
1                    57                   1                    7227                 5                    11.563200            
1                    69                   1                    7469                 5                    11.950400            
1                    81                   1                    9442                 6                    12.589334            
1                    93                   1                    10978                7                    12.546286            
1                    105                  1                    14274                10                   11.419200            
1                    117                  1                    16627                12                   11.084666            
1                    33                   1                    9877                 8                    9.877000             
1                    129                  1                    10865                8                    10.865000            
2                    42                   1                    8862                 5                    14.179200            
2                    43                   1                    7918                 6                    10.557333            
2                    54                   1                    7607                 5                    12.171200            
2                    55                   1                    6282                 5                    10.051200            
2                    66                   1                    6358                 3                    16.954666            
2                    67                   1                    5940                 4                    11.880000            
2                    78                   1                    6307                 4                    12.614000            
2                    79                   1                    6744                 4                    13.488000            
2                    90                   1                    7843                 5                    12.548800            
2                    91                   1                    8596                 7                    9.824000             
2                    102                  1                    9522                 7                    10.882286            
2                    103                  1                    9236                 8                    9.236000             
2                    44                   1                    9069                 6                    12.092000            
2                    56                   1                    8196                 5                    13.113600            
2                    68                   1                    6444                 4                    12.888000            
2                    80                   1                    7856                 5                    12.569600            
2                    92                   1                    9504                 7                    10.861714            
2                    104                  1                    11780                9                    10.471111            
2                    41                   1                    9350                 7                    10.685715            
2                    53                   1                    8484                 6                    11.312000            
2                    65                   1                    7543                 5                    12.068800            
2                    77                   1                    7220                 5                    11.552000            
2                    89                   1                    10619                7                    12.136000            
2                    101                  1                    11599                9                    10.310223            
2                    114                  1                    11027                6                    14.702666            
2                    115                  1                    10923                8                    10.923000            
2                    116                  1                    17572                14                   10.041142            
2                    30                   1                    10147                8                    10.147000            
2                    31                   1                    9999                 7                    11.427428            
