chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 14                   5.263429             
1                    43                   1                    8311                 14                   4.749143             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 7                    7.773714             
1                    66                   1                    7065                 7                    8.074286             
1                    67                   1                    6421                 9                    5.707556             
1                    78                   1                    6685                 11                   4.861818             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 12                   5.370667             
1                    91                   1                    8824                 14                   5.042286             
1                    102                  1                    9523                 11                   6.925818             
1                    103                  1                    9260                 14                   5.291429             
1                    41                   1                    9589                 14                   5.479429             
1                    53                   1                    8729                 12                   5.819334             
1                    65                   1                    7901                 9                    7.023111             
1                    77                   1                    7161                 12                   4.774000             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                14                   6.388000             
1                    44                   1                    9193                 14                   5.253143             
1                    56                   1                    8446                 15                   4.504533             
1                    68                   1                    6692                 9                    5.948444             
1                    80                   1                    7734                 9                    6.874667             
1                    92                   1                    9166                 11                   6.666182             
1                    104                  1                    11676                17                   5.494588             
1                    114                  1                    10575                17                   4.976470             
1                    115                  1                    10595                14                   6.054286             
1                    113                  1                    8527                 12                   5.684667             
1                    30                   1                    10373                14                   5.927429             
1                    31                   1                    10459                16                   5.229500             
1                    116                  1                    16716                21                   6.368000             
1                    29                   1                    9806                 14                   5.603428             
1                    32                   1                    9779                 14                   5.588000             
1                    40                   1                    8078                 12                   5.385334             
1                    52                   1                    8579                 12                   5.719333             
1                    64                   1                    8345                 13                   5.135385             
1                    76                   1                    10159                33                   2.462788             
1                    88                   1                    10293                12                   6.862000             
1                    100                  1                    10778                12                   7.185333             
1                    112                  1                    10192                9                    9.059556             
1                    126                  1                    8487                 13                   5.222769             
1                    127                  1                    8599                 12                   5.732666             
1                    128                  1                    11287                16                   5.643500             
1                    125                  1                    7621                 9                    6.774222             
1                    45                   1                    8606                 13                   5.296000             
1                    57                   1                    7227                 9                    6.424000             
1                    69                   1                    7469                 11                   5.432000             
1                    81                   1                    9442                 11                   6.866909             
1                    93                   1                    10978                17                   5.166118             
1                    105                  1                    14274                22                   5.190546             
1                    117                  1                    16627                27                   4.926518             
1                    33                   1                    9877                 14                   5.644000             
1                    129                  1                    10865                14                   6.208571             
2                    42                   1                    8862                 15                   4.726400             
2                    43                   1                    7918                 10                   6.334400             
2                    54                   1                    7607                 12                   5.071333             
2                    55                   1                    6282                 7                    7.179429             
2                    66                   1                    6358                 9                    5.651556             
2                    67                   1                    5940                 6                    7.920000             
2                    78                   1                    6307                 10                   5.045600             
2                    79                   1                    6744                 7                    7.707428             
2                    90                   1                    7843                 12                   5.228667             
2                    91                   1                    8596                 12                   5.730667             
2                    102                  1                    9522                 15                   5.078400             
2                    103                  1                    9236                 12                   6.157333             
2                    44                   1                    9069                 15                   4.836800             
2                    56                   1                    8196                 10                   6.556800             
1                    18                   1                    9508                 14                   5.433143             
1                    19                   1                    10043                14                   5.738857             
1                    20                   1                    9541                 15                   5.088533             
1                    17                   1                    9794                 14                   5.596571             
1                    21                   1                    8659                 12                   5.772666             
2                    68                   1                    6444                 10                   5.155200             
2                    80                   1                    7856                 9                    6.983111             
2                    92                   1                    9504                 14                   5.430857             
2                    104                  1                    11780                16                   5.890000             
2                    45                   1                    8640                 13                   5.316923             
2                    57                   1                    7141                 9                    6.347556             
2                    69                   1                    7452                 8                    7.452000             
2                    81                   1                    9611                 14                   5.492000             
2                    31                   1                    9999                 15                   5.332800             
2                    32                   1                    9461                 14                   5.406286             
2                    30                   1                    10147                14                   5.798285             
2                    93                   1                    11795                16                   5.897500             
2                    105                  1                    14908                23                   5.185391             
2                    33                   1                    9501                 12                   6.334000             
2                    114                  1                    11027                17                   5.189177             
2                    115                  1                    10923                17                   5.140235             
2                    116                  1                    17572                26                   5.406769             
2                    117                  1                    18144                28                   5.184000             
2                    41                   1                    9350                 12                   6.233333             
2                    53                   1                    8484                 12                   5.656000             
2                    65                   1                    7543                 12                   5.028666             
2                    77                   1                    7220                 9                    6.417778             
2                    89                   1                    10619                13                   6.534769             
2                    101                  1                    11599                18                   5.155111             
2                    29                   1                    9803                 14                   5.601714             
2                    113                  1                    9083                 15                   4.844267             
2                    18                   1                    9079                 11                   6.602909             
2                    19                   1                    10070                14                   5.754286             
2                    20                   1                    8660                 12                   5.773334             
2                    17                   1                    9723                 14                   5.556000             
2                    21                   1                    7679                 12                   5.119333             
3                    43                   1                    7925                 11                   5.763637             
3                    44                   1                    9295                 15                   4.957334             
3                    55                   1                    6525                 7                    7.457143             
3                    56                   1                    8308                 12                   5.538667             
3                    67                   1                    6128                 9                    5.447111             
3                    68                   1                    6727                 7                    7.688000             
3                    79                   1                    6585                 10                   5.268000             
3                    42                   1                    8771                 12                   5.847333             
3                    54                   1                    7812                 12                   5.208000             
3                    66                   1                    6763                 9                    6.011556             
3                    78                   1                    6077                 7                    6.945143             
3                    80                   1                    7890                 10                   6.312000             
3                    90                   1                    8194                 12                   5.462667             
3                    91                   1                    8808                 12                   5.872000             
3                    92                   1                    9459                 14                   5.405143             
3                    102                  1                    9450                 15                   5.040000             
3                    103                  1                    9218                 12                   6.145333             
3                    104                  1                    11117                17                   5.231529             
3                    30                   1                    9973                 15                   5.318933             
3                    31                   1                    9806                 16                   4.903000             
3                    32                   1                    10252                17                   4.824471             
3                    41                   1                    9365                 12                   6.243333             
3                    53                   1                    8757                 15                   4.670400             
3                    65                   1                    7769                 10                   6.215200             
3                    77                   1                    7320                 9                    6.506667             
3                    89                   1                    10639                17                   5.006588             
3                    101                  1                    11311                17                   5.322824             
3                    114                  1                    10810                14                   6.177143             
3                    115                  1                    10291                17                   4.842824             
3                    116                  1                    14884                21                   5.670095             
3                    29                   1                    9510                 14                   5.434286             
3                    113                  1                    9056                 12                   6.037333             
3                    33                   1                    9286                 14                   5.306286             
3                    45                   1                    8606                 12                   5.737333             
3                    57                   1                    7630                 9                    6.782222             
3                    69                   1                    8038                 12                   5.358667             
3                    81                   1                    9771                 14                   5.583428             
3                    93                   1                    11393                16                   5.696500             
3                    105                  1                    13795                19                   5.808421             
3                    117                  1                    15312                24                   5.104000             
3                    18                   1                    9023                 15                   4.812267             
3                    19                   1                    10330                14                   5.902857             
3                    20                   1                    9210                 13                   5.667692             
3                    17                   1                    9542                 15                   5.089067             
3                    21                   1                    8400                 11                   6.109091             
4                    42                   1                    8797                 14                   5.026857             
4                    43                   1                    7845                 10                   6.276000             
4                    54                   1                    7762                 12                   5.174667             
4                    55                   1                    6580                 7                    7.520000             
4                    66                   1                    6356                 9                    5.649778             
4                    67                   1                    5901                 9                    5.245333             
4                    78                   1                    6125                 10                   4.900000             
4                    79                   1                    6756                 7                    7.721143             
4                    90                   1                    8044                 12                   5.362667             
4                    91                   1                    8661                 12                   5.774000             
4                    102                  1                    9376                 14                   5.357714             
4                    103                  1                    9645                 14                   5.511428             
4                    44                   1                    9146                 13                   5.628308             
4                    56                   1                    8022                 12                   5.348000             
4                    68                   1                    6140                 7                    7.017143             
4                    80                   1                    7625                 9                    6.777778             
4                    92                   1                    9532                 15                   5.083734             
4                    104                  1                    11492                17                   5.408000             
4                    41                   1                    9468                 15                   5.049600             
4                    53                   1                    8644                 13                   5.319385             
4                    65                   1                    7721                 10                   6.176800             
4                    77                   1                    7365                 12                   4.910000             
4                    89                   1                    10953                15                   5.841600             
3                    40                   1                    7771                 12                   5.180666             
3                    52                   1                    8007                 12                   5.338000             
3                    64                   1                    8720                 12                   5.813334             
3                    76                   1                    10998                17                   5.175529             
3                    88                   1                    11465                17                   5.395294             
3                    100                  1                    11409                17                   5.368941             
3                    112                  1                    10561                15                   5.632534             
3                    28                   1                    8315                 12                   5.543334             
3                    125                  1                    8174                 12                   5.449333             
3                    126                  1                    8918                 12                   5.945333             
3                    127                  1                    9009                 12                   6.006000             
3                    128                  1                    11156                17                   5.249882             
3                    16                   1                    9390                 15                   5.008000             
4                    101                  1                    11168                14                   6.381714             
4                    30                   1                    10009                16                   5.004500             
4                    31                   1                    10127                15                   5.401067             
4                    29                   1                    9602                 12                   6.401333             
4                    114                  1                    10975                15                   5.853333             
4                    115                  1                    10480                17                   4.931765             
4                    113                  1                    8935                 11                   6.498182             
4                    32                   1                    9806                 15                   5.229867             
4                    116                  1                    15597                25                   4.991040             
4                    28                   1                    8408                 12                   5.605333             
4                    40                   1                    8282                 10                   6.625600             
4                    52                   1                    8157                 12                   5.438000             
4                    64                   1                    8902                 12                   5.934667             
4                    76                   1                    11062                17                   5.205647             
