chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 14                   5.263429             
1                    43                   1                    8311                 12                   5.540667             
1                    54                   1                    7786                 10                   6.228800             
1                    55                   1                    6802                 11                   4.946909             
1                    66                   1                    7065                 9                    6.280000             
1                    67                   1                    6421                 10                   5.136800             
1                    78                   1                    6685                 10                   5.348000             
1                    79                   1                    7022                 10                   5.617600             
1                    90                   1                    8056                 10                   6.444800             
1                    91                   1                    8824                 13                   5.430154             
1                    102                  1                    9523                 15                   5.078933             
1                    103                  1                    9260                 14                   5.291429             
1                    41                   1                    9589                 12                   6.392667             
1                    53                   1                    8729                 14                   4.988000             
1                    65                   1                    7901                 9                    7.023111             
1                    77                   1                    7161                 23                   2.490782             
1                    89                   1                    10031                13                   6.172923             
1                    101                  1                    11179                14                   6.388000             
1                    44                   1                    9193                 13                   5.657231             
1                    56                   1                    8446                 32                   2.111500             
1                    68                   1                    6692                 4                    13.384000            
1                    80                   1                    7734                 10                   6.187200             
1                    92                   1                    9166                 12                   6.110667             
1                    104                  1                    11676                16                   5.838000             
1                    114                  1                    10575                16                   5.287500             
1                    115                  1                    10595                14                   6.054286             
1                    113                  1                    8527                 11                   6.201455             
1                    30                   1                    10373                16                   5.186500             
1                    31                   1                    10459                14                   5.976572             
1                    116                  1                    16716                27                   4.952889             
1                    29                   1                    9806                 12                   6.537333             
1                    32                   1                    9779                 15                   5.215466             
1                    40                   1                    8078                 12                   5.385334             
1                    52                   1                    8579                 12                   5.719333             
1                    64                   1                    8345                 12                   5.563334             
1                    76                   1                    10159                14                   5.805143             
1                    88                   1                    10293                14                   5.881714             
1                    100                  1                    10778                17                   5.072000             
1                    126                  1                    8487                 11                   6.172364             
1                    127                  1                    8599                 12                   5.732666             
1                    128                  1                    11287                17                   5.311530             
1                    125                  1                    7621                 12                   5.080667             
1                    45                   1                    8606                 11                   6.258909             
1                    57                   1                    7227                 9                    6.424000             
1                    69                   1                    7469                 9                    6.639111             
1                    81                   1                    9442                 14                   5.395429             
1                    93                   1                    10978                17                   5.166118             
1                    105                  1                    14274                21                   5.437714             
1                    117                  1                    16627                25                   5.320640             
1                    33                   1                    9877                 14                   5.644000             
1                    129                  1                    10865                17                   5.112941             
1                    18                   1                    9508                 12                   6.338666             
1                    19                   1                    10043                15                   5.356266             
1                    20                   1                    9541                 12                   6.360667             
1                    17                   1                    9794                 14                   5.596571             
1                    21                   1                    8659                 8                    8.659000             
2                    42                   1                    8862                 12                   5.908000             
2                    43                   1                    7918                 12                   5.278666             
2                    44                   1                    9069                 11                   6.595636             
2                    54                   1                    7607                 12                   5.071333             
2                    55                   1                    6282                 7                    7.179429             
2                    56                   1                    8196                 12                   5.464000             
2                    66                   1                    6358                 11                   4.624000             
2                    67                   1                    5940                 7                    6.788571             
2                    68                   1                    6444                 9                    5.728000             
2                    78                   1                    6307                 10                   5.045600             
2                    79                   1                    6744                 9                    5.994667             
2                    80                   1                    7856                 9                    6.983111             
2                    90                   1                    7843                 12                   5.228667             
2                    91                   1                    8596                 12                   5.730667             
2                    92                   1                    9504                 15                   5.068800             
2                    102                  1                    9522                 11                   6.925091             
2                    103                  1                    9236                 15                   4.925867             
2                    104                  1                    11780                17                   5.543530             
2                    30                   1                    10147                14                   5.798285             
2                    31                   1                    9999                 14                   5.713714             
2                    32                   1                    9461                 14                   5.406286             
2                    41                   1                    9350                 15                   4.986667             
2                    53                   1                    8484                 12                   5.656000             
2                    65                   1                    7543                 10                   6.034400             
2                    77                   1                    7220                 10                   5.776000             
2                    89                   1                    10619                18                   4.719555             
2                    101                  1                    11599                16                   5.799500             
2                    114                  1                    11027                15                   5.881067             
2                    115                  1                    10923                17                   5.140235             
2                    116                  1                    17572                26                   5.406769             
2                    29                   1                    9803                 14                   5.601714             
