chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 7                    10.084572            
1                    90                   1                    8056                 4                    16.112000            
1                    79                   1                    7022                 5                    11.235200            
1                    78                   1                    6685                 5                    10.696000            
1                    67                   1                    6421                 5                    10.273600            
1                    66                   1                    7065                 4                    14.130000            
1                    55                   1                    6802                 4                    13.604000            
1                    54                   1                    7786                 6                    10.381333            
1                    43                   1                    8311                 5                    13.297600            
1                    42                   1                    9211                 5                    14.737600            
1                    103                  1                    9260                 6                    12.346666            
1                    102                  1                    9523                 6                    12.697333            
1                    80                   1                    7734                 4                    15.468000            
1                    68                   1                    6692                 5                    10.707200            
1                    56                   1                    8446                 7                    9.652572             
1                    44                   1                    9193                 6                    12.257334            
1                    89                   1                    10031                8                    10.031000            
1                    77                   1                    7161                 5                    11.457600            
1                    65                   1                    7901                 4                    15.802000            
1                    53                   1                    8729                 7                    9.976000             
1                    41                   1                    9589                 6                    12.785334            
1                    101                  1                    11179                8                    11.179000            
1                    113                  1                    8527                 6                    11.369333            
1                    115                  1                    10595                8                    10.595000            
1                    114                  1                    10575                6                    14.100000            
1                    92                   1                    9166                 7                    10.475429            
1                    104                  1                    11676                8                    11.676000            
1                    40                   1                    8078                 5                    12.924800            
1                    32                   1                    9779                 7                    11.176000            
1                    116                  1                    16716                12                   11.144000            
1                    29                   1                    9806                 7                    11.206857            
1                    31                   1                    10459                7                    11.953143            
1                    30                   1                    10373                8                    10.373000            
1                    88                   1                    10293                7                    11.763429            
1                    76                   1                    10159                7                    11.610286            
1                    64                   1                    8345                 6                    11.126667            
1                    52                   1                    8579                 6                    11.438666            
1                    112                  1                    10192                9                    9.059556             
1                    100                  1                    10778                7                    12.317715            
1                    124                  1                    10998                13                   6.768000             
1                    128                  1                    11287                7                    12.899428            
2                    102                  1                    9522                 6                    12.696000            
1                    127                  1                    8599                 8                    8.599000             
1                    126                  1                    8487                 6                    11.316000            
1                    125                  1                    7621                 4                    15.242000            
2                    128                  1                    11665                8                    11.665000            
2                    127                  1                    9246                 6                    12.328000            
2                    126                  1                    9115                 8                    9.115000             
2                    125                  1                    8000                 5                    12.800000            
1                    28                   1                    9247                 10                   7.397600             
2                    124                  1                    11285                8                    11.285000            
1                    93                   1                    10978                7                    12.546286            
1                    33                   1                    9877                 8                    9.877000             
1                    81                   1                    9442                 7                    10.790857            
1                    69                   1                    7469                 7                    8.536000             
1                    57                   1                    7227                 7                    8.259429             
1                    45                   1                    8606                 7                    9.835428             
1                    117                  1                    16627                11                   12.092363            
2                    45                   1                    8640                 6                    11.520000            
2                    117                  1                    18144                14                   10.368000            
2                    105                  1                    14908                10                   11.926400            
2                    69                   1                    7452                 4                    14.904000            
2                    57                   1                    7141                 5                    11.425600            
1                    105                  1                    14274                11                   10.381091            
2                    129                  1                    11787                9                    10.477333            
1                    129                  1                    10865                7                    12.417143            
2                    33                   1                    9501                 7                    10.858286            
2                    93                   1                    11795                9                    10.484445            
2                    81                   1                    9611                 6                    12.814667            
2                    29                   1                    9803                 7                    11.203428            
2                    113                  1                    9083                 6                    12.110666            
2                    32                   1                    9461                 8                    9.461000             
2                    31                   1                    9999                 8                    9.999000             
2                    30                   1                    10147                8                    10.147000            
2                    89                   1                    10619                8                    10.619000            
2                    77                   1                    7220                 4                    14.440000            
2                    65                   1                    7543                 4                    15.086000            
2                    53                   1                    8484                 5                    13.574400            
2                    41                   1                    9350                 6                    12.466666            
2                    101                  1                    11599                8                    11.599000            
2                    116                  1                    17572                12                   11.714666            
2                    115                  1                    10923                8                    10.923000            
2                    114                  1                    11027                8                    11.027000            
2                    92                   1                    9504                 7                    10.861714            
2                    80                   1                    7856                 5                    12.569600            
1                    17                   1                    9794                 7                    11.193143            
1                    20                   1                    9541                 7                    10.904000            
1                    19                   1                    10043                6                    13.390667            
1                    18                   1                    9508                 7                    10.866285            
2                    21                   1                    7679                 5                    12.286400            
1                    21                   1                    8659                 5                    13.854400            
2                    17                   1                    9723                 7                    11.112000            
2                    20                   1                    8660                 7                    9.897142             
2                    19                   1                    10070                6                    13.426666            
2                    18                   1                    9079                 5                    14.526400            
2                    68                   1                    6444                 5                    10.310400            
2                    56                   1                    8196                 11                   5.960727             
2                    44                   1                    9069                 6                    12.092000            
2                    104                  1                    11780                7                    13.462857            
2                    22                   1                    9729                 7                    11.118857            
2                    118                  1                    15211                8                    15.211000            
2                    94                   1                    15129                11                   11.002909            
2                    82                   1                    10686                7                    12.212571            
2                    70                   1                    8417                 5                    13.467200            
2                    58                   1                    6963                 3                    18.568001            
2                    46                   1                    7022                 11                   5.106909             
2                    34                   1                    9627                 18                   4.278666             
2                    106                  1                    14775                11                   10.745455            
2                    90                   1                    7843                 3                    20.914667            
2                    78                   1                    6307                 5                    10.091200            
2                    66                   1                    6358                 4                    12.716000            
2                    54                   1                    7607                 20                   3.042800             
2                    42                   1                    8862                 16                   4.431000             
2                    103                  1                    9236                 16                   4.618000             
2                    91                   1                    8596                 16                   4.298000             
2                    79                   1                    6744                 9                    5.994667             
2                    67                   1                    5940                 13                   3.655385             
2                    55                   1                    6282                 14                   3.589714             
2                    43                   1                    7918                 12                   5.278666             
3                    113                  1                    9056                 12                   6.037333             
3                    17                   1                    9542                 10                   7.633600             
3                    89                   1                    10639                8                    10.639000            
3                    77                   1                    7320                 2                    29.280001            
3                    65                   1                    7769                 6                    10.358666            
3                    53                   1                    8757                 6                    11.676000            
3                    41                   1                    9365                 7                    10.702857            
3                    29                   1                    9510                 5                    15.216000            
3                    101                  1                    11311                8                    11.311000            
3                    117                  1                    15312                11                   11.136000            
3                    21                   1                    8400                 6                    11.200000            
3                    20                   1                    9210                 7                    10.525714            
3                    19                   1                    10330                6                    13.773334            
3                    18                   1                    9023                 6                    12.030666            
3                    116                  1                    14884                11                   10.824727            
3                    115                  1                    10291                7                    11.761143            
3                    114                  1                    10810                7                    12.354285            
3                    33                   1                    9286                 7                    10.612572            
3                    105                  1                    13795                10                   11.036000            
3                    93                   1                    11393                8                    11.393000            
3                    81                   1                    9771                 6                    13.028000            
3                    69                   1                    8038                 6                    10.717334            
3                    57                   1                    7630                 7                    8.720000             
3                    45                   1                    8606                 5                    13.769600            
3                    32                   1                    10252                7                    11.716572            
3                    31                   1                    9806                 7                    11.206857            
3                    30                   1                    9973                 8                    9.973000             
3                    92                   1                    9459                 8                    9.459000             
3                    91                   1                    8808                 5                    14.092800            
3                    90                   1                    8194                 5                    13.110400            
3                    80                   1                    7890                 5                    12.624000            
3                    79                   1                    6585                 4                    13.170000            
3                    78                   1                    6077                 5                    9.723200             
3                    68                   1                    6727                 4                    13.454000            
3                    67                   1                    6128                 4                    12.256000            
3                    66                   1                    6763                 5                    10.820800            
3                    56                   1                    8308                 5                    13.292800            
3                    55                   1                    6525                 3                    17.400000            
3                    54                   1                    7812                 6                    10.416000            
3                    44                   1                    9295                 6                    12.393333            
3                    43                   1                    7925                 6                    10.566667            
3                    42                   1                    8771                 6                    11.694667            
3                    104                  1                    11117                8                    11.117000            
3                    103                  1                    9218                 7                    10.534857            
3                    102                  1                    9450                 5                    15.120000            
3                    16                   1                    9390                 7                    10.731428            
4                    21                   1                    8199                 7                    9.370286             
3                    112                  1                    10561                9                    9.387555             
3                    88                   1                    11465                7                    13.102858            
3                    76                   1                    10998                6                    14.664000            
3                    64                   1                    8720                 7                    9.965714             
3                    52                   1                    8007                 5                    12.811200            
3                    40                   1                    7771                 6                    10.361333            
3                    28                   1                    8315                 5                    13.304000            
3                    100                  1                    11409                8                    11.409000            
4                    17                   1                    9150                 6                    12.200000            
4                    20                   1                    9440                 7                    10.788571            
4                    19                   1                    10339                7                    11.816000            
4                    18                   1                    9370                 7                    10.708571            
4                    117                  1                    15853                11                   11.529454            
4                    93                   1                    11428                8                    11.428000            
4                    81                   1                    9753                 6                    13.004000            
4                    69                   1                    7379                 5                    11.806400            
4                    57                   1                    7287                 4                    14.574000            
4                    45                   1                    8201                 6                    10.934667            
4                    33                   1                    9472                 6                    12.629333            
4                    105                  1                    14111                10                   11.288800            
4                    113                  1                    8935                 8                    8.935000             
4                    29                   1                    9602                 7                    10.973714            
4                    116                  1                    15597                10                   12.477600            
3                    124                  1                    11393                8                    11.393000            
3                    128                  1                    11156                8                    11.156000            
3                    127                  1                    9009                 7                    10.296000            
3                    126                  1                    8918                 6                    11.890667            
3                    125                  1                    8174                 6                    10.898666            
4                    32                   1                    9806                 7                    11.206857            
4                    115                  1                    10480                7                    11.977143            
4                    114                  1                    10975                8                    10.975000            
4                    31                   1                    10127                7                    11.573714            
4                    30                   1                    10009                7                    11.438857            
4                    89                   1                    10953                8                    10.953000            
4                    77                   1                    7365                 7                    8.417143             
4                    65                   1                    7721                 4                    15.442000            
4                    124                  1                    11453                8                    11.453000            
4                    128                  1                    11453                8                    11.453000            
4                    127                  1                    9486                 7                    10.841143            
4                    126                  1                    9068                 6                    12.090667            
4                    125                  1                    8115                 6                    10.820000            
4                    28                   1                    8408                 5                    13.452800            
4                    88                   1                    11744                8                    11.744000            
4                    76                   1                    11062                8                    11.062000            
4                    64                   1                    8902                 6                    11.869333            
4                    52                   1                    8157                 7                    9.322286             
4                    40                   1                    8282                 5                    13.251200            
4                    112                  1                    10230                7                    11.691428            
4                    100                  1                    10829                8                    10.829000            
4                    92                   1                    9532                 7                    10.893714            
4                    80                   1                    7625                 4                    15.250000            
4                    68                   1                    6140                 4                    12.280000            
4                    56                   1                    8022                 6                    10.696000            
4                    44                   1                    9146                 7                    10.452572            
4                    104                  1                    11492                9                    10.215111            
4                    53                   1                    8644                 5                    13.830400            
4                    41                   1                    9468                 7                    10.820572            
4                    101                  1                    11168                8                    11.168000            
4                    91                   1                    8661                 6                    11.548000            
4                    90                   1                    8044                 6                    10.725333            
4                    79                   1                    6756                 5                    10.809600            
4                    78                   1                    6125                 3                    16.333334            
4                    67                   1                    5901                 4                    11.802000            
4                    66                   1                    6356                 4                    12.712000            
4                    55                   1                    6580                 4                    13.160000            
4                    54                   1                    7762                 6                    10.349334            
4                    43                   1                    7845                 5                    12.552000            
4                    42                   1                    8797                 7                    10.053715            
4                    103                  1                    9645                 6                    12.860000            
4                    102                  1                    9376                 7                    10.715428            
4                    16                   1                    9644                 7                    11.021714            
4                    4                    1                    6463                 4                    12.926000            
4                    8                    1                    8718                 6                    11.624000            
4                    7                    1                    8582                 8                    8.582000             
4                    6                    1                    9020                 6                    12.026667            
4                    5                    1                    8304                 5                    13.286400            
3                    15                   1                    7794                 5                    12.470400            
3                    111                  1                    9721                 8                    9.721000             
3                    99                   1                    10900                7                    12.457143            
3                    87                   1                    11188                8                    11.188000            
3                    75                   1                    9198                 6                    12.264000            
3                    63                   1                    7844                 4                    15.688000            
3                    51                   1                    7805                 5                    12.488000            
3                    39                   1                    7892                 6                    10.522667            
3                    27                   1                    8357                 5                    13.371200            
5                    104                  1                    11464                9                    10.190222            
4                    15                   1                    7969                 5                    12.750400            
4                    111                  1                    10222                8                    10.222000            
5                    8                    1                    8815                 6                    11.753333            
5                    100                  1                    11291                8                    11.291000            
5                    92                   1                    9265                 5                    14.824000            
5                    80                   1                    7391                 6                    9.854667             
5                    68                   1                    6066                 4                    12.132000            
5                    56                   1                    7872                 4                    15.744000            
5                    44                   1                    8829                 6                    11.772000            
5                    32                   1                    9758                 7                    11.152000            
5                    20                   1                    9459                 7                    10.810286            
5                    103                  1                    9151                 6                    12.201333            
4                    99                   1                    11294                8                    11.294000            
4                    87                   1                    11329                8                    11.329000            
4                    75                   1                    9837                 6                    13.116000            
4                    63                   1                    8430                 5                    13.488000            
4                    51                   1                    8114                 6                    10.818666            
4                    39                   1                    7988                 6                    10.650666            
4                    27                   1                    9102                 7                    10.402286            
5                    4                    1                    6755                 5                    10.808000            
5                    7                    1                    8888                 6                    11.850667            
5                    6                    1                    9038                 7                    10.329143            
5                    5                    1                    8481                 6                    11.308000            
5                    102                  1                    9381                 5                    15.009600            
5                    101                  1                    11405                8                    11.405000            
5                    16                   1                    9254                 6                    12.338667            
5                    19                   1                    9541                 7                    10.904000            
5                    88                   1                    10949                7                    12.513143            
5                    76                   1                    10705                8                    10.705000            
5                    64                   1                    8044                 7                    9.193143             
5                    52                   1                    7618                 4                    15.236000            
5                    40                   1                    8108                 6                    10.810667            
5                    28                   1                    7613                 5                    12.180800            
5                    18                   1                    8408                 6                    11.210667            
5                    17                   1                    8247                 6                    10.996000            
5                    91                   1                    8441                 6                    11.254666            
5                    79                   1                    6426                 4                    12.852000            
5                    67                   1                    5779                 3                    15.410666            
5                    55                   1                    6490                 3                    17.306667            
5                    43                   1                    7809                 6                    10.412000            
5                    3                    1                    6927                 5                    11.083200            
5                    111                  1                    10029                7                    11.461715            
5                    15                   1                    8190                 6                    10.920000            
5                    99                   1                    10946                7                    12.509714            
5                    87                   1                    10975                9                    9.755555             
5                    75                   1                    9314                 7                    10.644571            
5                    63                   1                    7919                 4                    15.838000            
5                    51                   1                    7760                 6                    10.346666            
5                    39                   1                    7402                 5                    11.843200            
5                    27                   1                    8447                 5                    13.515200            
5                    115                  1                    10090                7                    11.531428            
5                    114                  1                    10791                8                    10.791000            
5                    113                  1                    9120                 5                    14.592000            
5                    112                  1                    10236                8                    10.236000            
5                    31                   1                    9598                 5                    15.356800            
5                    30                   1                    10070                8                    10.070000            
5                    29                   1                    8773                 6                    11.697333            
5                    90                   1                    7979                 5                    12.766400            
5                    89                   1                    10545                8                    10.545000            
5                    78                   1                    6159                 4                    12.318000            
5                    77                   1                    7170                 4                    14.340000            
5                    66                   1                    6226                 4                    12.452000            
5                    65                   1                    7425                 5                    11.880000            
5                    54                   1                    7777                 5                    12.443200            
5                    53                   1                    8298                 7                    9.483429             
5                    42                   1                    8250                 4                    16.500000            
5                    41                   1                    8983                 5                    14.372800            
6                    116                  1                    15282                11                   11.114182            
6                    20                   1                    9350                 7                    10.685715            
5                    116                  1                    16318                12                   10.878667            
6                    92                   1                    9249                 7                    10.570286            
6                    80                   1                    7576                 5                    12.121600            
6                    68                   1                    6232                 4                    12.464000            
6                    56                   1                    8535                 4                    17.070000            
6                    44                   1                    9385                 7                    10.725715            
6                    32                   1                    9916                 7                    11.332571            
6                    104                  1                    11633                9                    10.340445            
6                    112                  1                    9760                 7                    11.154285            
6                    115                  1                    10322                7                    11.796572            
6                    114                  1                    10413                8                    10.413000            
6                    113                  1                    8556                 6                    11.408000            
6                    16                   1                    9259                 5                    14.814400            
6                    19                   1                    9403                 7                    10.746285            
6                    18                   1                    8087                 5                    12.939200            
6                    17                   1                    8493                 5                    13.588800            
6                    100                  1                    10834                10                   8.667200             
6                    103                  1                    9506                 7                    10.864000            
6                    28                   1                    7435                 3                    19.826666            
6                    88                   1                    10450                7                    11.942857            
6                    76                   1                    10117                8                    10.117000            
6                    64                   1                    8175                 5                    13.080000            
6                    52                   1                    8106                 6                    10.808000            
6                    40                   1                    8586                 6                    11.448000            
6                    31                   1                    9969                 6                    13.292000            
6                    30                   1                    10408                8                    10.408000            
6                    29                   1                    9037                 6                    12.049334            
6                    91                   1                    8298                 6                    11.064000            
6                    79                   1                    6389                 5                    10.222400            
6                    67                   1                    5637                 3                    15.032000            
6                    55                   1                    6343                 6                    8.457334             
6                    43                   1                    7686                 5                    12.297600            
6                    90                   1                    7532                 6                    10.042666            
