chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 10                   7.059200             
1                    90                   1                    8056                 8                    8.056000             
1                    79                   1                    7022                 8                    7.022000             
1                    78                   1                    6685                 8                    6.685000             
1                    67                   1                    6421                 8                    6.421000             
1                    66                   1                    7065                 7                    8.074286             
1                    55                   1                    6802                 9                    6.046222             
1                    54                   1                    7786                 8                    7.786000             
1                    43                   1                    8311                 11                   6.044363             
1                    53                   1                    8729                 12                   5.819334             
1                    42                   1                    9211                 12                   6.140666             
1                    103                  1                    9260                 12                   6.173333             
1                    41                   1                    9589                 11                   6.973818             
1                    101                  1                    11179                14                   6.388000             
1                    102                  1                    9523                 13                   5.860308             
1                    104                  1                    11676                15                   6.227200             
1                    68                   1                    6692                 8                    6.692000             
1                    89                   1                    10031                13                   6.172923             
1                    77                   1                    7161                 8                    7.161000             
1                    65                   1                    7901                 10                   6.320800             
1                    92                   1                    9166                 9                    8.147555             
1                    80                   1                    7734                 8                    7.734000             
1                    56                   1                    8446                 11                   6.142545             
1                    44                   1                    9193                 12                   6.128667             
1                    115                  1                    10595                14                   6.054286             
1                    114                  1                    10575                14                   6.042857             
1                    31                   1                    10459                12                   6.972667             
1                    30                   1                    10373                13                   6.383385             
1                    113                  1                    8527                 9                    7.579556             
1                    32                   1                    9779                 14                   5.588000             
1                    116                  1                    16716                23                   5.814261             
1                    29                   1                    9806                 11                   7.131636             
1                    40                   1                    8078                 9                    7.180444             
1                    112                  1                    10192                14                   5.824000             
1                    100                  1                    10778                13                   6.632616             
1                    88                   1                    10293                15                   5.489600             
1                    76                   1                    10159                12                   6.772666             
1                    127                  1                    8599                 11                   6.253818             
1                    126                  1                    8487                 10                   6.789600             
2                    103                  1                    9236                 11                   6.717091             
2                    102                  1                    9522                 13                   5.859692             
1                    128                  1                    11287                15                   6.019733             
1                    125                  1                    7621                 9                    6.774222             
1                    64                   1                    8345                 19                   3.513684             
1                    117                  1                    16627                22                   6.046182             
1                    105                  1                    14274                18                   6.344000             
1                    81                   1                    9442                 12                   6.294667             
1                    69                   1                    7469                 8                    7.469000             
1                    57                   1                    7227                 8                    7.227000             
1                    93                   1                    10978                13                   6.755692             
2                    105                  1                    14908                18                   6.625778             
1                    33                   1                    9877                 13                   6.078154             
1                    45                   1                    8606                 10                   6.884800             
2                    129                  1                    11787                15                   6.286400             
1                    129                  1                    10865                16                   5.432500             
2                    125                  1                    8000                 10                   6.400000             
2                    128                  1                    11665                15                   6.221334             
2                    127                  1                    9246                 18                   4.109334             
2                    126                  1                    9115                 13                   5.609231             
