chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 21                   3.361524             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 15                   3.565333             
1                    67                   1                    6421                 16                   3.210500             
1                    66                   1                    7065                 14                   4.037143             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 20                   3.324400             
1                    42                   1                    9211                 19                   3.878316             
1                    103                  1                    9260                 22                   3.367273             
1                    53                   1                    8729                 19                   3.675368             
1                    102                  1                    9523                 23                   3.312348             
1                    89                   1                    10031                22                   3.647636             
1                    77                   1                    7161                 15                   3.819200             
1                    65                   1                    7901                 18                   3.511556             
1                    41                   1                    9589                 19                   4.037474             
1                    44                   1                    9193                 22                   3.342909             
1                    101                  1                    11179                26                   3.439692             
1                    68                   1                    6692                 11                   4.866909             
1                    92                   1                    9166                 23                   3.188174             
1                    80                   1                    7734                 15                   4.124800             
1                    56                   1                    8446                 18                   3.753778             
1                    104                  1                    11676                30                   3.113600             
1                    113                  1                    8527                 19                   3.590316             
1                    114                  1                    10575                24                   3.525000             
1                    115                  1                    10595                22                   3.852727             
1                    31                   1                    10459                26                   3.218154             
1                    30                   1                    10373                22                   3.772000             
1                    32                   1                    9779                 23                   3.401391             
1                    29                   1                    9806                 23                   3.410783             
1                    40                   1                    8078                 18                   3.590222             
1                    116                  1                    16716                38                   3.519158             
1                    88                   1                    10293                23                   3.580174             
1                    76                   1                    10159                26                   3.125846             
1                    64                   1                    8345                 15                   4.450667             
1                    52                   1                    8579                 22                   3.119636             
1                    112                  1                    10192                22                   3.706182             
1                    125                  1                    7621                 19                   3.208842             
1                    128                  1                    11287                31                   2.912774             
1                    127                  1                    8599                 17                   4.046588             
1                    126                  1                    8487                 18                   3.772000             
1                    69                   1                    7469                 15                   3.983467             
1                    57                   1                    7227                 16                   3.613500             
1                    45                   1                    8606                 23                   2.993391             
1                    117                  1                    16627                35                   3.800457             
1                    105                  1                    14274                33                   3.460364             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 18                   4.036889             
2                    32                   1                    9461                 22                   3.440364             
1                    33                   1                    9877                 22                   3.591636             
2                    53                   1                    8484                 19                   3.572211             
2                    41                   1                    9350                 21                   3.561905             
2                    101                  1                    11599                25                   3.711680             
1                    93                   1                    10978                21                   4.182095             
1                    81                   1                    9442                 22                   3.433455             
2                    78                   1                    6307                 15                   3.363733             
2                    66                   1                    6358                 11                   4.624000             
2                    54                   1                    7607                 18                   3.380889             
2                    31                   1                    9999                 22                   3.636000             
2                    93                   1                    11795                26                   3.629231             
2                    81                   1                    9611                 22                   3.494909             
2                    69                   1                    7452                 15                   3.974400             
2                    45                   1                    8640                 18                   3.840000             
2                    104                  1                    11780                29                   3.249655             
2                    103                  1                    9236                 17                   4.346353             
2                    92                   1                    9504                 22                   3.456000             
2                    90                   1                    7843                 18                   3.485778             
2                    42                   1                    8862                 20                   3.544800             
2                    91                   1                    8596                 19                   3.619368             
2                    80                   1                    7856                 19                   3.307790             
2                    79                   1                    6744                 11                   4.904727             
2                    68                   1                    6444                 15                   3.436800             
2                    67                   1                    5940                 11                   4.320000             
2                    102                  1                    9522                 22                   3.462545             
2                    56                   1                    8196                 19                   3.450947             
2                    55                   1                    6282                 12                   4.188000             
2                    44                   1                    9069                 22                   3.297818             
2                    30                   1                    10147                22                   3.689818             
2                    43                   1                    7918                 15                   4.222933             
2                    105                  1                    14908                38                   3.138526             
2                    116                  1                    17572                41                   3.428683             
2                    57                   1                    7141                 15                   3.808533             
2                    115                  1                    10923                25                   3.495360             
2                    77                   1                    7220                 14                   4.125714             
2                    114                  1                    11027                26                   3.392923             
2                    89                   1                    10619                22                   3.861454             
2                    65                   1                    7543                 15                   4.022933             
2                    33                   1                    9501                 23                   3.304696             
