chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 22                   3.208727             
1                    90                   1                    8056                 16                   4.028000             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 14                   3.820000             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 13                   4.347692             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 16                   3.893000             
1                    43                   1                    8311                 18                   3.693778             
1                    42                   1                    9211                 19                   3.878316             
1                    103                  1                    9260                 22                   3.367273             
1                    53                   1                    8729                 19                   3.675368             
1                    102                  1                    9523                 22                   3.462909             
1                    89                   1                    10031                22                   3.647636             
1                    77                   1                    7161                 15                   3.819200             
1                    65                   1                    7901                 19                   3.326737             
1                    41                   1                    9589                 18                   4.261778             
1                    44                   1                    9193                 22                   3.342909             
1                    101                  1                    11179                25                   3.577280             
1                    68                   1                    6692                 11                   4.866909             
1                    92                   1                    9166                 22                   3.333091             
1                    80                   1                    7734                 14                   4.419428             
1                    56                   1                    8446                 20                   3.378400             
1                    104                  1                    11676                27                   3.459556             
1                    113                  1                    8527                 18                   3.789778             
1                    29                   1                    9806                 21                   3.735619             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                22                   3.852727             
1                    30                   1                    10373                26                   3.191692             
1                    32                   1                    9779                 18                   4.346222             
1                    31                   1                    10459                25                   3.346880             
1                    40                   1                    8078                 19                   3.401263             
1                    116                  1                    16716                36                   3.714667             
1                    88                   1                    10293                21                   3.921143             
1                    76                   1                    10159                26                   3.125846             
1                    64                   1                    8345                 14                   4.768571             
1                    52                   1                    8579                 22                   3.119636             
1                    112                  1                    10192                22                   3.706182             
1                    125                  1                    7621                 14                   4.354857             
1                    128                  1                    11287                26                   3.472923             
1                    127                  1                    8599                 18                   3.821778             
1                    126                  1                    8487                 18                   3.772000             
1                    81                   1                    9442                 21                   3.596952             
1                    69                   1                    7469                 16                   3.734500             
1                    57                   1                    7227                 16                   3.613500             
1                    45                   1                    8606                 18                   3.824889             
1                    117                  1                    16627                41                   3.244293             
1                    93                   1                    10978                25                   3.512960             
1                    105                  1                    14274                30                   3.806400             
2                    29                   1                    9803                 22                   3.564727             
2                    65                   1                    7543                 19                   3.176000             
2                    53                   1                    8484                 19                   3.572211             
2                    41                   1                    9350                 18                   4.155556             
2                    101                  1                    11599                26                   3.568923             
2                    116                  1                    17572                45                   3.123911             
1                    33                   1                    9877                 22                   3.591636             
2                    66                   1                    6358                 11                   4.624000             
2                    54                   1                    7607                 18                   3.380889             
2                    105                  1                    14908                33                   3.614061             
2                    93                   1                    11795                26                   3.629231             
2                    81                   1                    9611                 23                   3.342957             
2                    31                   1                    9999                 22                   3.636000             
2                    104                  1                    11780                26                   3.624615             
2                    103                  1                    9236                 22                   3.358546             
2                    92                   1                    9504                 19                   4.001684             
2                    90                   1                    7843                 18                   3.485778             
2                    78                   1                    6307                 15                   3.363733             
2                    42                   1                    8862                 19                   3.731368             
2                    91                   1                    8596                 19                   3.619368             
2                    80                   1                    7856                 14                   4.489143             
2                    79                   1                    6744                 15                   3.596800             
2                    68                   1                    6444                 14                   3.682286             
2                    67                   1                    5940                 11                   4.320000             
2                    102                  1                    9522                 22                   3.462545             
2                    56                   1                    8196                 18                   3.642667             
2                    55                   1                    6282                 11                   4.568727             
2                    44                   1                    9069                 18                   4.030667             
2                    32                   1                    9461                 23                   3.290783             
2                    43                   1                    7918                 19                   3.333895             
2                    45                   1                    8640                 18                   3.840000             
2                    30                   1                    10147                24                   3.382333             
2                    115                  1                    10923                25                   3.495360             
2                    57                   1                    7141                 13                   4.394462             
2                    114                  1                    11027                22                   4.009818             
2                    77                   1                    7220                 19                   3.040000             
2                    69                   1                    7452                 15                   3.974400             
2                    113                  1                    9083                 18                   4.036889             
2                    89                   1                    10619                26                   3.267385             
3                    42                   1                    8771                 19                   3.693053             
2                    33                   1                    9501                 22                   3.454909             
3                    41                   1                    9365                 19                   3.943158             
2                    117                  1                    18144                45                   3.225600             
3                    29                   1                    9510                 22                   3.458182             
3                    115                  1                    10291                22                   3.742182             
3                    114                  1                    10810                26                   3.326154             
3                    77                   1                    7320                 14                   4.182857             
3                    65                   1                    7769                 15                   4.143466             
3                    53                   1                    8757                 22                   3.184364             
3                    101                  1                    11311                26                   3.480308             
3                    32                   1                    10252                21                   3.905524             
3                    31                   1                    9806                 22                   3.565818             
3                    30                   1                    9973                 22                   3.626545             
3                    92                   1                    9459                 19                   3.982737             
3                    68                   1                    6727                 14                   3.844000             
3                    44                   1                    9295                 22                   3.380000             
3                    104                  1                    11117                26                   3.420615             
3                    91                   1                    8808                 19                   3.708632             
3                    90                   1                    8194                 18                   3.641778             
3                    79                   1                    6585                 11                   4.789091             
3                    78                   1                    6077                 14                   3.472571             
3                    67                   1                    6128                 12                   4.085333             
3                    66                   1                    6763                 15                   3.606933             
3                    55                   1                    6525                 15                   3.480000             
3                    54                   1                    7812                 13                   4.807384             
3                    43                   1                    7925                 19                   3.336842             
3                    103                  1                    9218                 22                   3.352000             
3                    56                   1                    8308                 15                   4.430933             
3                    102                  1                    9450                 22                   3.436364             
3                    89                   1                    10639                27                   3.152296             
3                    80                   1                    7890                 15                   4.208000             
3                    116                  1                    14884                37                   3.218162             
3                    105                  1                    13795                33                   3.344242             
4                    102                  1                    9376                 22                   3.409455             
3                    113                  1                    9056                 19                   3.813053             
3                    93                   1                    11393                26                   3.505538             
3                    81                   1                    9771                 23                   3.398609             
3                    69                   1                    8038                 17                   3.782588             
3                    57                   1                    7630                 14                   4.360000             
3                    45                   1                    8606                 19                   3.623579             
3                    126                  1                    8918                 20                   3.567200             
3                    125                  1                    8174                 19                   3.441684             
4                    113                  1                    8935                 22                   3.249091             
4                    116                  1                    15597                34                   3.669882             
4                    31                   1                    10127                25                   3.240640             
4                    30                   1                    10009                22                   3.639636             
4                    115                  1                    10480                22                   3.810909             
4                    114                  1                    10975                25                   3.512000             
4                    80                   1                    7625                 15                   4.066667             
4                    68                   1                    6140                 12                   4.093333             
4                    56                   1                    8022                 18                   3.565333             
4                    44                   1                    9146                 22                   3.325818             
4                    29                   1                    9602                 19                   4.042947             
4                    89                   1                    10953                25                   3.504960             
4                    77                   1                    7365                 15                   3.928000             
4                    65                   1                    7721                 18                   3.431556             
4                    53                   1                    8644                 19                   3.639579             
4                    41                   1                    9468                 18                   4.208000             
4                    101                  1                    11168                26                   3.436308             
4                    91                   1                    8661                 19                   3.646737             
4                    90                   1                    8044                 18                   3.575111             
4                    79                   1                    6756                 15                   3.603200             
4                    78                   1                    6125                 10                   4.900000             
4                    67                   1                    5901                 11                   4.291636             
4                    66                   1                    6356                 14                   3.632000             
4                    55                   1                    6580                 15                   3.509333             
4                    54                   1                    7762                 14                   4.435429             
4                    43                   1                    7845                 19                   3.303158             
4                    42                   1                    8797                 19                   3.704000             
4                    17                   1                    9150                 23                   3.182609             
4                    103                  1                    9645                 20                   3.858000             
4                    64                   1                    8902                 23                   3.096348             
4                    52                   1                    8157                 18                   3.625333             
4                    76                   1                    11062                23                   3.847652             
4                    40                   1                    8282                 19                   3.487158             
4                    88                   1                    11744                26                   3.613539             
4                    18                   1                    9370                 23                   3.259130             
4                    28                   1                    8408                 18                   3.736889             
4                    100                  1                    10829                21                   4.125333             
5                    65                   1                    7425                 5                    11.880000            
4                    19                   1                    10339                23                   3.596174             
5                    29                   1                    8773                 18                   3.899111             
4                    16                   1                    9644                 24                   3.214667             
5                    102                  1                    9381                 23                   3.262957             
4                    112                  1                    10230                21                   3.897143             
5                    17                   1                    8247                 18                   3.665333             
5                    114                  1                    10791                22                   3.924000             
5                    112                  1                    10236                22                   3.722182             
5                    19                   1                    9541                 22                   3.469455             
5                    16                   1                    9254                 22                   3.365091             
5                    18                   1                    8408                 18                   3.736889             
5                    31                   1                    9598                 18                   4.265778             
5                    91                   1                    8441                 18                   3.751555             
5                    79                   1                    6426                 14                   3.672000             
5                    67                   1                    5779                 12                   3.852667             
5                    55                   1                    6490                 15                   3.461333             
5                    28                   1                    7613                 14                   4.350286             
5                    100                  1                    11291                26                   3.474154             
5                    88                   1                    10949                22                   3.981455             
5                    76                   1                    10705                26                   3.293846             
5                    64                   1                    8044                 18                   3.575111             
5                    52                   1                    7618                 16                   3.809000             
5                    40                   1                    8108                 18                   3.603555             
5                    90                   1                    7979                 15                   4.255466             
5                    89                   1                    10545                26                   3.244615             
5                    78                   1                    6159                 12                   4.106000             
5                    77                   1                    7170                 13                   4.412308             
5                    66                   1                    6226                 15                   3.320533             
5                    54                   1                    7777                 15                   4.147733             
5                    53                   1                    8298                 18                   3.688000             
5                    42                   1                    8250                 19                   3.473684             
5                    41                   1                    8983                 20                   3.593200             
5                    30                   1                    10070                27                   2.983704             
5                    101                  1                    11405                26                   3.509231             
5                    103                  1                    9151                 18                   4.067111             
5                    43                   1                    7809                 18                   3.470667             
5                    115                  1                    10090                22                   3.669091             
5                    113                  1                    9120                 18                   4.053333             
6                    41                   1                    9068                 19                   3.818105             
5                    75                   1                    9314                 22                   3.386909             
5                    63                   1                    7919                 17                   3.726588             
5                    87                   1                    10975                22                   3.990909             
5                    51                   1                    7760                 18                   3.448889             
5                    39                   1                    7402                 16                   3.701000             
5                    99                   1                    10946                27                   3.243259             
5                    27                   1                    8447                 19                   3.556632             
6                    17                   1                    8493                 18                   3.774667             
6                    44                   1                    9385                 18                   4.171111             
6                    32                   1                    9916                 22                   3.605818             
6                    104                  1                    11633                26                   3.579385             
6                    112                  1                    9760                 22                   3.549091             
5                    92                   1                    9265                 23                   3.222609             
5                    80                   1                    7391                 15                   3.941867             
5                    68                   1                    6066                 11                   4.411636             
5                    56                   1                    7872                 20                   3.148800             
5                    104                  1                    11464                27                   3.396741             
5                    32                   1                    9758                 22                   3.548364             
5                    44                   1                    8829                 17                   4.154823             
6                    101                  1                    10847                26                   3.337538             
6                    57                   1                    7536                 15                   4.019200             
6                    45                   1                    8937                 18                   3.972000             
6                    30                   1                    10408                26                   3.202461             
6                    102                  1                    9066                 19                   3.817263             
6                    90                   1                    7532                 13                   4.635077             
6                    78                   1                    5713                 11                   4.154909             
6                    66                   1                    6004                 15                   3.202133             
6                    42                   1                    8728                 19                   3.674947             
6                    33                   1                    8410                 19                   3.541053             
6                    81                   1                    9612                 18                   4.272000             
6                    54                   1                    7778                 19                   3.274947             
6                    91                   1                    8298                 18                   3.688000             
6                    79                   1                    6389                 10                   5.111200             
6                    67                   1                    5637                 11                   4.099637             
6                    55                   1                    6343                 14                   3.624571             
6                    43                   1                    7686                 15                   4.099200             
6                    31                   1                    9969                 23                   3.467478             
6                    80                   1                    7576                 19                   3.189895             
6                    92                   1                    9249                 18                   4.110667             
6                    68                   1                    6232                 14                   3.561143             
6                    56                   1                    8535                 20                   3.414000             
6                    18                   1                    8087                 17                   3.805647             
6                    103                  1                    9506                 22                   3.456727             
6                    77                   1                    6815                 14                   3.894286             
6                    53                   1                    8292                 18                   3.685333             
6                    29                   1                    9037                 18                   4.016444             
6                    20                   1                    9350                 22                   3.400000             
6                    19                   1                    9403                 19                   3.959158             
6                    89                   1                    10041                22                   3.651273             
6                    65                   1                    7274                 19                   3.062737             
6                    93                   1                    11295                23                   3.928696             
6                    69                   1                    7561                 23                   2.629913             
7                    19                   1                    10516                21                   4.006095             
6                    21                   1                    8843                 18                   3.930222             
6                    105                  1                    13627                33                   3.303515             
6                    7                    1                    9969                 22                   3.625091             
7                    102                  1                    9272                 19                   3.904000             
7                    103                  1                    9719                 22                   3.534182             
7                    21                   1                    8505                 17                   4.002353             
7                    93                   1                    11909                29                   3.285241             
7                    69                   1                    7395                 15                   3.944000             
7                    57                   1                    7744                 15                   4.130133             
7                    45                   1                    8852                 23                   3.078957             
7                    33                   1                    8253                 15                   4.401600             
7                    18                   1                    9376                 22                   3.409455             
7                    90                   1                    8385                 19                   3.530526             
7                    78                   1                    6760                 16                   3.380000             
7                    66                   1                    6908                 14                   3.947428             
7                    54                   1                    8250                 15                   4.400000             
7                    42                   1                    8761                 22                   3.185818             
7                    30                   1                    10760                23                   3.742609             
7                    92                   1                    9730                 23                   3.384348             
7                    91                   1                    8718                 19                   3.670737             
7                    80                   1                    7840                 19                   3.301053             
7                    44                   1                    9831                 23                   3.419478             
7                    32                   1                    10922                22                   3.971636             
7                    79                   1                    6931                 16                   3.465500             
7                    67                   1                    6324                 14                   3.613714             
7                    55                   1                    6880                 15                   3.669333             
7                    68                   1                    6865                 12                   4.576667             
7                    56                   1                    8426                 19                   3.547790             
7                    43                   1                    8721                 23                   3.033391             
7                    31                   1                    10728                22                   3.901091             
7                    20                   1                    10263                23                   3.569739             
7                    77                   1                    7611                 18                   3.382667             
7                    104                  1                    11946                26                   3.675692             
7                    89                   1                    10916                25                   3.493120             
7                    9                    1                    8081                 15                   4.309866             
7                    81                   1                    10103                26                   3.108615             
7                    105                  1                    14941                32                   3.735250             
7                    8                    1                    9791                 23                   3.405565             
8                    68                   1                    6388                 11                   4.645818             
7                    6                    1                    10362                26                   3.188308             
8                    20                   1                    9763                 22                   3.550182             
7                    7                    1                    10760                22                   3.912727             
8                    21                   1                    8203                 19                   3.453895             
7                    1                    1                    8443                 18                   3.752445             
7                    3                    1                    8028                 18                   3.568000             
7                    2                    1                    7751                 15                   4.133867             
8                    15                   1                    8406                 19                   3.539368             
7                    70                   1                    8322                 19                   3.504000             
7                    58                   1                    7665                 18                   3.406667             
7                    4                    1                    7798                 15                   4.158933             
7                    46                   1                    8306                 20                   3.322400             
7                    34                   1                    9613                 23                   3.343652             
7                    10                   1                    8795                 18                   3.908889             
7                    22                   1                    8882                 23                   3.089391             
8                    56                   1                    7925                 15                   4.226666             
7                    82                   1                    11301                26                   3.477231             
8                    57                   1                    7165                 19                   3.016842             
8                    59                   1                    7457                 15                   3.977067             
8                    58                   1                    7421                 15                   3.957867             
8                    45                   1                    8698                 19                   3.662316             
8                    3                    1                    8144                 19                   3.429053             
8                    9                    1                    8048                 18                   3.576889             
8                    33                   1                    7731                 14                   4.417714             
8                    16                   1                    8401                 18                   3.733778             
8                    46                   1                    8208                 19                   3.456000             
8                    34                   1                    9673                 23                   3.364522             
8                    22                   1                    9654                 20                   3.861600             
8                    10                   1                    9076                 23                   3.156870             
8                    5                    1                    9766                 23                   3.396870             
8                    4                    1                    8967                 19                   3.775579             
8                    47                   1                    7587                 15                   4.046400             
8                    35                   1                    7124                 18                   3.166222             
8                    23                   1                    4136                 7                    4.726857             
8                    69                   1                    6910                 15                   3.685333             
8                    71                   1                    8039                 18                   3.572889             
8                    70                   1                    7993                 18                   3.552444             
8                    44                   1                    9301                 19                   3.916210             
8                    32                   1                    10712                26                   3.296000             
8                    81                   1                    9468                 22                   3.442909             
8                    82                   1                    9983                 22                   3.630182             
8                    80                   1                    7428                 18                   3.301333             
8                    72                   1                    7420                 14                   4.240000             
8                    11                   1                    9294                 21                   3.540571             
8                    8                    1                    10283                24                   3.427667             
8                    12                   1                    6786                 14                   3.877714             
8                    83                   1                    10380                22                   3.774545             
8                    84                   1                    11203                26                   3.447077             
8                    24                   1                    6291                 15                   3.355200             
8                    60                   1                    6910                 11                   5.025455             
9                    24                   1                    6360                 11                   4.625454             
8                    48                   1                    7728                 19                   3.253895             
8                    36                   1                    7670                 15                   4.090667             
9                    23                   1                    4037                 7                    4.613714             
