chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 14                   5.263429             
1                    43                   1                    8311                 10                   6.648800             
1                    54                   1                    7786                 9                    6.920889             
1                    55                   1                    6802                 8                    6.802000             
1                    66                   1                    7065                 8                    7.065000             
1                    67                   1                    6421                 9                    5.707556             
1                    78                   1                    6685                 8                    6.685000             
1                    79                   1                    7022                 9                    6.241778             
1                    90                   1                    8056                 8                    8.056000             
1                    91                   1                    8824                 10                   7.059200             
1                    102                  1                    9523                 13                   5.860308             
1                    103                  1                    9260                 13                   5.698462             
1                    41                   1                    9589                 11                   6.973818             
1                    53                   1                    8729                 12                   5.819334             
1                    65                   1                    7901                 8                    7.901000             
1                    77                   1                    7161                 10                   5.728800             
1                    89                   1                    10031                12                   6.687333             
1                    101                  1                    11179                13                   6.879385             
1                    44                   1                    9193                 12                   6.128667             
1                    56                   1                    8446                 11                   6.142545             
1                    68                   1                    6692                 8                    6.692000             
1                    80                   1                    7734                 8                    7.734000             
1                    92                   1                    9166                 12                   6.110667             
1                    104                  1                    11676                15                   6.227200             
1                    114                  1                    10575                12                   7.050000             
1                    115                  1                    10595                15                   5.650667             
1                    113                  1                    8527                 10                   6.821600             
1                    30                   1                    10373                13                   6.383385             
1                    31                   1                    10459                13                   6.436308             
1                    116                  1                    16716                22                   6.078546             
1                    29                   1                    9806                 12                   6.537333             
1                    32                   1                    9779                 13                   6.017846             
1                    40                   1                    8078                 8                    8.078000             
1                    52                   1                    8579                 10                   6.863200             
1                    64                   1                    8345                 11                   6.069091             
1                    76                   1                    10159                25                   3.250880             
1                    88                   1                    10293                12                   6.862000             
1                    100                  1                    10778                9                    9.580444             
1                    126                  1                    8487                 10                   6.789600             
1                    127                  1                    8599                 12                   5.732666             
1                    128                  1                    11287                13                   6.945846             
1                    125                  1                    7621                 10                   6.096800             
1                    45                   1                    8606                 10                   6.884800             
1                    57                   1                    7227                 8                    7.227000             
1                    69                   1                    7469                 8                    7.469000             
1                    81                   1                    9442                 12                   6.294667             
