chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 22                   3.208727             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 14                   3.820000             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 16                   3.532500             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 19                   3.499368             
1                    42                   1                    9211                 22                   3.349455             
1                    103                  1                    9260                 18                   4.115556             
1                    53                   1                    8729                 22                   3.174182             
1                    102                  1                    9523                 18                   4.232444             
1                    89                   1                    10031                26                   3.086462             
1                    77                   1                    7161                 15                   3.819200             
1                    65                   1                    7901                 15                   4.213867             
1                    41                   1                    9589                 23                   3.335304             
1                    44                   1                    9193                 22                   3.342909             
1                    101                  1                    11179                26                   3.439692             
1                    68                   1                    6692                 12                   4.461333             
1                    92                   1                    9166                 23                   3.188174             
1                    80                   1                    7734                 15                   4.124800             
1                    56                   1                    8446                 18                   3.753778             
1                    104                  1                    11676                29                   3.220966             
1                    113                  1                    8527                 20                   3.410800             
1                    114                  1                    10575                22                   3.845454             
1                    115                  1                    10595                21                   4.036191             
1                    31                   1                    10459                26                   3.218154             
1                    30                   1                    10373                23                   3.608000             
1                    32                   1                    9779                 22                   3.556000             
1                    29                   1                    9806                 26                   3.017231             
1                    112                  1                    10192                23                   3.545043             
1                    116                  1                    16716                41                   3.261658             
1                    64                   1                    8345                 18                   3.708889             
1                    88                   1                    10293                22                   3.742909             
1                    76                   1                    10159                22                   3.694182             
1                    52                   1                    8579                 19                   3.612211             
1                    40                   1                    8078                 19                   3.401263             
1                    28                   1                    9247                 18                   4.109778             
1                    128                  1                    11287                26                   3.472923             
1                    127                  1                    8599                 19                   3.620632             
1                    57                   1                    7227                 18                   3.212000             
1                    125                  1                    7621                 16                   3.810500             
1                    69                   1                    7469                 15                   3.983467             
1                    45                   1                    8606                 18                   3.824889             
1                    105                  1                    14274                33                   3.460364             
1                    117                  1                    16627                40                   3.325400             
1                    81                   1                    9442                 23                   3.284174             
2                    29                   1                    9803                 18                   4.356889             
2                    113                  1                    9083                 21                   3.460191             
1                    33                   1                    9877                 22                   3.591636             
2                    65                   1                    7543                 14                   4.310286             
2                    53                   1                    8484                 18                   3.770667             
2                    41                   1                    9350                 22                   3.400000             
2                    101                  1                    11599                26                   3.568923             
1                    93                   1                    10978                26                   3.377846             
2                    78                   1                    6307                 11                   4.586909             
2                    66                   1                    6358                 14                   3.633143             
2                    54                   1                    7607                 15                   4.057066             
2                    105                  1                    14908                33                   3.614061             
2                    93                   1                    11795                29                   3.253793             
2                    81                   1                    9611                 20                   3.844400             
2                    32                   1                    9461                 22                   3.440364             
2                    31                   1                    9999                 21                   3.809143             
2                    104                  1                    11780                26                   3.624615             
2                    103                  1                    9236                 24                   3.078667             
2                    90                   1                    7843                 19                   3.302316             
2                    92                   1                    9504                 18                   4.224000             
2                    91                   1                    8596                 18                   3.820444             
2                    80                   1                    7856                 18                   3.491555             
2                    79                   1                    6744                 14                   3.853714             
2                    68                   1                    6444                 11                   4.686545             
2                    67                   1                    5940                 11                   4.320000             
2                    56                   1                    8196                 19                   3.450947             
2                    55                   1                    6282                 14                   3.589714             
2                    102                  1                    9522                 18                   4.232000             
2                    57                   1                    7141                 15                   3.808533             
2                    42                   1                    8862                 22                   3.222545             
2                    44                   1                    9069                 19                   3.818526             
