chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 21                   3.361524             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 15                   3.565333             
1                    67                   1                    6421                 15                   3.424533             
1                    66                   1                    7065                 14                   4.037143             
1                    55                   1                    6802                 15                   3.627733             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 19                   3.499368             
1                    42                   1                    9211                 18                   4.093778             
1                    103                  1                    9260                 23                   3.220870             
1                    41                   1                    9589                 22                   3.486909             
1                    102                  1                    9523                 19                   4.009684             
1                    89                   1                    10031                26                   3.086462             
1                    77                   1                    7161                 15                   3.819200             
1                    65                   1                    7901                 14                   4.514857             
1                    53                   1                    8729                 22                   3.174182             
1                    44                   1                    9193                 18                   4.085778             
1                    101                  1                    11179                26                   3.439692             
1                    68                   1                    6692                 15                   3.569067             
1                    92                   1                    9166                 22                   3.333091             
1                    80                   1                    7734                 14                   4.419428             
1                    56                   1                    8446                 18                   3.753778             
1                    104                  1                    11676                27                   3.459556             
1                    113                  1                    8527                 19                   3.590316             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                22                   3.852727             
1                    31                   1                    10459                23                   3.637913             
1                    30                   1                    10373                26                   3.191692             
1                    116                  1                    16716                36                   3.714667             
1                    32                   1                    9779                 23                   3.401391             
1                    29                   1                    9806                 22                   3.565818             
2                    29                   1                    9803                 23                   3.409739             
2                    32                   1                    9461                 22                   3.440364             
2                    113                  1                    9083                 22                   3.302909             
2                    31                   1                    9999                 22                   3.636000             
2                    30                   1                    10147                22                   3.689818             
2                    116                  1                    17572                40                   3.514400             
2                    115                  1                    10923                25                   3.495360             
2                    114                  1                    11027                22                   4.009818             
2                    89                   1                    10619                26                   3.267385             
2                    77                   1                    7220                 15                   3.850667             
2                    65                   1                    7543                 16                   3.771500             
2                    53                   1                    8484                 18                   3.770667             
2                    41                   1                    9350                 22                   3.400000             
2                    101                  1                    11599                26                   3.568923             
2                    92                   1                    9504                 22                   3.456000             
2                    80                   1                    7856                 15                   4.189867             
1                    57                   1                    7227                 13                   4.447385             
1                    45                   1                    8606                 22                   3.129455             
1                    105                  1                    14274                33                   3.460364             
2                    78                   1                    6307                 11                   4.586909             
1                    69                   1                    7469                 19                   3.144842             
2                    54                   1                    7607                 14                   4.346857             
2                    105                  1                    14908                38                   3.138526             
2                    93                   1                    11795                26                   3.629231             
2                    66                   1                    6358                 11                   4.624000             
2                    57                   1                    7141                 19                   3.006737             
2                    45                   1                    8640                 18                   3.840000             
2                    104                  1                    11780                26                   3.624615             
2                    103                  1                    9236                 19                   3.888842             
2                    91                   1                    8596                 22                   3.125818             
2                    79                   1                    6744                 12                   4.496000             
2                    68                   1                    6444                 15                   3.436800             
2                    67                   1                    5940                 11                   4.320000             
2                    42                   1                    8862                 20                   3.544800             
2                    56                   1                    8196                 22                   2.980364             
2                    55                   1                    6282                 14                   3.589714             
2                    102                  1                    9522                 19                   4.009263             
2                    90                   1                    7843                 19                   3.302316             
2                    44                   1                    9069                 19                   3.818526             
2                    69                   1                    7452                 18                   3.312000             
2                    43                   1                    7918                 15                   4.222933             
2                    33                   1                    9501                 22                   3.454909             
2                    81                   1                    9611                 22                   3.494909             
3                    102                  1                    9450                 19                   3.978947             
2                    117                  1                    18144                43                   3.375628             
3                    33                   1                    9286                 22                   3.376727             
3                    114                  1                    10810                23                   3.760000             
3                    29                   1                    9510                 22                   3.458182             
3                    89                   1                    10639                21                   4.052952             
3                    77                   1                    7320                 20                   2.928000             
3                    69                   1                    8038                 14                   4.593143             
3                    57                   1                    7630                 19                   3.212631             
3                    45                   1                    8606                 19                   3.623579             
3                    105                  1                    13795                30                   3.678667             
3                    113                  1                    9056                 22                   3.293091             
3                    116                  1                    14884                34                   3.502118             
3                    115                  1                    10291                26                   3.166461             
