chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    91                   1                    8824                 23                   3.069217             
1                    90                   1                    8056                 14                   4.603428             
1                    79                   1                    7022                 15                   3.745067             
1                    78                   1                    6685                 16                   3.342500             
1                    67                   1                    6421                 14                   3.669143             
1                    66                   1                    7065                 15                   3.768000             
1                    55                   1                    6802                 14                   3.886857             
1                    54                   1                    7786                 15                   4.152534             
1                    43                   1                    8311                 18                   3.693778             
1                    42                   1                    9211                 18                   4.093778             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 23                   3.335304             
1                    102                  1                    9523                 19                   4.009684             
1                    89                   1                    10031                24                   3.343667             
1                    77                   1                    7161                 14                   4.092000             
1                    65                   1                    7901                 14                   4.514857             
1                    53                   1                    8729                 22                   3.174182             
1                    44                   1                    9193                 19                   3.870737             
1                    101                  1                    11179                25                   3.577280             
1                    68                   1                    6692                 15                   3.569067             
1                    92                   1                    9166                 21                   3.491810             
1                    80                   1                    7734                 15                   4.124800             
1                    56                   1                    8446                 18                   3.753778             
1                    104                  1                    11676                25                   3.736320             
1                    113                  1                    8527                 18                   3.789778             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                22                   3.852727             
1                    31                   1                    10459                22                   3.803273             
1                    30                   1                    10373                26                   3.191692             
1                    116                  1                    16716                36                   3.714667             
1                    32                   1                    9779                 23                   3.401391             
1                    29                   1                    9806                 22                   3.565818             
2                    29                   1                    9803                 22                   3.564727             
2                    32                   1                    9461                 22                   3.440364             
2                    113                  1                    9083                 23                   3.159304             
2                    31                   1                    9999                 22                   3.636000             
2                    30                   1                    10147                22                   3.689818             
2                    116                  1                    17572                41                   3.428683             
2                    115                  1                    10923                26                   3.360923             
2                    114                  1                    11027                21                   4.200762             
2                    89                   1                    10619                26                   3.267385             
2                    77                   1                    7220                 15                   3.850667             
2                    65                   1                    7543                 15                   4.022933             
2                    53                   1                    8484                 19                   3.572211             
2                    41                   1                    9350                 22                   3.400000             
2                    101                  1                    11599                26                   3.568923             
2                    92                   1                    9504                 22                   3.456000             
2                    80                   1                    7856                 15                   4.189867             
1                    57                   1                    7227                 15                   3.854400             
1                    45                   1                    8606                 23                   2.993391             
1                    105                  1                    14274                34                   3.358588             
2                    90                   1                    7843                 14                   4.481714             
1                    69                   1                    7469                 15                   3.983467             
2                    54                   1                    7607                 18                   3.380889             
2                    105                  1                    14908                34                   3.507765             
2                    93                   1                    11795                26                   3.629231             
2                    66                   1                    6358                 14                   3.633143             
2                    57                   1                    7141                 14                   4.080572             
2                    45                   1                    8640                 19                   3.637895             
2                    104                  1                    11780                26                   3.624615             
2                    103                  1                    9236                 23                   3.212522             
2                    91                   1                    8596                 18                   3.820444             
2                    79                   1                    6744                 15                   3.596800             
2                    68                   1                    6444                 12                   4.296000             
2                    67                   1                    5940                 15                   3.168000             
2                    78                   1                    6307                 11                   4.586909             
2                    42                   1                    8862                 22                   3.222545             
2                    56                   1                    8196                 18                   3.642667             
2                    102                  1                    9522                 19                   4.009263             
2                    55                   1                    6282                 15                   3.350400             
2                    44                   1                    9069                 19                   3.818526             
2                    43                   1                    7918                 18                   3.519111             
2                    81                   1                    9611                 21                   3.661333             
2                    69                   1                    7452                 15                   3.974400             
2                    33                   1                    9501                 23                   3.304696             
3                    102                  1                    9450                 19                   3.978947             
2                    117                  1                    18144                45                   3.225600             
3                    33                   1                    9286                 23                   3.229913             
3                    114                  1                    10810                23                   3.760000             
3                    29                   1                    9510                 22                   3.458182             
3                    89                   1                    10639                21                   4.052952             
3                    69                   1                    8038                 18                   3.572444             
3                    57                   1                    7630                 18                   3.391111             
3                    45                   1                    8606                 20                   3.442400             
3                    105                  1                    13795                30                   3.678667             
3                    116                  1                    14884                36                   3.307555             
3                    115                  1                    10291                23                   3.579478             
3                    32                   1                    10252                23                   3.565913             
3                    77                   1                    7320                 15                   3.904000             
3                    30                   1                    9973                 22                   3.626545             
3                    65                   1                    7769                 19                   3.271158             
3                    53                   1                    8757                 19                   3.687158             
3                    41                   1                    9365                 23                   3.257391             
3                    101                  1                    11311                26                   3.480308             
3                    92                   1                    9459                 18                   4.204000             
3                    80                   1                    7890                 19                   3.322105             
3                    68                   1                    6727                 14                   3.844000             
3                    56                   1                    8308                 14                   4.747428             
3                    104                  1                    11117                25                   3.557440             
3                    91                   1                    8808                 19                   3.708632             
3                    90                   1                    8194                 19                   3.450105             
3                    79                   1                    6585                 15                   3.512000             
3                    78                   1                    6077                 12                   4.051333             
3                    67                   1                    6128                 14                   3.501714             
3                    66                   1                    6763                 11                   4.918545             
3                    55                   1                    6525                 15                   3.480000             
3                    54                   1                    7812                 18                   3.472000             
3                    43                   1                    7925                 15                   4.226666             
3                    42                   1                    8771                 23                   3.050783             
3                    44                   1                    9295                 18                   4.131111             
3                    103                  1                    9218                 22                   3.352000             
3                    113                  1                    9056                 18                   4.024889             
3                    31                   1                    9806                 23                   3.410783             
4                    113                  1                    8935                 22                   3.249091             
4                    116                  1                    15597                37                   3.372324             
4                    29                   1                    9602                 19                   4.042947             
4                    32                   1                    9806                 22                   3.565818             
4                    115                  1                    10480                24                   3.493333             
4                    114                  1                    10975                21                   4.180953             
4                    31                   1                    10127                26                   3.116000             
4                    30                   1                    10009                23                   3.481391             
4                    92                   1                    9532                 19                   4.013474             
4                    80                   1                    7625                 19                   3.210526             
4                    68                   1                    6140                 11                   4.465455             
4                    56                   1                    8022                 19                   3.377684             
4                    44                   1                    9146                 19                   3.850947             
3                    40                   1                    7771                 18                   3.453778             
3                    88                   1                    11465                26                   3.527692             
3                    76                   1                    10998                26                   3.384000             
3                    64                   1                    8720                 17                   4.103529             
3                    52                   1                    8007                 15                   4.270400             
3                    100                  1                    11409                27                   3.380445             
4                    104                  1                    11492                29                   3.170207             
4                    89                   1                    10953                22                   3.982909             
4                    77                   1                    7365                 15                   3.928000             
4                    65                   1                    7721                 19                   3.250947             
4                    53                   1                    8644                 19                   3.639579             
4                    41                   1                    9468                 23                   3.293217             
4                    102                  1                    9376                 19                   3.947789             
4                    101                  1                    11168                27                   3.309037             
4                    91                   1                    8661                 18                   3.849333             
4                    90                   1                    8044                 19                   3.386947             
4                    79                   1                    6756                 15                   3.603200             
4                    78                   1                    6125                 11                   4.454545             
4                    67                   1                    5901                 12                   3.934000             
4                    66                   1                    6356                 16                   3.178000             
4                    55                   1                    6580                 11                   4.785455             
4                    54                   1                    7762                 20                   3.104800             
4                    43                   1                    7845                 14                   4.482857             
4                    103                  1                    9645                 22                   3.507273             
4                    42                   1                    8797                 18                   3.909778             
4                    64                   1                    8902                 22                   3.237091             
4                    76                   1                    11062                23                   3.847652             
4                    52                   1                    8157                 18                   3.625333             
4                    40                   1                    8282                 18                   3.680889             
4                    28                   1                    8408                 18                   3.736889             
4                    17                   1                    9150                 19                   3.852632             
4                    88                   1                    11744                30                   3.131733             
4                    100                  1                    10829                22                   3.937818             
5                    30                   1                    10070                23                   3.502609             
5                    31                   1                    9598                 22                   3.490182             
5                    18                   1                    8408                 19                   3.540210             
5                    17                   1                    8247                 19                   3.472421             
5                    90                   1                    7979                 14                   4.559429             
4                    112                  1                    10230                26                   3.147692             
4                    16                   1                    9644                 19                   4.060632             
4                    19                   1                    10339                26                   3.181231             
4                    18                   1                    9370                 19                   3.945263             
5                    19                   1                    9541                 22                   3.469455             
5                    16                   1                    9254                 22                   3.365091             
5                    103                  1                    9151                 18                   4.067111             
5                    100                  1                    11291                26                   3.474154             
5                    79                   1                    6426                 11                   4.673455             
5                    67                   1                    5779                 15                   3.082133             
5                    55                   1                    6490                 11                   4.720000             
5                    43                   1                    7809                 18                   3.470667             
5                    28                   1                    7613                 15                   4.060266             
5                    102                  1                    9381                 22                   3.411273             
5                    29                   1                    8773                 19                   3.693895             
5                    88                   1                    10949                25                   3.503680             
5                    76                   1                    10705                21                   4.078095             
5                    52                   1                    7618                 19                   3.207579             
5                    40                   1                    8108                 19                   3.413895             
5                    89                   1                    10545                24                   3.515000             
5                    78                   1                    6159                 11                   4.479273             
5                    77                   1                    7170                 15                   3.824000             
5                    66                   1                    6226                 15                   3.320533             
5                    65                   1                    7425                 10                   5.940000             
5                    54                   1                    7777                 19                   3.274526             
5                    53                   1                    8298                 11                   6.034909             
5                    42                   1                    8250                 14                   4.714286             
5                    41                   1                    8983                 22                   3.266546             
5                    101                  1                    11405                25                   3.649600             
5                    91                   1                    8441                 17                   3.972235             
5                    64                   1                    8044                 14                   4.596571             
5                    113                  1                    9120                 22                   3.316364             
5                    112                  1                    10236                22                   3.722182             
5                    114                  1                    10791                25                   3.453120             
5                    115                  1                    10090                21                   3.843810             
6                    100                  1                    10834                22                   3.939636             
6                    103                  1                    9506                 22                   3.456727             
6                    28                   1                    7435                 16                   3.717500             
6                    88                   1                    10450                26                   3.215385             
6                    76                   1                    10117                22                   3.678909             
6                    115                  1                    10322                23                   3.590261             
6                    112                  1                    9760                 22                   3.549091             
6                    114                  1                    10413                22                   3.786546             
5                    68                   1                    6066                 15                   3.235200             
6                    116                  1                    15282                33                   3.704727             
6                    32                   1                    9916                 22                   3.605818             
6                    113                  1                    8556                 23                   2.976000             
5                    92                   1                    9265                 19                   3.901053             
5                    80                   1                    7391                 19                   3.112000             
5                    56                   1                    7872                 14                   4.498286             
5                    44                   1                    8829                 22                   3.210546             
5                    104                  1                    11464                26                   3.527385             
6                    45                   1                    8937                 19                   3.762947             
5                    32                   1                    9758                 22                   3.548364             
6                    30                   1                    10408                22                   3.784727             
6                    57                   1                    7536                 18                   3.349333             
6                    102                  1                    9066                 19                   3.817263             
6                    90                   1                    7532                 14                   4.304000             
6                    78                   1                    5713                 11                   4.154909             
6                    66                   1                    6004                 15                   3.202133             
6                    54                   1                    7778                 15                   4.148267             
6                    42                   1                    8728                 22                   3.173818             
6                    81                   1                    9612                 19                   4.047158             
6                    69                   1                    7561                 18                   3.360445             
6                    31                   1                    9969                 23                   3.467478             
6                    91                   1                    8298                 19                   3.493895             
6                    79                   1                    6389                 11                   4.646545             
6                    67                   1                    5637                 11                   4.099637             
6                    55                   1                    6343                 15                   3.382933             
6                    43                   1                    7686                 15                   4.099200             
6                    92                   1                    9249                 22                   3.363273             
6                    80                   1                    7576                 14                   4.329143             
6                    33                   1                    8410                 20                   3.364000             
