chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 22                   3.349455             
1                    43                   1                    8311                 18                   3.693778             
1                    54                   1                    7786                 15                   4.152534             
1                    55                   1                    6802                 15                   3.627733             
1                    66                   1                    7065                 15                   3.768000             
1                    67                   1                    6421                 15                   3.424533             
1                    78                   1                    6685                 15                   3.565333             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 15                   4.296533             
1                    91                   1                    8824                 19                   3.715369             
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 22                   3.367273             
1                    41                   1                    9589                 20                   3.835600             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 14                   4.514857             
1                    77                   1                    7161                 15                   3.819200             
1                    89                   1                    10031                23                   3.489043             
1                    101                  1                    11179                27                   3.312296             
1                    44                   1                    9193                 22                   3.342909             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 10                   5.353600             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 20                   3.666400             
1                    104                  1                    11676                27                   3.459556             
1                    114                  1                    10575                27                   3.133333             
1                    115                  1                    10595                31                   2.734194             
1                    113                  1                    8527                 15                   4.547733             
1                    30                   1                    10373                27                   3.073482             
1                    31                   1                    10459                22                   3.803273             
1                    116                  1                    16716                40                   3.343200             
1                    29                   1                    9806                 18                   4.358222             
1                    32                   1                    9779                 22                   3.556000             
1                    40                   1                    8078                 19                   3.401263             
1                    52                   1                    8579                 19                   3.612211             
1                    64                   1                    8345                 19                   3.513684             
1                    76                   1                    10159                22                   3.694182             
1                    88                   1                    10293                24                   3.431000             
1                    100                  1                    10778                28                   3.079429             
1                    112                  1                    10192                22                   3.706182             
1                    126                  1                    8487                 18                   3.772000             
1                    127                  1                    8599                 19                   3.620632             
1                    128                  1                    11287                26                   3.472923             
1                    125                  1                    7621                 15                   4.064533             
1                    45                   1                    8606                 24                   2.868667             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 15                   3.983467             
1                    81                   1                    9442                 22                   3.433455             
1                    93                   1                    10978                22                   3.992000             
1                    105                  1                    14274                33                   3.460364             
1                    117                  1                    16627                40                   3.325400             
1                    33                   1                    9877                 22                   3.591636             
1                    18                   1                    9508                 22                   3.457454             
1                    19                   1                    10043                22                   3.652000             
1                    20                   1                    9541                 19                   4.017263             
1                    17                   1                    9794                 22                   3.561455             
1                    21                   1                    8659                 18                   3.848444             
2                    43                   1                    7918                 18                   3.519111             
2                    44                   1                    9069                 18                   4.030667             
2                    55                   1                    6282                 15                   3.350400             
2                    56                   1                    8196                 18                   3.642667             
2                    67                   1                    5940                 11                   4.320000             
2                    68                   1                    6444                 15                   3.436800             
2                    79                   1                    6744                 11                   4.904727             
2                    80                   1                    7856                 18                   3.491555             
2                    91                   1                    8596                 18                   3.820444             
2                    92                   1                    9504                 22                   3.456000             
2                    103                  1                    9236                 18                   4.104889             
2                    104                  1                    11780                30                   3.141333             
