chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    42                   1                    9211                 21                   3.508952             
1                    43                   1                    8311                 18                   3.693778             
1                    54                   1                    7786                 14                   4.449143             
1                    55                   1                    6802                 16                   3.401000             
1                    66                   1                    7065                 14                   4.037143             
1                    67                   1                    6421                 14                   3.669143             
1                    78                   1                    6685                 14                   3.820000             
1                    79                   1                    7022                 15                   3.745067             
1                    90                   1                    8056                 15                   4.296533             
1                    91                   1                    8824                 19                   3.715369             
1                    102                  1                    9523                 23                   3.312348             
1                    103                  1                    9260                 21                   3.527619             
1                    41                   1                    9589                 18                   4.261778             
1                    53                   1                    8729                 22                   3.174182             
1                    65                   1                    7901                 14                   4.514857             
1                    77                   1                    7161                 15                   3.819200             
1                    89                   1                    10031                21                   3.821333             
1                    101                  1                    11179                26                   3.439692             
1                    44                   1                    9193                 21                   3.502095             
1                    56                   1                    8446                 19                   3.556211             
1                    68                   1                    6692                 11                   4.866909             
1                    80                   1                    7734                 19                   3.256421             
1                    92                   1                    9166                 19                   3.859368             
1                    104                  1                    11676                25                   3.736320             
1                    114                  1                    10575                26                   3.253846             
1                    115                  1                    10595                22                   3.852727             
1                    113                  1                    8527                 18                   3.789778             
1                    30                   1                    10373                25                   3.319360             
1                    31                   1                    10459                21                   3.984381             
1                    116                  1                    16716                41                   3.261658             
1                    29                   1                    9806                 18                   4.358222             
1                    32                   1                    9779                 22                   3.556000             
2                    42                   2                    18388                45                   3.268978             
2                    43                   2                    16142                41                   3.149658             
2                    54                   2                    16348                36                   3.632889             
2                    55                   2                    12252                30                   3.267200             
2                    66                   2                    13136                30                   3.502933             
2                    67                   2                    12282                26                   3.779077             
2                    78                   2                    13066                34                   3.074353             
2                    79                   2                    13819                30                   3.685067             
2                    90                   2                    16458                41                   3.211317             
2                    91                   2                    18412                44                   3.347636             
2                    102                  2                    20617                48                   3.436167             
1                    45                   1                    8606                 19                   3.623579             
1                    57                   1                    7227                 15                   3.854400             
1                    69                   1                    7469                 19                   3.144842             
1                    81                   1                    9442                 18                   4.196445             
1                    93                   1                    10978                26                   3.377846             
1                    105                  1                    14274                34                   3.358588             
1                    33                   1                    9877                 22                   3.591636             
1                    117                  1                    16627                37                   3.595027             
2                    44                   1                    9069                 22                   3.297818             
2                    56                   1                    8196                 18                   3.642667             
2                    68                   1                    6444                 11                   4.686545             
2                    80                   1                    7856                 19                   3.307790             
2                    92                   1                    9504                 22                   3.456000             
2                    103                  1                    9236                 19                   3.888842             
2                    104                  1                    11780                30                   3.141333             
2                    30                   1                    10147                22                   3.689818             
2                    31                   1                    9999                 22                   3.636000             
2                    32                   1                    9461                 22                   3.440364             
2                    41                   1                    9350                 19                   3.936842             
2                    53                   1                    8484                 19                   3.572211             
2                    65                   1                    7543                 19                   3.176000             
2                    77                   1                    7220                 15                   3.850667             
2                    89                   1                    10619                22                   3.861454             
2                    101                  1                    11599                26                   3.568923             
2                    114                  1                    11027                25                   3.528640             
2                    115                  1                    10923                26                   3.360923             
2                    116                  1                    17572                41                   3.428683             
2                    29                   1                    9803                 22                   3.564727             
2                    113                  1                    9083                 17                   4.274353             
2                    45                   1                    8640                 18                   3.840000             
2                    57                   1                    7141                 15                   3.808533             
2                    69                   1                    7452                 18                   3.312000             
2                    81                   1                    9611                 18                   4.271555             
2                    93                   1                    11795                28                   3.370000             
3                    42                   1                    8771                 18                   3.898222             
3                    43                   1                    7925                 19                   3.336842             
3                    54                   1                    7812                 16                   3.906000             
3                    55                   1                    6525                 15                   3.480000             
3                    66                   1                    6763                 15                   3.606933             
3                    67                   1                    6128                 11                   4.456728             
3                    78                   1                    6077                 14                   3.472571             
3                    79                   1                    6585                 12                   4.390000             
3                    90                   1                    8194                 18                   3.641778             
3                    91                   1                    8808                 19                   3.708632             
