chunk_id             tile_idx             quality              chunk_size           recv_time            bandwidth(mbps)      
1                    90                   2                    19010                27                   5.632593             
1                    79                   2                    15850                21                   6.038095             
1                    78                   2                    15012                18                   6.672000             
1                    67                   2                    14645                19                   6.166316             
1                    66                   2                    15601                21                   5.943238             
1                    91                   2                    20891                27                   6.189926             
1                    55                   2                    14732                20                   5.892800             
1                    54                   2                    19716                28                   5.633143             
1                    43                   2                    18918                24                   6.306000             
1                    42                   2                    21479                29                   5.925241             
1                    103                  2                    22136                29                   6.106483             
1                    77                   2                    16125                22                   5.863636             
1                    102                  2                    22639                30                   6.037066             
1                    65                   2                    18896                25                   6.046720             
1                    101                  2                    25207                36                   5.601555             
1                    89                   2                    23426                30                   6.246933             
1                    53                   2                    19563                27                   5.796444             
1                    41                   2                    21733                29                   5.995310             
1                    80                   2                    17002                23                   5.913739             
1                    68                   2                    15092                19                   6.354527             
1                    104                  2                    27162                38                   5.718316             
1                    92                   2                    21454                30                   5.721066             
1                    56                   2                    17010                23                   5.916522             
1                    44                   2                    19661                27                   5.825481             
1                    115                  2                    24010                34                   5.649412             
1                    114                  2                    24061                31                   6.209291             
1                    29                   2                    21175                29                   5.841379             
1                    113                  2                    19656                26                   6.048000             
1                    31                   2                    21936                28                   6.267428             
1                    32                   2                    20712                29                   5.713655             
1                    30                   2                    22734                30                   6.062400             
1                    40                   2                    16815                23                   5.848696             
1                    116                  2                    36508                52                   5.616615             
1                    76                   2                    22441                29                   6.190621             
1                    64                   2                    19207                27                   5.690963             
1                    100                  2                    23814                31                   6.145548             
1                    88                   2                    22756                32                   5.689000             
1                    52                   2                    17757                25                   5.682240             
2                    113                  2                    25821                35                   5.901943             
2                    115                  2                    30347                42                   5.780381             
2                    129                  2                    29752                40                   5.950400             
1                    129                  2                    23261                33                   5.639030             
2                    125                  2                    22727                29                   6.269517             
2                    53                   2                    21541                30                   5.744267             
2                    41                   2                    24276                34                   5.712000             
2                    114                  2                    30551                43                   5.683907             
2                    21                   2                    15328                18                   6.812444             
1                    21                   2                    15513                21                   5.909714             
2                    17                   2                    22962                31                   5.925677             
2                    22                   2                    20989                29                   5.790069             
2                    118                  2                    38431                54                   5.693481             
2                    106                  2                    36681                50                   5.868960             
2                    101                  2                    31013                44                   5.638727             
2                    89                   2                    29643                39                   6.080616             
2                    92                   2                    27466                40                   5.493200             
2                    91                   2                    24432                33                   5.922909             
2                    80                   2                    20600                28                   5.885714             
2                    79                   2                    17860                23                   6.212174             
2                    68                   2                    16982                23                   5.906783             
2                    67                   2                    15969                21                   6.083428             
2                    78                   2                    16917                23                   5.884174             
2                    66                   2                    17430                23                   6.062609             
2                    103                  2                    26783                38                   5.638526             
2                    56                   2                    18611                25                   5.955520             
2                    55                   2                    15999                23                   5.564869             
2                    44                   2                    21975                29                   6.062069             
2                    43                   2                    20920                29                   5.771035             
3                    17                   2                    22132                30                   5.901866             
3                    113                  2                    22353                32                   5.588250             
3                    101                  2                    28507                37                   6.163676             
3                    21                   2                    15817                23                   5.501565             
3                    20                   2                    19100                25                   6.112000             
3                    19                   2                    24224                34                   5.699765             
